,Date,Open,High,Low,Close,Volume
0,2015-06-19,67.9,67.94,54.51,54.57,892800
1,2015-06-22,59.79,59.79,55.74,56.64,184400
2,2015-06-23,56.15,57.39,55.0,56.46,72396
3,2015-06-24,55.17,55.56,53.35,54.11,67000
4,2015-06-25,55.66,55.66,52.51,53.4,66300
5,2015-06-26,53.17,53.55,52.45,52.72,44200
6,2015-06-29,51.77,51.77,49.73,50.36,53000
7,2015-06-30,53.76,53.93,51.44,52.02,126595
8,2015-07-01,53.79,54.17,50.82,52.02,177800
9,2015-07-02,51.45,51.56,49.57,50.2,55600
10,2015-07-06,49.73,50.4,47.52,49.4,12800
11,2015-07-07,49.13,51.0,48.09,50.99,8900
12,2015-07-08,49.99,49.99,48.0,49.58,4600
13,2015-07-09,49.3,50.03,48.07,49.23,4900
14,2015-07-10,53.4,53.4,50.14,52.42,67700
15,2015-07-13,54.9,55.3,53.43,54.71,42900
16,2015-07-14,59.98,60.91,59.79,60.81,64415
17,2015-07-15,62.0,62.0,59.35,60.56,18582
18,2015-07-16,61.0,61.86,60.56,61.27,31100
19,2015-07-17,60.87,61.33,60.52,61.0,31500
20,2015-07-20,60.7,60.9,59.5,59.5,5000
21,2015-07-21,61.0,61.32,60.43,60.44,3900
22,2015-07-22,59.35,60.44,59.19,59.25,13600
23,2015-07-23,59.21,59.21,57.95,58.15,56400
24,2015-07-24,59.59,59.79,58.36,58.67,6600
25,2015-07-27,57.68,57.68,56.74,56.74,1700
26,2015-07-28,56.66,57.04,56.3,56.84,4000
27,2015-07-29,57.39,57.54,57.09,57.09,1000
28,2015-07-30,56.12,56.12,55.62,55.62,1200
29,2015-07-31,55.86,55.96,55.3,55.33,14900
30,2015-08-03,56.07,56.78,54.81,54.81,13319
31,2015-08-04,55.95,56.06,54.97,55.91,4200
32,2015-08-05,55.19,55.89,54.32,55.06,10900
33,2015-08-06,56.62,56.92,55.69,56.8,12261
34,2015-08-07,54.87,56.28,54.87,55.46,6500
35,2015-08-10,55.65,57.96,55.01,56.37,5100
36,2015-08-11,55.4,56.19,54.2,54.22,8454
37,2015-08-12,56.74,56.74,54.82,55.56,4700
38,2015-08-13,54.17,54.17,53.33,53.33,5100
39,2015-08-14,53.37,55.26,53.37,55.26,1200
40,2015-08-17,54.95,55.11,54.95,55.11,200
41,2015-08-18,55.27,55.27,55.27,55.27,300
42,2015-08-19,55.28,56.13,54.7,56.0,6500
43,2015-08-20,54.92,54.92,53.29,53.29,2200
44,2015-08-21,52.01,54.31,50.35,50.35,5900
45,2015-08-24,45.01,49.24,44.47,47.56,3507
46,2015-08-25,50.05,51.44,50.05,51.34,2700
47,2015-08-26,53.07,53.07,50.5,50.57,3100
48,2015-08-27,50.76,50.76,49.01,49.01,3900
49,2015-08-31,48.79,48.79,48.79,48.79,200
50,2015-09-01,49.07,49.07,46.53,46.53,2000
51,2015-09-02,48.0,49.77,48.0,49.77,5700
52,2015-09-04,47.01,49.79,47.01,47.5,400
53,2015-09-08,45.0,45.77,44.0,44.25,3400
54,2015-09-09,44.25,47.7,44.14,45.0,1100
55,2015-09-10,43.5,43.5,42.8,42.95,1260
56,2015-09-11,42.83,43.88,42.25,42.26,4100
57,2015-09-14,43.45,44.48,43.45,44.48,1700
58,2015-09-15,45.34,45.37,42.55,45.3,3200
59,2015-09-16,47.99,47.99,46.0,46.25,800
60,2015-09-17,45.71,46.25,45.71,46.25,2200
61,2015-09-18,45.23,45.65,44.05,44.05,2300
62,2015-09-21,46.11,46.47,46.11,46.37,1600
63,2015-09-22,44.05,44.09,44.05,44.05,1400
64,2015-09-23,43.54,43.54,43.0,43.0,500
65,2015-09-24,42.75,45.0,42.75,44.6,2053
66,2015-09-25,42.54,44.98,41.97,42.3,7700
67,2015-09-28,41.5,42.9,40.21,42.9,5467
68,2015-09-29,39.75,41.35,37.0,41.35,9000
69,2015-09-30,41.14,44.0,39.06,41.85,47500
70,2015-10-01,41.84,41.84,40.0,40.68,3300
71,2015-10-02,42.9,43.8,42.0,43.8,1200
72,2015-10-05,40.15,43.53,39.89,41.5,16297
73,2015-10-06,40.11,42.0,39.25,39.25,7100
74,2015-10-07,39.11,39.11,38.01,38.01,2500
75,2015-10-08,37.74,37.88,37.11,37.85,5800
76,2015-10-09,37.55,38.0,37.55,38.0,1400
77,2015-10-13,37.55,37.55,35.01,37.0,4400
78,2015-10-14,37.0,37.2,35.9,36.0,3100
79,2015-10-15,35.25,36.95,35.02,36.15,3100
80,2015-10-16,37.9,37.9,35.5,36.0,22400
81,2015-10-19,36.67,36.67,36.01,36.01,9400
82,2015-10-20,36.485,36.515,36.07,36.2,4300
83,2015-10-21,35.82,35.82,35.26,35.26,3700
84,2015-10-22,35.0,35.0,33.84,34.0,7300
85,2015-10-23,40.05,41.24,39.41,39.91,43200
86,2015-10-26,42.95,44.5,40.7,40.85,43600
87,2015-10-27,41.08,41.08,40.67,40.78,7100
88,2015-10-28,40.15,40.15,38.91,38.91,9500
89,2015-10-29,39.09,39.09,38.43,38.43,5700
90,2015-10-30,38.4,39.17,37.34,37.34,1100
91,2015-11-02,39.49,40.46,39.43,40.46,3489
92,2015-11-03,41.52,42.01,41.52,42.0,1600
93,2015-11-04,45.81,45.81,44.58,45.1,8536
94,2015-11-05,44.99,45.88,44.4,44.91,4300
95,2015-11-06,48.4,54.16,47.7,49.35,10000
96,2015-11-09,46.51,46.51,45.41,46.31,2008
97,2015-11-10,48.01,48.19,47.86,48.19,7200
98,2015-11-11,48.19,48.32,46.28,46.28,800
99,2015-11-12,46.52,46.52,46.52,46.52,100
100,2015-11-13,46.39,46.39,43.7,44.3,9000
101,2015-11-16,42.42,44.2,41.5,41.75,15400
102,2015-11-17,46.0,46.0,42.55,44.97,39000
103,2015-11-18,44.15,44.8,43.06,43.3,18200
104,2015-11-19,43.65,43.65,42.3,42.7,20400
105,2015-11-20,43.5,44.49,42.5,44.25,20900
106,2015-11-23,42.96,47.26,42.3,43.27,16500
107,2015-11-24,42.99,43.46,42.31,43.13,12400
108,2015-11-25,42.09,42.09,42.09,42.09,300
109,2015-11-27,43.97,46.43,43.97,46.05,4200
110,2015-11-30,47.5,47.74,46.46,47.29,4500
111,2015-12-01,46.81,47.644,46.61,47.644,2777
112,2015-12-02,47.01,47.01,45.87,46.77,6198
113,2015-12-03,47.38,47.9,46.64,46.64,20624
114,2015-12-04,47.22,47.56,45.7,46.59,59700
115,2015-12-07,46.87,46.89,45.9,46.5,12600
116,2015-12-08,46.01,46.49,45.06,46.49,36412
117,2015-12-09,46.39,47.3,46.2,46.5,16000
118,2015-12-10,48.8,49.48,47.96,49.45,6800
119,2015-12-11,49.02,49.54,48.0,48.46,8400
120,2015-12-14,50.0,50.0,48.117,49.59,8171
121,2015-12-15,48.96,51.7,47.87,51.4,23000
122,2015-12-16,51.5,51.5,49.01,49.75,8800
123,2015-12-17,51.26,51.26,48.87,49.49,3200
124,2015-12-18,49.89,50.71,49.45,50.4,6100
125,2015-12-21,52.08,52.1,49.73,49.74,5900
126,2015-12-22,49.1,49.38,48.85,48.85,1990
127,2015-12-23,49.01,50.0,48.54,48.59,5600
128,2015-12-24,51.8,51.8,50.01,50.23,13264
129,2015-12-28,50.31,51.799,50.31,50.815,3678
130,2015-12-29,51.48,53.64,50.421,52.19,11897
131,2015-12-30,52.89,53.32,52.26,52.26,957
132,2015-12-31,54.8,54.9,54.58,54.5899,2393
133,2016-01-04,55.1,55.1,50.77,51.99,5484
134,2016-01-05,52.35,52.35,49.24,49.91,15583
135,2016-01-06,49.45,51.0,49.31,49.6586,9550
136,2016-01-07,46.857,48.9342,46.857,48.25,6143
137,2016-01-08,48.94,48.94,46.95,47.37,5635
138,2016-01-11,47.0,47.0,42.18,43.56,19226
139,2016-01-12,43.64,46.5,40.45,41.69,24669
140,2016-01-13,42.58,42.58,39.51,39.51,4023
141,2016-01-14,39.49,39.5,38.326,39.39,3924
142,2016-01-15,37.4,37.78,34.3,34.3,11007
143,2016-01-19,34.88,36.95,34.65,34.99,9200
144,2016-01-20,33.96,33.96,32.0,33.5,6959
145,2016-01-21,34.42,34.88,33.01,34.69,4200
146,2016-01-22,37.99,37.99,36.42,36.99,5549
147,2016-01-25,38.0499,38.0499,37.02,37.02,680
148,2016-01-27,37.42,37.95,36.49,36.51,1050
149,2016-01-28,35.94,36.8,33.51,35.5,24722
150,2016-01-29,37.87,37.87,35.11,35.11,6802
151,2016-02-01,36.0001,37.0,34.67,35.27,14180
152,2016-02-02,34.7,35.2,34.1,34.45,8563
153,2016-02-03,34.5,34.5,34.01,34.45,6357
154,2016-02-04,37.99,37.99,34.98,34.98,442
155,2016-02-05,35.94,39.0,35.94,38.8,1348
156,2016-02-08,38.5,38.5,35.97,36.4475,2100
157,2016-02-09,34.73,37.3,34.73,36.5,5864
158,2016-02-10,36.19,36.19,34.5,34.5,4400
159,2016-02-11,35.0,35.01,33.03,33.46,2128
160,2016-02-12,34.04,35.09,32.81,34.01,7279
161,2016-02-16,34.5,35.532,34.5,35.532,3782
162,2016-02-17,36.0,37.11,35.06,36.64,3550
163,2016-02-18,37.44,39.1,35.47,38.06,7567
164,2016-02-19,37.48,37.48,36.92,36.92,1200
165,2016-02-22,36.92,38.2,36.92,38.05,1061
166,2016-02-23,37.83,39.97,37.83,38.06,354
167,2016-02-24,36.01,39.8,36.01,38.76,2000
168,2016-02-25,37.92,39.8,37.47,38.6,975
169,2016-02-26,38.61,39.88,38.6,38.88,400
170,2016-02-29,40.0,41.14,39.99,41.1,1600
171,2016-03-01,43.9,43.98,43.46,43.98,2561
172,2016-03-02,47.68,47.68,43.9399,43.9399,500
173,2016-03-03,43.95,43.95,42.49,43.18,2000
174,2016-03-04,43.51,43.824,42.23,43.27,4671
175,2016-03-07,44.68,45.19,42.5,44.73,6891
176,2016-03-08,43.79,43.79,43.79,43.79,100
177,2016-03-09,43.75,44.03,42.93,42.93,1900
178,2016-03-10,43.79,45.0799,42.48,42.48,2425
179,2016-03-11,43.65,43.7,43.12,43.41,1900
180,2016-03-14,43.78,47.5499,43.78,47.31,7057
181,2016-03-15,45.33,46.66,45.25,45.5,9500
182,2016-03-16,45.57,45.57,45.57,45.57,912
