,Date,Open,High,Low,Close,Volume
0,2014-09-24,25.0,30.19,22.12,29.93,21730809
1,2014-09-25,33.15,35.88,30.52,31.39,16601794
2,2014-09-26,31.9,32.74,28.61,29.8,4640452
3,2014-09-29,28.19,29.44,27.27,27.39,2655906
4,2014-09-30,27.6,32.11,27.6,32.01,6402862
5,2014-10-01,31.5,32.19,29.5,29.62,3578079
6,2014-10-02,30.37,30.75,27.3,28.69,2457348
7,2014-10-03,30.49,31.48,29.52,30.38,3650333
8,2014-10-06,31.45,31.8,29.6,29.92,1425690
9,2014-10-07,30.12,30.48,28.5,29.35,1190299
10,2014-10-08,29.59,29.9,28.11,29.38,904733
11,2014-10-09,29.24,29.65,27.85,28.2,1038095
12,2014-10-10,29.58,31.49,28.52,29.84,2738705
13,2014-10-13,30.58,32.5,30.28,31.25,2660563
14,2014-10-14,32.81,33.15,29.45,29.6,1911684
15,2014-10-15,28.76,29.24,26.66,28.76,1860607
16,2014-10-16,27.6,30.4,27.6,29.45,936641
17,2014-10-17,30.76,30.95,28.85,30.29,818346
18,2014-10-20,30.0,30.75,29.4,29.88,866694
19,2014-10-21,30.38,30.85,29.4,29.48,1140650
20,2014-10-22,29.55,29.88,28.13,28.6,754902
21,2014-10-23,28.73,29.5,28.35,29.21,534042
22,2014-10-24,28.86,31.19,28.67,30.24,1213453
23,2014-10-27,30.26,35.17,29.4,35.08,3932731
24,2014-10-28,34.4,36.48,32.01,32.32,3748291
25,2014-10-29,33.5,34.96,31.5,34.91,2382506
26,2014-10-30,34.55,37.2,34.05,34.71,2649162
27,2014-10-31,36.04,36.15,34.7,35.28,953854
28,2014-11-03,35.54,37.5,35.03,36.58,1408668
29,2014-11-04,36.75,37.2,35.28,36.53,857572
30,2014-11-05,36.04,36.38,33.33,33.8,1579839
31,2014-11-06,34.32,34.32,32.85,33.03,665026
32,2014-11-07,33.2,33.5,31.69,32.71,740991
33,2014-11-10,32.8,35.39,32.8,34.88,1208621
34,2014-11-11,35.05,35.24,33.53,33.89,736325
35,2014-11-12,33.6,34.68,33.0,33.7,2339545
36,2014-11-13,38.4,43.3,38.38,42.92,11569772
37,2014-11-14,42.2,44.89,40.01,44.37,5298522
38,2014-11-17,43.83,45.68,43.0,43.45,2614234
39,2014-11-18,43.61,44.46,41.56,42.67,1507925
40,2014-11-19,43.31,43.6,41.76,42.41,782987
41,2014-11-20,42.16,44.35,41.98,42.64,1067419
42,2014-11-21,43.52,44.32,42.53,42.81,693812
43,2014-11-24,42.98,47.01,42.92,47.01,2394426
44,2014-11-25,44.8,46.17,42.47,42.59,3306419
45,2014-11-26,42.97,44.19,41.7,43.16,1319160
46,2014-11-28,42.96,43.8,41.08,41.32,610430
47,2014-12-01,40.93,41.94,38.96,39.04,1165681
