,Date,Open,High,Low,Close,Volume
0,2014-04-10,71.0,76.6,65.0,68.5,98476
1,2014-04-11,64.9,70.0,61.0,68.5,15044
2,2014-04-14,70.9,80.6,67.0,70.5,3683
3,2014-04-15,68.2,69.0,65.5,65.6,3531
4,2014-04-16,77.3,77.3,67.0,68.3,4659
5,2014-04-17,68.5,68.5,62.8,65.5,2490
6,2014-04-21,66.3,73.3,64.2,69.9,5550
7,2014-04-22,67.5,73.89,64.02,71.0,2752
8,2014-04-23,71.0,74.8,68.0,69.0,13272
9,2014-04-24,69.1,70.8,66.4,67.4,6122
10,2014-04-25,67.0,71.4,62.8,66.5,3707
11,2014-04-28,66.5,68.4,64.875,67.1,1434
12,2014-04-29,66.8,69.5,66.2,68.1,863
13,2014-04-30,67.5,70.89,67.0,69.4,3710
14,2014-05-01,70.0,70.0,68.2,69.1,1871
15,2014-05-02,70.0,70.4,66.7,69.4,4734
16,2014-05-05,67.5,68.9,67.5,67.5,643
17,2014-05-06,68.1,70.95,68.0,68.4,1431
18,2014-05-07,67.1,70.499,67.1,67.4,2714
19,2014-05-08,67.1,67.5,65.0,66.8,2154
20,2014-05-09,65.1,65.3,64.1,65.0,1457
21,2014-05-12,64.5,65.0,62.66,64.1,2464
22,2014-05-13,62.7,71.0,62.7,64.9,3325
23,2014-05-14,65.1,68.6,63.6,68.6,617
24,2014-05-15,65.9,65.9,64.6,64.6,709
25,2014-05-16,64.6,66.7,64.6,64.6,183
26,2014-05-19,64.565,66.19,64.565,64.9,263
27,2014-05-20,64.5,65.0,62.6,62.7,639
28,2014-05-21,62.8,65.3,62.6,63.5,2480
29,2014-05-22,62.6,63.899,60.4,62.5,3976
30,2014-05-23,63.43,63.43,50.5,57.1,3929
31,2014-05-27,55.3,69.0,55.3,57.5,3676
32,2014-05-28,58.9,61.1,54.1,57.3,975
33,2014-05-29,56.6,59.0,56.0,56.0,1306
34,2014-05-30,57.2,57.5,54.7,57.1,1920
35,2014-06-02,59.1,59.1,54.5,56.7,2943
36,2014-06-03,57.3,57.5,55.7,56.9,3686
37,2014-06-04,55.5,57.8,54.4,57.8,2133
38,2014-06-05,56.4,56.6,53.1,55.92,1486
39,2014-06-06,54.9,56.0,53.7,54.3,1648
40,2014-06-09,56.8,64.75,54.0,62.55,2627
41,2014-06-10,70.0,70.0,63.5,66.0,2140
42,2014-06-11,69.2,69.2,66.0,66.1,1598
43,2014-06-12,67.4,69.2,66.001,68.9,2230
44,2014-06-13,69.4,69.4,66.91,69.3,1459
45,2014-06-16,69.2,70.0,67.52,68.6,2441
46,2014-06-17,69.8,71.0,67.9,70.35,1891
47,2014-06-18,71.0,74.5,71.0,71.4,4278
48,2014-06-19,74.8,74.8,72.0,72.7,4295
49,2014-06-20,74.7,74.7,58.1,58.1,11435
50,2014-06-23,67.899,67.899,58.4,63.2,8928
51,2014-06-24,60.0,63.2,55.0,57.3,6217
52,2014-06-25,55.2,59.96,55.2,56.8,5057
53,2014-06-26,59.9,61.0,58.0,58.6,2216
54,2014-06-27,58.6,60.0,57.9,57.9,1294
55,2014-06-30,58.6,58.75,54.6,58.0,4613
56,2014-07-01,58.0,58.001,55.0,56.2,4458
57,2014-07-02,56.2,56.2,52.5,53.7,3350
58,2014-07-03,54.0,55.6,50.0,52.5,5355
59,2014-07-07,51.4,53.699,51.4,52.3,1174
60,2014-07-08,52.2,53.0,52.2,53.0,1284
61,2014-07-09,55.5,55.6,53.1,55.2,1558
62,2014-07-10,55.4,56.0,54.7,56.0,749
63,2014-07-11,55.8,57.3,55.5,56.7,3299
64,2014-07-14,54.1,55.4,51.1,54.1,1388
65,2014-07-15,55.6,55.8,52.0,52.4,474
66,2014-07-16,51.6,53.15,51.0,52.6,544
67,2014-07-17,54.7,54.7,49.8,49.8,3745
68,2014-07-18,50.1,51.5,49.6,50.1,615
69,2014-07-21,51.3,51.4,50.0,50.2,1516
70,2014-07-22,51.3,52.2,49.1,51.2,1766
71,2014-07-23,51.2,51.2,50.6,51.1,261
72,2014-07-24,52.4,52.65,50.3,50.7,869
73,2014-07-25,50.4,50.45,47.8,48.0,1107
74,2014-07-28,47.5,47.8,41.045,42.8,3173
75,2014-07-29,48.6,49.978,42.6,44.1,1797
76,2014-07-30,42.9,43.3,40.2,41.6,2873
77,2014-07-31,41.8,42.4,40.3,40.3,2759
78,2014-08-01,40.4,42.5,40.1,40.4,1068
79,2014-08-04,40.0,40.2,38.0,39.4,2158
80,2014-08-05,37.8,39.85,33.5,37.2,1781
81,2014-08-06,42.6,42.6,37.2,37.5,731
82,2014-08-07,36.6,37.9,36.5,37.7,963
83,2014-08-08,38.9,39.07,35.9,35.9,896
84,2014-08-11,38.4,38.4,34.5,34.5,1844
85,2014-08-12,34.5,36.3,34.0,34.6,1936
86,2014-08-13,37.5,47.4,37.5,45.2,6015
87,2014-08-14,49.5,73.0,46.4,50.7,99176
88,2014-08-15,50.1,56.1,49.0,50.44,14832
89,2014-08-18,51.2,53.2,49.5,51.5,4242
90,2014-08-19,52.5,52.5,48.001,48.4,8639
91,2014-08-20,49.9,49.9,44.4,44.8,5104
92,2014-08-21,45.5,48.0,45.45,46.7,1964
93,2014-08-22,46.7,48.9,44.0,44.9,4233
94,2014-08-25,45.2,45.7,42.5,43.0,2069
95,2014-08-26,43.2,43.299,39.1,40.7,4274
96,2014-08-27,40.8,41.0,36.601,40.7,4140
97,2014-08-28,40.5,44.9,39.4,42.9,2007
98,2014-08-29,43.7,46.399,40.1,43.4,3409
99,2014-09-02,41.001,43.674,41.001,42.8,1553
100,2014-09-03,42.1,43.9,39.8,43.4,2593
101,2014-09-04,43.699,43.699,42.5,43.084,1443
102,2014-09-05,43.0,44.7,41.0,41.5,2202
103,2014-09-08,42.1,42.1,40.2,41.4,982
104,2014-09-09,42.2,42.499,39.5,40.6,1351
105,2014-09-10,40.3,41.0,39.81,40.5,1891
106,2014-09-11,40.1,40.1,38.8,39.6,2215
107,2014-09-12,38.0,41.0,38.0,41.0,1990
108,2014-09-15,41.55,41.55,38.301,39.5,2861
109,2014-09-16,39.1,39.5,37.9,39.2,1051
110,2014-09-17,39.6,42.0,39.0,39.9,886
111,2014-09-18,42.399,42.399,38.8,38.8,2321
112,2014-09-19,39.1,39.5,37.61,39.1,2529
113,2014-09-22,40.0,40.0,36.1,36.1,5595
114,2014-09-23,37.2,39.7,37.2,37.7,2010
115,2014-09-24,38.3,39.3,35.0,35.0,6991
116,2014-09-25,36.0,38.0,35.4,35.9,3492
