,Date,Open,High,Low,Close,Volume
0,2005-02-25,17.506,17.822,17.477,17.822,704150
1,2005-02-28,17.771,17.865,17.708,17.708,1120871
2,2005-03-01,17.735,17.911,17.698,17.763,779824
3,2005-03-02,17.763,17.874,17.661,17.865,729601
4,2005-03-03,17.874,18.21,17.779,18.184,869752
5,2005-03-04,18.291,18.344,18.008,18.061,560265
6,2005-03-07,18.017,18.132,17.991,18.095,489568
7,2005-03-08,18.086,18.114,17.839,17.901,525539
8,2005-03-09,17.771,17.797,17.379,17.458,603927
9,2005-03-10,17.523,17.822,17.523,17.805,605173
10,2005-03-11,17.805,17.974,17.67,17.67,428143
11,2005-03-14,17.618,18.159,17.618,18.086,917263
12,2005-03-15,18.061,18.114,17.576,17.576,846902
13,2005-03-16,17.585,17.652,17.362,17.37,647706
14,2005-03-17,17.627,17.727,17.523,17.689,492736
15,2005-03-18,17.635,17.635,17.117,17.221,978682
16,2005-03-21,17.212,17.293,17.08,17.132,522599
17,2005-03-22,17.167,17.23,17.009,17.045,487192
18,2005-03-23,17.054,17.256,16.858,16.886,594315
19,2005-03-24,16.911,17.167,16.85,16.85,678359
20,2005-03-28,16.921,17.256,16.902,17.099,521014
21,2005-03-29,17.09,17.424,16.929,16.982,438779
22,2005-03-30,17.099,17.618,17.073,17.506,713087
23,2005-03-31,17.576,17.627,17.441,17.576,1130032
24,2005-04-01,17.592,17.83,17.238,17.355,914208
25,2005-04-04,17.37,17.67,17.23,17.618,680396
26,2005-04-05,17.679,17.937,17.679,17.856,754937
27,2005-04-06,17.805,18.061,17.805,17.937,769756
28,2005-04-07,17.937,18.168,17.911,18.159,635940
29,2005-04-08,18.14,18.396,18.14,18.202,601665
30,2005-04-11,18.238,18.238,17.919,17.991,720098
31,2005-04-12,17.911,18.132,17.83,18.105,665350
32,2005-04-13,18.122,18.549,17.999,18.45,1611457
33,2005-04-14,18.52,18.539,18.353,18.406,1230593
34,2005-04-15,18.37,18.52,18.193,18.248,805727
35,2005-04-18,18.193,18.317,17.797,17.822,1043047
36,2005-04-19,17.937,17.974,17.788,17.856,988186
37,2005-04-20,17.856,17.928,17.635,17.644,828689
38,2005-04-21,17.779,17.874,17.735,17.779,484590
39,2005-04-22,17.771,17.928,17.627,17.797,534249
40,2005-04-25,17.805,17.919,17.698,17.901,563886
41,2005-04-26,17.901,18.14,17.779,17.919,439119
42,2005-04-27,17.919,18.036,17.865,17.991,559928
43,2005-04-28,17.937,17.991,17.689,17.839,501674
44,2005-04-29,17.839,17.919,17.487,17.609,982417
45,2005-05-02,17.661,17.679,17.347,17.387,1000061
46,2005-05-03,17.477,17.805,17.449,17.779,949271
47,2005-05-04,18.423,19.052,18.256,18.935,2603373
48,2005-05-05,19.211,19.475,19.112,19.22,1437936
49,2005-05-06,19.22,19.519,19.061,19.405,911039
50,2005-05-09,19.316,19.342,19.017,19.165,1030154
51,2005-05-10,19.174,19.325,19.061,19.273,1022572
52,2005-05-11,19.316,19.628,19.22,19.6,689898
53,2005-05-12,19.6,19.678,19.415,19.503,604269
54,2005-05-13,19.475,19.563,19.325,19.432,580287
55,2005-05-16,19.423,19.733,19.377,19.705,533798
56,2005-05-17,19.653,19.724,19.494,19.669,435611
57,2005-05-18,19.705,19.831,19.653,19.831,486177
58,2005-05-19,19.696,19.724,19.475,19.6,574857
59,2005-05-20,19.6,20.032,19.6,20.032,729263
60,2005-05-23,19.937,20.024,19.899,19.997,439344
61,2005-05-24,20.059,20.085,19.918,19.961,687298
62,2005-05-25,19.855,19.937,19.75,19.831,623951
63,2005-05-26,19.855,20.165,19.831,20.085,670217
64,2005-05-27,20.032,20.217,20.005,20.024,527690
65,2005-05-31,19.855,20.032,19.855,19.97,508685
66,2005-06-01,19.937,20.173,19.831,19.979,530971
67,2005-06-02,19.882,20.032,19.831,19.937,370230
68,2005-06-03,20.059,20.243,20.032,20.149,580401
69,2005-06-06,20.271,20.353,20.032,20.353,481539
70,2005-06-07,20.447,20.492,20.095,20.158,646913
71,2005-06-08,20.289,20.353,19.997,20.192,892376
72,2005-06-09,20.192,20.5,20.149,20.492,898935
73,2005-06-10,20.5,20.51,20.253,20.465,816021
74,2005-06-13,20.465,20.731,20.465,20.632,834574
75,2005-06-14,20.598,20.881,20.598,20.801,1088293
76,2005-06-15,21.269,21.571,20.863,21.04,3508417
77,2005-06-16,20.961,21.128,20.945,21.048,1272108
78,2005-06-17,20.995,21.12,20.819,20.845,1176525
79,2005-06-20,20.767,20.954,20.696,20.89,440136
80,2005-06-21,20.89,21.093,20.75,20.881,1111822
81,2005-06-22,20.995,21.085,20.801,20.961,856518
82,2005-06-23,20.995,21.022,20.767,20.827,1118720
83,2005-06-24,20.881,20.89,20.623,20.623,758107
84,2005-06-27,20.632,20.731,20.557,20.687,733333
85,2005-06-28,20.801,20.819,20.5,20.579,1455357
86,2005-06-29,20.651,21.253,20.623,21.156,1730796
87,2005-06-30,21.217,21.438,21.174,21.279,1257289
88,2005-07-01,21.368,21.402,21.199,21.333,979814
89,2005-07-05,21.333,21.333,21.093,21.199,1428097
90,2005-07-06,21.137,21.191,20.961,21.12,1263851
91,2005-07-07,21.085,21.296,20.986,21.12,1093383
92,2005-07-08,21.12,21.412,21.102,21.384,938074
93,2005-07-11,21.438,21.516,21.287,21.341,694872
94,2005-07-12,21.35,21.712,21.287,21.598,654152
95,2005-07-13,21.588,21.873,21.525,21.873,974725
96,2005-07-14,21.836,21.873,21.579,21.696,1044968
97,2005-07-15,21.738,21.977,21.704,21.827,742722
98,2005-07-18,21.889,21.994,21.79,21.881,713652
99,2005-07-19,21.881,21.968,21.66,21.959,768400
100,2005-07-20,21.959,22.377,21.959,22.305,906176
101,2005-07-21,22.341,22.384,22.057,22.187,1615980
102,2005-07-22,22.225,22.251,22.021,22.242,432445
103,2005-07-25,22.13,22.172,21.79,21.864,749168
104,2005-07-26,21.864,21.951,21.669,21.942,1496079
105,2005-07-27,22.039,22.039,21.899,22.021,777564
106,2005-07-28,22.021,22.021,21.809,21.889,434593
107,2005-07-29,21.889,21.924,21.492,21.562,885702
108,2005-08-01,21.562,21.836,21.499,21.678,642275
109,2005-08-02,21.616,21.669,21.394,21.466,675417
110,2005-08-03,21.412,21.562,20.687,21.333,2070593
111,2005-08-04,21.287,21.544,21.174,21.368,1235344
112,2005-08-05,21.429,21.438,21.183,21.402,1312264
113,2005-08-08,21.506,21.535,21.253,21.305,765347
114,2005-08-09,21.368,21.412,21.102,21.12,797357
115,2005-08-10,21.128,21.199,20.759,21.013,1952840
116,2005-08-11,21.253,21.368,21.137,21.333,916469
117,2005-08-12,21.333,21.525,21.174,21.42,705053
118,2005-08-15,21.42,21.447,21.234,21.402,581079
119,2005-08-16,21.429,21.499,21.234,21.429,759010
120,2005-08-17,21.544,21.687,21.323,21.553,817945
121,2005-08-18,21.571,21.747,21.438,21.616,488325
122,2005-08-19,21.579,21.8,21.429,21.763,480856
123,2005-08-22,21.738,22.179,21.651,22.084,1218830
124,2005-08-23,22.153,22.187,21.899,21.933,899049
125,2005-08-24,21.873,22.112,21.729,21.915,642389
126,2005-08-25,21.915,21.977,21.864,21.933,408463
127,2005-08-26,21.942,22.145,21.889,21.924,598386
128,2005-08-29,21.864,21.873,21.623,21.721,1574241
129,2005-08-30,21.721,21.959,21.616,21.959,502010
130,2005-08-31,21.933,22.359,21.738,22.305,1036941
131,2005-09-01,22.341,22.825,22.315,22.41,860138
132,2005-09-02,22.462,22.471,22.145,22.268,621121
133,2005-09-06,22.305,22.57,22.216,22.462,619425
134,2005-09-07,22.341,22.518,22.206,22.426,1710997
135,2005-09-08,22.49,22.5,22.047,22.084,713878
136,2005-09-09,22.084,22.187,22.021,22.172,827787
137,2005-09-12,22.242,22.341,22.13,22.172,669539
138,2005-09-13,22.179,22.225,21.994,22.021,1096889
139,2005-09-14,21.968,22.039,21.827,21.889,628477
140,2005-09-15,21.951,22.242,21.836,22.197,518526
141,2005-09-16,22.235,22.587,22.235,22.49,791926
142,2005-09-19,22.401,22.49,22.259,22.359,394892
143,2005-09-20,22.454,22.527,22.242,22.418,816928
144,2005-09-21,22.305,22.454,22.084,22.153,1159671
145,2005-09-22,21.994,22.162,21.616,21.827,841586
146,2005-09-23,21.827,22.103,21.729,22.029,681190
147,2005-09-26,22.206,22.614,22.121,22.41,1296540
148,2005-09-27,22.471,23.152,22.462,22.978,1497435
149,2005-09-28,23.091,23.578,23.066,23.223,1506823
150,2005-09-29,23.126,23.231,22.905,23.231,858665
151,2005-09-30,23.198,23.542,23.117,23.463,1210571
152,2005-10-03,23.525,23.903,23.463,23.826,1092592
153,2005-10-04,23.551,23.56,22.259,23.083,3022697
154,2005-10-05,23.083,23.216,22.941,22.941,1635889
155,2005-10-06,22.949,23.011,22.783,22.949,1476961
156,2005-10-07,23.038,23.108,22.693,22.985,729263
157,2005-10-10,22.985,22.985,22.738,22.933,630625
158,2005-10-11,22.871,23.047,22.648,22.933,886833
159,2005-10-12,22.887,23.083,22.738,22.766,567960
160,2005-10-13,22.49,22.527,22.179,22.206,1363279
161,2005-10-14,22.138,22.341,21.855,22.021,1588041
162,2005-10-17,21.959,22.359,21.924,22.206,1118609
163,2005-10-18,22.216,22.462,22.206,22.332,631191
