,Date,Open,High,Low,Close,Volume
0,2016-08-18,23.843,23.91,23.785,23.852,903082
1,2016-08-19,23.804,23.852,23.66,23.767,217146
2,2016-08-22,23.843,23.9,23.814,23.814,302141
3,2016-08-23,23.862,23.862,23.814,23.833,246585
4,2016-08-24,23.843,23.862,23.823,23.843,274670
5,2016-08-25,23.852,23.89,23.824,23.871,264424
6,2016-08-26,23.881,23.891,23.833,23.891,216970
7,2016-08-29,23.9,23.977,23.892,23.957,667069
8,2016-08-30,23.967,23.997,23.929,23.957,235014
9,2016-08-31,23.957,23.987,23.89,23.967,674874
10,2016-09-01,23.939,23.939,23.89,23.929,126630
11,2016-09-02,23.957,23.957,23.881,23.91,191383
12,2016-09-06,23.9,23.947,23.881,23.91,194027
13,2016-09-07,23.91,23.91,23.843,23.91,139076
14,2016-09-08,23.9,23.9,23.862,23.871,304403
15,2016-09-09,23.833,23.843,23.67,23.68,378427
16,2016-09-12,23.737,23.737,23.488,23.565,230430
17,2016-09-13,23.632,23.7,23.575,23.603,271426
18,2016-09-14,23.69,23.766,23.632,23.757,181270
19,2016-09-15,23.785,23.814,23.642,23.814,229788
20,2016-09-16,23.89,23.967,23.775,23.957,227733
21,2016-09-19,23.957,23.977,23.881,23.92,214885
22,2016-09-20,23.977,23.977,23.91,23.92,285449
23,2016-09-21,23.92,23.967,23.9,23.967,164491
24,2016-09-22,23.977,23.997,23.947,23.957,183482
25,2016-09-23,23.957,23.967,23.939,23.947,102410
26,2016-09-26,23.957,23.987,23.92,23.987,173544
27,2016-09-27,23.987,23.997,23.929,23.957,157320
28,2016-09-28,23.967,23.977,23.929,23.929,126473
29,2016-09-29,23.957,23.957,23.871,23.871,84157
30,2016-09-30,23.987,23.997,23.9,23.9,118944
31,2016-10-03,23.957,23.967,23.92,23.929,99327
32,2016-10-04,23.967,23.967,23.785,23.795,93042
33,2016-10-05,23.862,23.881,23.785,23.785,43765
34,2016-10-06,23.833,23.852,23.718,23.795,135020
35,2016-10-07,23.804,23.852,23.737,23.843,64410
36,2016-10-10,23.852,23.852,23.718,23.737,72068
37,2016-10-11,23.718,23.748,23.43,23.478,272244
38,2016-10-12,23.498,23.66,23.402,23.607,239034
39,2016-10-13,23.575,23.709,23.478,23.709,240225
40,2016-10-14,23.709,23.785,23.66,23.67,117417
41,2016-10-17,23.718,23.747,23.647,23.68,140706
42,2016-10-18,23.747,23.767,23.67,23.767,129244
43,2016-10-19,23.767,23.767,23.69,23.709,88945
44,2016-10-20,23.757,23.804,23.718,23.718,69127
45,2016-10-21,23.814,23.824,23.747,23.747,50653
46,2016-10-24,23.871,23.871,23.68,23.709,47363
47,2016-10-25,23.814,23.814,23.68,23.68,55912
48,2016-10-26,23.727,23.804,23.718,23.795,97365
49,2016-10-27,23.767,23.767,23.613,23.699,106400
50,2016-10-28,23.642,23.775,23.632,23.642,41785
51,2016-10-31,23.747,23.747,23.478,23.488,83710
52,2016-11-01,23.555,23.555,23.402,23.402,56946
53,2016-11-02,23.565,23.584,23.43,23.45,54786
54,2016-11-03,23.603,23.603,23.43,23.43,47539
55,2016-11-04,23.459,23.535,23.44,23.478,50218
56,2016-11-07,23.67,23.67,23.45,23.507,46275
57,2016-11-08,23.593,23.593,23.392,23.459,53286
58,2016-11-09,23.297,23.478,23.095,23.177,115225
59,2016-11-10,23.363,23.363,21.869,21.936,206978
60,2016-11-11,21.993,22.204,21.083,21.466,156678
61,2016-11-14,21.092,21.13,19.809,20.517,213065
