,Date,Open,High,Low,Close,Volume
0,2005-02-25,26.14,26.35,25.66,26.3,321702
1,2005-02-28,26.37,26.37,25.15,25.91,433353
2,2005-03-01,25.98,26.27,25.46,26.0,234216
3,2005-03-02,25.99,26.71,25.64,25.99,334255
4,2005-03-03,26.22,26.29,25.45,25.5,265135
5,2005-03-04,25.76,25.8,25.27,25.39,266704
6,2005-03-07,25.23,25.65,25.09,25.35,147790
7,2005-03-08,25.15,25.26,24.65,24.89,274725
8,2005-03-09,24.85,25.34,24.69,24.7,276414
9,2005-03-10,24.96,24.96,24.4,24.68,175153
10,2005-03-11,24.7,24.93,24.3,24.59,395646
11,2005-03-14,24.58,24.73,24.35,24.56,167598
12,2005-03-15,24.75,25.2,24.55,24.7,236659
13,2005-03-16,24.66,25.65,24.66,25.0,398286
14,2005-03-17,25.09,26.65,24.99,26.47,551907
15,2005-03-18,26.35,27.12,26.35,26.62,675367
16,2005-03-21,26.71,26.71,25.92,26.14,204782
17,2005-03-22,26.15,26.65,26.0,26.05,208629
18,2005-03-23,26.0,26.2,25.63,26.11,376737
19,2005-03-24,26.38,27.5,26.24,27.0,537636
20,2005-03-28,27.0,27.64,26.38,26.8,478695
21,2005-03-29,26.79,28.74,26.63,28.34,1079607
22,2005-03-30,28.34,29.29,27.97,28.14,612535
23,2005-03-31,28.33,28.57,28.14,28.55,551951
24,2005-04-01,28.75,28.75,27.84,28.3,354835
25,2005-04-04,28.38,28.5,27.78,28.5,255862
26,2005-04-05,28.55,29.0,28.55,28.95,447005
27,2005-04-06,29.25,29.48,28.66,29.02,378473
28,2005-04-07,28.78,29.31,28.59,28.73,276164
29,2005-04-08,28.56,28.77,28.07,28.07,434055
30,2005-04-11,28.18,28.76,27.57,28.5,315206
31,2005-04-12,28.43,28.51,27.91,28.5,356582
32,2005-04-13,28.6,28.72,28.1,28.45,417998
33,2005-04-14,28.4,28.86,27.96,28.6,312100
34,2005-04-15,28.5,28.71,28.07,28.15,429864
35,2005-04-18,28.15,28.65,27.45,28.2,384635
36,2005-04-19,28.46,28.75,28.23,28.43,227622
37,2005-04-20,28.69,28.7,27.59,27.8,349034
38,2005-04-21,28.1,28.4,28.1,28.2,431846
39,2005-04-22,28.21,28.56,27.97,28.21,279318
40,2005-04-25,28.24,28.89,28.06,28.57,241821
41,2005-04-26,28.61,29.31,27.82,27.89,324946
42,2005-04-27,26.94,30.43,26.18,30.15,1616765
43,2005-04-28,30.2,30.27,29.04,29.29,456102
44,2005-04-29,29.53,29.56,29.2,29.56,414859
45,2005-05-02,29.5,29.55,28.76,29.25,463785
46,2005-05-03,29.0,29.52,28.64,28.79,249974
47,2005-05-04,29.08,29.38,28.6,29.19,235130
48,2005-05-05,29.25,29.3,28.21,28.91,386468
49,2005-05-06,29.1,29.45,28.8,29.32,206453
50,2005-05-09,29.24,29.9,29.05,29.88,324514
51,2005-05-10,29.77,29.99,29.35,29.53,267140
52,2005-05-11,29.6,29.73,28.79,29.45,154288
53,2005-05-12,29.5,29.5,28.62,29.13,274991
54,2005-05-13,29.18,29.35,28.78,29.05,260802
55,2005-05-16,29.0,29.75,28.87,29.74,591489
56,2005-05-17,29.74,29.74,29.11,29.69,284001
57,2005-05-18,29.89,30.75,29.74,30.49,478850
58,2005-05-19,30.45,30.58,30.05,30.25,166992
59,2005-05-20,30.24,30.24,29.91,30.0,176184
60,2005-05-23,30.09,30.76,29.86,30.31,219560
61,2005-05-24,30.48,30.5,30.08,30.36,165441
62,2005-05-25,30.5,30.5,29.13,29.4,248475
63,2005-05-26,29.5,29.54,29.07,29.5,277486
64,2005-05-27,29.26,29.33,26.37,28.15,1816284
65,2005-05-31,28.09,28.55,27.85,28.04,371619
66,2005-06-01,28.02,28.88,28.02,28.5,329051
67,2005-06-02,28.54,28.64,28.21,28.41,226045
68,2005-06-03,28.37,28.38,27.89,27.99,233379
69,2005-06-06,28.12,28.16,26.93,27.0,373645
70,2005-06-07,27.02,27.09,26.18,26.39,461479
71,2005-06-08,26.25,26.58,25.08,25.28,712518
72,2005-06-09,25.19,26.12,25.19,25.82,423957
73,2005-06-10,25.77,25.85,25.35,25.43,177535
74,2005-06-13,25.39,25.67,25.38,25.54,156803
75,2005-06-14,25.6,25.6,25.2,25.55,163186
76,2005-06-15,25.5,25.95,24.69,25.09,492919
77,2005-06-16,25.1,25.62,25.01,25.33,216726
78,2005-06-17,25.47,25.61,25.25,25.45,241052
79,2005-06-20,25.45,25.63,24.81,24.97,235334
80,2005-06-21,25.0,25.69,24.98,25.55,376494
81,2005-06-22,25.75,27.72,25.69,27.09,537423
82,2005-06-23,27.23,27.83,27.11,27.68,635968
83,2005-06-24,27.8,28.5,27.64,28.46,777166
84,2005-06-27,28.47,28.67,28.05,28.48,355800
85,2005-06-28,28.6,29.23,28.52,29.04,327252
86,2005-06-29,29.06,29.27,28.7,29.16,224524
87,2005-06-30,29.24,29.4,28.93,29.07,241105
88,2005-07-01,29.16,29.35,28.53,28.88,239350
89,2005-07-05,28.82,29.3,28.5,29.28,256104
90,2005-07-06,29.28,29.34,28.69,28.94,266544
91,2005-07-07,28.63,29.14,28.38,28.86,262267
92,2005-07-08,28.89,29.0,28.63,28.75,231373
93,2005-07-11,28.72,28.87,28.55,28.7,239125
94,2005-07-12,28.67,28.67,28.16,28.57,231395
95,2005-07-13,28.64,28.82,27.69,27.96,402085
96,2005-07-14,28.05,28.23,27.49,27.74,138011
97,2005-07-15,27.5,28.09,27.38,27.95,147194
98,2005-07-18,27.75,28.37,27.7,28.18,318561
99,2005-07-19,28.27,28.52,28.14,28.25,330831
100,2005-07-20,28.27,28.3,27.66,28.2,326049
101,2005-07-21,28.21,28.22,27.14,27.38,222775
102,2005-07-22,27.47,27.6,26.55,27.2,243577
103,2005-07-25,27.19,27.5,26.73,26.96,134566
104,2005-07-26,26.89,27.21,26.49,26.7,203071
105,2005-07-27,26.5,31.2,25.64,28.65,1363374
106,2005-07-28,28.7,28.9,28.21,28.87,595173
107,2005-07-29,28.94,29.52,28.78,29.41,213163
108,2005-08-01,29.47,29.81,28.75,29.07,182675
109,2005-08-02,29.1,29.45,28.55,29.45,192342
110,2005-08-03,29.54,30.3,29.29,30.24,561941
111,2005-08-04,30.1,30.1,29.23,29.52,207748
112,2005-08-05,29.7,29.7,29.12,29.26,206675
113,2005-08-08,29.22,29.69,28.88,29.24,250699
114,2005-08-09,29.23,29.5,28.7,29.16,357682
115,2005-08-10,29.37,29.5,28.75,29.04,334962
116,2005-08-11,28.99,30.0,28.76,29.96,279527
117,2005-08-12,29.81,30.08,29.25,30.0,331755
118,2005-08-15,29.94,30.29,29.57,30.08,303905
119,2005-08-16,29.98,30.0,29.61,29.74,162380
120,2005-08-17,29.6,29.78,28.87,29.36,292042
121,2005-08-18,29.42,29.42,28.88,29.09,241937
122,2005-08-19,28.93,29.2,28.93,29.01,178594
123,2005-08-22,29.06,29.16,28.86,29.13,164680
124,2005-08-23,29.25,29.31,28.27,28.4,269571
125,2005-08-24,28.38,28.84,28.06,28.38,223318
126,2005-08-25,28.43,28.47,27.63,27.92,441459
127,2005-08-26,27.94,28.19,27.68,28.1,333755
128,2005-08-29,28.0,28.95,27.83,28.75,270477
129,2005-08-30,28.71,28.79,28.13,28.42,182784
130,2005-08-31,28.42,28.42,27.79,28.02,447139
131,2005-09-01,28.02,28.45,27.95,28.29,232267
132,2005-09-02,28.3,29.0,28.3,28.52,112570
133,2005-09-06,28.49,29.0,28.49,28.94,242658
134,2005-09-07,28.83,29.35,28.83,29.33,204001
135,2005-09-08,29.05,29.73,29.05,29.65,278071
136,2005-09-09,29.75,30.2,29.63,29.72,251044
137,2005-09-12,29.66,30.8,29.28,30.41,240505
138,2005-09-13,30.45,30.93,30.28,30.7,340508
139,2005-09-14,30.76,31.42,30.64,31.01,587884
140,2005-09-15,31.0,31.49,30.85,31.44,291810
141,2005-09-16,31.5,31.87,31.25,31.87,398597
142,2005-09-19,31.9,31.97,31.35,31.47,397152
143,2005-09-20,31.58,31.95,30.74,31.16,197500
144,2005-09-21,31.22,31.22,29.56,30.11,394383
145,2005-09-22,30.24,30.27,29.71,30.11,162447
146,2005-09-23,30.22,30.7,29.5,30.63,114001
147,2005-09-26,30.63,30.83,30.26,30.58,180658
148,2005-09-27,30.66,30.66,29.63,30.01,238156
149,2005-09-28,29.01,29.9,28.3,29.44,2345193
150,2005-09-29,29.42,29.55,29.07,29.27,1558964
151,2005-09-30,29.37,29.79,29.17,29.59,865906
152,2005-10-03,29.4,29.91,29.09,29.61,528017
153,2005-10-04,29.65,30.17,29.36,29.62,536435
154,2005-10-05,29.77,29.97,29.34,29.55,409645
155,2005-10-06,29.75,29.96,29.17,29.41,316934
156,2005-10-07,29.51,29.79,29.06,29.63,223220
157,2005-10-10,29.54,29.88,29.3,29.38,271901
158,2005-10-11,29.56,29.97,29.16,29.24,372396
159,2005-10-12,29.15,29.34,28.7,29.12,305850
160,2005-10-13,29.27,29.28,28.68,28.94,323974
161,2005-10-14,29.17,29.25,28.89,29.11,220207
162,2005-10-17,29.04,29.22,28.66,29.06,296237
163,2005-10-18,29.02,29.02,28.19,28.2,507226
164,2005-10-19,28.13,28.88,28.0,28.77,573795
165,2005-10-20,28.79,29.14,28.14,28.31,247467
166,2005-10-21,28.31,28.99,28.31,28.52,259398
167,2005-10-24,28.61,29.28,28.54,29.28,321004
168,2005-10-25,29.17,29.4,29.02,29.24,275132
169,2005-10-26,29.0,29.0,26.21,27.21,1415963
170,2005-10-27,27.24,27.24,25.46,26.08,836090
171,2005-10-28,26.21,27.88,26.21,27.35,516833
172,2005-10-31,27.43,28.61,27.37,28.1,455653
173,2005-11-01,28.17,28.43,27.75,28.25,416643
174,2005-11-02,28.21,28.58,28.0,28.55,258550
175,2005-11-03,28.76,29.06,28.64,28.79,481636
176,2005-11-04,28.98,28.98,28.23,28.44,185636
177,2005-11-07,28.54,28.81,28.29,28.54,142743
178,2005-11-08,28.56,28.98,28.17,28.66,131243
179,2005-11-09,28.79,29.0,27.92,28.54,156908
180,2005-11-10,28.7,29.09,28.17,28.86,238799
181,2005-11-11,28.84,29.36,28.79,29.22,149203
182,2005-11-14,29.31,29.58,28.16,28.46,241919
183,2005-11-15,28.65,28.65,28.26,28.34,155384
184,2005-11-16,28.38,28.38,27.62,27.87,153412
185,2005-11-17,27.97,28.4,27.79,28.4,178435
186,2005-11-18,28.63,29.03,28.29,28.88,169778
187,2005-11-21,29.0,29.16,28.61,28.73,235837
188,2005-11-22,28.68,28.76,27.93,28.23,246013
189,2005-11-23,28.19,28.24,27.68,27.91,251059
190,2005-11-25,28.0,28.12,27.71,27.84,111806
191,2005-11-28,28.0,28.09,26.89,27.13,313421
192,2005-11-29,27.24,27.38,26.5,27.22,341869
193,2005-11-30,27.23,27.51,26.85,27.02,341877
194,2005-12-01,27.17,27.45,26.95,27.08,334694
195,2005-12-02,27.07,27.2,26.75,26.92,230242
196,2005-12-05,26.92,26.94,25.55,26.16,1139366
197,2005-12-06,26.23,27.1,25.97,26.91,705320
198,2005-12-07,26.9,27.12,26.77,27.01,714784
199,2005-12-08,27.02,27.32,26.82,27.2,282512
200,2005-12-09,27.24,27.52,26.98,27.15,134847
201,2005-12-12,26.96,27.59,26.96,27.23,291082
202,2005-12-13,27.21,27.27,26.69,26.96,207000
203,2005-12-14,26.97,27.13,26.0,26.21,270135
204,2005-12-15,26.2,26.48,24.87,25.31,1348865
205,2005-12-16,25.31,26.14,25.11,26.0,752192
206,2005-12-19,25.97,26.01,25.64,25.64,328748
