,Date,Open,High,Low,Close,Volume
0,2008-07-01,8.5,8.5,8.5,8.5,0
1,2008-07-02,11.0,11.0,9.8,9.83,9102051
2,2008-07-03,9.99,10.25,9.75,9.83,845599
3,2008-07-07,10.1,10.48,10.0,10.23,631073
4,2008-07-08,10.26,13.25,10.26,11.1,1782611
5,2008-07-09,11.2,12.28,10.58,11.2,545632
6,2008-07-10,11.3,12.25,11.0,11.73,272375
7,2008-07-11,11.74,13.23,11.32,11.69,874357
8,2008-07-14,12.12,12.37,11.0,11.46,255865
9,2008-07-15,11.16,11.68,10.8,11.13,359240
10,2008-07-16,11.02,11.5,10.0,11.01,630723
11,2008-07-17,11.0,11.64,10.55,11.11,157243
12,2008-07-18,11.22,12.23,11.1,11.9,467314
13,2008-07-21,12.37,12.4,11.83,12.3,318632
14,2008-07-22,12.85,12.85,12.15,12.22,509978
15,2008-07-23,12.64,12.64,11.53,12.11,235367
16,2008-07-24,12.4,12.5,11.13,11.19,208312
17,2008-07-25,11.43,11.5,10.4,10.5,315331
18,2008-07-28,10.77,11.27,10.5,10.97,166933
19,2008-07-29,11.45,11.46,10.65,10.78,309827
20,2008-07-30,11.66,12.0,10.71,10.78,570408
21,2008-07-31,11.2,11.42,10.9,11.05,285585
22,2008-08-01,11.38,11.65,10.98,11.34,256405
23,2008-08-04,12.09,12.13,11.3,11.51,342834
24,2008-08-05,11.97,12.08,11.1,11.3,531820
25,2008-08-06,11.45,11.46,10.8,11.11,220383
26,2008-08-07,11.05,11.09,10.81,10.94,211243
27,2008-08-08,11.08,11.08,10.66,11.0,199447
28,2008-08-11,11.17,11.17,10.17,10.32,331355
29,2008-08-12,10.25,10.42,9.97,10.23,613996
30,2008-08-13,9.5,9.5,8.88,9.25,1826171
31,2008-08-14,9.4,9.65,9.15,9.35,1197467
32,2008-08-15,9.49,9.57,9.25,9.55,447357
33,2008-08-18,9.62,9.9,9.45,9.46,323858
34,2008-08-19,9.38,9.38,8.73,8.83,541242
