,Date,Open,High,Low,Close,Volume
0,2006-05-05,157.89,157.89,157.89,157.89,20
1,2006-05-08,137.62,137.62,78.817,81.32,2726
2,2006-05-17,82.572,82.572,82.572,82.572,16
3,2006-05-19,82.572,82.572,82.572,82.572,40
4,2006-05-23,82.572,82.572,82.572,82.572,80
5,2006-05-24,82.572,105.09,82.572,82.572,603
6,2006-05-25,86.325,86.325,86.325,86.325,620
7,2006-05-26,86.325,86.325,86.325,86.325,200
8,2006-05-30,87.574,87.574,87.574,87.574,100
9,2006-05-31,93.832,93.832,85.074,85.074,420
10,2006-06-02,86.325,86.325,86.325,86.325,80
11,2006-06-09,80.07,80.07,77.568,80.07,500
12,2006-06-14,72.564,80.07,72.564,75.315,120
13,2006-06-15,77.067,77.067,71.313,75.064,24
14,2006-06-19,78.817,78.817,77.568,77.568,160
15,2006-06-20,78.817,78.817,75.064,75.064,87
16,2006-06-21,75.064,75.064,75.064,75.064,93
17,2006-06-23,78.817,78.817,77.568,77.568,160
18,2006-06-27,78.817,78.817,78.817,78.817,40
19,2006-06-29,75.064,77.568,75.064,77.568,84
20,2006-07-25,76.317,76.317,75.064,76.317,3229
21,2006-08-23,76.317,76.317,67.559,75.064,615
22,2006-08-24,75.064,75.064,75.064,75.064,64
23,2006-08-25,75.064,75.064,75.064,75.064,100
24,2006-08-29,75.064,75.064,75.064,75.064,4
25,2006-08-31,75.064,75.064,75.064,75.064,480
26,2006-09-05,76.317,76.317,76.317,76.317,20
27,2006-09-06,75.064,75.064,75.064,75.064,172
28,2006-09-07,75.064,76.317,75.064,75.064,360
29,2006-09-08,76.317,76.317,68.809,75.064,148
30,2006-09-11,75.064,75.064,75.064,75.064,400
31,2006-09-13,75.064,76.317,75.064,76.317,220
32,2006-09-14,75.064,75.064,75.064,75.064,80
33,2006-09-15,62.555,73.816,62.555,73.816,104
34,2006-09-18,71.313,73.816,71.313,73.816,116
35,2006-09-19,73.816,73.816,71.313,71.313,220
36,2006-09-22,71.313,71.313,71.313,71.313,160
37,2006-09-25,71.313,72.564,71.313,72.564,402
38,2006-09-28,72.564,76.317,72.564,76.317,208
39,2006-10-02,71.313,71.313,71.313,71.313,200
40,2006-10-04,71.062,71.062,70.56,70.56,160
41,2006-10-05,72.564,72.564,68.559,69.81,168
42,2006-10-06,75.064,75.064,74.396,74.396,24
43,2006-10-13,75.064,75.064,74.48,74.48,25
44,2006-10-24,75.064,75.064,74.73,75.064,36
45,2006-10-26,75.064,75.064,75.064,75.064,12
46,2006-10-27,75.064,75.064,74.73,74.73,45
47,2006-10-30,74.73,79.234,72.98,72.98,2517
48,2006-10-31,70.894,70.894,68.809,70.894,367
49,2006-11-01,69.226,69.226,69.226,69.226,120
50,2006-11-02,69.226,69.226,64.639,69.226,7377
51,2006-11-03,75.064,75.064,75.064,75.064,12
52,2006-11-06,69.226,69.226,68.809,68.809,318
53,2006-11-07,75.064,75.064,69.226,69.226,659
54,2006-11-08,69.226,69.226,69.226,69.226,19
55,2006-11-09,75.064,75.064,69.226,69.226,1319
56,2006-11-14,68.809,69.226,68.809,69.226,264
57,2006-11-15,75.064,75.064,69.643,69.643,719
58,2006-11-16,69.643,70.061,69.643,70.061,184
59,2006-11-17,70.894,70.894,50.043,50.043,1145
60,2006-11-20,47.958,62.555,47.958,62.555,1678
61,2006-11-21,66.726,66.726,65.89,65.89,1091
62,2006-11-22,66.308,66.308,65.89,65.89,208
63,2006-11-24,65.89,65.89,65.89,65.89,72
64,2006-11-27,66.726,66.726,65.474,65.474,420
65,2006-11-28,63.388,64.224,63.388,63.388,1331
66,2006-11-29,62.135,62.135,60.887,60.887,791
67,2006-11-30,63.388,63.388,61.303,61.72,312
68,2006-12-04,62.555,62.555,62.555,62.555,240
69,2006-12-05,61.303,62.971,59.218,60.887,2122
70,2006-12-07,60.052,61.303,60.052,61.303,817
71,2006-12-11,61.303,61.303,58.802,58.802,740
72,2006-12-12,61.303,61.303,61.303,61.303,12
73,2006-12-14,58.384,58.384,58.384,58.384,108
74,2006-12-15,55.882,57.549,55.882,57.549,683
75,2006-12-18,57.549,57.549,57.549,57.549,60
76,2006-12-19,55.047,56.298,55.047,56.298,72
77,2006-12-20,55.882,55.882,55.882,55.882,252
78,2006-12-21,56.716,60.471,55.882,60.471,2399
79,2006-12-22,58.802,58.802,58.802,58.802,60
80,2006-12-26,58.802,58.802,58.802,58.802,192
81,2006-12-28,58.802,58.802,57.549,58.384,380
82,2006-12-29,58.802,58.802,58.384,58.384,1451
83,2007-01-03,58.802,58.802,58.802,58.802,12
84,2007-01-04,58.802,58.802,58.384,58.384,611
85,2007-01-05,58.549,58.549,58.549,58.549,539
86,2007-01-08,58.802,58.802,58.384,58.384,240
87,2007-01-09,58.802,58.802,57.549,58.384,576
88,2007-01-10,58.802,58.802,58.384,58.384,420
89,2007-01-11,58.802,61.72,58.384,61.72,1043
90,2007-01-12,66.726,66.726,66.726,66.726,156
91,2007-01-16,66.726,68.809,64.639,68.809,336
92,2007-01-18,68.809,70.061,68.392,69.643,841
93,2007-01-19,69.563,70.061,69.563,69.643,258
94,2007-01-22,69.643,69.643,69.643,69.643,366
95,2007-01-23,69.643,70.061,69.06,69.06,1029
96,2007-01-24,69.643,69.643,69.226,69.643,423
97,2007-01-25,70.894,70.894,70.061,70.894,1007
98,2007-01-26,70.894,70.894,70.894,70.894,875
99,2007-01-29,71.728,79.234,71.728,75.064,1751
100,2007-01-30,75.064,75.064,74.147,74.648,1678
101,2007-01-31,70.061,73.816,67.559,72.564,82863
102,2007-02-01,72.564,74.064,72.145,73.396,15747
103,2007-02-02,72.564,77.983,71.812,77.568,23262
104,2007-02-05,76.732,77.15,74.648,76.732,15520
105,2007-02-06,75.064,75.731,72.98,75.064,13356
106,2007-02-07,75.064,75.899,72.98,75.064,12377
107,2007-02-08,76.901,76.901,73.731,73.731,10974
108,2007-02-09,75.064,75.899,73.647,74.898,6937
109,2007-02-12,75.064,75.064,72.897,74.648,6933
110,2007-02-13,74.231,74.648,72.564,73.062,5431
111,2007-02-14,73.062,77.15,73.062,76.732,9231
112,2007-02-15,76.732,76.901,74.73,76.817,8102
113,2007-02-16,76.901,77.15,75.482,77.15,4131
114,2007-02-20,77.15,79.234,76.732,79.068,7892
115,2007-02-21,79.068,81.32,77.734,81.32,18985
116,2007-02-22,81.32,81.737,77.983,81.32,7861
117,2007-02-23,81.737,83.322,80.652,82.987,18338
118,2007-02-26,83.406,84.908,81.486,82.572,15655
119,2007-02-27,81.32,82.153,76.732,77.15,21360
120,2007-02-28,78.985,83.406,77.568,80.903,13039
121,2007-03-01,79.234,82.572,79.234,81.153,12943
122,2007-03-02,82.987,82.987,80.903,81.653,3603
123,2007-03-05,83.406,83.406,80.485,80.569,6384
124,2007-03-06,83.322,83.322,81.32,81.32,5643
125,2007-03-07,83.322,83.322,80.485,80.903,2968
126,2007-03-08,81.32,83.156,79.485,80.735,12130
127,2007-03-09,79.652,83.406,79.652,81.236,4492
128,2007-03-12,82.905,82.905,78.069,79.736,9321
129,2007-03-13,80.07,80.236,77.317,77.317,4425
130,2007-03-14,78.401,78.401,74.231,75.983,13926
131,2007-03-15,76.732,79.234,75.482,77.485,8924
132,2007-03-16,78.318,78.318,77.15,77.15,1199
133,2007-03-19,79.152,79.152,77.568,79.152,4197
134,2007-03-20,79.152,79.152,77.983,79.152,6035
135,2007-03-21,79.402,80.319,76.817,79.485,5190
136,2007-03-22,80.07,80.07,78.817,79.818,5496
137,2007-03-23,80.07,80.735,79.318,79.571,7854
138,2007-03-26,80.07,83.406,80.07,81.653,9049
139,2007-03-27,83.071,83.406,81.653,82.739,7287
140,2007-03-28,82.905,83.823,81.986,83.406,7577
141,2007-03-29,83.322,83.406,81.986,82.487,4258
142,2007-03-30,82.487,83.823,82.153,83.322,4217
143,2007-04-02,84.241,88.409,83.488,88.409,12056
144,2007-04-03,87.992,87.992,84.323,86.325,7181
145,2007-04-04,86.325,87.574,85.157,87.408,5970
146,2007-04-05,87.408,87.574,85.574,87.408,8533
147,2007-04-09,87.992,90.078,85.992,88.825,7541
148,2007-04-10,89.327,89.661,87.574,88.243,10250
149,2007-04-11,89.409,89.409,86.493,88.16,5791
150,2007-04-12,87.825,90.746,87.408,90.411,9109
151,2007-04-13,90.577,90.661,89.661,90.078,5379
152,2007-04-16,90.912,92.58,90.078,91.747,6568
153,2007-04-17,91.747,93.414,90.162,92.164,10066
154,2007-04-18,92.498,93.414,90.912,92.078,4147
155,2007-04-19,92.665,92.665,90.496,91.496,2857
156,2007-04-20,91.747,93.414,91.747,92.999,6949
157,2007-04-23,93.33,94.998,92.831,94.998,7507
158,2007-04-24,94.998,95.83,94.249,95.5,13145
159,2007-04-25,94.249,95.92,94.249,95.92,16002
160,2007-04-26,96.33,96.33,93.832,93.914,12238
161,2007-04-27,95.5,95.92,94.249,94.998,5608
162,2007-04-30,95.83,95.83,92.999,95.08,13067
163,2007-05-01,94.498,94.998,90.244,90.329,8738
164,2007-05-02,90.411,93.832,90.411,92.747,5691
165,2007-05-03,92.747,95.5,92.498,94.748,10911
166,2007-05-04,93.832,95.5,92.831,94.915,11851
167,2007-05-07,91.579,94.249,90.078,91.662,15724
168,2007-05-08,94.915,95.08,91.83,94.664,12747
169,2007-05-09,95.08,96.25,93.832,95.92,8611
170,2007-05-10,95.92,97.33,92.747,95.83,24893
