,Date,Open,High,Low,Close,Volume
0,2016-09-02,25.057,25.057,25.047,25.047,3434
1,2016-09-12,24.895,24.905,24.895,24.905,779
2,2016-09-30,24.972,24.972,24.972,24.972,140
3,2016-10-13,24.363,24.363,24.363,24.363,311
4,2016-10-20,24.884,24.884,24.884,24.884,300
5,2016-11-01,24.806,24.806,24.806,24.806,124
6,2016-11-11,25.156,25.156,25.135,25.135,2442
7,2016-11-17,25.41,25.41,25.41,25.41,143
8,2016-12-09,26.649,26.649,26.649,26.649,415
9,2016-12-15,26.487,26.487,26.487,26.487,642
10,2016-12-19,26.411,26.411,26.331,26.366,1153
11,2016-12-20,26.447,26.447,26.447,26.447,642
12,2016-12-22,26.39,26.39,26.38,26.38,800
13,2016-12-30,26.372,26.372,26.372,26.372,408
14,2017-01-03,26.45,26.45,26.424,26.424,1926
15,2017-01-05,26.774,26.774,26.74,26.74,387
16,2017-02-06,27.098,27.098,27.059,27.059,1110
17,2017-02-10,27.303,27.303,27.27,27.27,204
18,2017-02-13,27.521,27.521,27.521,27.521,295
19,2017-02-14,27.502,27.502,27.502,27.502,408
20,2017-02-17,27.559,27.599,27.559,27.599,1426
21,2017-02-21,27.775,27.775,27.775,27.775,509
22,2017-02-28,27.756,27.775,27.756,27.775,310
23,2017-03-03,27.855,27.855,27.775,27.775,3666
24,2017-03-20,27.775,27.775,27.775,27.775,0
25,2017-03-28,27.835,27.835,27.835,27.835,154
26,2017-03-30,28.021,28.041,28.021,28.041,976
27,2017-04-05,28.014,28.014,28.014,28.014,156
28,2017-04-06,27.797,27.797,27.797,27.797,183
29,2017-04-11,27.925,27.925,27.925,27.925,191
30,2017-04-12,27.877,27.877,27.876,27.876,913
31,2017-04-20,28.004,28.004,28.004,28.004,630
32,2017-04-25,28.507,28.507,28.507,28.507,182261
33,2017-05-02,28.51,28.51,28.51,28.51,487
34,2017-05-04,28.567,28.567,28.466,28.466,460
35,2017-05-05,28.646,28.675,28.646,28.675,271
36,2017-05-22,28.497,28.497,28.497,28.497,695
37,2017-05-23,28.576,28.576,28.542,28.542,1257
38,2017-05-25,28.656,28.656,28.622,28.622,507
39,2017-05-26,28.684,28.684,28.556,28.596,2321
40,2017-05-31,28.557,28.636,28.557,28.606,2941
41,2017-06-02,29.049,29.049,29.049,29.049,731
42,2017-06-05,28.951,28.951,28.951,28.951,178
43,2017-06-07,28.69,28.749,28.69,28.749,948
44,2017-06-08,28.817,28.817,28.817,28.817,289
45,2017-06-09,28.872,28.872,28.872,28.872,818
46,2017-06-14,29.129,29.129,29.099,29.099,305
47,2017-06-16,28.911,28.951,28.911,28.951,948
48,2017-06-19,29.129,29.129,29.129,29.129,841
49,2017-06-23,28.853,28.853,28.853,28.853,644
50,2017-06-26,28.921,28.921,28.921,28.921,471
51,2017-06-30,28.843,28.853,28.843,28.853,327
52,2017-07-03,28.975,28.975,28.975,28.975,122
53,2017-07-05,29.004,29.004,29.004,29.004,1036
54,2017-07-11,28.835,28.835,28.835,28.835,123
55,2017-07-13,29.074,29.124,29.035,29.124,1840
56,2017-07-17,29.293,29.293,29.293,29.293,171
57,2017-07-18,29.243,29.243,29.243,29.243,130
58,2017-07-19,29.383,29.383,29.383,29.383,702
59,2017-07-20,29.562,29.562,29.552,29.552,1255
60,2017-07-21,29.492,29.492,29.492,29.492,1508
61,2017-07-25,29.542,29.542,29.502,29.502,930
62,2017-07-26,29.611,29.611,29.611,29.611,253
63,2017-07-27,29.552,29.552,29.482,29.483,650
64,2017-07-28,29.512,29.552,29.512,29.552,550
65,2017-08-01,29.716,29.731,29.68,29.705,2496
66,2017-08-04,29.691,29.691,29.671,29.671,436
67,2017-08-07,29.692,29.692,29.692,29.692,112
68,2017-08-08,29.741,29.741,29.701,29.701,220
69,2017-08-09,29.422,29.425,29.422,29.425,1237
70,2017-08-15,29.287,29.287,29.287,29.287,206
71,2017-08-16,29.333,29.333,29.333,29.333,347
72,2017-08-18,28.975,29.014,28.975,29.001,2061
73,2017-08-21,28.996,28.996,28.996,28.996,180
74,2017-08-22,29.094,29.094,29.094,29.094,103
75,2017-08-23,29.154,29.154,29.154,29.154,101
76,2017-08-25,29.214,29.253,29.208,29.253,1282
77,2017-08-28,29.114,29.144,29.114,29.144,570
78,2017-08-29,29.039,29.039,29.039,29.039,186
79,2017-08-31,29.233,29.233,29.233,29.233,498
80,2017-09-05,29.035,29.035,29.035,29.035,140
81,2017-09-11,29.562,29.562,29.562,29.562,417
82,2017-09-12,29.646,29.646,29.641,29.641,314
83,2017-09-18,29.77,29.77,29.701,29.701,839
84,2017-09-20,29.72,29.72,29.72,29.72,293
85,2017-09-22,29.781,29.781,29.781,29.781,156
86,2017-09-29,29.979,29.979,29.88,29.88,1005
87,2017-10-05,30.18,30.18,30.18,30.18,202
88,2017-10-06,30.0999,30.13,30.0788,30.13,983
89,2017-10-13,30.46,30.46,30.46,30.46,287
90,2017-10-16,30.44,30.44,30.44,30.44,168
