,Date,Open,High,Low,Close,Volume
0,2005-09-28,10.251,10.255,10.251,10.251,1566064
1,2005-09-29,10.255,10.255,10.251,10.255,253658
2,2005-09-30,10.251,10.255,10.251,10.251,356691
3,2005-10-03,10.255,10.255,10.251,10.251,327419
4,2005-10-04,10.251,10.255,10.251,10.251,253461
5,2005-10-05,10.251,10.255,10.251,10.251,385177
6,2005-10-06,10.251,10.255,10.251,10.251,293658
7,2005-10-07,10.251,10.255,10.251,10.251,250539
8,2005-10-10,10.251,10.255,10.251,10.251,261667
9,2005-10-11,10.251,10.255,10.251,10.255,307128
10,2005-10-12,10.251,10.26,10.251,10.26,314149
11,2005-10-13,10.26,10.26,10.251,10.255,242926
12,2005-10-14,10.251,10.383,10.251,10.251,244882
13,2005-10-17,10.251,10.271,10.251,10.26,178732
14,2005-10-18,10.251,10.26,10.251,10.251,261858
15,2005-10-19,10.251,10.255,10.251,10.251,329556
16,2005-10-20,10.255,10.255,10.251,10.251,253073
17,2005-10-21,10.251,10.255,10.251,10.251,447814
18,2005-10-24,10.251,10.255,10.251,10.251,405464
19,2005-10-25,10.251,10.255,10.251,10.251,303806
20,2005-10-26,10.251,10.255,10.251,10.251,422053
21,2005-10-27,10.251,10.255,10.251,10.251,707512
22,2005-10-28,10.251,10.255,10.251,10.251,347714
23,2005-10-31,10.251,10.255,10.149,10.251,389271
24,2005-11-01,10.251,10.255,10.251,10.251,469857
25,2005-11-02,10.251,10.255,10.251,10.251,318049
26,2005-11-03,10.251,10.255,10.251,10.251,148286
27,2005-11-04,10.251,10.255,10.251,10.251,256976
28,2005-11-07,10.251,10.255,10.251,10.251,401366
29,2005-11-08,10.251,10.255,10.251,10.251,827513
30,2005-11-09,9.864,10.245,9.864,9.864,1331124
31,2005-11-10,9.886,9.942,9.864,9.942,334437
32,2005-11-11,9.942,9.942,9.917,9.937,374239
33,2005-11-14,9.921,9.97,9.917,9.917,179897
34,2005-11-15,9.921,9.931,9.917,9.917,258928
