,Date,Open,High,Low,Close,Volume
0,2005-02-25,354.0,356.02,352.5,355.5,22106
1,2005-02-28,353.62,356.25,351.3,352.95,28133
2,2005-03-01,354.38,372.38,353.48,370.73,54373
3,2005-03-02,370.12,372.52,366.9,368.02,29093
4,2005-03-03,369.38,370.43,365.48,366.82,20466
5,2005-03-04,366.9,372.82,364.57,370.8,21013
6,2005-03-07,371.25,372.0,364.2,365.93,19786
7,2005-03-08,366.75,367.88,361.65,363.9,17106
8,2005-03-09,360.75,364.5,357.9,359.77,23773
9,2005-03-10,358.88,360.45,352.5,356.02,22626
10,2005-03-11,356.25,359.32,354.6,356.32,13840
11,2005-03-14,355.5,359.7,354.45,358.8,16346
12,2005-03-15,359.62,361.43,354.45,355.43,12506
13,2005-03-16,354.0,355.05,334.12,338.48,99866
14,2005-03-17,339.38,343.5,334.65,341.32,38480
15,2005-03-18,342.3,345.52,337.57,341.62,67880
16,2005-03-21,341.62,342.98,332.93,335.93,20866
17,2005-03-22,334.88,338.48,331.5,331.88,30760
18,2005-03-23,329.32,330.38,315.52,324.75,38573
19,2005-03-24,325.5,327.75,321.3,321.38,19493
20,2005-03-28,320.62,325.95,319.95,323.55,21413
21,2005-03-29,323.85,324.15,309.23,311.7,48720
22,2005-03-30,313.57,319.5,313.5,318.15,20146
23,2005-03-31,318.68,319.8,311.62,316.88,43280
24,2005-04-01,318.75,321.3,315.15,319.65,42013
25,2005-04-04,318.38,318.38,309.52,314.32,41600
26,2005-04-05,314.85,317.77,308.93,311.7,19546
27,2005-04-06,313.12,315.75,310.2,310.2,22693
28,2005-04-07,311.02,311.4,306.68,309.15,18253
29,2005-04-08,311.02,311.4,300.15,301.88,34053
30,2005-04-11,302.25,302.25,299.62,299.62,24760
31,2005-04-12,297.75,302.4,294.38,302.25,37293
32,2005-04-13,302.32,302.32,292.5,293.25,14186
33,2005-04-14,294.38,294.45,288.98,288.98,27026
34,2005-04-15,289.35,292.12,279.75,279.75,27853
35,2005-04-18,269.25,293.32,269.25,288.07,55960
36,2005-04-19,289.57,295.88,287.48,289.57,57493
37,2005-04-20,289.5,289.5,274.05,278.93,33133
38,2005-04-21,280.8,285.68,276.15,283.27,36693
39,2005-04-22,283.05,283.12,276.75,279.38,32506
40,2005-04-25,280.12,285.0,280.12,283.88,19573
41,2005-04-26,282.75,285.98,279.23,282.0,67120
42,2005-04-27,282.0,288.0,281.25,286.5,59306
43,2005-04-28,286.57,286.57,243.97,259.65,166040
44,2005-04-29,266.25,274.65,262.5,271.95,76480
45,2005-05-02,273.0,290.25,273.0,290.25,79040
46,2005-05-03,290.25,294.38,288.52,291.07,74960
47,2005-05-04,292.5,313.12,292.5,310.65,83920
48,2005-05-05,310.65,312.75,298.5,302.77,56786
49,2005-05-06,302.77,305.18,294.82,305.1,49653
50,2005-05-09,303.75,303.75,296.25,301.88,33866
51,2005-05-10,303.75,304.27,299.62,299.62,33586
52,2005-05-11,300.0,301.8,297.38,300.23,27413
53,2005-05-12,299.62,302.55,295.43,296.55,40866
54,2005-05-13,295.5,297.07,291.98,294.38,27306
55,2005-05-16,294.0,307.88,294.0,307.88,34960
56,2005-05-17,306.75,307.27,298.57,304.8,26586
57,2005-05-18,305.25,313.43,305.25,309.23,44186
58,2005-05-19,308.32,311.32,304.88,306.07,20266
59,2005-05-20,306.07,306.07,299.18,303.38,32133
60,2005-05-23,303.0,306.75,300.3,303.45,42906
61,2005-05-24,303.45,308.62,300.23,306.75,35866
62,2005-05-25,307.73,307.88,293.25,293.4,95946
63,2005-05-26,295.27,295.27,285.07,286.65,121960
64,2005-05-27,285.0,285.0,267.75,278.85,149933
65,2005-05-31,280.12,288.0,280.12,287.48,72373
66,2005-06-01,287.48,294.0,285.15,291.0,64666
67,2005-06-02,291.0,291.0,287.25,289.88,27226
68,2005-06-03,289.88,290.25,283.35,283.73,77346
69,2005-06-06,284.62,286.2,279.68,285.38,48880
70,2005-06-07,286.12,288.75,284.25,286.43,39960
