,Date,Open,High,Low,Close,Volume
0,2005-02-25,12.221,12.299,12.085,12.28,129410
1,2005-02-28,12.377,12.377,11.666,11.774,160617
2,2005-03-01,11.802,11.889,11.325,11.637,241776
3,2005-03-02,11.686,11.822,10.108,10.567,1305687
4,2005-03-03,10.176,10.508,9.747,10.428,1609244
5,2005-03-04,10.595,11.413,10.576,11.316,534343
6,2005-03-07,11.316,11.529,10.975,11.141,528187
7,2005-03-08,10.995,11.17,10.809,11.051,420220
8,2005-03-09,10.955,10.955,10.333,10.605,915560
9,2005-03-10,10.399,10.438,10.118,10.323,427069
10,2005-03-11,10.118,10.352,10.118,10.225,256372
11,2005-03-14,10.293,10.323,9.981,10.108,231223
12,2005-03-15,9.981,10.273,9.894,10.031,170619
13,2005-03-16,9.952,9.971,9.787,9.817,316944
14,2005-03-17,9.807,9.855,9.67,9.836,731746
15,2005-03-18,9.961,10.567,9.797,10.538,547289
16,2005-03-21,10.644,10.898,10.538,10.829,455675
17,2005-03-22,10.869,10.995,10.74,10.926,450789
18,2005-03-23,10.946,10.946,10.399,10.418,301300
19,2005-03-24,10.548,10.548,10.059,10.108,219372
20,2005-03-28,10.235,10.558,10.137,10.438,262821
21,2005-03-29,10.468,10.528,10.38,10.428,295388
22,2005-03-30,10.538,10.634,10.438,10.438,227897
23,2005-03-31,10.528,10.567,10.186,10.313,439540
24,2005-04-01,10.186,10.498,10.186,10.399,422400
25,2005-04-04,10.323,11.17,10.255,11.014,838275
26,2005-04-05,11.081,11.189,10.829,11.071,424445
27,2005-04-06,11.199,11.219,10.965,11.042,293453
28,2005-04-07,10.955,11.121,10.839,10.936,203307
29,2005-04-08,10.859,10.975,10.691,10.849,205318
30,2005-04-11,10.809,10.869,10.418,10.418,209340
31,2005-04-12,10.488,10.839,10.323,10.682,287736
32,2005-04-13,10.682,10.73,10.399,10.399,164507
33,2005-04-14,10.352,10.38,10.235,10.245,372196
34,2005-04-15,10.186,10.186,8.5111,8.5889,1690637
35,2005-04-18,8.6182,8.8811,8.5889,8.8715,1491921
36,2005-04-19,9.0563,9.2897,9.0175,9.2511,539698
37,2005-04-20,9.3877,9.914,9.2995,9.524,659662
38,2005-04-21,9.554,9.651,9.4257,9.612,351047
39,2005-04-22,9.689,9.952,9.593,9.698,454580
40,2005-04-25,9.836,10.099,9.698,10.069,379015
41,2005-04-26,10.118,10.186,9.718,9.737,405936
42,2005-04-27,9.622,9.855,9.583,9.737,246865
43,2005-04-28,9.689,9.855,9.2995,9.2995,546603
44,2005-04-29,9.3095,9.524,9.1732,9.514,459026
45,2005-05-02,9.4545,9.817,9.4545,9.817,237119
46,2005-05-03,9.874,10.147,9.612,9.855,385000
47,2005-05-04,9.836,9.981,9.787,9.855,149167
48,2005-05-05,9.777,9.914,9.632,9.894,123979
49,2005-05-06,9.817,9.914,9.698,9.698,90807
50,2005-05-09,9.689,9.914,9.689,9.914,190136
51,2005-05-10,9.807,9.817,9.3579,9.4743,213165
52,2005-05-11,8.7642,8.7642,7.9754,8.4915,1693360
53,2005-05-12,8.5207,8.9297,8.3941,8.6084,290403
54,2005-05-13,8.6279,8.7546,8.3066,8.5306,150110
55,2005-05-16,8.3941,8.5597,8.0825,8.3941,362100
56,2005-05-17,8.3747,8.8908,8.3456,8.6376,256442
57,2005-05-18,8.7642,8.9883,8.7642,8.8615,187793
58,2005-05-19,8.8324,9.0076,8.5889,8.6474,205006
59,2005-05-20,8.5501,8.7546,8.4625,8.6182,136058
60,2005-05-23,8.5306,8.8615,8.5306,8.6668,211135
61,2005-05-24,8.5597,8.7059,8.5402,8.5597,100258
62,2005-05-25,8.6376,8.6376,8.4137,8.4915,75580
63,2005-05-26,8.5111,8.6084,8.3747,8.5402,154931
64,2005-05-27,8.4525,8.5793,8.3941,8.4428,121304
65,2005-05-31,8.5014,8.5597,8.4525,8.4721,240974
66,2005-06-01,8.4625,8.5402,8.3941,8.4721,274612
67,2005-06-02,8.4915,8.5207,8.3941,8.4721,190987
68,2005-06-03,8.5207,8.6572,8.4233,8.6182,105577
69,2005-06-06,8.5793,8.6572,8.4625,8.4915,215327
70,2005-06-07,8.5207,8.5889,8.1313,8.248,437297
