,Date,Open,High,Low,Close,Volume
0,2005-02-25,18.068,18.399,18.04,18.246,327027
1,2005-02-28,18.399,18.69,18.076,18.446,526190
2,2005-03-01,18.391,19.246,18.284,19.15,1952606
3,2005-03-02,19.16,19.61,18.879,19.22,1416023
4,2005-03-03,20.168,20.23,18.69,19.553,1357462
5,2005-03-04,19.87,19.897,19.367,19.553,743224
6,2005-03-07,19.627,19.924,19.457,19.526,733414
7,2005-03-08,20.105,20.159,19.743,19.79,1444409
8,2005-03-09,19.853,19.98,19.481,19.6,948757
9,2005-03-10,19.572,19.826,19.376,19.59,717741
10,2005-03-11,19.725,20.004,19.637,19.953,4315790
11,2005-03-14,20.022,20.022,19.572,19.708,952153
12,2005-03-15,19.834,19.994,19.683,19.771,676689
13,2005-03-16,19.834,19.98,19.7,19.798,782483
14,2005-03-17,19.897,19.905,19.448,19.59,473114
15,2005-03-18,19.645,19.78,19.246,19.5,676357
16,2005-03-21,19.412,19.472,19.212,19.384,500313
17,2005-03-22,19.321,19.717,19.292,19.376,512586
18,2005-03-23,19.509,19.509,18.942,18.995,380885
19,2005-03-24,19.562,19.743,18.951,19.203,857182
20,2005-03-28,19.384,20.079,19.132,20.06,910004
21,2005-03-29,19.989,20.718,19.826,20.322,1426141
22,2005-03-30,20.465,21.086,20.33,20.906,1445966
23,2005-03-31,21.086,21.086,20.691,20.868,515396
24,2005-04-01,20.942,20.942,20.177,20.529,646782
25,2005-04-04,20.502,20.7,20.124,20.373,520365
26,2005-04-05,20.458,20.664,20.23,20.546,472555
27,2005-04-06,20.654,20.654,20.402,20.44,423603
28,2005-04-07,20.421,20.599,19.879,20.149,545799
29,2005-04-08,20.105,20.124,19.553,19.637,770544
30,2005-04-11,19.798,19.826,19.321,19.472,482843
31,2005-04-12,19.422,19.953,19.22,19.743,470907
32,2005-04-13,19.78,19.78,19.292,19.384,407013
33,2005-04-14,19.43,19.627,18.995,19.085,347230
34,2005-04-15,19.178,19.188,18.238,18.409,912388
35,2005-04-18,18.573,18.761,17.371,18.672,616601
36,2005-04-19,18.788,19.239,18.681,19.024,381162
37,2005-04-20,19.104,19.16,18.391,18.409,479927
38,2005-04-21,18.437,18.861,18.409,18.717,210064
39,2005-04-22,18.581,18.708,17.545,17.587,1496780
40,2005-04-25,17.51,17.941,17.409,17.85,830782
41,2005-04-26,17.672,17.922,17.371,17.482,779477
42,2005-04-27,17.309,17.536,16.951,17.371,1376200
43,2005-04-28,17.381,17.381,16.698,16.698,530427
44,2005-04-29,16.445,16.515,14.379,16.245,2532773
45,2005-05-02,16.281,16.706,16.281,16.614,1163346
46,2005-05-03,16.454,17.039,16.391,16.886,728971
47,2005-05-04,16.84,17.048,16.165,16.553,1198033
48,2005-05-05,16.589,16.641,15.687,15.795,1623867
49,2005-05-06,16.787,16.787,15.814,16.02,1619094
50,2005-05-09,15.992,16.345,15.877,16.326,764584
51,2005-05-10,16.381,16.725,16.03,16.725,1061612
52,2005-05-11,16.698,17.129,16.679,17.092,1060617
53,2005-05-12,16.995,17.092,16.67,16.76,503852
54,2005-05-13,16.84,17.048,16.689,16.904,619047
55,2005-05-16,17.005,17.501,16.743,17.501,580876
56,2005-05-17,17.363,17.578,17.148,17.491,535684
57,2005-05-18,17.57,17.941,17.447,17.922,372486
58,2005-05-19,17.698,18.166,17.689,18.147,639251
59,2005-05-20,17.95,18.22,17.841,18.147,416286
60,2005-05-23,18.204,18.645,17.85,18.301,581916
61,2005-05-24,18.293,18.437,18.185,18.238,301741
62,2005-05-25,18.211,18.482,18.021,18.293,269706
63,2005-05-26,18.255,18.348,18.156,18.33,259120
64,2005-05-27,18.166,18.635,18.13,18.508,230822
65,2005-05-31,18.455,18.508,17.832,17.959,933926
66,2005-06-01,17.859,18.264,17.238,17.616,1280705
67,2005-06-02,17.472,18.194,17.119,17.841,919030
68,2005-06-03,17.922,17.922,17.57,17.596,518376
69,2005-06-06,17.733,17.978,17.578,17.859,683527
70,2005-06-07,17.969,18.293,17.491,17.491,744161
71,2005-06-08,17.491,17.616,17.039,17.092,543775
72,2005-06-09,17.194,17.672,17.039,17.552,361639
73,2005-06-10,17.552,17.662,17.292,17.355,404982
74,2005-06-13,17.428,17.68,17.238,17.428,490040
75,2005-06-14,17.345,18.194,17.318,18.156,584541
76,2005-06-15,18.246,18.246,17.913,18.204,324116
77,2005-06-16,18.068,18.176,17.941,18.031,316817
78,2005-06-17,17.941,18.031,17.491,17.545,658670
79,2005-06-20,17.501,18.527,17.501,18.293,600435
80,2005-06-21,18.573,18.662,17.987,18.176,455162
81,2005-06-22,18.238,18.418,17.606,17.841,807469
82,2005-06-23,17.978,18.076,17.698,17.77,753912
83,2005-06-24,17.57,17.716,16.598,16.84,1114093
84,2005-06-27,16.679,17.039,16.345,16.849,920705
85,2005-06-28,16.796,17.202,16.614,17.194,659588
86,2005-06-29,16.804,17.345,16.769,17.048,387427
87,2005-06-30,17.194,17.23,16.904,17.058,417180
88,2005-07-01,17.1,17.148,16.857,17.139,309887
89,2005-07-05,17.129,17.526,16.951,17.318,384727
90,2005-07-06,17.318,17.381,16.959,17.092,541011
91,2005-07-07,16.886,17.129,16.632,16.804,776042
92,2005-07-08,17.005,17.005,16.661,16.932,455679
93,2005-07-11,17.005,17.345,16.813,16.84,500238
94,2005-07-12,16.813,16.84,16.146,16.41,868324
95,2005-07-13,16.229,16.5,16.048,16.102,1538640
96,2005-07-14,16.229,16.229,16.002,16.066,1013720
97,2005-07-15,15.982,16.857,15.929,16.769,1430671
98,2005-07-18,16.689,17.022,16.589,16.589,947909
99,2005-07-19,16.553,16.831,16.41,16.471,753107
100,2005-07-20,16.391,16.572,16.229,16.391,640328
101,2005-07-21,16.391,16.804,16.102,16.281,492853
102,2005-07-22,16.319,16.533,16.076,16.245,653887
103,2005-07-25,16.237,16.632,16.237,16.401,472064
104,2005-07-26,16.533,16.614,16.03,16.03,614500
105,2005-07-27,16.155,16.29,15.948,16.155,508066
106,2005-07-28,16.281,16.41,16.02,16.048,784353
107,2005-07-29,16.002,16.309,16.002,16.309,531003
108,2005-08-01,16.427,16.481,15.966,16.184,586984
109,2005-08-02,16.002,16.562,15.678,16.418,2284997
110,2005-08-03,16.454,16.5,16.255,16.362,1003782
111,2005-08-04,16.319,16.354,15.913,16.165,1099656
112,2005-08-05,16.146,16.21,15.147,15.327,2751480
113,2005-08-08,15.157,15.444,15.147,15.175,1153187
114,2005-08-09,15.217,15.382,15.021,15.28,1047755
115,2005-08-10,15.408,15.804,15.038,15.147,1010605
116,2005-08-11,15.108,15.596,15.108,15.452,842528
117,2005-08-12,15.418,15.687,15.418,15.524,651883
118,2005-08-15,15.586,15.586,15.147,15.262,1174122
119,2005-08-16,15.208,15.226,14.604,14.669,1042484
120,2005-08-17,14.586,14.965,14.426,14.65,1845802
121,2005-08-18,14.586,14.974,14.498,14.875,909865
122,2005-08-19,14.866,15.192,14.714,14.974,1154541
123,2005-08-22,15.055,15.055,14.669,14.813,1234157
124,2005-08-23,14.849,14.849,14.542,14.623,609195
125,2005-08-24,14.705,14.705,14.398,14.451,788970
126,2005-08-25,14.461,14.696,14.461,14.551,702285
127,2005-08-26,14.561,14.604,14.298,14.369,351522
128,2005-08-29,14.335,14.723,14.335,14.623,532029
129,2005-08-30,13.253,13.558,12.152,12.675,8493480
130,2005-08-31,12.973,13.002,12.766,13.002,2270692
131,2005-09-01,12.931,13.064,12.442,12.533,1105732
132,2005-09-02,12.533,12.685,12.442,12.459,503054
133,2005-09-06,12.432,12.694,12.414,12.62,847372
134,2005-09-07,12.62,12.665,12.533,12.62,954224
135,2005-09-08,12.62,12.801,12.533,12.675,841256
136,2005-09-09,12.603,12.821,12.561,12.775,915238
137,2005-09-12,12.775,12.892,12.649,12.811,468734
138,2005-09-13,12.775,12.892,12.713,12.749,400784
139,2005-09-14,12.741,12.874,12.62,12.665,416664
140,2005-09-15,12.62,12.775,12.533,12.64,869793
141,2005-09-16,12.749,12.784,12.523,12.584,639799
142,2005-09-19,12.665,12.883,12.109,12.533,623674
143,2005-09-20,12.612,12.713,12.037,12.216,791880
144,2005-09-21,12.142,12.594,11.98,12.18,705618
145,2005-09-22,12.152,12.784,12.152,12.495,470405
146,2005-09-23,12.793,12.801,12.577,12.64,1226407
147,2005-09-26,12.713,13.1,12.657,12.902,785214
148,2005-09-27,12.931,12.963,12.62,12.811,674877
149,2005-09-28,12.821,12.921,12.612,12.694,585342
150,2005-09-29,12.741,12.992,12.533,12.982,355056
151,2005-09-30,13.018,13.164,12.837,13.154,564837
152,2005-10-03,13.064,13.332,12.902,12.973,582323
153,2005-10-04,12.982,13.028,12.766,12.829,464594
154,2005-10-05,12.793,13.018,12.758,12.864,519002
155,2005-10-06,12.854,13.622,12.845,13.416,1128808
156,2005-10-07,13.506,14.136,13.453,14.1,1112621
157,2005-10-10,14.155,14.263,13.902,13.93,614663
158,2005-10-11,13.93,14.028,13.568,13.659,512291
159,2005-10-12,13.54,13.827,13.207,13.506,563860
160,2005-10-13,13.469,13.865,13.253,13.54,1074469
161,2005-10-14,13.741,14.001,13.532,13.777,1055222
162,2005-10-17,13.759,14.056,13.712,13.974,667074
163,2005-10-18,13.938,14.379,13.938,14.082,773200
164,2005-10-19,14.028,14.542,13.92,14.508,849754
165,2005-10-20,14.533,14.822,14.298,14.343,1141055
166,2005-10-21,14.379,14.416,13.991,14.228,1180669
167,2005-10-24,14.263,14.471,13.984,14.208,585108
168,2005-10-25,14.155,14.272,13.759,13.938,468460
169,2005-10-26,13.92,14.109,13.847,13.91,889201
170,2005-10-27,13.837,13.93,13.453,13.532,593117
171,2005-10-28,13.613,14.028,13.54,13.837,252456
172,2005-10-31,13.875,14.317,13.837,14.1,552985
173,2005-11-01,14.02,14.136,13.641,13.984,703368
174,2005-11-02,13.957,14.416,13.957,14.228,672024
175,2005-11-03,14.335,14.822,14.281,14.351,954054
176,2005-11-04,14.327,14.623,14.208,14.586,322104
177,2005-11-07,14.669,14.965,14.533,14.604,346347
178,2005-11-08,14.524,14.551,14.236,14.435,448622
179,2005-11-09,14.479,14.679,14.307,14.594,340802
180,2005-11-10,14.613,14.822,14.228,14.696,320635
181,2005-11-11,14.623,14.687,14.379,14.623,307410
182,2005-11-14,14.57,14.759,14.426,14.714,455057
183,2005-11-15,14.731,14.731,14.327,14.435,387414
184,2005-11-16,14.388,14.594,14.255,14.524,191254
185,2005-11-17,14.561,14.894,14.479,14.885,367337
186,2005-11-18,14.994,15.254,14.866,14.912,549864
187,2005-11-21,15.012,15.083,14.586,15.055,480976
188,2005-11-22,14.965,15.226,14.866,15.208,329457
189,2005-11-23,15.175,15.418,15.175,15.308,215037
190,2005-11-25,15.327,15.327,15.075,15.28,92071
191,2005-11-28,15.271,15.271,14.741,14.858,265349
192,2005-11-29,14.928,15.418,14.831,15.382,470995
193,2005-11-30,15.399,15.696,15.336,15.561,911358
194,2005-12-01,16.381,16.508,16.002,16.454,1679100
195,2005-12-02,17.265,17.39,16.481,16.623,3041832
196,2005-12-05,16.867,16.867,16.41,16.623,804262
197,2005-12-06,16.679,16.895,16.553,16.725,926218
198,2005-12-07,16.725,16.951,16.632,16.867,632173
199,2005-12-08,16.904,16.951,16.454,16.857,353191
200,2005-12-09,16.951,16.968,16.614,16.968,296308
201,2005-12-12,16.904,17.058,16.706,16.743,298963
202,2005-12-13,16.623,16.951,16.623,16.813,553519
203,2005-12-14,16.831,16.959,16.813,16.886,736701
204,2005-12-15,16.867,16.867,16.174,16.41,621525
205,2005-12-16,16.391,16.752,16.391,16.725,607469
206,2005-12-19,16.614,16.614,15.896,15.939,946992
207,2005-12-20,15.939,16.272,15.722,16.184,845654
208,2005-12-21,16.165,16.237,16.002,16.093,967802
209,2005-12-22,15.643,15.948,15.271,15.85,1450280
210,2005-12-23,15.85,16.264,15.85,16.011,545537
211,2005-12-27,15.956,16.146,15.696,15.804,472323
212,2005-12-28,15.804,15.992,15.732,15.887,368454
213,2005-12-29,15.841,15.877,15.678,15.704,503056
214,2005-12-30,15.704,15.868,15.452,15.704,484564
215,2006-01-03,15.704,15.868,15.254,15.634,660447
216,2006-01-04,15.596,15.596,15.364,15.578,575117
217,2006-01-05,15.507,15.669,15.399,15.524,538301
218,2006-01-06,15.687,15.732,15.355,15.596,462359
219,2006-01-09,15.578,16.102,15.553,15.887,673295
220,2006-01-10,15.896,16.146,15.776,16.137,424474
221,2006-01-11,16.137,16.184,15.831,16.093,370169
222,2006-01-12,16.093,16.272,15.887,16.093,547603
223,2006-01-13,16.102,16.272,15.966,16.039,323936
224,2006-01-17,15.982,16.011,15.426,15.561,467987
225,2006-01-18,15.418,15.759,15.262,15.478,546086
226,2006-01-19,15.478,15.858,15.418,15.858,670738
227,2006-01-20,15.896,16.03,15.722,15.759,993668
228,2006-01-23,15.877,16.381,15.704,16.255,765538
229,2006-01-24,16.255,16.641,16.121,16.481,536214
230,2006-01-25,16.543,16.76,16.354,16.698,514226
231,2006-01-26,16.857,16.857,16.491,16.679,466558
232,2006-01-27,15.929,16.5,15.553,15.939,2480842
233,2006-01-30,15.929,16.155,15.85,16.076,675136
234,2006-01-31,15.982,16.29,15.795,16.184,1168968
235,2006-02-01,16.137,16.959,16.121,16.679,1461069
236,2006-02-02,16.579,16.76,16.354,16.372,521370
237,2006-02-03,16.299,16.725,16.229,16.641,406598
238,2006-02-06,16.598,16.632,16.137,16.462,313962
239,2006-02-07,16.362,16.716,16.165,16.29,497722
240,2006-02-08,16.29,16.326,15.85,16.201,604450
241,2006-02-09,16.299,16.481,15.687,15.824,762878
242,2006-02-10,15.824,16.076,15.553,15.966,288824
243,2006-02-13,15.887,16.058,15.75,16.002,251209
244,2006-02-14,16.002,16.319,15.858,16.13,545391
245,2006-02-15,16.084,16.219,15.841,16.219,907854
246,2006-02-16,16.229,16.41,15.956,16.345,692477
247,2006-02-17,16.41,16.41,15.824,16.03,304254
248,2006-02-21,16.002,16.184,15.841,15.966,410267
249,2006-02-22,15.905,16.121,15.85,15.877,540067
250,2006-02-23,15.824,15.956,15.687,15.786,602392
251,2006-02-24,15.824,15.824,15.434,15.461,671664
252,2006-02-27,15.444,15.714,15.038,15.128,1925674
253,2006-02-28,15.029,15.355,14.984,15.092,877217
254,2006-03-01,15.118,15.355,15.083,15.147,801658
255,2006-03-02,15.118,15.786,14.912,15.364,902691
256,2006-03-03,15.298,15.488,14.912,15.382,517329
257,2006-03-06,15.452,15.814,15.217,15.478,937993
258,2006-03-07,15.47,15.533,15.055,15.184,471130
259,2006-03-08,15.118,15.533,15.083,15.327,414310
260,2006-03-09,15.298,15.517,15.217,15.327,173848
261,2006-03-10,15.317,15.571,15.192,15.452,308292
262,2006-03-13,15.478,15.625,15.157,15.201,189105
263,2006-03-14,15.226,15.507,15.165,15.434,203214
264,2006-03-15,15.478,15.606,15.355,15.488,220659
265,2006-03-16,15.488,15.687,15.444,15.444,252679
266,2006-03-17,15.524,15.704,15.382,15.47,559238
267,2006-03-20,15.434,16.011,15.399,15.966,979476
268,2006-03-21,15.905,15.905,15.317,15.345,586851
269,2006-03-22,15.373,15.418,15.137,15.217,443048
270,2006-03-23,15.28,15.327,15.137,15.192,379860
271,2006-03-24,14.586,14.849,14.136,14.613,3732391
272,2006-03-27,14.561,15.012,14.172,14.669,911140
273,2006-03-28,14.669,14.687,14.388,14.426,669685
274,2006-03-29,14.407,14.64,14.343,14.435,757794
275,2006-03-30,14.479,14.613,14.317,14.604,580400
276,2006-03-31,14.594,14.902,14.281,14.831,681327
277,2006-04-03,14.804,14.858,14.489,14.577,397791
278,2006-04-04,14.551,14.723,14.426,14.561,285803
279,2006-04-05,14.542,14.64,14.451,14.561,304352
280,2006-04-06,14.508,14.577,14.426,14.489,200909
281,2006-04-07,14.01,14.451,13.837,14.281,879557
282,2006-04-10,14.245,14.471,14.218,14.255,649603
283,2006-04-11,14.245,14.263,14.127,14.163,363481
284,2006-04-12,14.109,14.289,14.047,14.19,312264
285,2006-04-13,14.272,14.272,13.93,14.056,354060
286,2006-04-17,14.02,14.037,13.649,13.804,330506
287,2006-04-18,13.875,14.272,13.827,14.263,290246
288,2006-04-19,14.298,14.577,14.146,14.407,516435
289,2006-04-20,14.416,14.416,13.966,14.037,407113
290,2006-04-21,14.127,14.498,13.938,14.379,766141
291,2006-04-24,14.426,14.57,14.181,14.489,621038
292,2006-04-25,14.517,14.551,14.181,14.517,440843
293,2006-04-26,14.577,14.586,14.351,14.461,351933
294,2006-04-27,14.426,14.974,14.369,14.533,308572
295,2006-04-28,14.498,14.984,14.443,14.858,490863
296,2006-05-01,14.894,14.984,14.335,14.398,308645
297,2006-05-02,14.343,14.398,13.784,13.902,778993
298,2006-05-03,13.883,14.208,13.632,13.847,797331
299,2006-05-04,13.794,13.91,13.659,13.741,775613
300,2006-05-05,13.75,13.875,13.558,13.622,579976
301,2006-05-08,13.622,13.659,13.506,13.558,680116
302,2006-05-09,13.523,13.558,13.435,13.478,435968
303,2006-05-10,13.478,13.712,13.478,13.523,347170
304,2006-05-11,13.523,13.686,13.462,13.478,249420
305,2006-05-12,13.444,13.497,13.1,13.324,770934
306,2006-05-15,13.225,13.398,13.117,13.332,403129
307,2006-05-16,13.298,13.453,13.081,13.263,227120
308,2006-05-17,13.164,13.288,13.135,13.164,214835
309,2006-05-18,13.253,13.426,13.164,13.235,227558
310,2006-05-19,11.415,11.496,10.647,10.927,8759053
311,2006-05-22,10.917,11.088,10.73,11.052,1973107
312,2006-05-23,11.188,11.718,11.162,11.449,1418528
313,2006-05-24,11.377,11.513,11.144,11.441,787534
314,2006-05-25,11.467,11.568,11.441,11.568,538213
315,2006-05-26,11.621,11.865,11.549,11.828,496852
316,2006-05-30,11.855,11.892,11.459,11.513,513517
317,2006-05-31,11.496,11.666,11.342,11.54,820733
318,2006-06-01,11.584,11.927,11.459,11.901,864360
319,2006-06-02,11.946,12.073,11.649,11.838,315098
320,2006-06-05,11.811,11.838,11.441,11.504,552533
321,2006-06-06,11.53,11.675,11.415,11.629,369319
322,2006-06-07,11.612,11.793,11.459,11.603,529570
323,2006-06-08,11.54,11.927,11.432,11.883,703191
324,2006-06-09,11.927,12.055,11.766,11.828,279818
325,2006-06-12,11.802,11.802,11.423,11.459,237499
326,2006-06-13,11.396,11.82,11.314,11.333,311416
327,2006-06-14,11.314,11.575,11.314,11.459,376321
328,2006-06-15,11.486,11.883,11.467,11.874,517925
329,2006-06-16,11.845,11.883,11.629,11.845,868910
330,2006-06-19,11.802,11.811,11.333,11.496,354332
331,2006-06-20,11.459,11.584,11.396,11.513,345566
332,2006-06-21,11.396,11.766,11.387,11.603,358337
333,2006-06-22,11.288,11.793,11.269,11.53,480655
334,2006-06-23,11.54,11.54,11.225,11.305,452419
335,2006-06-26,11.205,11.359,10.954,11.035,747559
336,2006-06-27,11.009,11.088,10.765,10.802,900251
337,2006-06-28,10.845,10.909,10.6,10.629,687449
338,2006-06-29,10.683,10.756,10.647,10.693,766228
339,2006-06-30,10.765,10.774,10.549,10.665,1535869
340,2006-07-03,10.638,10.711,10.574,10.683,359242
341,2006-07-05,10.665,10.865,10.638,10.765,484077
342,2006-07-06,10.737,10.909,10.558,10.592,421140
343,2006-07-07,10.558,10.674,10.46,10.62,496494
344,2006-07-10,10.61,11.387,10.61,11.269,1101133
345,2006-07-11,11.279,11.279,10.881,11.197,393552
346,2006-07-12,11.172,11.188,10.809,10.872,214260
347,2006-07-13,10.809,11.097,10.656,10.845,344019
348,2006-07-14,10.819,10.971,10.765,10.774,364509
349,2006-07-17,10.756,10.809,10.503,10.683,200602
350,2006-07-18,10.737,10.819,10.377,10.531,375774
351,2006-07-19,10.503,10.881,10.46,10.683,340541
352,2006-07-20,10.72,10.865,10.367,10.386,260428
353,2006-07-21,10.348,10.358,10.179,10.288,544403
354,2006-07-24,10.288,10.747,10.288,10.61,175075
355,2006-07-25,10.583,10.855,10.404,10.702,625146
356,2006-07-26,10.656,10.72,10.521,10.647,251477
357,2006-07-27,10.702,10.809,10.583,10.693,606724
358,2006-07-28,10.747,11.097,10.683,11.071,804961
359,2006-07-31,11.035,11.144,10.855,11.088,923401
360,2006-08-01,11.035,11.088,10.45,10.512,543911
361,2006-08-02,10.567,10.747,10.422,10.747,361671
362,2006-08-03,10.737,10.756,10.288,10.322,1221862
363,2006-08-04,10.413,10.558,10.089,10.151,624495
364,2006-08-07,10.108,10.108,9.944,9.989,514681
365,2006-08-08,9.979,10.214,9.979,9.998,677741
366,2006-08-09,10.007,10.151,9.989,10.053,585113
367,2006-08-10,9.989,10.367,9.927,10.089,400176
368,2006-08-11,10.053,10.151,9.927,9.961,369586
369,2006-08-14,10.07,10.07,9.844,9.871,473863
370,2006-08-15,9.97,10.142,9.944,10.025,316238
371,2006-08-16,10.079,10.151,9.953,9.998,486828
