,Date,Open,High,Low,Close,Volume
0,2005-02-25,11.993,12.206,11.909,12.206,137994
1,2005-02-28,12.206,12.337,12.187,12.318,378726
2,2005-03-01,12.308,12.501,12.298,12.373,249384
3,2005-03-02,12.251,12.492,12.177,12.222,292208
4,2005-03-03,12.206,12.483,12.206,12.42,175413
5,2005-03-04,12.447,12.689,12.447,12.67,187741
6,2005-03-07,12.68,12.707,12.373,12.42,264523
7,2005-03-08,12.511,12.651,12.511,12.536,196609
8,2005-03-09,12.536,12.778,12.518,12.68,180173
9,2005-03-10,12.67,12.752,12.584,12.67,367484
10,2005-03-11,12.67,12.76,12.565,12.689,176709
11,2005-03-14,12.67,12.806,12.67,12.734,192931
12,2005-03-15,12.778,12.936,12.545,12.565,255657
13,2005-03-16,12.527,12.602,12.337,12.391,198125
14,2005-03-17,12.42,12.565,12.289,12.318,239436
15,2005-03-18,12.456,12.574,12.391,12.518,490766
16,2005-03-21,12.593,12.593,12.391,12.518,132368
17,2005-03-22,12.518,12.67,12.318,12.347,236625
18,2005-03-23,12.778,13.408,12.716,13.057,1321112
19,2005-03-24,13.113,13.166,12.984,13.031,414416
20,2005-03-28,13.057,13.317,13.057,13.297,370512
21,2005-03-29,13.232,13.499,13.185,13.203,675264
22,2005-03-30,13.213,13.436,13.213,13.379,623785
23,2005-03-31,13.343,13.446,13.269,13.408,419820
24,2005-04-01,13.379,13.473,13.194,13.242,449670
25,2005-04-04,13.269,13.361,13.148,13.335,328979
26,2005-04-05,13.317,13.473,13.317,13.343,232947
27,2005-04-06,13.399,13.455,13.297,13.297,434314
28,2005-04-07,13.297,13.379,13.148,13.335,502234
29,2005-04-08,13.361,13.379,13.297,13.317,463515
30,2005-04-11,13.361,13.399,13.213,13.213,297836
31,2005-04-12,13.213,13.252,12.926,13.223,553926
32,2005-04-13,13.278,13.343,12.945,13.039,680671
33,2005-04-14,13.064,13.121,12.716,12.76,607780
34,2005-04-15,12.76,12.76,12.447,12.565,479737
35,2005-04-18,12.651,12.889,12.584,12.833,626814
36,2005-04-19,12.898,13.242,12.88,13.203,764808
37,2005-04-20,13.185,13.185,12.965,12.994,734960
38,2005-04-21,13.093,13.399,13.093,13.379,496605
39,2005-04-22,13.343,13.361,13.039,13.213,352557
40,2005-04-25,13.242,13.446,13.175,13.335,353420
41,2005-04-26,13.638,14.156,13.612,13.98,1443318
42,2005-04-27,13.98,14.203,13.88,13.917,699487
43,2005-04-28,13.917,14.146,13.917,13.98,932220
44,2005-04-29,14.028,14.056,13.823,14.018,843972
45,2005-05-02,14.103,14.333,14.008,14.203,544839
46,2005-05-03,14.166,14.527,14.166,14.362,765460
47,2005-05-04,14.362,14.868,14.323,14.793,820610
48,2005-05-05,14.803,14.962,14.766,14.812,725008
49,2005-05-06,14.858,14.925,14.657,14.731,444697
50,2005-05-09,14.741,14.775,14.693,14.756,383705
51,2005-05-10,14.657,14.693,14.38,14.517,447075
52,2005-05-11,14.527,14.572,14.352,14.508,299565
53,2005-05-12,14.333,14.675,14.252,14.333,418742
54,2005-05-13,14.38,14.396,13.842,14.056,392138
55,2005-05-16,13.999,14.232,13.935,14.232,543757
56,2005-05-17,14.166,14.252,14.056,14.252,393651
57,2005-05-18,14.323,14.784,14.323,14.748,338496
58,2005-05-19,14.748,14.925,14.479,14.657,385432
59,2005-05-20,14.657,14.657,14.443,14.469,204827
60,2005-05-23,14.459,14.667,14.451,14.498,307782
61,2005-05-24,14.406,14.629,14.266,14.488,163084
62,2005-05-25,14.443,14.469,14.223,14.388,262793
63,2005-05-26,14.406,14.683,14.396,14.683,160707
64,2005-05-27,14.667,14.756,14.601,14.703,176278
65,2005-05-31,14.683,15.054,14.683,14.981,393220
66,2005-06-01,14.935,15.162,14.878,15.155,452483
67,2005-06-02,15.155,15.571,15.009,15.443,544407
68,2005-06-03,15.423,15.532,15.322,15.459,527754
69,2005-06-06,15.257,15.276,15.054,15.162,292428
70,2005-06-07,15.172,15.506,15.172,15.332,290051
71,2005-06-08,15.332,15.332,15.026,15.09,176926
72,2005-06-09,15.081,15.155,14.906,15.036,244194
73,2005-06-10,15.019,15.118,14.981,14.999,175198
74,2005-06-13,14.858,15.09,14.831,15.071,290911
75,2005-06-14,15.026,15.238,15.026,15.172,306268
76,2005-06-15,15.191,15.322,14.962,15.322,316867
