,Date,Open,High,Low,Close,Volume
0,2010-08-23,45.196,45.321,44.881,44.962,3240
1,2010-08-24,44.305,44.656,44.197,44.656,14214
2,2010-08-25,44.097,44.696,44.088,44.696,2756
3,2010-08-26,44.74,45.031,44.571,44.997,7826
4,2010-08-27,45.031,45.948,45.006,45.898,9469
5,2010-08-30,45.815,45.815,45.196,45.196,1558
6,2010-08-31,45.064,45.115,44.607,44.806,3741
7,2010-09-01,45.281,46.073,45.281,46.073,5283
8,2010-09-02,45.706,46.284,45.321,46.149,8750
9,2010-09-03,46.448,46.708,46.132,46.466,7915
10,2010-09-07,46.699,46.822,46.306,46.783,5545
11,2010-09-08,46.458,46.458,45.697,46.321,4091
12,2010-09-09,46.398,46.574,46.156,46.156,3118
13,2010-09-10,46.448,46.615,46.367,46.367,598
14,2010-09-13,46.783,47.281,46.783,47.116,4711
15,2010-09-14,46.531,47.367,46.531,47.325,1558
16,2010-09-15,47.449,47.449,46.955,47.056,1739
17,2010-09-16,46.539,47.484,46.539,47.4,1344
18,2010-09-17,47.49,48.283,46.865,48.283,7196
19,2010-09-20,47.781,48.042,47.534,47.809,750
20,2010-09-21,47.732,47.732,47.4,47.416,2879
21,2010-09-22,47.29,47.29,46.889,46.889,1200
22,2010-09-23,46.791,46.791,46.231,46.476,3199
23,2010-09-24,46.973,47.374,46.765,47.266,2756
24,2010-09-28,47.616,47.616,47.458,47.49,2080
25,2010-09-29,47.616,48.032,47.616,47.741,899
26,2010-09-30,47.732,48.283,47.55,47.865,4291
27,2010-10-01,48.326,48.358,47.741,47.741,2281
28,2010-10-04,47.616,47.616,47.616,47.616,479
29,2010-10-05,48.117,48.716,48.117,48.716,4860
30,2010-10-06,48.45,48.617,48.432,48.617,598
31,2010-10-07,48.784,48.84,48.283,48.84,852
32,2010-10-08,48.908,48.908,48.408,48.551,2879
33,2010-10-11,48.809,48.809,48.809,48.809,181
34,2010-10-12,48.307,49.19,48.066,48.26,5866
35,2010-10-13,48.307,48.784,48.307,48.784,1310
36,2010-10-14,48.365,48.365,47.865,48.291,4556
37,2010-10-15,48.291,48.365,48.066,48.241,3477
38,2010-10-18,48.066,48.066,48.032,48.032,360
39,2010-10-19,47.916,48.117,47.616,47.623,1798
40,2010-10-20,47.949,48.365,47.949,48.365,6192
41,2010-10-21,47.874,48.7,47.874,48.442,2487
42,2010-10-22,48.383,48.692,48.383,48.692,479
43,2010-10-25,48.7,49.16,48.659,48.659,479
44,2010-10-26,48.374,48.374,47.965,47.965,2518
45,2010-10-27,47.49,47.534,47.116,47.534,1919
46,2010-10-28,47.865,48.343,47.841,48.074,2807
47,2010-10-29,48.032,48.365,48.032,48.365,1919
48,2010-11-01,48.365,48.365,47.682,47.965,840
49,2010-11-02,48.992,48.992,48.499,48.509,6733
50,2010-11-03,48.499,48.716,48.157,48.515,9431
51,2010-11-04,49.018,49.199,49.018,49.199,1681
52,2010-11-05,49.199,49.533,49.183,49.533,2602
53,2010-11-08,49.518,49.518,49.116,49.409,1681
54,2010-11-09,49.318,49.318,49.318,49.318,242
55,2010-11-10,48.908,49.376,48.766,49.376,720
56,2010-11-11,49.199,49.701,49.199,49.701,360
57,2010-11-12,49.617,49.617,49.367,49.617,3176
58,2010-11-15,49.617,50.034,49.617,49.776,3037
59,2010-11-16,49.617,49.617,48.551,48.551,3240
60,2010-11-17,48.625,48.7,48.625,48.7,819
61,2010-11-18,49.199,49.426,49.199,49.199,840
62,2010-11-19,49.199,49.199,48.774,48.992,6493
63,2010-11-22,48.784,48.784,48.365,48.365,7196
64,2010-11-23,48.134,48.365,48.134,48.365,720
65,2010-11-24,48.45,48.574,48.217,48.217,5351
66,2010-11-26,48.692,49.16,48.684,48.684,598
67,2010-11-29,48.108,48.534,47.7,47.7,8308
68,2010-11-30,47.708,48.05,47.534,47.649,9186
69,2010-12-01,48.149,48.365,47.325,47.949,12709
70,2010-12-02,48.418,49.325,48.418,49.265,9293
71,2010-12-03,49.376,50.034,49.376,49.851,1155
72,2010-12-06,49.585,49.585,49.199,49.409,18949
73,2010-12-07,49.559,49.9,49.417,49.417,2640
74,2010-12-08,49.058,49.726,49.058,49.434,489
75,2010-12-09,48.784,49.199,48.784,49.116,4315
76,2010-12-10,49.142,49.283,49.116,49.283,2159
77,2010-12-13,49.417,49.883,49.283,49.701,30623
78,2010-12-14,49.55,49.867,49.55,49.785,18081
79,2010-12-15,50.2,50.37,49.842,50.37,4095
80,2010-12-16,49.351,50.352,49.351,50.352,1854
81,2010-12-17,50.893,52.41,50.492,52.41,22384
82,2010-12-20,52.078,52.103,51.285,51.42,6254
83,2010-12-21,51.527,51.786,51.327,51.452,4997
84,2010-12-22,51.951,52.538,51.703,51.994,5386
85,2010-12-23,52.027,52.202,51.594,51.703,7509
86,2010-12-27,51.486,51.703,51.077,51.368,9432
87,2010-12-28,51.517,51.517,50.958,51.103,7573
88,2010-12-29,51.117,51.493,51.003,51.493,1800
89,2010-12-30,51.575,51.575,51.354,51.368,2937
90,2010-12-31,51.703,51.703,50.867,51.126,6234
91,2011-01-03,51.443,51.452,51.035,51.035,3567
92,2011-01-04,51.317,51.354,51.059,51.242,2991
93,2011-01-05,51.285,51.618,51.178,51.618,3611
94,2011-01-06,51.411,51.677,51.225,51.225,2150
95,2011-01-07,51.308,51.308,50.867,51.278,14528
96,2011-01-10,50.867,51.285,50.585,50.658,9881
97,2011-01-11,50.658,50.825,50.658,50.825,12070
98,2011-01-12,50.825,51.285,50.819,50.867,11222
99,2011-01-13,50.867,50.867,50.852,50.867,2341
100,2011-01-14,50.594,50.867,50.594,50.81,4888
101,2011-01-18,50.867,50.901,50.785,50.901,15004
102,2011-01-19,51.077,51.285,50.832,50.867,3440
103,2011-01-20,50.825,51.285,50.652,51.145,2356
104,2011-01-21,51.285,51.285,50.867,50.867,3240
105,2011-01-24,50.867,51.285,50.867,51.285,19182
106,2011-01-25,51.201,52.243,51.044,51.36,13433
107,2011-01-26,51.636,51.703,51.201,51.285,14291
108,2011-01-27,51.234,51.644,51.234,51.493,13317
109,2011-01-28,51.308,51.327,50.658,50.658,20867
110,2011-01-31,50.692,50.867,50.41,50.41,18162
111,2011-02-01,50.658,51.913,50.658,51.913,27032
112,2011-02-02,51.594,52.119,51.594,51.736,47008
113,2011-02-03,51.493,52.012,51.411,51.913,19079
114,2011-02-04,51.913,51.913,51.493,51.693,14889
115,2011-02-07,51.828,52.034,51.786,52.004,9985
116,2011-02-08,51.951,52.119,51.802,51.994,16901
117,2011-02-09,51.959,52.086,51.951,52.086,5887
118,2011-02-10,52.119,52.119,52.052,52.052,2908
119,2011-02-11,52.119,52.243,52.119,52.195,3736
120,2011-02-14,51.913,52.119,51.859,52.034,9978
121,2011-02-15,52.052,52.052,51.736,51.921,7271
122,2011-02-16,51.994,52.243,51.994,52.202,5400
123,2011-02-18,52.119,52.119,52.034,52.103,4045
124,2011-02-22,51.913,51.913,50.768,50.768,13964
125,2011-02-23,50.867,51.376,50.867,50.995,5792
126,2011-02-24,50.842,51.077,50.842,51.016,10224
127,2011-02-25,51.136,51.486,51.136,51.478,9599
128,2011-02-28,51.547,52.043,51.547,51.786,8071
129,2011-03-01,51.786,51.786,51.136,51.285,3656
130,2011-03-02,50.867,51.913,50.852,51.913,29337
131,2011-03-03,50.867,51.527,50.293,51.117,41206
132,2011-03-04,51.035,51.094,50.741,50.785,9016
133,2011-03-07,50.785,50.995,50.243,50.37,11302
134,2011-03-08,50.949,51.168,50.37,51.126,19656
135,2011-03-09,50.986,50.986,50.702,50.911,11908
136,2011-03-10,50.41,50.41,49.677,50.077,9951
137,2011-03-11,49.757,50.26,49.757,50.034,3656
138,2011-03-14,49.641,49.95,49.641,49.95,8172
139,2011-03-15,48.734,49.658,48.625,49.658,5185
140,2011-03-16,49.491,49.992,49.384,49.992,4962
141,2011-03-17,49.95,49.95,49.334,49.533,7114
142,2011-03-18,49.958,50.352,49.958,50.284,10734
143,2011-03-21,50.326,51.611,50.326,50.949,32555
144,2011-03-22,51.068,51.117,50.949,51.035,17295
145,2011-03-23,51.077,51.201,51.035,51.168,25917
146,2011-03-24,51.126,51.201,50.995,51.077,9015
147,2011-03-25,51.077,51.242,51.035,51.103,27961
148,2011-03-28,51.077,51.411,51.077,51.242,24613
149,2011-03-29,51.411,51.411,51.159,51.327,16723
150,2011-03-30,51.354,51.411,51.285,51.354,15110
151,2011-03-31,51.354,51.452,51.285,51.368,12783
152,2011-04-01,51.384,51.744,51.384,51.693,15532
153,2011-04-04,51.703,51.786,51.644,51.718,19449
154,2011-04-05,51.703,51.786,51.693,51.768,33293
155,2011-04-06,51.768,51.793,51.594,51.744,21517
156,2011-04-07,51.751,51.751,51.493,51.493,11871
157,2011-04-08,51.703,51.786,50.935,50.935,11000
158,2011-04-11,50.935,51.368,50.418,50.609,13851
159,2011-04-12,50.243,50.302,49.55,49.919,9596
160,2011-04-13,50.034,50.034,49.701,49.776,4354
161,2011-04-14,49.842,50.084,49.701,49.742,4676
162,2011-04-15,50.034,50.034,49.823,49.927,20121
163,2011-04-18,49.867,49.867,49.101,49.207,11393
164,2011-04-19,49.207,49.226,48.975,48.975,17158
165,2011-04-20,49.426,49.426,48.952,49.199,11204
