,Date,Open,High,Low,Close,Volume
0,2016-11-11,20.25,20.25,20.01,20.101,559
1,2016-11-15,20.2,20.2,20.2,20.2,153
2,2016-11-18,20.59,20.59,20.59,20.59,100
3,2016-11-22,20.18,20.18,20.0,20.0,306
4,2016-11-29,20.0,20.0,20.0,20.0,399
5,2016-11-30,20.4,20.4,20.4,20.4,100
6,2016-12-06,19.75,20.0,19.72,20.0,355
7,2016-12-07,19.78,19.78,19.78,19.78,400
8,2016-12-08,20.75,20.75,20.75,20.75,200
9,2016-12-13,20.4,21.69,20.4,20.65,664
10,2016-12-19,21.03,21.03,21.03,21.03,115
11,2017-01-05,20.14,20.14,19.07,19.07,453
12,2017-01-11,19.07,19.07,19.07,19.07,131
13,2017-01-12,18.5,18.5,18.5,18.5,183
14,2017-01-31,18.5,18.5,18.5,18.5,140
15,2017-02-07,17.84,17.84,17.84,17.84,239
16,2017-02-24,17.75,18.5,17.75,18.5,2069
17,2017-03-01,18.5,19.4299,18.5,19.4299,1000
18,2017-03-03,18.2,18.2,18.2,18.2,153
19,2017-03-06,17.99,18.0,17.99,18.0,950
20,2017-03-08,17.96,18.0,17.96,18.0,537
21,2017-03-15,18.0,18.0,18.0,18.0,100
22,2017-03-17,18.0,18.0,18.0,18.0,200
23,2017-03-31,18.36,18.36,18.36,18.36,100
24,2017-04-03,18.0,18.0,18.0,18.0,100
25,2017-04-04,18.36,18.36,18.0,18.0,247
26,2017-04-11,18.0,18.0,18.0,18.0,100
27,2017-05-02,17.75,17.75,17.75,17.75,153
28,2017-05-15,17.75,17.75,17.75,17.75,309
29,2017-05-18,17.39,17.39,16.7,16.7,618
30,2017-05-23,17.21,17.21,17.21,17.21,100
31,2017-05-30,17.56,18.0,17.56,17.56,300
32,2017-05-31,17.0,17.0,17.0,17.0,322
33,2017-06-08,16.76,16.8553,16.76,16.8553,353
34,2017-06-09,17.1,17.1,17.1,17.1,100
35,2017-06-12,17.0,17.0,16.881,16.881,309
36,2017-06-27,16.83,16.83,16.83,16.83,153
37,2017-07-06,17.0,17.0,17.0,17.0,153
38,2017-07-26,17.3,17.3,17.3,17.3,153
39,2017-07-28,17.3,17.5,17.3,17.5,306
40,2017-08-01,17.25,17.25,17.25,17.25,153
41,2017-08-04,16.71,16.71,16.7,16.7,800
42,2017-08-07,17.8999,17.8999,17.765,17.765,500
43,2017-08-11,16.7,16.7,16.7,16.7,1641
44,2017-08-16,16.7,16.7,16.7,16.7,300
45,2017-08-18,17.2999,17.2999,17.1172,17.1172,402
46,2017-08-21,16.1823,16.1823,16.1823,16.1823,618
47,2017-08-22,16.5,16.5,16.5,16.5,153
48,2017-08-25,18.5899,18.5899,18.5899,18.5899,108
49,2017-08-29,16.76,17.49,16.76,17.49,253
50,2017-09-14,16.21,17.01,16.21,17.01,306
51,2017-09-20,17.01,17.01,17.01,17.01,125
52,2017-09-26,17.01,17.1,16.75,16.9,1331
53,2017-09-27,17.22,17.22,17.22,17.22,100
54,2017-09-28,16.4,17.15,16.4,17.0,1966
55,2017-10-03,17.45,17.45,17.45,17.45,309
56,2017-10-12,17.45,17.45,17.45,17.45,411
57,2017-10-23,17.45,17.95,17.45,17.95,401
58,2017-10-31,17.181,17.181,17.181,17.181,216
59,2017-11-02,16.5,16.5,16.5,16.5,153
60,2017-11-07,17.5627,17.5627,17.5,17.5,1173
