,Date,Open,High,Low,Close,Volume
0,2017-05-18,25.35,25.35,25.25,25.29,170419
1,2017-05-19,25.3,25.4,25.2999,25.37,207219
2,2017-05-22,25.43,25.45,25.3,25.33,156864
3,2017-05-23,25.349,25.36,25.26,25.28,121767
4,2017-05-24,25.25,25.3,25.17,25.2,133614
5,2017-05-25,25.2,25.29,25.197,25.27,185350
6,2017-05-26,25.29,25.38,25.2475,25.36,127146
7,2017-05-30,25.38,25.38,25.3,25.34,142540
8,2017-05-31,25.33,25.38,25.3,25.36,178270
9,2017-06-01,25.35,25.46,25.3413,25.42,93787
10,2017-06-02,25.41,25.58,25.41,25.58,92916
11,2017-06-05,25.5,25.5799,25.485,25.52,54819
12,2017-06-06,25.55,25.5699,25.41,25.42,157160
13,2017-06-07,25.41,25.47,25.37,25.4,107923
14,2017-06-08,25.35,25.44,25.26,25.4,114735
15,2017-06-09,25.4,25.4,25.31,25.35,77387
16,2017-06-12,25.37,25.38,25.28,25.34,59521
17,2017-06-13,25.37,25.47,25.3,25.43,109734
18,2017-06-14,25.43,25.51,25.4,25.46,83851
19,2017-06-15,25.42,25.45,25.34,25.38,66999
20,2017-06-16,25.38,25.4,25.32,25.39,57137
21,2017-06-19,25.4,25.45,25.35,25.36,129226
22,2017-06-20,25.34,25.35,25.06,25.2,184940
23,2017-06-21,25.22,25.27,25.17,25.23,43206
24,2017-06-22,25.25,25.36,25.2418,25.36,137844
25,2017-06-23,25.36,25.45,25.36,25.44,67972
26,2017-06-26,25.46,25.52,25.38,25.5,60367
27,2017-06-27,25.54,25.55,25.42,25.53,74818
28,2017-06-28,25.54,25.74,25.5,25.69,88610
29,2017-06-29,25.62,25.71,25.37,25.48,76812
30,2017-06-30,25.45,25.64,25.45,25.55,74062
31,2017-07-03,25.605,25.7,25.52,25.7,44980
32,2017-07-05,25.7,25.72,25.58,25.7,83726
33,2017-07-06,25.69,25.69,25.55,25.65,101768
34,2017-07-07,25.64,25.75,25.62,25.72,48443
35,2017-07-10,25.75,25.84,25.75,25.79,99427
36,2017-07-11,25.79,25.79,25.65,25.75,48452
37,2017-07-12,25.75,25.93,25.73,25.93,103426
38,2017-07-13,25.93,26.09,25.87,26.0,61275
39,2017-07-14,26.05,26.13,25.89,25.94,79665
40,2017-07-17,25.98,26.07,25.87,25.87,69624
41,2017-07-18,25.93,25.95,25.77,25.94,56454
42,2017-07-19,25.95,25.985,25.91,25.92,43347
43,2017-07-20,25.97,26.07,25.92,26.0,68845
44,2017-07-21,26.01,26.07,25.94,26.05,603351
45,2017-07-24,26.06,26.07,26.0,26.06,42325
46,2017-07-25,26.0199,26.06,25.81,25.88,83637
47,2017-07-26,25.9,25.94,25.77,25.92,48489
48,2017-07-27,25.97,25.97,25.8347,25.9,19685
49,2017-07-28,25.9,25.98,25.8501,25.88,31444
50,2017-07-31,25.92,25.9848,25.907,25.97,26945
51,2017-08-01,25.98,25.98,25.9,25.97,13989
52,2017-08-02,25.97,26.0,25.9601,26.0,40530
53,2017-08-03,25.95,26.05,25.95,26.02,35750
54,2017-08-04,26.0,26.05,25.95,25.9999,22462
55,2017-08-07,25.97,26.06,25.95,26.06,23906
56,2017-08-08,26.08,26.21,26.018,26.2,59634
57,2017-08-09,26.02,26.4,26.02,26.25,40935
58,2017-08-10,26.15,26.18,25.95,26.12,54577
59,2017-08-11,26.145,26.145,25.97,26.05,34714
60,2017-08-14,26.0999,26.13,26.08,26.1299,28581
61,2017-08-15,26.08,26.3399,26.08,26.25,36155
62,2017-08-16,26.15,26.3399,26.1,26.2799,25221
63,2017-08-17,26.25,26.3,26.13,26.19,38046
64,2017-08-18,26.14,26.2899,26.08,26.14,31422
65,2017-08-21,26.15,26.15,26.0,26.08,21173
66,2017-08-22,26.13,26.18,26.01,26.01,20787
67,2017-08-23,26.02,26.25,26.02,26.2,27486
68,2017-08-24,26.24,26.25,26.1798,26.2499,13221
69,2017-08-25,26.25,26.58,26.25,26.4003,27838
70,2017-08-28,26.5,26.5,26.22,26.34,17847
71,2017-08-29,26.25,26.55,26.23,26.25,18460
72,2017-08-30,26.5399,26.5399,26.31,26.31,24808
73,2017-08-31,26.2601,26.5084,26.2601,26.49,38957
74,2017-09-01,26.3922,26.5,26.36,26.45,46171
75,2017-09-05,26.45,26.6999,26.4,26.54,14033
76,2017-09-06,26.6,26.7,26.5,26.7,17741
77,2017-09-07,26.17,26.17,26.03,26.11,35525
78,2017-09-08,26.15,26.15,25.79,25.89,63818
79,2017-09-11,26.32,26.32,25.94,26.04,31848
80,2017-09-12,26.061,26.11,25.96,26.09,41049
81,2017-09-13,26.01,26.0772,26.0,26.06,16050
82,2017-09-14,26.07,26.08,26.01,26.02,7716
83,2017-09-15,26.021,26.2,26.02,26.2,15944
84,2017-09-18,26.24,26.54,26.2255,26.54,15585
85,2017-09-19,26.5,26.68,26.5,26.64,22110
86,2017-09-20,26.7,26.7,26.5192,26.63,11395
87,2017-09-21,26.67,26.8,26.4684,26.778,19962
88,2017-09-22,26.8,26.8526,26.75,26.75,17695
89,2017-09-25,26.75,27.24,26.64,26.81,15577
90,2017-09-26,26.82,26.82,26.68,26.76,14732
91,2017-09-27,26.75,26.75,26.5301,26.74,18492
92,2017-09-28,26.74,26.74,26.21,26.44,62902
93,2017-09-29,26.45,26.64,26.44,26.45,12724
94,2017-10-02,26.56,26.6,26.514,26.52,5829
95,2017-10-03,26.55,26.5731,26.32,26.41,8911
96,2017-10-04,26.32,26.42,26.23,26.36,8700
97,2017-10-05,26.43,26.53,26.28,26.31,25506
98,2017-10-06,26.25,26.25,26.09,26.18,17309
99,2017-10-09,26.19,26.21,26.05,26.1,20364
100,2017-10-10,26.12,26.47,26.12,26.25,6942
101,2017-10-11,26.27,26.45,26.27,26.4,11897
102,2017-10-12,26.4288,26.43,26.35,26.43,11229
103,2017-10-13,26.45,26.45,26.34,26.44,7980
104,2017-10-16,26.46,26.47,26.4162,26.45,5640
105,2017-10-17,26.44,26.55,26.37,26.4,15321
106,2017-10-18,26.4,26.4,26.25,26.4,17646
107,2017-10-19,26.3,26.49,26.3,26.49,9557
108,2017-10-20,26.48,26.57,26.45,26.52,10708
109,2017-10-23,26.5899,26.73,26.52,26.67,15913
110,2017-10-24,26.645,26.72,26.57,26.7,5096
111,2017-10-25,26.5,26.6,26.4,26.45,22172
112,2017-10-26,26.6596,26.6596,26.34,26.34,13923
113,2017-10-27,26.4022,26.5,26.34,26.35,6828
114,2017-10-30,26.43,26.64,26.0,26.06,39530
115,2017-10-31,26.2,26.64,26.2,26.38,21105
116,2017-11-01,26.4859,26.4859,26.2,26.29,11093
117,2017-11-02,26.3021,26.32,26.25,26.25,13138
118,2017-11-03,26.4799,26.4799,26.3,26.43,5077
119,2017-11-06,26.47,26.61,26.4,26.51,22471
120,2017-11-07,26.505,26.6,26.4501,26.54,5913
121,2017-11-08,26.55,26.6,26.4,26.4,18513
122,2017-11-09,26.45,26.58,26.45,26.56,8209
123,2017-11-10,26.5816,26.639,26.36,26.42,16978
