,Date,Open,High,Low,Close,Volume
0,2014-05-05,24.369,24.369,24.293,24.34,1235331
1,2014-05-06,24.36,24.379,24.312,24.331,612410
2,2014-05-07,24.322,24.322,24.217,24.245,1182521
3,2014-05-08,24.236,24.331,24.226,24.322,1034505
4,2014-05-09,24.303,24.34,24.274,24.293,155610
5,2014-05-12,24.283,24.34,24.265,24.283,466946
6,2014-05-13,24.283,24.331,24.265,24.303,327811
7,2014-05-14,24.293,24.322,24.274,24.312,419105
8,2014-05-15,24.322,24.34,24.293,24.312,161946
9,2014-05-16,24.303,24.35,24.293,24.34,620092
10,2014-05-19,24.35,24.417,24.34,24.379,1405647
11,2014-05-20,24.397,24.484,24.397,24.455,490539
12,2014-05-21,24.445,24.484,24.407,24.427,1603365
13,2014-05-22,24.445,24.464,24.417,24.455,304439
14,2014-05-23,24.436,24.464,24.436,24.445,162927
15,2014-05-27,24.493,24.569,24.474,24.559,282971
16,2014-05-28,24.541,24.674,24.541,24.646,278803
17,2014-05-29,24.626,24.713,24.626,24.693,200152
18,2014-05-30,24.703,24.713,24.626,24.703,1864515
19,2014-06-02,24.713,24.721,24.664,24.693,406524
20,2014-06-03,24.703,24.703,24.484,24.541,757684
21,2014-06-04,24.569,24.569,24.255,24.512,690945
22,2014-06-05,24.551,24.579,24.379,24.559,360865
23,2014-06-06,24.598,24.674,24.559,24.617,252366
24,2014-06-09,24.655,24.655,24.541,24.579,146681
25,2014-06-10,24.579,24.626,24.522,24.569,241743
26,2014-06-11,24.559,24.607,24.417,24.541,120653
27,2014-06-12,24.512,24.579,24.512,24.579,282062
28,2014-06-13,24.607,24.626,24.541,24.569,96965
29,2014-06-16,24.607,24.607,24.484,24.551,905365
30,2014-06-17,24.531,24.551,24.502,24.551,72394
31,2014-06-18,24.541,24.607,24.512,24.607,136340
32,2014-06-19,24.598,24.693,24.579,24.626,135205
33,2014-06-20,24.626,24.703,24.589,24.664,159302
34,2014-06-23,24.731,24.731,24.626,24.664,72957
35,2014-06-24,24.683,24.721,24.646,24.713,133572
36,2014-06-25,24.713,24.874,24.713,24.846,108181
37,2014-06-26,24.865,24.96,24.788,24.96,486787
38,2014-06-27,24.96,25.121,24.95,25.054,202455
39,2014-06-30,25.074,25.141,25.027,25.074,921964
40,2014-07-01,25.131,25.131,25.046,25.046,239396
41,2014-07-02,25.037,25.046,24.893,24.94,639048
42,2014-07-03,24.912,25.037,24.817,25.027,43343
43,2014-07-07,25.084,25.084,24.912,25.017,316716
44,2014-07-08,25.017,25.027,24.97,25.017,243661
45,2014-07-09,25.084,25.104,25.007,25.104,318015
46,2014-07-10,25.064,25.112,24.989,25.084,145272
47,2014-07-11,25.104,25.17,25.064,25.17,162364
48,2014-07-14,25.17,25.17,25.037,25.104,353376
49,2014-07-15,25.112,25.121,25.007,25.084,148967
50,2014-07-16,25.084,25.084,24.989,25.074,817439
51,2014-07-17,25.046,25.104,24.94,24.989,677142
52,2014-07-18,25.027,25.046,24.798,25.046,1553659
53,2014-07-21,23.788,25.046,23.788,24.95,57257
54,2014-07-22,24.931,25.007,24.931,24.997,217990
55,2014-07-23,25.009,25.039,24.912,24.98,730205
56,2014-07-24,24.999,25.009,24.922,24.99,455451
57,2014-07-25,24.941,24.999,24.922,24.961,82651
58,2014-07-28,24.961,25.009,24.961,24.99,175392
59,2014-07-29,25.009,25.009,24.941,24.961,61755
60,2014-07-30,24.961,24.961,24.864,24.912,198266
61,2014-07-31,24.805,24.825,24.679,24.805,142477
62,2014-08-01,24.719,24.835,24.525,24.67,1119768
63,2014-08-04,24.757,24.757,24.621,24.66,90541
64,2014-08-05,24.679,24.709,24.544,24.592,50448
65,2014-08-06,24.563,24.563,24.457,24.495,224651
66,2014-08-07,24.563,24.573,24.505,24.573,247745
67,2014-08-08,24.583,24.612,24.544,24.583,176350
68,2014-08-11,24.631,24.651,24.602,24.612,57545
69,2014-08-12,24.631,24.66,24.573,24.621,171074
70,2014-08-13,24.651,24.738,24.621,24.709,174436
71,2014-08-14,24.728,24.825,24.728,24.786,281848
72,2014-08-15,24.796,24.815,24.67,24.796,82343
73,2014-08-18,24.825,24.951,24.825,24.912,133962
74,2014-08-19,24.951,24.98,24.931,24.961,90552
75,2014-08-20,24.98,24.99,24.922,24.961,117526
76,2014-08-21,24.999,25.057,24.951,24.971,326388
77,2014-08-22,25.039,25.048,25.009,25.039,56217
78,2014-08-25,25.057,25.106,25.057,25.097,63654
79,2014-08-26,25.125,25.125,25.067,25.067,56061
80,2014-08-27,25.155,25.223,25.097,25.203,478097
81,2014-08-28,25.135,25.251,25.135,25.203,482299
82,2014-08-29,25.241,25.241,25.165,25.193,46717
83,2014-09-02,25.203,25.213,24.912,25.009,185882
84,2014-09-03,24.931,25.155,24.893,25.155,632728
85,2014-09-04,25.115,25.115,24.961,24.999,141185
86,2014-09-05,24.951,25.009,24.883,24.883,178081
87,2014-09-08,24.903,24.951,24.835,24.854,66363
88,2014-09-09,24.854,24.854,24.621,24.709,274612
89,2014-09-10,24.679,24.719,24.583,24.67,202176
90,2014-09-11,24.651,24.767,24.602,24.709,181595
91,2014-09-12,24.573,24.621,24.495,24.612,107356
92,2014-09-15,24.631,24.679,24.495,24.573,187734
93,2014-09-16,24.544,24.621,24.495,24.525,218086
94,2014-09-17,24.544,24.689,24.534,24.631,241534
95,2014-09-18,24.651,24.738,24.621,24.641,698681
96,2014-09-19,24.699,24.738,24.641,24.719,286024
97,2014-09-22,24.738,24.777,24.689,24.767,187319
98,2014-09-23,24.757,24.757,24.66,24.67,195938
99,2014-09-24,24.67,24.699,24.621,24.641,90323
100,2014-09-25,24.699,24.699,24.563,24.573,81686
101,2014-09-26,24.573,24.573,24.466,24.486,181775
102,2014-09-29,24.495,24.515,24.428,24.515,161401
103,2014-09-30,24.505,24.583,24.505,24.554,121289
104,2014-10-01,24.583,24.612,24.525,24.525,61452
105,2014-10-02,24.544,24.563,24.476,24.534,186380
106,2014-10-03,24.583,24.67,24.563,24.67,177443
107,2014-10-06,24.719,24.757,24.641,24.67,104306
108,2014-10-07,24.67,24.67,24.602,24.641,176295
109,2014-10-08,24.67,24.757,24.651,24.728,96623
110,2014-10-09,24.757,24.815,24.719,24.767,177669
111,2014-10-10,24.796,24.805,24.66,24.709,84114
112,2014-10-13,24.728,24.796,24.602,24.709,45203
113,2014-10-14,24.767,24.786,24.719,24.747,69356
114,2014-10-15,24.738,24.738,24.602,24.67,139596
115,2014-10-16,24.67,24.709,24.651,24.67,110459
