,Date,Open,High,Low,Close,Volume
0,2005-02-25,10.65,10.86,10.65,10.86,235
1,2005-03-02,10.56,10.62,10.56,10.59,703
2,2005-03-03,11.1,11.25,11.04,11.04,418
3,2005-03-04,11.22,11.22,11.22,11.22,128
4,2005-03-08,10.62,10.62,10.62,10.62,33
5,2005-03-09,10.56,11.22,10.23,10.23,1990
6,2005-03-10,10.59,11.22,10.44,10.5,2086
7,2005-03-11,10.5,11.22,10.5,11.22,200
8,2005-03-14,10.63,11.25,10.63,10.71,300
9,2005-03-15,10.98,11.25,10.98,11.25,333
10,2005-03-16,11.07,11.07,10.8,10.98,466
11,2005-03-17,10.56,10.8,10.56,10.8,100
12,2005-03-22,10.95,10.96,10.95,10.95,300
13,2005-03-23,11.22,11.22,11.22,11.22,33
14,2005-03-28,11.22,11.22,10.65,10.65,999
15,2005-03-30,10.56,10.66,10.56,10.66,366
16,2005-03-31,10.59,10.59,10.23,10.23,300
17,2005-04-01,10.77,11.7,10.77,11.7,3166
18,2005-04-04,11.28,11.7,11.25,11.7,599
19,2005-04-06,10.6,11.7,10.6,11.7,700
20,2005-04-08,11.4,11.7,10.41,10.5,1320
21,2005-04-11,10.34,10.5,10.34,10.5,431
22,2005-04-12,10.8,10.8,10.8,10.8,186
23,2005-04-13,11.34,11.85,11.31,11.85,1045
24,2005-04-14,11.97,12.0,11.79,11.79,649
25,2005-04-15,11.31,11.41,11.31,11.41,333
26,2005-04-18,11.4,11.52,10.8,10.8,2066
27,2005-04-19,11.25,11.25,11.1,11.25,4016
28,2005-04-20,10.8,10.8,10.8,10.8,133
29,2005-04-21,10.92,10.92,10.92,10.92,33
30,2005-04-22,11.85,11.85,11.85,11.85,154
31,2005-04-25,11.66,11.66,10.8,10.8,391
32,2005-04-26,11.25,11.85,11.25,11.85,333
33,2005-04-28,10.5,11.85,10.5,11.85,3199
34,2005-04-29,11.7,11.7,11.7,11.7,33
35,2005-05-02,10.86,11.49,10.83,10.86,674
36,2005-05-03,11.67,11.67,11.67,11.67,166
37,2005-05-04,11.52,11.52,11.52,11.52,40
38,2005-05-05,11.37,11.37,11.31,11.31,708
39,2005-05-09,11.52,11.52,11.13,11.13,566
40,2005-05-10,11.52,12.0,11.52,12.0,3311
41,2005-05-11,11.73,12.45,11.73,12.45,7543
42,2005-05-12,12.42,12.42,12.0,12.0,1581
43,2005-05-13,12.75,12.75,12.75,12.75,6132
44,2005-05-16,11.88,13.5,11.88,13.5,5441
45,2005-05-17,12.75,13.5,12.75,13.5,1429
46,2005-05-18,12.96,12.96,12.45,12.45,500
47,2005-05-19,12.45,12.45,12.03,12.33,816
48,2005-05-20,12.57,13.47,12.57,13.47,999
49,2005-05-23,13.47,13.47,12.18,13.47,483
50,2005-05-24,12.18,12.3,12.18,12.3,493
51,2005-05-25,13.41,13.41,12.24,12.24,1006
52,2005-05-26,12.18,12.18,12.18,12.18,66
53,2005-05-27,12.18,12.21,12.15,12.15,631
54,2005-05-31,12.15,12.15,12.15,12.15,333
55,2005-06-01,12.3,12.3,12.15,12.15,1283
56,2005-06-02,12.33,13.14,12.3,13.14,786
57,2005-06-03,13.65,14.25,13.23,14.25,2836
58,2005-06-06,14.1,15.0,14.1,14.4,4640
59,2005-06-07,14.25,14.35,14.25,14.25,333
60,2005-06-08,14.4,15.24,14.4,15.24,4081
61,2005-06-09,15.3,17.25,15.09,15.75,8613
62,2005-06-10,15.75,16.2,15.33,15.33,3356
63,2005-06-13,15.0,15.0,13.95,13.95,1921
64,2005-06-14,14.22,14.28,14.1,14.1,468
65,2005-06-15,13.5,13.8,13.2,13.2,450
66,2005-06-16,13.8,15.03,13.8,14.7,649
67,2005-06-17,14.97,14.97,13.62,14.79,1266
68,2005-06-21,14.67,20.25,13.5,13.5,41752
69,2005-06-22,13.32,14.43,13.32,14.25,2299
70,2005-06-23,14.25,15.0,13.65,14.19,2843
71,2005-06-24,14.16,14.16,13.5,14.04,1566
72,2005-06-27,14.19,14.43,13.5,14.25,2749
73,2005-06-28,14.4,14.4,14.25,14.25,233
74,2005-06-29,13.56,13.56,13.56,13.56,200
75,2005-06-30,13.53,13.83,12.75,12.75,1301
76,2005-07-01,12.75,13.47,12.0,13.47,2323
77,2005-07-05,13.5,14.7,13.5,14.7,2299
78,2005-07-06,14.97,14.97,14.46,14.91,1600
79,2005-07-07,14.61,15.3,14.58,15.3,1899
80,2005-07-08,15.0,15.0,14.76,14.76,599
81,2005-07-11,14.7,15.24,13.5,14.26,3866
82,2005-07-12,13.26,15.0,12.39,15.0,3108
83,2005-07-13,13.65,14.85,13.38,13.5,5156
84,2005-07-14,14.37,14.37,13.62,13.65,2089
85,2005-07-15,13.8,14.49,13.74,14.25,3133
86,2005-07-18,13.26,13.65,13.26,13.65,2183
87,2005-07-19,13.53,13.77,13.53,13.77,1399
88,2005-07-20,13.5,13.65,13.14,13.65,2226
89,2005-07-21,13.8,14.97,13.38,13.38,3398
90,2005-07-22,13.5,14.91,13.14,14.04,4693
91,2005-07-25,15.15,15.93,15.0,15.0,4850
92,2005-07-26,14.04,16.5,14.04,14.61,1766
93,2005-07-27,14.52,15.3,14.52,14.85,3466
94,2005-07-28,14.34,15.3,14.34,15.12,4333
95,2005-07-29,15.45,15.45,14.73,15.3,3869
96,2005-08-01,15.45,15.69,14.94,14.94,4941
97,2005-08-02,14.91,14.91,14.91,14.91,133
98,2005-08-05,14.91,14.91,14.91,14.91,33
99,2005-08-08,15.0,15.6,15.0,15.3,2666
100,2005-08-09,15.27,16.2,14.67,16.2,1266
101,2005-08-10,16.2,16.5,15.56,15.56,1499
102,2005-08-11,16.35,16.35,15.54,15.9,1033
103,2005-08-12,15.9,18.36,15.9,17.25,2949
104,2005-08-15,18.0,18.57,15.3,17.67,2539
105,2005-08-16,17.25,18.0,16.2,16.2,1779
106,2005-08-17,16.8,17.07,15.75,17.07,2637
107,2005-08-18,17.91,17.91,15.0,15.75,6772
108,2005-08-19,15.75,16.35,15.06,16.35,1702
109,2005-08-22,15.3,16.26,15.3,16.26,503
110,2005-08-23,16.05,17.4,15.66,17.4,1639
111,2005-08-24,17.1,17.82,17.1,17.82,2099
112,2005-08-25,17.85,18.03,17.85,18.03,1743
113,2005-08-26,19.35,19.35,18.0,18.6,2378
114,2005-08-29,19.26,19.26,18.0,18.0,1466
115,2005-08-30,19.14,19.14,16.47,17.7,3178
116,2005-08-31,18.0,18.57,16.47,17.04,5512
117,2005-09-01,16.35,16.56,15.93,16.35,1226
118,2005-09-02,16.35,17.19,16.35,16.53,1096
119,2005-09-06,17.28,17.28,15.93,15.93,2064
120,2005-09-07,15.93,17.34,15.93,16.77,2393
121,2005-09-08,17.37,17.37,16.5,16.59,477
122,2005-09-12,16.53,17.65,16.5,17.65,2251
123,2005-09-13,16.17,16.96,16.17,16.53,442
124,2005-09-14,16.53,17.25,16.5,17.22,1033
125,2005-09-15,17.88,17.88,17.85,17.85,143
126,2005-09-16,16.71,16.71,16.71,16.71,66
127,2005-09-19,16.8,17.7,16.8,17.7,366
128,2005-09-20,17.97,17.97,16.56,16.56,647
129,2005-09-21,16.5,16.5,15.9,15.9,1600
130,2005-09-22,15.9,16.95,15.6,16.65,1367
131,2005-09-26,16.95,16.95,15.0,15.0,1666
132,2005-09-27,15.0,16.65,15.0,15.9,300
133,2005-09-28,15.93,16.26,15.9,16.26,1166
134,2005-09-29,16.35,16.65,16.32,16.65,176
135,2005-09-30,16.65,17.25,15.78,17.04,1199
136,2005-10-03,15.84,16.53,15.24,15.63,2101
137,2005-10-04,15.75,15.81,15.0,15.48,617
138,2005-10-05,15.54,16.35,15.39,15.39,1483
139,2005-10-06,16.17,16.17,15.0,15.75,433
140,2005-10-07,15.03,15.9,15.0,15.9,606
141,2005-10-10,15.72,15.9,15.6,15.6,1764
142,2005-10-11,16.14,16.14,15.6,15.6,66
143,2005-10-12,15.6,15.6,15.03,15.03,66
144,2005-10-13,15.42,15.92,15.0,15.92,639
145,2005-10-14,15.0,15.99,15.0,15.99,200
146,2005-10-17,15.99,15.99,15.87,15.87,66
147,2005-10-18,15.96,16.14,15.0,15.69,1374
148,2005-10-21,15.03,15.03,15.0,15.0,333
149,2005-10-25,15.5,15.5,15.5,15.5,33
150,2005-10-26,15.87,15.87,15.87,15.87,100
151,2005-10-28,15.15,15.15,15.03,15.03,66
152,2005-10-31,15.0,15.57,15.0,15.46,458
153,2005-11-01,15.42,15.42,15.42,15.42,33
154,2005-11-02,16.14,16.5,15.3,15.33,533
155,2005-11-03,15.43,15.43,15.0,15.0,799
156,2005-11-04,15.0,15.03,15.0,15.0,944
157,2005-11-07,15.0,15.57,15.0,15.0,333
158,2005-11-08,15.18,15.18,15.18,15.18,66
159,2005-11-09,15.0,15.0,15.0,15.0,95
160,2005-11-10,15.42,15.87,13.41,15.87,3170
161,2005-11-11,15.39,16.17,15.39,16.17,100
162,2005-11-15,15.55,15.55,15.3,15.3,666
163,2005-11-17,15.3,15.3,15.3,15.3,162
164,2005-11-21,15.3,15.3,15.15,15.15,190
165,2005-11-23,15.18,15.81,15.15,15.75,1181
166,2005-11-30,15.6,15.6,15.6,15.6,130
167,2005-12-01,15.6,15.6,15.6,15.6,166
168,2005-12-02,15.6,15.6,15.3,15.3,70
169,2005-12-05,13.8,15.3,13.8,15.0,2433
170,2005-12-06,15.0,15.15,14.7,15.15,1366
171,2005-12-07,15.0,15.0,15.0,15.0,466
172,2005-12-08,14.85,15.6,14.7,15.6,1299
173,2005-12-09,15.21,15.36,15.21,15.36,899
174,2005-12-12,15.3,15.45,14.73,15.45,749
175,2005-12-13,15.03,15.03,15.03,15.03,33
176,2005-12-14,15.3,15.6,15.3,15.6,368
177,2005-12-15,15.3,15.9,15.0,15.87,2181
178,2005-12-16,15.75,15.9,15.75,15.9,166
179,2005-12-19,15.6,15.9,15.6,15.81,166
180,2005-12-21,14.73,16.5,14.73,15.6,1025
181,2005-12-22,15.6,15.6,15.06,15.06,266
182,2005-12-23,15.0,16.5,15.0,16.5,500
183,2005-12-27,16.2,16.2,15.04,15.3,300
184,2005-12-28,16.5,16.5,15.0,15.81,1116
185,2005-12-29,15.06,15.75,14.7,15.75,433
186,2005-12-30,15.3,16.41,14.7,15.15,1056
187,2006-01-04,15.3,16.2,14.25,15.15,4069
188,2006-01-05,16.33,16.33,15.0,16.1,434
189,2006-01-06,16.02,16.02,15.0,15.39,1017
190,2006-01-09,15.0,15.3,15.0,15.3,501
191,2006-01-10,15.0,15.66,15.0,15.66,691
192,2006-01-11,15.69,16.17,15.51,15.9,2649
193,2006-01-12,15.9,17.1,15.75,16.5,3408
194,2006-01-13,17.1,18.0,16.65,17.55,838
195,2006-01-17,17.7,18.75,17.58,17.58,721
196,2006-01-18,18.0,18.6,17.55,17.55,2489
197,2006-01-19,17.55,18.99,17.28,18.99,1663
198,2006-01-20,18.5,19.5,18.5,18.81,1333
199,2006-01-23,18.0,19.47,18.0,18.29,823
200,2006-01-24,19.17,19.5,19.17,19.5,275
201,2006-01-25,18.69,19.2,18.3,19.2,166
202,2006-01-26,18.03,18.03,18.0,18.0,200
203,2006-01-27,18.25,18.25,18.25,18.25,233
