,Date,Open,High,Low,Close,Volume
0,2005-02-25,3.7733,3.8643,3.737,3.7733,99428
1,2005-02-28,3.7733,3.8916,3.6643,3.8916,183352
2,2005-03-01,3.9007,3.9007,3.7552,3.8097,123600
3,2005-03-02,3.7733,3.7916,3.6461,3.6824,106175
4,2005-03-03,3.7097,3.737,3.5915,3.6187,310555
5,2005-03-04,3.7097,3.7188,3.6097,3.637,71014
6,2005-03-07,3.637,3.637,3.5007,3.5278,219228
7,2005-03-08,3.5096,3.6187,3.3733,3.4187,1303309
8,2005-03-09,3.4187,3.6187,3.4097,3.6187,148666
9,2005-03-10,3.6278,3.7188,3.5551,3.6643,190448
10,2005-03-11,3.6916,3.6916,3.5187,3.5915,116538
11,2005-03-14,3.5915,3.5915,3.4551,3.4734,167443
12,2005-03-15,3.4915,3.546,3.3733,3.4551,85850
13,2005-03-16,3.4187,3.4915,3.3642,3.4824,111368
14,2005-03-17,3.5007,3.5825,3.4369,3.5642,247428
15,2005-03-18,3.5732,3.5915,3.5007,3.5551,288527
16,2005-03-21,3.5278,3.6643,3.4551,3.6551,82254
17,2005-03-22,3.637,3.8461,3.6278,3.7642,173125
18,2005-03-23,3.737,3.8461,3.737,3.7916,89673
19,2005-03-24,3.8188,3.9097,3.7642,3.8371,44999
20,2005-03-28,3.8278,3.9097,3.7916,3.8643,133887
21,2005-03-29,3.8097,3.9097,3.6461,3.6643,110232
22,2005-03-30,3.6461,3.8643,3.6461,3.8461,111664
23,2005-03-31,3.8097,3.8278,3.6461,3.7552,131787
24,2005-04-01,3.8188,3.8188,3.537,3.6278,106294
25,2005-04-04,3.5825,3.7552,3.5825,3.7097,99270
26,2005-04-05,3.6733,3.7642,3.6551,3.6824,105479
27,2005-04-06,3.737,3.7552,3.5915,3.6824,104704
28,2005-04-07,3.6733,3.7552,3.6278,3.6733,58747
29,2005-04-08,3.6551,3.6824,3.5187,3.6187,103976
30,2005-04-11,3.546,3.6824,3.4824,3.5732,129961
31,2005-04-12,3.5278,3.6187,3.4642,3.5007,108817
32,2005-04-13,3.5007,3.5915,3.4642,3.4642,66826
33,2005-04-14,3.5007,3.537,3.2642,3.2823,133757
34,2005-04-15,3.2823,3.3278,3.0367,3.0823,166697
35,2005-04-18,3.0277,3.2642,2.8188,3.1914,190732
36,2005-04-19,3.2459,3.4006,3.1186,3.4006,271008
37,2005-04-20,3.2733,3.5187,3.2278,3.4006,227964
38,2005-04-21,3.4006,3.546,3.3642,3.4551,158863
39,2005-04-22,3.4734,3.4734,3.2096,3.2186,90275
40,2005-04-25,3.2733,3.2733,3.2096,3.2642,31847
41,2005-04-26,3.2278,3.2642,3.0186,3.0458,58656
42,2005-04-27,3.0186,3.0823,3.0186,3.0823,89045
43,2005-04-28,3.0458,3.0823,3.0458,3.0641,80837
44,2005-04-29,3.0549,3.0823,2.9005,3.0641,212618
45,2005-05-02,3.0914,3.1458,2.9367,3.1458,46337
46,2005-05-03,3.0914,3.255,3.0823,3.1732,153122
47,2005-05-04,3.1643,3.2823,3.1643,3.2459,67052
48,2005-05-05,3.1643,3.4551,3.1186,3.4551,226020
49,2005-05-06,3.5187,3.6006,3.2459,3.3005,59641
50,2005-05-09,3.3278,3.6097,3.2278,3.5096,74558
51,2005-05-10,3.6097,3.637,3.2642,3.4369,115632
52,2005-05-11,3.4824,3.537,3.3186,3.4824,123834
53,2005-05-12,3.4187,3.5825,3.4187,3.446,85761
54,2005-05-13,3.4734,3.4734,3.3186,3.4642,101849
55,2005-05-16,3.4277,3.637,3.4006,3.6278,147343
56,2005-05-17,3.5551,3.6461,3.546,3.637,91025
57,2005-05-18,3.6824,3.7188,3.537,3.6187,177271
58,2005-05-19,3.5915,3.737,3.5551,3.7279,148654
59,2005-05-20,3.7461,3.7461,3.6097,3.6187,55057
60,2005-05-23,3.6643,3.6643,3.5551,3.5915,62000
61,2005-05-24,3.6187,3.6187,3.546,3.5551,93535
62,2005-05-25,3.546,3.5825,3.446,3.5551,84345
63,2005-05-26,3.6097,3.6187,3.5187,3.6006,82404
64,2005-05-27,3.5825,3.6187,3.4734,3.5915,64797
65,2005-05-31,3.5825,3.7279,3.5825,3.6006,303536
66,2005-06-01,3.637,3.7279,3.546,3.7279,202816
67,2005-06-02,3.637,3.8188,3.546,3.7461,171013
68,2005-06-03,3.7642,3.7733,3.5732,3.5732,61281
69,2005-06-06,3.5642,3.6916,3.537,3.546,57406
70,2005-06-07,3.5642,3.6643,3.5187,3.5187,100247
71,2005-06-08,3.4915,3.5096,3.2459,3.4915,195553
72,2005-06-09,3.5096,3.5187,3.3733,3.4642,172297
73,2005-06-10,3.4824,3.5007,3.3733,3.4187,64067
74,2005-06-13,3.3368,3.5007,3.1824,3.2642,144248
75,2005-06-14,3.2459,3.4006,3.2186,3.3551,75765
