,Date,Open,High,Low,Close,Volume
0,2005-02-25,21.36,21.36,19.8,20.04,9733
1,2005-02-28,20.04,20.76,19.8,19.92,6125
2,2005-03-01,20.04,20.4,20.04,20.04,4625
3,2005-03-02,20.04,20.4,19.8,20.16,5458
4,2005-03-03,20.28,20.4,19.68,19.68,5108
5,2005-03-04,20.04,20.28,19.68,19.92,5058
6,2005-03-07,19.8,20.28,19.8,20.04,5017
7,2005-03-08,20.16,20.28,19.68,19.68,5517
8,2005-03-09,19.8,20.04,19.32,19.32,5092
9,2005-03-10,19.2,19.2,18.36,18.6,12442
10,2005-03-11,18.0,18.0,16.8,17.28,22008
11,2005-03-14,17.28,17.4,16.44,16.56,18083
12,2005-03-15,16.8,17.16,16.56,17.16,8250
13,2005-03-16,17.28,18.0,17.16,17.16,9708
14,2005-03-17,17.28,17.28,16.32,16.44,8392
15,2005-03-18,16.56,17.04,16.2,16.32,9900
16,2005-03-21,17.16,17.16,16.2,16.2,17850
17,2005-03-22,16.68,16.68,16.08,16.08,4450
18,2005-03-23,16.2,16.92,15.0,15.84,18442
19,2005-03-24,16.8,17.88,15.84,17.64,7400
20,2005-03-28,18.0,18.96,17.88,18.36,6700
21,2005-03-29,18.0,18.96,17.64,18.0,6475
22,2005-03-30,18.0,18.84,16.8,17.4,9950
23,2005-03-31,18.0,18.36,17.52,18.0,7433
24,2005-04-01,18.24,18.36,17.88,18.0,4183
25,2005-04-04,18.0,18.24,17.76,18.0,4683
26,2005-04-05,18.0,18.48,17.76,18.48,2967
27,2005-04-06,18.48,18.48,17.88,18.36,1775
28,2005-04-07,18.24,18.24,18.0,18.12,2908
29,2005-04-08,18.12,18.24,17.76,18.0,7142
30,2005-04-11,18.48,18.6,18.0,18.0,6942
31,2005-04-12,18.0,18.12,18.0,18.0,2075
32,2005-04-13,18.0,18.12,16.8,16.8,5508
33,2005-04-14,16.68,17.28,16.56,17.28,5125
34,2005-04-15,16.68,17.16,16.44,16.44,5042
35,2005-04-18,16.08,16.2,15.6,15.84,3992
36,2005-04-19,15.72,17.04,15.72,17.04,3992
37,2005-04-20,17.4,18.12,17.04,18.0,5908
38,2005-04-21,18.12,19.08,18.12,18.6,6925
39,2005-04-22,18.36,19.56,18.12,19.56,9350
40,2005-04-25,19.32,19.32,18.96,19.32,6300
41,2005-04-26,19.32,19.32,18.6,18.6,1167
42,2005-04-27,18.84,19.08,18.36,19.08,1467
43,2005-04-28,18.6,18.96,16.8,17.28,14283
44,2005-04-29,19.2,19.2,18.12,18.6,10175
45,2005-05-02,18.96,18.96,18.0,18.6,1200
46,2005-05-03,19.2,19.2,18.24,18.96,2367
47,2005-05-04,18.96,19.2,18.96,19.2,1575
48,2005-05-05,19.08,19.2,18.84,18.96,1683
49,2005-05-06,19.44,19.44,18.6,18.6,1875
50,2005-05-09,18.24,19.08,17.52,17.52,5433
51,2005-05-10,17.64,17.88,17.4,17.64,2908
52,2005-05-11,17.52,17.52,17.28,17.4,3475
53,2005-05-12,17.16,18.12,17.16,18.0,2600
54,2005-05-13,17.64,18.0,17.52,18.0,1883
55,2005-05-16,18.12,18.84,18.0,18.6,2867
56,2005-05-17,18.72,18.72,18.0,18.12,3708
57,2005-05-18,19.08,19.08,18.24,18.6,5933
58,2005-05-19,18.72,18.72,18.36,18.48,3892
59,2005-05-20,18.36,18.72,18.12,18.24,4292
