,Date,Open,High,Low,Close,Volume
0,1985-07-01,2.3033,2.329,2.3033,2.3205,571779
1,1985-07-02,2.329,2.3548,2.329,2.3375,271873
2,1985-07-03,2.3375,2.3548,2.3375,2.3548,253659
3,1985-07-05,2.3548,2.3548,2.329,2.329,131732
4,1985-07-08,2.329,2.3548,2.3205,2.3375,413419
5,1985-07-09,2.3375,2.3548,2.3375,2.3548,545149
6,1985-07-10,2.3548,2.3548,2.3375,2.3548,155558
7,1985-07-11,2.3548,2.3719,2.3375,2.3719,145747
8,1985-07-12,2.3548,2.3548,2.329,2.3548,241043
9,1985-07-15,2.3548,2.3893,2.329,2.3375,571779
10,1985-07-16,2.3375,2.3548,2.3205,2.3205,372778
11,1985-07-17,2.3205,2.329,2.2859,2.2951,592800
12,1985-07-18,2.2951,2.3033,2.2859,2.2951,159763
13,1985-07-19,2.2951,2.3033,2.2859,2.2951,417621
14,1985-07-22,2.3033,2.3205,2.3033,2.3205,329331
15,1985-07-23,2.3205,2.3205,2.2436,2.2436,386793
16,1985-07-24,2.2436,2.2517,2.2265,2.2265,515720
17,1985-07-25,2.2265,2.2348,2.1575,2.1575,334937
18,1985-07-26,2.1492,2.1492,2.1065,2.1236,707715
19,1985-07-29,2.1492,2.1492,2.1065,2.1236,707715
20,1985-07-30,2.1321,2.1575,2.1321,2.1575,496102
21,1985-07-31,2.1575,2.1835,2.1492,2.1748,480683
22,1985-08-01,2.1748,2.2093,2.1748,2.2093,435838
23,1985-08-02,2.2093,2.2093,2.2093,2.2093,269073
24,1985-08-05,2.2093,2.2093,2.1748,2.1835,179381
25,1985-08-06,2.1835,2.2093,2.1748,2.1748,253659
26,1985-08-07,2.1748,2.1835,2.1406,2.1575,197599
27,1985-08-08,2.1575,2.1748,2.1406,2.1492,165367
28,1985-08-09,2.1492,2.1748,2.1492,2.1664,449853
29,1985-08-12,2.1664,2.2093,2.1575,2.2093,440042
30,1985-08-13,2.2093,2.2093,2.1835,2.1922,98099
31,1985-08-14,2.1922,2.1922,2.1748,2.1835,326527
32,1985-08-15,2.1835,2.1835,2.1492,2.1575,322326
33,1985-08-16,2.1575,2.1664,2.1321,2.1321,461063
34,1985-08-19,2.1492,2.1575,2.1236,2.1492,316718
35,1985-08-20,2.1575,2.1748,2.1575,2.1664,119120
36,1985-08-21,2.1664,2.1748,2.1492,2.1492,186390
37,1985-08-22,2.1492,2.1492,2.1406,2.1406,93899
38,1985-08-23,2.1406,2.1492,2.0979,2.0979,465270
39,1985-08-26,2.0979,2.1236,2.0979,2.1236,428835
40,1985-08-27,2.1236,2.1236,2.115,2.1236,201805
41,1985-08-28,2.1236,2.1236,2.1065,2.115,378383
42,1985-08-29,2.115,2.115,2.1065,2.1065,341943
43,1985-08-30,2.1065,2.1575,2.1065,2.1406,500304
44,1985-09-03,2.1492,2.1748,2.1492,2.1748,199002
45,1985-09-04,2.1748,2.2093,2.1748,2.1835,480683
46,1985-09-05,2.1835,2.1922,2.1748,2.1748,124724
47,1985-09-06,2.1835,2.2005,2.1835,2.1922,149952
48,1985-09-09,2.1922,2.2265,2.1922,2.2265,545149
49,1985-09-10,2.2265,2.2436,2.2093,2.2265,390995
50,1985-09-11,2.2265,2.2265,2.1922,2.1922,278881
51,1985-09-12,2.1922,2.2093,2.1575,2.1575,131732
52,1985-09-13,2.1575,2.1575,2.115,2.1406,454057
53,1985-09-16,2.1406,2.1835,2.1406,2.1575,162561
54,1985-09-17,2.1575,2.1835,2.1406,2.1406,186390
55,1985-09-18,2.1406,2.1406,2.1236,2.1236,182184
56,1985-09-19,2.1236,2.1748,2.1236,2.1748,442847
57,1985-09-20,2.1748,2.1922,2.1575,2.1664,498905
58,1985-09-23,2.1748,2.1922,2.1748,2.1748,162561
59,1985-09-24,2.1748,2.2093,2.1748,2.1922,183583
60,1985-09-25,2.1922,2.1922,2.1664,2.1664,126129
61,1985-09-26,2.1664,2.2005,2.1575,2.1922,512917
62,1985-09-30,2.1922,2.2436,2.1922,2.2093,347550
63,1985-10-01,2.2093,2.2348,2.1835,2.2348,508716
64,1985-10-02,2.2517,2.3205,2.2517,2.2517,1151962
65,1985-10-03,2.2689,2.2951,2.2689,2.2859,582987
66,1985-10-04,2.2859,2.2859,2.2689,2.2689,227027
67,1985-10-07,2.278,2.2951,2.278,2.2951,518522
68,1985-10-08,2.2951,2.3033,2.278,2.3033,386793
69,1985-10-09,2.3121,2.3375,2.3121,2.329,685295
70,1985-10-10,2.329,2.3375,2.3205,2.3375,256459
71,1985-10-11,2.3375,2.3719,2.3205,2.3719,514319
72,1985-10-14,2.3548,2.3548,2.329,2.3375,228432
73,1985-10-15,2.3375,2.3548,2.3033,2.3121,388191
74,1985-10-16,2.3121,2.3548,2.3121,2.3548,267671
75,1985-10-17,2.3548,2.3719,2.3548,2.3719,473677
76,1985-10-18,2.3719,2.4063,2.3719,2.3719,327932
77,1985-10-21,2.3719,2.3804,2.3375,2.3633,203206
78,1985-10-22,2.3633,2.3633,2.3205,2.3375,632036
79,1985-10-23,2.3375,2.3633,2.3205,2.3548,184985
80,1985-10-24,2.3548,2.3548,2.3205,2.329,123324
81,1985-10-25,2.329,2.3375,2.3033,2.3205,134535
82,1985-10-28,2.3205,2.3719,2.3033,2.3121,149952
83,1985-10-29,2.3205,2.3633,2.3205,2.3548,396602
84,1985-10-30,2.3548,2.4147,2.3548,2.4063,451255
85,1985-10-31,2.4063,2.4236,2.3975,2.4147,315318
86,1985-11-01,2.4147,2.4577,2.3893,2.4488,442847
87,1985-11-04,2.4488,2.4917,2.4236,2.4488,420422
88,1985-11-05,2.4488,2.4661,2.4407,2.4407,241043
89,1985-11-06,2.4407,2.4407,2.4063,2.4147,466671
90,1985-11-07,2.3975,2.4236,2.3975,2.4236,417621
91,1985-11-08,2.4236,2.4407,2.4236,2.4407,180785
92,1985-11-11,2.4407,2.4661,2.4236,2.4661,545149
93,1985-11-12,2.4661,2.4831,2.4488,2.4577,847854
94,1985-11-13,2.4577,2.4661,2.4488,2.4661,486292
95,1985-11-14,2.4661,2.4661,2.4577,2.4661,570375
96,1985-11-15,2.4661,2.5003,2.4661,2.5003,605412
97,1985-11-18,2.5003,2.5174,2.4661,2.5174,431637
98,1985-11-19,2.5343,2.5516,2.5174,2.526,302703
99,1985-11-20,2.526,2.5776,2.526,2.5688,294297
100,1985-11-21,2.5776,2.6117,2.5776,2.6029,267671
101,1985-11-22,2.6029,2.6372,2.5859,2.6029,753962
102,1985-11-25,2.6029,2.6029,2.5688,2.5859,344746
103,1985-11-26,2.5859,2.6029,2.5859,2.6029,200403
104,1985-11-27,2.6029,2.6202,2.5859,2.6202,117718
105,1985-11-29,2.6202,2.6716,2.6117,2.6631,281684
106,1985-12-02,2.6631,2.6887,2.6545,2.6545,442847
107,1985-12-03,2.6545,2.6716,2.6459,2.6545,166771
108,1985-12-04,2.6545,2.6972,2.6372,2.6972,627833
109,1985-12-05,2.6972,2.7141,2.6545,2.6545,1732148
110,1985-12-06,2.6545,2.6716,2.6372,2.6545,849255
111,1985-12-09,2.6545,2.6716,2.6459,2.6716,535339
112,1985-12-10,2.6716,2.6716,2.6372,2.6372,355960
113,1985-12-11,2.6372,2.6545,2.6202,2.6372,333539
114,1985-12-12,2.6372,2.6545,2.5947,2.6202,674082
115,1985-12-13,2.6202,2.6631,2.5947,2.6545,479284
116,1985-12-16,2.6545,2.6802,2.6372,2.6716,538143
117,1985-12-17,2.6716,2.706,2.6716,2.6802,322326
118,1985-12-18,2.6716,2.6716,2.6372,2.6372,298500
119,1985-12-19,2.6372,2.6372,2.6029,2.6202,295695
120,1985-12-20,2.6202,2.6716,2.6202,2.6545,660065
121,1985-12-23,2.6545,2.6545,2.5859,2.5859,372778
122,1985-12-24,2.5859,2.5859,2.5516,2.5516,159763
123,1985-12-26,2.5516,2.5859,2.5516,2.5688,329331
124,1985-12-27,2.5688,2.5776,2.5516,2.5688,172376
125,1985-12-30,2.5688,2.5688,2.5343,2.5516,151354
126,1985-12-31,2.5343,2.5343,2.4917,2.5343,760968
127,1986-01-02,2.5343,2.5343,2.5003,2.5003,695104
128,1986-01-03,2.5003,2.5343,2.5003,2.5174,490492
129,1986-01-06,2.5174,2.526,2.4831,2.5089,228432
