,Date,Open,High,Low,Close,Volume
0,2013-03-08,22.164,22.375,22.156,22.286,41941
1,2013-03-11,22.243,22.357,22.217,22.286,26359
2,2013-03-12,22.304,22.384,22.156,22.173,31975
3,2013-03-13,22.226,22.278,22.226,22.278,2621
4,2013-03-14,22.286,22.418,22.243,22.392,155568
5,2013-03-15,22.357,22.357,22.199,22.339,8432
6,2013-03-18,22.375,22.55,22.295,22.418,5127
7,2013-03-19,22.427,22.427,22.331,22.331,9880
8,2013-03-20,22.384,22.506,22.375,22.375,5929
9,2013-03-21,22.375,22.576,22.304,22.568,118186
10,2013-03-22,22.559,22.593,22.375,22.593,116364
11,2013-03-25,22.593,22.593,22.427,22.427,2394
12,2013-03-26,22.375,22.515,22.375,22.515,14676
13,2013-03-27,22.54,22.674,22.54,22.54,6901
14,2013-03-28,22.54,22.674,22.54,22.665,10549
15,2013-04-01,22.938,22.938,22.585,22.674,41249
16,2013-04-02,22.753,22.938,22.708,22.718,16776
17,2013-04-03,22.938,23.16,22.646,22.78,11889
18,2013-04-04,22.948,22.948,22.948,22.948,452
19,2013-04-05,23.274,23.274,22.761,22.761,6468
20,2013-04-08,23.249,23.249,22.833,22.842,21921
21,2013-04-09,22.806,22.966,22.789,22.789,8768
22,2013-04-10,22.806,22.806,22.806,22.806,1923
23,2013-04-11,22.727,22.921,22.727,22.727,4864
24,2013-04-12,22.737,22.737,22.699,22.718,16590
25,2013-04-15,22.929,22.929,22.833,22.886,4751
26,2013-04-16,22.983,23.098,22.957,22.974,5085
27,2013-04-17,23.053,23.053,22.789,22.789,5867
28,2013-04-18,22.948,22.957,22.745,22.745,1697
29,2013-04-19,22.913,22.913,22.913,22.913,114
30,2013-04-22,22.77,22.957,22.77,22.957,3592
31,2013-04-23,23.071,23.071,22.983,22.983,4734
32,2013-04-25,22.842,22.966,22.78,22.966,3167
33,2013-04-26,22.833,22.966,22.665,22.966,6165
34,2013-04-29,22.823,22.948,22.745,22.77,9118
35,2013-04-30,22.718,22.852,22.718,22.77,7139
36,2013-05-01,22.852,22.852,22.718,22.806,12280
37,2013-05-02,22.745,22.859,22.737,22.761,4131
38,2013-05-03,22.761,22.868,22.761,22.868,4448
39,2013-05-06,22.833,22.833,22.814,22.814,4799
40,2013-05-07,22.833,22.876,22.77,22.876,4552
41,2013-05-08,22.876,23.01,22.77,22.886,22799
42,2013-05-09,22.913,22.913,22.806,22.913,4847
43,2013-05-10,22.974,23.01,22.957,22.957,2020
44,2013-05-13,22.852,22.948,22.737,22.823,9671
45,2013-05-14,22.913,22.921,22.842,22.852,8222
46,2013-05-15,22.983,23.019,22.921,23.019,4095
47,2013-05-16,23.019,23.019,22.921,22.929,5091
48,2013-05-17,22.895,23.019,22.895,22.895,6108
49,2013-05-20,22.823,22.859,22.823,22.823,5318
50,2013-05-21,22.842,22.842,22.833,22.833,228
51,2013-05-22,22.913,22.948,22.789,22.833,5696
52,2013-05-23,22.77,22.852,22.77,22.852,3508
53,2013-05-24,22.895,23.01,22.814,23.01,4300
54,2013-05-28,22.957,23.053,22.913,23.053,2072
55,2013-05-29,22.852,23.062,22.833,23.062,4581
56,2013-05-30,23.071,23.071,22.806,22.859,2150
57,2013-05-31,22.876,22.983,22.842,22.983,7601
58,2013-06-03,23.062,23.062,22.683,22.806,6901
59,2013-06-04,22.913,23.098,22.683,22.683,3621
60,2013-06-05,22.876,22.895,22.055,22.055,42908
61,2013-06-06,22.33,22.692,22.33,22.603,2829
62,2013-06-07,22.655,22.683,22.355,22.355,2715
63,2013-06-10,22.355,22.355,22.143,22.346,5671
64,2013-06-11,22.143,22.321,22.125,22.311,5210
65,2013-06-12,22.268,22.302,22.011,22.011,4404
66,2013-06-13,22.09,22.099,21.896,22.099,6683
67,2013-06-14,22.258,22.258,22.099,22.24,1697
68,2013-06-17,22.505,22.505,22.117,22.461,2262
69,2013-06-18,22.453,22.699,22.417,22.515,1244
70,2013-06-19,22.957,22.957,22.161,22.214,6924
71,2013-06-20,21.975,22.099,21.79,22.099,3621
72,2013-06-21,22.117,22.117,22.117,22.117,114
73,2013-06-24,22.321,22.321,21.79,22.231,6561
74,2013-06-25,21.824,21.861,21.824,21.843,1585
75,2013-06-26,22.011,22.011,22.011,22.011,340
76,2013-06-27,22.271,22.271,22.271,22.271,445
77,2013-06-28,22.868,22.868,22.108,22.336,2640
78,2013-07-01,21.964,22.449,21.936,22.271,3533
79,2013-07-02,22.271,22.271,22.271,22.271,224
80,2013-07-03,22.612,22.612,22.612,22.612,666
81,2013-07-05,22.494,22.494,22.404,22.404,334
82,2013-07-08,22.315,22.404,21.919,21.936,4001
83,2013-07-09,21.91,21.91,21.873,21.873,1667
84,2013-07-12,22.261,22.271,22.261,22.271,572
85,2013-07-15,22.098,22.098,21.927,21.955,1237
86,2013-07-16,22.279,22.279,21.999,22.134,3167
87,2013-07-17,21.981,22.045,21.981,22.045,898
88,2013-07-18,21.991,22.053,21.973,22.045,1890
89,2013-07-19,22.207,22.225,21.828,22.225,2455
90,2013-07-22,21.999,22.053,21.999,22.045,667
91,2013-07-23,21.955,22.404,21.955,22.287,6113
92,2013-07-24,22.404,22.404,22.09,22.395,6669
93,2013-07-25,22.404,22.404,22.315,22.315,1000
94,2013-07-26,22.271,22.271,22.271,22.271,465
95,2013-07-29,22.271,22.271,22.271,22.271,1555
96,2013-07-30,22.271,22.271,21.991,21.991,1335
97,2013-08-01,21.955,21.955,21.748,21.819,778
98,2013-08-02,22.35,22.35,22.261,22.261,2052
99,2013-08-05,22.35,22.359,22.287,22.35,1548
100,2013-08-08,22.251,22.261,22.251,22.261,1101
101,2013-08-09,22.053,22.053,22.053,22.053,2001
102,2013-08-12,22.179,22.271,22.179,22.271,466
103,2013-08-13,21.946,21.946,21.757,21.865,534
104,2013-08-14,21.685,21.865,21.631,21.865,666
105,2013-08-15,22.243,22.243,20.145,20.965,16557
106,2013-08-16,21.335,21.335,20.775,20.775,3437
107,2013-08-19,20.829,20.829,20.525,20.633,1667
108,2013-08-20,20.525,20.525,20.525,20.525,224
109,2013-08-22,20.425,20.497,20.425,20.47,1028
110,2013-08-26,20.282,20.775,20.282,20.479,4851
111,2013-08-27,20.659,20.696,20.605,20.696,1335
112,2013-08-28,20.479,20.479,20.452,20.452,666
113,2013-08-29,20.559,20.559,20.559,20.559,1969
114,2013-08-30,20.942,20.99,20.897,20.897,5455
115,2013-09-03,20.345,20.461,20.244,20.461,888
116,2013-09-04,20.415,20.415,20.254,20.254,554
117,2013-09-05,20.272,20.506,20.272,20.408,1879
118,2013-09-06,20.282,20.336,20.272,20.336,741
119,2013-09-09,20.316,20.47,20.291,20.298,1000
120,2013-09-10,20.38,20.38,20.282,20.282,1778
121,2013-09-11,20.282,20.497,20.272,20.272,2556
122,2013-09-12,20.506,20.506,19.831,20.128,3575
123,2013-09-13,20.218,20.218,20.111,20.111,11227
124,2013-09-16,20.119,20.164,20.084,20.084,3001
125,2013-09-17,20.415,20.415,20.155,20.155,1445
126,2013-09-18,20.461,20.461,20.461,20.461,112
127,2013-09-19,20.244,20.506,20.199,20.199,4112
128,2013-09-20,20.244,20.37,20.244,20.244,11447
129,2013-09-23,20.244,20.291,20.244,20.262,3334
130,2013-09-24,20.155,20.497,20.155,20.389,3446
131,2013-09-25,20.425,20.74,20.425,20.731,3123
132,2013-09-26,20.784,21.505,20.784,21.505,1647
133,2013-09-27,21.135,21.484,21.108,21.484,863
134,2013-09-30,21.21,21.21,21.191,21.191,225
135,2013-10-01,20.824,20.897,20.824,20.852,2826
136,2013-10-02,20.778,21.155,20.586,21.155,1855
137,2013-10-03,21.861,21.861,20.862,20.962,4962
138,2013-10-04,20.897,20.926,20.897,20.907,2521
139,2013-10-07,20.824,20.824,20.191,20.494,6201
140,2013-10-08,20.604,21.346,20.339,20.348,2946
141,2013-10-11,20.972,20.972,20.807,20.817,435
142,2013-10-14,21.127,21.127,21.081,21.081,4895
143,2013-10-15,21.081,21.439,20.824,20.824,1528
144,2013-10-16,21.072,21.33,21.072,21.32,625
145,2013-10-18,21.548,21.548,21.494,21.494,1233
146,2013-10-23,21.448,21.448,21.448,21.448,220
147,2013-10-24,21.228,21.723,21.228,21.265,732
148,2013-10-28,21.22,21.228,21.173,21.173,2181
149,2013-10-30,21.127,21.127,21.127,21.127,1113
150,2013-10-31,21.081,21.081,21.081,21.081,435
151,2013-11-01,21.108,21.31,20.852,20.852,6099
152,2013-11-04,20.824,20.824,20.817,20.817,698
153,2013-11-05,20.642,20.642,20.532,20.532,1308
154,2013-11-06,20.99,20.99,20.934,20.934,1092
155,2013-11-07,20.604,20.604,20.578,20.595,545
156,2013-11-08,20.623,20.633,20.613,20.623,1745
157,2013-11-12,20.713,20.842,20.713,20.817,1308
158,2013-11-13,20.852,20.852,20.842,20.842,1048
159,2013-11-14,20.981,20.99,20.972,20.972,1092
160,2013-11-15,21.017,21.017,21.017,21.017,110
161,2013-11-18,20.787,20.842,20.43,20.807,5702
162,2013-11-19,21.062,21.062,20.852,20.942,130278
163,2013-11-20,21.906,21.906,20.942,20.942,6328
164,2013-11-21,21.539,21.539,21.081,21.081,2924
165,2013-11-22,21.457,21.457,21.265,21.265,3055
166,2013-11-25,21.622,21.713,21.173,21.173,14709
167,2013-11-26,21.704,21.704,21.355,21.401,9001
168,2013-11-27,21.649,21.861,21.2,21.401,3132
169,2013-12-02,21.401,21.401,21.1,21.1,1092
170,2013-12-03,20.713,20.713,20.623,20.623,1092
171,2013-12-04,20.962,21.117,20.742,20.742,5345
172,2013-12-05,20.942,20.942,20.356,20.394,4310
173,2013-12-06,20.265,21.806,20.035,20.942,9222
174,2013-12-09,21.081,21.355,21.081,21.355,4365
175,2013-12-10,21.401,21.613,21.355,21.355,7364
176,2013-12-11,21.567,21.567,21.007,21.21,4909
177,2013-12-12,20.952,20.952,20.366,20.366,2891
178,2013-12-16,21.291,21.291,20.99,21.081,3765
179,2013-12-17,21.21,21.21,21.09,21.09,1202
180,2013-12-18,21.22,21.265,21.173,21.173,5129
181,2013-12-19,21.31,21.31,21.081,21.09,2073
182,2013-12-20,21.3,21.3,20.833,20.833,2510
183,2013-12-23,20.897,21.291,20.897,21.283,2555
184,2013-12-24,20.897,21.31,20.897,21.31,1637
185,2013-12-26,21.576,21.632,21.494,21.494,11393
186,2013-12-27,21.746,21.755,21.474,21.474,2249
187,2013-12-30,21.521,21.661,21.494,21.661,5998
188,2013-12-31,21.81,21.81,21.503,21.736,6427
189,2014-01-02,21.895,21.895,21.895,21.895,185
190,2014-01-03,21.512,21.885,21.512,21.792,1928
191,2014-01-06,21.755,21.895,21.707,21.707,3374
192,2014-01-07,21.707,21.707,21.568,21.568,42135
193,2014-01-08,21.521,21.568,21.494,21.521,3213
194,2014-01-09,21.521,21.521,21.474,21.474,2302
195,2014-01-10,21.521,21.521,21.512,21.521,2533
196,2014-01-13,21.521,21.521,21.521,21.521,750
197,2014-01-14,21.559,21.559,20.895,21.25,43828
198,2014-01-15,21.184,21.184,20.951,20.961,2464
199,2014-01-16,21.166,21.232,21.036,21.232,2100
200,2014-01-17,21.017,21.232,21.017,21.232,375
201,2014-01-21,21.194,21.24,21.194,21.194,275
202,2014-01-23,21.204,21.204,21.194,21.194,1232
203,2014-01-24,21.326,21.326,21.046,21.102,22038
204,2014-01-29,21.24,21.24,21.24,21.24,1070
205,2014-01-30,21.25,21.399,21.25,21.399,1527
206,2014-01-31,21.372,21.474,21.335,21.382,5329
