,Date,Open,High,Low,Close,Volume
0,2015-12-28,96.779,97.365,95.605,97.355,294896
1,2015-12-29,97.873,99.72,97.435,98.692,290081
2,2015-12-30,98.089,100.1,98.089,98.968,256475
3,2015-12-31,98.167,99.177,96.806,96.806,210521
4,2016-01-04,95.893,98.593,95.051,97.716,447921
5,2016-01-05,97.873,98.336,95.96,96.107,388028
6,2016-01-06,94.868,95.815,94.053,94.609,312603
7,2016-01-07,91.992,93.12,89.992,91.025,636525
8,2016-01-08,91.505,92.932,90.328,90.94,400828
9,2016-01-11,90.834,90.862,87.767,88.132,583722
10,2016-01-12,88.966,89.766,87.701,88.419,507414
11,2016-01-13,88.86,89.558,85.161,85.295,407729
12,2016-01-14,85.841,87.058,84.625,86.886,388868
13,2016-01-15,85.067,85.641,83.418,85.343,370002
14,2016-01-19,86.158,86.263,84.117,84.787,223866
15,2016-01-20,83.427,84.261,81.53,83.13,429416
16,2016-01-21,83.436,85.152,82.804,83.599,362823
17,2016-01-22,85.075,86.226,82.937,84.75,440622
18,2016-01-25,84.28,84.787,82.881,83.11,259673
19,2016-01-26,83.485,85.114,82.556,84.088,486877
20,2016-01-27,83.925,84.96,82.621,82.681,524282
21,2016-01-28,79.681,85.19,79.681,84.701,578449
22,2016-01-29,84.242,86.915,83.678,86.647,763983
23,2016-02-01,85.812,86.638,84.663,86.331,362737
24,2016-02-02,85.515,85.832,84.166,84.28,315383
25,2016-02-03,85.123,86.369,83.16,85.995,300587
26,2016-02-04,85.948,88.706,85.948,88.036,592070
27,2016-02-05,87.873,89.435,86.234,86.416,324203
28,2016-02-08,85.515,86.293,84.681,86.11,376330
29,2016-02-09,85.114,87.241,84.711,86.196,328080
30,2016-02-10,86.752,86.964,85.67,86.043,252024
31,2016-02-11,84.443,86.532,82.937,85.622,207763
32,2016-02-12,86.253,86.973,84.443,86.177,349849
33,2016-02-16,87.538,89.079,86.752,88.525,370585
34,2016-02-17,89.195,90.522,88.902,89.159,339613
35,2016-02-18,89.771,90.028,88.247,89.023,397823
36,2016-02-19,88.582,89.694,88.189,89.636,245390
37,2016-02-22,90.644,91.98,89.972,91.714,271934
38,2016-02-23,91.112,92.137,90.671,92.05,529945
39,2016-02-24,90.968,92.779,90.653,92.645,473889
40,2016-02-25,93.252,94.535,92.326,94.361,225561
41,2016-02-26,94.632,96.011,94.438,95.345,220709
42,2016-02-29,95.568,96.614,95.161,95.827,385429
43,2016-03-01,96.759,97.687,95.722,97.229,306134
44,2016-03-02,96.884,98.573,96.884,98.454,255142
45,2016-03-03,98.266,98.958,97.803,97.951,429742
46,2016-03-04,98.04,98.415,97.239,97.471,582326
47,2016-03-07,97.039,98.227,96.689,98.217,461308
48,2016-03-08,97.657,98.04,96.319,96.348,238046
49,2016-03-09,96.604,97.049,95.345,95.548,243387
50,2016-03-10,96.02,96.31,95.067,96.213,207368
51,2016-03-11,97.121,97.551,96.252,96.98,191573
52,2016-03-14,96.474,96.574,95.769,96.184,193757
53,2016-03-15,95.142,96.874,94.269,96.834,239078
54,2016-03-16,96.464,98.346,95.808,97.716,266619
55,2016-03-17,98.128,99.256,97.716,98.84,374649
56,2016-03-18,98.652,100.55,98.444,99.336,811745
57,2016-03-21,98.771,99.9,98.771,99.107,263626
58,2016-03-22,99.037,99.345,98.504,98.868,285482
59,2016-03-23,98.632,98.898,97.296,97.335,192429
60,2016-03-24,96.338,97.833,95.413,97.365,231759
61,2016-03-28,97.706,98.484,96.709,98.326,232663
62,2016-03-29,97.794,100.13,97.415,99.88,253056
63,2016-03-30,100.68,101.83,100.07,101.64,263200
64,2016-03-31,101.33,102.87,100.71,102.17,345562
65,2016-04-01,101.19,104.51,100.65,104.39,424650
66,2016-04-04,104.26,104.86,102.46,102.84,199607
67,2016-04-05,101.93,102.49,101.1,101.75,249739
68,2016-04-06,101.85,102.74,100.59,102.61,231021
69,2016-04-07,102.1,103.12,101.85,102.83,293949
70,2016-04-08,103.84,104.79,103.33,103.65,191502
71,2016-04-11,103.97,104.41,102.57,102.7,220412
72,2016-04-12,102.93,104.0,102.64,102.98,268719
73,2016-04-13,103.32,105.27,103.32,105.23,217946
74,2016-04-14,105.07,105.68,104.03,104.38,224274
75,2016-04-15,104.38,105.43,103.89,105.1,293896
76,2016-04-18,104.91,105.73,104.01,105.32,152695
77,2016-04-19,105.93,105.93,104.65,104.74,191876
78,2016-04-20,104.75,105.54,103.7,104.62,155354
79,2016-04-21,104.62,105.46,104.45,105.16,148440
80,2016-04-22,104.91,105.87,103.81,104.35,351597
81,2016-04-25,104.08,104.7,102.79,103.52,276122
82,2016-04-26,104.87,107.27,102.99,103.18,409719
83,2016-04-27,102.94,105.02,102.18,102.9,249365
84,2016-04-28,102.13,103.19,101.28,101.81,126982
85,2016-04-29,101.77,102.19,100.52,102.0,289083
86,2016-05-02,102.35,102.64,101.51,102.36,217386
87,2016-05-03,101.54,102.19,100.56,102.09,208074
88,2016-05-04,101.39,101.61,100.21,100.82,118931
89,2016-05-05,101.34,101.88,100.75,101.49,183311
90,2016-05-06,100.96,102.22,100.79,101.79,89411
91,2016-05-09,101.3,101.56,100.59,100.61,104443
92,2016-05-10,100.94,102.89,100.2,102.86,359344
93,2016-05-11,102.81,104.28,102.14,102.53,180816
94,2016-05-12,103.02,103.88,101.48,102.66,254904
95,2016-05-13,102.22,102.6,99.75,100.46,202300
96,2016-05-16,99.87,101.98,99.87,101.52,200844
97,2016-05-17,102.14,102.78,100.34,101.15,273888
98,2016-05-18,100.78,102.69,100.18,100.91,238370
99,2016-05-19,100.07,100.27,98.553,99.87,136308
100,2016-05-20,100.03,101.27,99.73,101.07,236047
101,2016-05-23,100.62,101.92,100.4,101.28,127149
