,Date,Open,High,Low,Close,Volume
0,2005-02-25,14.5,14.53,14.34,14.49,433148
1,2005-02-28,14.56,14.81,14.2,14.54,580772
2,2005-03-01,14.6,14.6,14.06,14.46,358592
3,2005-03-02,14.46,14.81,14.25,14.67,473760
4,2005-03-03,14.83,14.98,14.59,14.89,426620
5,2005-03-04,14.99,15.18,14.93,15.07,468184
6,2005-03-07,15.19,15.19,14.96,15.06,203192
7,2005-03-08,15.14,15.14,14.88,14.99,166276
8,2005-03-09,14.89,15.34,14.89,15.15,347396
9,2005-03-10,15.15,15.21,14.39,14.51,1299508
10,2005-03-11,14.5,14.63,14.16,14.28,721624
11,2005-03-14,14.2,14.45,14.2,14.38,474608
12,2005-03-15,14.47,14.97,14.32,14.97,686708
13,2005-03-16,14.85,15.22,14.84,15.2,605824
14,2005-03-17,15.12,15.26,15.07,15.25,359824
15,2005-03-18,15.34,15.38,15.08,15.34,389868
16,2005-03-21,15.36,15.44,15.19,15.44,411468
17,2005-03-22,15.45,16.3,15.36,15.85,924500
18,2005-03-23,15.75,16.03,15.65,15.78,751416
19,2005-03-24,15.72,16.3,15.72,16.1,430968
20,2005-03-28,16.28,16.54,16.15,16.46,759368
21,2005-03-29,16.46,16.73,15.4,15.72,755672
22,2005-03-30,15.71,15.71,15.43,15.58,393020
23,2005-03-31,15.68,16.05,15.2,15.67,540560
24,2005-04-01,15.54,15.92,15.25,15.39,194928
25,2005-04-04,15.49,15.8,15.37,15.59,234240
26,2005-04-05,15.65,15.65,15.38,15.54,328284
27,2005-04-06,15.52,16.0,15.39,15.9,1410828
28,2005-04-07,16.0,16.12,15.57,16.03,308448
29,2005-04-08,16.03,16.05,15.29,15.54,1092028
30,2005-04-11,15.49,15.49,14.71,15.13,845152
31,2005-04-12,15.12,15.72,14.92,15.64,452380
32,2005-04-13,15.64,15.74,14.81,14.91,390784
33,2005-04-14,14.79,14.92,14.25,14.29,1262692
34,2005-04-15,14.27,14.49,14.27,14.37,809280
35,2005-04-18,14.34,14.54,14.09,14.2,506936
36,2005-04-19,14.33,15.21,14.12,15.18,398656
37,2005-04-20,15.22,15.56,15.22,15.41,576932
38,2005-04-21,14.88,14.98,13.03,14.35,3106804
39,2005-04-22,14.35,14.84,13.88,13.91,844148
40,2005-04-25,13.88,14.11,13.75,13.95,784948
41,2005-04-26,13.72,14.1,13.72,14.0,534052
42,2005-04-27,13.94,13.98,13.75,13.75,610964
43,2005-04-28,13.57,13.88,13.38,13.63,723704
44,2005-04-29,13.63,13.78,13.62,13.75,251652
45,2005-05-02,13.8,13.85,13.29,13.75,574636
46,2005-05-03,13.81,13.82,13.68,13.73,458912
47,2005-05-04,13.7,13.92,13.66,13.91,595080
48,2005-05-05,13.97,14.08,13.86,14.0,503876
49,2005-05-06,14.07,14.61,14.0,14.56,1119108
50,2005-05-09,14.57,14.85,14.46,14.8,307792
51,2005-05-10,14.6,14.78,14.38,14.47,650952
52,2005-05-11,14.47,14.87,14.35,14.7,474032
53,2005-05-12,14.64,14.67,13.93,14.03,366424
54,2005-05-13,14.1,14.1,13.19,13.7,1227846
55,2005-05-16,13.69,13.77,13.52,13.64,610664
56,2005-05-17,13.64,13.78,13.5,13.75,316746
57,2005-05-18,13.8,14.25,13.74,14.02,264634
58,2005-05-19,14.03,14.03,13.13,13.48,777650
59,2005-05-20,13.47,13.56,13.12,13.31,555536
60,2005-05-23,12.84,13.54,12.7,13.41,371022
61,2005-05-24,13.41,13.62,13.27,13.48,182530
62,2005-05-25,13.29,13.54,13.11,13.25,140436
