,Date,Open,High,Low,Close,Volume
0,2005-02-25,23.707,24.997,23.707,23.748,4069154
1,2005-02-28,24.249,24.249,23.079,23.797,2008534
2,2005-03-01,23.839,24.123,23.164,23.497,2829901
3,2005-03-02,23.456,23.882,23.149,23.481,1697823
4,2005-03-03,23.531,23.531,23.255,23.329,600660
5,2005-03-04,23.29,24.08,23.29,23.497,1786750
6,2005-03-07,23.497,23.732,23.373,23.373,2288886
7,2005-03-08,23.373,23.373,22.317,22.955,1859599
8,2005-03-09,22.914,23.672,22.914,22.999,1480597
9,2005-03-10,23.079,23.373,22.346,22.702,1318101
10,2005-03-11,22.702,23.206,22.632,22.939,1014832
11,2005-03-14,22.832,22.872,21.306,22.441,2733771
12,2005-03-15,22.539,22.688,21.75,22.047,756803
13,2005-03-16,21.372,21.665,20.374,21.238,4861719
14,2005-03-17,21.164,21.797,21.038,21.787,1357346
15,2005-03-18,21.622,21.682,20.974,21.291,918577
16,2005-03-21,21.246,21.291,20.412,20.755,549178
17,2005-03-22,20.581,21.414,20.581,21.246,1170003
18,2005-03-23,21.665,21.871,20.679,20.789,1044473
19,2005-03-24,20.665,20.998,20.006,20.131,1952249
20,2005-03-28,20.04,20.289,19.414,19.772,2161912
21,2005-03-29,19.357,20.124,19.289,19.339,1700220
22,2005-03-30,19.207,19.297,18.33,18.956,5455538
23,2005-03-31,19.149,19.664,18.956,19.431,4211128
24,2005-04-01,19.514,19.814,18.965,19.482,1985612
25,2005-04-04,19.33,19.414,19.171,19.249,670036
26,2005-04-05,19.198,19.273,18.648,18.739,2113304
27,2005-04-06,18.581,18.863,18.182,18.33,1858280
28,2005-04-07,18.457,18.855,18.173,18.793,1638176
29,2005-04-08,18.793,18.793,18.424,18.639,1088875
30,2005-04-11,18.639,18.748,18.497,18.624,772043
31,2005-04-12,18.598,18.988,18.457,18.793,3615386
32,2005-04-13,18.748,18.757,18.283,18.523,4027991
33,2005-04-14,18.497,18.497,17.248,17.816,3165580
34,2005-04-15,17.748,17.756,17.289,17.456,3535459
35,2005-04-18,17.331,17.447,16.842,17.031,1510722
36,2005-04-19,17.289,17.832,17.289,17.641,1944568
37,2005-04-20,17.789,17.789,16.59,16.898,667751
38,2005-04-21,17.331,17.756,17.075,17.668,602226
39,2005-04-22,17.789,17.789,16.491,16.672,932740
40,2005-04-25,16.538,17.998,16.538,17.874,1657616
41,2005-04-26,17.789,18.573,17.047,17.498,1400312
42,2005-04-27,17.498,17.498,16.522,16.933,908737
43,2005-04-28,17.165,17.399,16.332,16.823,872731
44,2005-04-29,17.248,17.531,16.833,17.531,815848
45,2005-05-02,17.622,18.065,17.622,17.998,1178047
46,2005-05-03,17.914,18.466,17.825,18.466,808048
47,2005-05-04,19.249,19.365,18.558,19.18,1634091
48,2005-05-05,19.289,19.447,18.94,19.132,881012
49,2005-05-06,19.33,19.339,18.793,18.956,1049874
50,2005-05-09,18.956,19.33,18.164,19.33,894694
51,2005-05-10,19.33,19.33,18.624,18.916,864091
52,2005-05-11,18.916,18.916,18.164,18.33,944261
53,2005-05-12,18.246,18.523,17.68,17.847,2268723
54,2005-05-13,17.847,17.847,16.59,16.857,1314624
55,2005-05-16,16.77,16.77,15.288,15.914,2332690
56,2005-05-17,15.923,16.073,15.249,15.681,714797
57,2005-05-18,15.788,16.449,15.708,16.081,2359091
58,2005-05-19,16.332,16.624,16.249,16.265,501895
59,2005-05-20,16.298,16.298,15.834,15.963,321393
60,2005-05-23,15.834,16.124,15.773,16.017,626225
61,2005-05-24,16.065,16.081,15.622,15.69,1191727
62,2005-05-25,15.748,15.748,15.392,15.507,628868
63,2005-05-26,15.549,15.748,15.123,15.392,2914034
64,2005-05-27,15.498,15.717,15.258,15.656,562621
65,2005-05-31,15.723,16.124,15.455,16.04,1100398
66,2005-06-01,16.0,16.249,15.622,15.848,1700462
67,2005-06-02,15.748,15.834,15.473,15.781,683712
68,2005-06-03,15.781,15.914,15.376,15.615,788127
69,2005-06-06,15.665,15.665,15.406,15.615,494334
70,2005-06-07,15.681,16.025,15.305,15.455,1181767
71,2005-06-08,15.473,15.541,15.258,15.541,828091
72,2005-06-09,15.507,15.699,15.322,15.665,586865
73,2005-06-10,15.665,15.954,15.607,15.748,557220
74,2005-06-13,15.748,16.056,15.748,15.954,644227
75,2005-06-14,16.025,16.538,15.898,16.474,783804
76,2005-06-15,16.556,16.864,16.458,16.823,1048313
77,2005-06-16,16.949,17.432,16.925,17.106,1857561
78,2005-06-17,17.139,17.248,16.291,16.483,1336463
79,2005-06-20,16.624,16.64,15.947,16.207,1198446
80,2005-06-21,16.207,16.332,15.681,15.781,1234575
81,2005-06-22,15.797,16.0,15.797,15.982,711194
82,2005-06-23,16.065,16.44,16.04,16.273,710836
83,2005-06-24,16.273,16.466,15.89,16.032,492532
84,2005-06-27,15.991,16.249,15.991,16.138,567540
85,2005-06-28,16.306,16.916,16.249,16.85,601625
86,2005-06-29,17.641,17.641,16.751,16.864,904057
87,2005-06-30,16.907,16.996,16.665,16.888,553258
88,2005-07-01,16.949,17.066,16.78,17.005,207263
89,2005-07-05,17.106,17.331,16.864,17.273,265590
90,2005-07-06,17.914,18.44,17.673,17.956,1235895
91,2005-07-07,17.816,18.039,17.498,18.032,1430674
92,2005-07-08,17.941,19.062,17.781,18.997,1460558
93,2005-07-11,19.132,19.831,19.089,19.731,1370425
94,2005-07-12,19.757,19.907,19.24,19.622,837089
95,2005-07-13,19.581,19.664,18.916,19.132,449447
96,2005-07-14,19.164,19.657,18.925,19.18,614945
97,2005-07-15,19.198,19.39,18.615,19.249,471770
98,2005-07-18,19.216,19.757,19.18,19.399,302552
99,2005-07-19,19.831,20.366,19.708,19.998,766404
100,2005-07-20,19.875,20.248,19.708,20.015,585663
101,2005-07-21,20.082,20.082,19.496,19.708,371317
102,2005-07-22,19.581,19.708,19.164,19.339,494334
103,2005-07-25,19.141,19.266,18.481,18.588,1043150
104,2005-07-26,18.44,18.548,18.124,18.264,563821
105,2005-07-27,18.33,18.898,18.33,18.808,276987
106,2005-07-28,18.765,19.914,18.615,19.914,565622
107,2005-07-29,19.923,19.923,19.33,19.405,345154
108,2005-08-01,19.456,19.708,19.249,19.496,237385
109,2005-08-02,19.573,19.948,19.382,19.717,538975
110,2005-08-03,19.731,19.787,18.872,19.581,624305
111,2005-08-04,18.147,19.198,18.147,18.222,1768510
112,2005-08-05,18.164,18.371,17.668,17.998,806727
113,2005-08-08,18.007,18.081,17.748,17.882,600304
114,2005-08-09,17.932,18.032,17.521,17.673,465531
115,2005-08-10,17.722,18.081,17.513,17.898,366880
116,2005-08-11,17.898,19.016,17.898,18.932,922778
117,2005-08-12,18.83,18.839,18.198,18.292,458090
118,2005-08-15,18.292,18.292,17.756,17.789,386799
119,2005-08-16,17.789,17.906,17.084,17.092,745159
120,2005-08-17,17.092,17.331,16.758,16.966,249750
121,2005-08-18,16.916,17.038,16.624,16.933,405287
122,2005-08-19,17.084,17.289,16.898,17.215,334477
123,2005-08-22,17.265,17.474,17.248,17.373,355360
124,2005-08-23,17.373,17.44,17.123,17.323,556139
125,2005-08-24,17.323,17.364,16.958,17.014,691513
126,2005-08-25,17.022,17.038,16.332,16.515,1027788
127,2005-08-26,16.515,16.515,15.947,15.963,1495959
128,2005-08-29,15.954,16.215,15.781,15.907,1102915
129,2005-08-30,15.708,16.0,15.35,15.399,1174085
130,2005-08-31,15.43,15.748,15.34,15.699,947020
131,2005-09-01,15.788,16.458,15.515,16.116,841653
132,2005-09-02,16.081,16.624,15.923,16.0,376841
133,2005-09-06,15.954,16.414,15.954,16.165,946662
134,2005-09-07,16.165,16.574,15.941,16.458,1187527
135,2005-09-08,16.582,16.833,16.147,16.391,736039
136,2005-09-09,16.398,16.44,16.048,16.124,385719
137,2005-09-12,16.124,16.282,15.825,16.0,878734
138,2005-09-13,16.0,16.0,15.208,15.265,1570610
139,2005-09-14,15.297,15.541,15.164,15.216,624667
140,2005-09-15,15.216,15.288,14.74,14.9,847173
141,2005-09-16,14.915,14.931,14.706,14.773,360879
142,2005-09-19,14.915,14.915,14.466,14.566,486050
143,2005-09-20,14.706,14.939,14.497,14.497,879575
144,2005-09-21,14.398,14.624,14.167,14.167,394603
145,2005-09-22,14.248,14.291,13.749,13.949,1334182
146,2005-09-23,13.981,14.748,13.957,14.549,1299980
147,2005-09-26,14.999,15.156,14.791,14.915,1280297
148,2005-09-27,15.083,15.083,14.45,14.624,1013148
149,2005-09-28,14.614,14.946,14.497,14.875,784885
150,2005-09-29,14.84,15.973,14.791,15.923,2396056
151,2005-09-30,15.882,16.624,15.806,16.291,1771391
152,2005-10-03,16.298,16.458,15.914,15.963,1156685
153,2005-10-04,15.963,16.306,15.914,16.073,519656
154,2005-10-05,16.056,16.223,15.672,15.758,397122
155,2005-10-06,15.764,15.781,15.43,15.622,563462
156,2005-10-07,15.834,16.291,15.834,16.207,1420350
157,2005-10-10,16.332,16.458,15.907,16.065,374439
158,2005-10-11,16.056,16.056,15.699,15.764,747322
159,2005-10-12,15.806,15.865,15.392,15.758,515815
160,2005-10-13,15.74,15.788,15.447,15.672,467210
161,2005-10-14,15.764,15.982,15.764,15.923,542100
162,2005-10-17,15.923,16.138,15.865,15.963,352475
163,2005-10-18,15.973,16.147,15.874,15.89,174739
