,Date,Open,High,Low,Close,Volume
0,2012-12-13,21.212,21.212,21.094,21.127,15413
1,2012-12-14,21.338,21.373,21.162,21.287,25406
2,2012-12-17,21.338,21.397,21.296,21.356,47166
3,2012-12-18,21.406,21.415,21.01,21.255,31509
4,2012-12-19,21.263,21.38,21.255,21.338,41427
5,2012-12-20,21.365,21.583,21.365,21.38,18733
6,2012-12-21,21.338,21.406,21.212,21.406,24858
7,2012-12-24,21.38,21.447,21.38,21.447,1185
8,2012-12-26,21.346,21.447,21.102,21.255,29815
9,2012-12-27,21.338,21.447,21.338,21.447,2727
10,2012-12-28,21.279,21.592,21.271,21.592,3848
11,2012-12-31,21.338,21.507,21.338,21.346,5099
12,2013-01-02,21.54,21.676,21.329,21.523,12151
13,2013-01-03,21.583,21.92,21.507,21.794,7198
14,2013-01-04,21.516,21.878,21.516,21.592,4268
15,2013-01-07,21.592,21.592,21.346,21.592,16481
16,2013-01-08,21.76,21.769,21.592,21.76,3735
17,2013-01-09,21.844,21.886,21.676,21.676,7873
18,2013-01-10,21.844,21.844,21.642,21.844,11512
19,2013-01-11,21.913,21.913,21.844,21.844,5106
20,2013-01-14,21.835,21.835,21.718,21.726,5009
21,2013-01-15,21.718,21.827,21.633,21.633,10670
22,2013-01-16,21.803,21.827,21.507,21.668,29528
23,2013-01-17,21.869,21.869,21.507,21.869,10018
24,2013-01-18,21.794,21.812,21.558,21.567,2935
25,2013-01-22,21.532,21.835,21.532,21.835,2572
26,2013-01-23,21.835,21.886,21.608,21.608,1780
27,2013-01-24,21.76,21.92,21.76,21.76,4085
28,2013-01-25,21.92,22.088,21.676,21.676,10103
29,2013-01-28,21.844,21.844,21.659,21.844,4150
30,2013-01-29,21.803,21.92,21.718,21.76,11216
31,2013-01-30,21.718,22.3,21.718,22.123,15005
32,2013-01-31,21.734,22.088,21.734,21.928,5217
33,2013-02-01,21.812,21.812,21.769,21.803,4706
34,2013-02-04,21.743,21.76,21.548,21.592,86385
35,2013-02-05,21.548,21.633,21.523,21.558,70197
36,2013-02-06,21.684,21.777,21.592,21.592,16597
37,2013-02-07,21.592,21.676,21.592,21.651,17335
38,2013-02-08,21.709,21.718,21.633,21.676,18640
39,2013-02-11,21.778,22.036,21.778,22.012,21811
40,2013-02-12,21.881,22.071,21.881,21.969,14399
41,2013-02-13,22.096,22.096,21.969,22.054,5912
42,2013-02-14,21.977,22.054,21.857,21.881,16779
43,2013-02-15,21.89,22.02,21.881,21.881,8880
44,2013-02-19,21.924,22.012,21.71,21.873,17865
45,2013-02-20,21.762,21.969,21.762,21.96,10610
46,2013-02-21,21.821,22.012,21.813,21.857,14642
47,2013-02-22,21.924,22.096,21.9,22.054,27969
48,2013-02-25,22.096,22.139,22.045,22.045,7133
49,2013-02-26,22.123,22.123,21.924,22.063,2993
50,2013-02-27,22.096,22.251,21.942,22.063,20460
51,2013-02-28,22.157,22.251,22.096,22.139,15032
52,2013-03-01,22.054,22.096,22.054,22.096,16315
53,2013-03-04,22.242,22.311,22.139,22.311,13244
54,2013-03-05,22.199,22.389,22.199,22.389,23332
55,2013-03-06,22.242,22.509,22.226,22.311,15897
56,2013-03-07,22.38,22.509,22.174,22.242,19579
57,2013-03-08,22.157,22.466,22.157,22.311,16842
58,2013-03-11,22.148,22.457,22.148,22.191,4800
59,2013-03-12,22.457,22.457,21.969,22.157,30324
60,2013-03-13,22.096,22.115,21.993,22.012,13286
61,2013-03-14,22.071,22.294,21.969,22.286,15923
62,2013-03-15,22.32,22.389,22.183,22.268,259195
63,2013-03-18,22.311,22.311,22.123,22.268,3584
64,2013-03-19,22.139,22.26,22.036,22.226,7056
65,2013-03-20,22.226,22.389,22.139,22.139,3807
66,2013-03-21,22.174,22.268,22.166,22.226,4773
67,2013-03-22,22.191,22.251,22.191,22.208,1529
68,2013-03-25,22.208,22.217,22.105,22.123,1655
69,2013-03-26,22.234,22.234,22.123,22.123,3677
70,2013-03-27,22.226,22.268,22.115,22.226,13222
71,2013-03-28,22.157,22.303,22.157,22.268,4615
72,2013-04-01,22.311,22.311,22.183,22.183,5868
73,2013-04-02,22.217,22.217,22.105,22.217,5564
74,2013-04-03,22.26,22.26,22.131,22.148,6758
75,2013-04-04,22.286,22.286,22.123,22.123,7573
76,2013-04-05,22.286,22.286,22.105,22.199,4522
77,2013-04-08,22.199,22.234,22.054,22.191,314622
78,2013-04-09,22.26,22.26,22.157,22.157,3205
79,2013-04-10,22.115,22.277,22.115,22.183,4260
80,2013-04-11,22.139,22.286,22.139,22.286,3358
81,2013-04-12,22.226,22.286,22.199,22.234,7720
82,2013-04-15,22.139,22.277,22.139,22.251,5793
83,2013-04-16,22.242,22.277,22.191,22.199,17344
84,2013-04-17,22.251,22.303,22.208,22.268,14939
85,2013-04-18,22.268,22.294,22.183,22.268,8328
86,2013-04-19,22.268,22.389,22.268,22.389,3846
87,2013-04-22,22.389,22.389,22.242,22.311,5746
88,2013-04-23,22.389,22.491,22.286,22.389,6932
89,2013-04-24,22.389,22.474,22.389,22.389,2890
90,2013-04-25,22.183,22.44,22.183,22.389,4509
91,2013-04-26,22.448,22.466,22.422,22.466,3985
92,2013-04-29,22.432,22.466,22.371,22.397,3729
93,2013-04-30,22.483,22.56,22.483,22.483,8961
94,2013-05-01,22.525,22.525,22.415,22.525,9007
95,2013-05-02,22.569,22.612,22.432,22.612,21409
96,2013-05-03,22.594,22.654,22.474,22.654,9412
97,2013-05-06,22.654,22.662,22.543,22.646,5544
98,2013-05-07,22.732,22.732,22.714,22.723,6064
99,2013-05-08,22.62,22.911,22.62,22.741,8257
100,2013-05-09,22.929,22.929,22.868,22.911,4429
101,2013-05-10,22.929,22.929,22.911,22.911,4661
102,2013-05-13,22.929,22.929,22.757,22.887,3963
103,2013-05-14,23.107,23.325,22.913,22.913,11998
104,2013-05-15,23.054,23.168,22.913,23.08,6312
105,2013-05-16,23.132,23.132,22.826,22.959,8637
106,2013-05-17,23.08,23.08,22.793,22.959,6146
107,2013-05-20,23.002,23.002,22.845,22.975,3984
108,2013-05-21,22.888,22.993,22.845,22.993,2609
109,2013-05-22,22.941,22.959,22.826,22.836,4391
110,2013-05-23,22.8,22.809,22.503,22.793,14280
111,2013-05-24,22.591,22.695,22.573,22.695,3335
112,2013-05-28,22.695,22.74,22.546,22.74,4608
113,2013-05-29,22.731,22.913,22.434,22.564,8468
114,2013-05-30,22.503,22.809,22.494,22.635,13394
115,2013-05-31,22.644,22.644,22.546,22.626,6713
116,2013-06-03,22.817,22.959,22.486,22.695,4447
117,2013-06-04,22.8,22.8,22.521,22.521,5937
118,2013-06-05,22.564,22.582,22.434,22.503,10350
119,2013-06-06,22.635,22.635,22.058,22.302,7430
120,2013-06-07,22.345,22.355,22.345,22.355,1544
121,2013-06-10,22.363,22.434,22.135,22.135,4293
122,2013-06-11,22.101,22.293,22.058,22.084,7198
123,2013-06-12,22.302,22.302,21.568,21.759,26240
