,Date,Open,High,Low,Close,Volume
0,2005-02-25,13.548,14.055,13.548,13.968,308067
1,2005-02-28,14.161,14.161,13.424,13.891,402099
2,2005-03-01,13.891,13.891,13.482,13.606,347454
3,2005-03-02,14.181,14.21,13.694,14.006,403538
4,2005-03-03,14.122,14.286,13.958,14.2,287037
5,2005-03-04,14.132,14.277,14.132,14.171,195480
6,2005-03-07,14.152,14.181,13.616,13.872,385394
7,2005-03-08,13.773,14.5,13.773,14.343,378998
8,2005-03-09,14.296,14.304,13.823,13.872,292189
9,2005-03-10,13.901,13.901,13.209,13.414,256723
10,2005-03-11,13.366,13.685,13.346,13.606,240431
11,2005-03-14,13.675,13.694,13.191,13.366,255279
12,2005-03-15,13.356,13.655,13.336,13.538,221668
13,2005-03-16,13.404,13.433,13.239,13.297,236722
14,2005-03-17,13.336,13.694,13.307,13.577,280849
15,2005-03-18,13.577,13.577,13.336,13.433,421064
16,2005-03-21,13.094,13.424,13.027,13.375,236929
17,2005-03-22,13.317,13.528,13.142,13.142,120631
18,2005-03-23,13.161,13.181,12.551,12.61,306626
19,2005-03-24,12.541,12.918,12.541,12.803,201461
20,2005-03-28,12.918,13.307,12.472,13.229,604174
21,2005-03-29,13.783,14.239,13.626,13.929,1225675
22,2005-03-30,14.432,14.441,14.132,14.373,767283
23,2005-03-31,14.936,15.374,14.725,15.276,959668
24,2005-04-01,15.52,16.003,15.52,15.915,1374550
25,2005-04-04,15.895,16.227,15.149,15.731,1309807
26,2005-04-05,15.781,15.781,15.119,15.491,626446
27,2005-04-06,15.473,15.789,15.433,15.761,496952
28,2005-04-07,15.984,16.421,15.761,15.885,788319
29,2005-04-08,15.905,15.944,15.403,15.433,375496
30,2005-04-11,15.617,15.656,15.296,15.473,590977
31,2005-04-12,15.473,15.473,14.715,14.832,625826
32,2005-04-13,14.743,14.842,14.333,14.5,486848
33,2005-04-14,14.432,14.5,13.685,13.852,661086
34,2005-04-15,13.336,13.704,12.958,13.064,868116
35,2005-04-18,12.709,13.538,12.317,13.473,810170
36,2005-04-19,13.872,13.948,13.704,13.803,438182
37,2005-04-20,14.064,14.093,13.482,13.519,414057
38,2005-04-21,13.636,14.035,13.492,14.015,302912
39,2005-04-22,13.939,13.939,13.113,13.239,537574
40,2005-04-25,13.239,13.626,13.2,13.538,338587
41,2005-04-26,13.675,13.773,13.142,13.307,327244
42,2005-04-27,13.327,13.327,12.64,12.888,297139
43,2005-04-28,12.898,12.908,12.238,12.347,493856
44,2005-04-29,12.347,12.511,11.911,12.125,694906
45,2005-05-02,12.007,12.327,11.27,12.267,1066278
46,2005-05-03,12.238,12.258,11.027,11.795,1065040
47,2005-05-04,11.755,11.785,11.223,11.466,989777
48,2005-05-05,11.155,11.882,11.125,11.755,615927
49,2005-05-06,11.735,11.901,11.639,11.696,311571
50,2005-05-09,11.496,11.94,11.251,11.775,412613
51,2005-05-10,12.365,12.757,12.317,12.385,888532
52,2005-05-11,12.415,12.61,12.277,12.415,560460
53,2005-05-12,12.443,12.551,12.085,12.219,755737
54,2005-05-13,12.125,12.238,11.901,11.931,894923
55,2005-05-16,11.969,12.317,11.795,12.267,4447805
56,2005-05-17,12.153,12.365,11.959,12.248,678618
57,2005-05-18,12.375,12.541,12.125,12.277,375496
58,2005-05-19,12.248,12.375,12.143,12.355,187439
