,Date,Open,High,Low,Close,Volume
0,2008-03-10,7.6437,7.6437,7.1659,7.1659,378
1,2008-03-12,7.1659,9.554,6.6882,9.554,342
2,2008-03-13,9.554,9.554,9.554,9.554,210
3,2008-03-14,9.554,9.554,9.554,9.554,40
4,2008-03-17,7.1659,8.5991,3.3441,8.5991,738
5,2008-03-18,4.8728,4.8728,4.8728,4.8728,302
6,2008-03-26,4.8728,4.8728,4.8728,4.8728,115
7,2008-04-07,8.5037,8.5037,8.5037,8.5037,10
8,2008-04-08,6.6882,6.6882,6.6882,6.6882,21
9,2008-04-09,3.3441,6.6882,3.3441,6.6882,49
10,2008-04-15,3.3441,6.6882,3.3441,6.6882,42
11,2008-04-23,4.9684,4.9684,4.9684,4.9684,50
12,2008-04-24,5.2551,5.2551,5.2551,5.2551,137
13,2008-04-29,6.6882,6.6882,3.3441,3.3441,2474
14,2008-04-30,3.8218,3.8218,3.3441,3.3441,2770
15,2008-05-02,2.1021,2.8663,1.9109,2.3886,2355
16,2008-05-05,2.3886,2.3886,2.3886,2.3886,524
17,2008-05-06,2.3886,2.3886,2.3886,2.3886,261
18,2008-05-07,2.3886,2.3886,2.3886,2.3886,1883
19,2008-05-08,2.1021,4.2996,2.1021,4.2996,115
20,2008-05-13,2.1021,2.1021,2.1021,2.1021,51
21,2008-05-30,2.1021,2.3886,2.1021,2.3886,2092
22,2008-06-13,3.6307,3.6307,3.6307,3.6307,105
23,2008-06-16,2.8663,2.962,2.6753,2.962,2354
24,2008-06-17,2.962,2.962,2.962,2.962,524
25,2008-06-18,3.3441,5.7328,3.3441,5.7328,50
26,2008-06-23,3.3441,4.9684,3.3441,4.9684,89
27,2008-07-16,2.3886,4.9684,2.3886,4.9684,42
28,2008-07-22,2.3886,4.9684,2.3886,4.9684,60
29,2008-07-24,2.3886,4.8728,2.3886,4.8728,85
30,2008-08-04,4.8728,4.8728,4.7774,4.7774,122
31,2008-08-15,2.3886,4.8728,2.3886,4.8728,1038
32,2008-08-20,2.3886,2.3886,2.3886,2.3886,254
33,2008-08-22,1.6243,1.6243,0.7644,0.7644,4081
34,2008-08-25,0.86,1.9109,0.86,0.9554,1004
35,2008-08-26,0.9554,0.9554,0.9554,0.9554,1936
36,2008-08-29,1.7198,1.7198,0.47774,0.47774,169
37,2008-09-03,2.8663,2.8663,1.4331,1.4331,3142
