,Date,Open,High,Low,Close,Volume
0,2005-02-25,15.843,16.033,15.667,16.0,1119978
1,2005-02-28,16.02,16.083,15.667,15.717,1265922
2,2005-03-01,15.833,16.017,15.767,15.953,1236654
3,2005-03-02,15.923,16.03,15.767,15.767,1368834
4,2005-03-03,15.97,15.97,15.59,15.63,955143
5,2005-03-04,15.667,15.767,15.593,15.653,606324
6,2005-03-07,15.603,15.957,15.49,15.533,949026
7,2005-03-08,15.5,15.65,14.9,15.02,2304366
8,2005-03-09,14.87,14.933,14.447,14.663,3051516
9,2005-03-10,14.62,14.723,14.123,14.337,2065638
10,2005-03-11,14.333,15.293,14.253,15.033,2524389
11,2005-03-14,15.173,15.267,14.827,15.02,1683204
12,2005-03-15,15.01,15.3,14.783,14.833,1084239
13,2005-03-16,14.773,15.04,14.68,14.723,583749
14,2005-03-17,14.89,15.0,14.42,14.917,912006
15,2005-03-18,14.99,15.09,14.647,14.817,1385505
16,2005-03-21,14.74,14.857,14.427,14.797,620292
17,2005-03-22,14.73,15.0,14.73,14.883,947250
18,2005-03-23,14.843,15.247,14.757,15.083,1182264
19,2005-03-24,15.083,15.633,15.067,15.31,1427739
20,2005-03-28,15.44,15.553,15.083,15.357,1015305
21,2005-03-29,15.39,15.667,14.97,15.23,1820580
22,2005-03-30,15.153,15.34,14.977,15.297,2102316
23,2005-03-31,15.38,15.463,15.01,15.157,1089312
24,2005-04-01,15.317,15.9,15.167,15.597,1927197
25,2005-04-04,15.547,15.677,15.207,15.293,1557222
26,2005-04-05,15.38,16.05,15.267,16.05,1532649
27,2005-04-06,16.197,17.7,16.177,17.343,5504565
28,2005-04-07,17.267,17.42,17.15,17.35,1796277
29,2005-04-08,17.397,17.42,16.603,16.793,1812099
30,2005-04-11,16.78,17.05,16.583,16.883,881490
31,2005-04-12,16.84,16.96,16.347,16.81,1190226
32,2005-04-13,16.83,17.167,16.4,16.49,1233264
33,2005-04-14,16.457,16.663,16.347,16.38,1260741
34,2005-04-15,16.367,16.68,15.887,15.973,1616031
35,2005-04-18,15.883,15.953,15.72,15.797,1796787
36,2005-04-19,15.957,16.82,15.95,16.82,2137587
37,2005-04-20,16.993,17.033,16.413,16.463,1492761
38,2005-04-21,16.627,17.3,16.627,17.3,2361870
39,2005-04-22,16.25,16.31,13.383,13.74,16875744
40,2005-04-25,13.89,15.007,13.763,14.5,7291245
41,2005-04-26,14.55,14.843,13.903,14.017,3067800
42,2005-04-27,14.023,14.423,13.76,14.19,1767810
43,2005-04-28,14.25,14.297,13.44,13.673,1807524
44,2005-04-29,13.81,14.313,13.55,14.313,1906446
45,2005-05-02,14.32,14.49,14.003,14.14,1142457
46,2005-05-03,14.177,14.403,14.007,14.233,1313262
47,2005-05-04,14.2,14.533,14.163,14.403,910026
48,2005-05-05,14.44,14.637,14.24,14.387,1094394
49,2005-05-06,14.547,14.62,14.44,14.537,991059
50,2005-05-09,14.58,14.59,14.05,14.393,1476045
51,2005-05-10,14.33,14.33,13.82,13.967,1430535
52,2005-05-11,13.953,14.3,13.79,14.267,1317828
53,2005-05-12,14.247,14.38,14.0,14.073,654741
54,2005-05-13,14.093,14.237,13.917,13.933,804105
55,2005-05-16,13.983,14.813,13.853,14.813,1559631
56,2005-05-17,14.65,14.74,14.253,14.53,1100895
57,2005-05-18,14.583,15.017,14.443,15.01,1470504
58,2005-05-19,15.073,15.727,14.99,15.697,2182923
59,2005-05-20,15.767,15.783,15.267,15.603,1420578
60,2005-05-23,15.593,16.297,15.467,15.993,2051166
61,2005-05-24,15.993,16.323,15.673,16.203,1442898
62,2005-05-25,16.167,16.167,15.51,15.813,1419618
63,2005-05-26,15.833,16.223,15.65,16.183,1235325
64,2005-05-27,16.213,16.74,16.093,16.547,1112097
65,2005-05-31,16.583,16.707,16.41,16.5,1583526
66,2005-06-01,16.57,16.613,16.007,16.15,1357533
67,2005-06-02,16.023,16.583,16.003,16.37,1711554
68,2005-06-03,16.367,16.55,16.137,16.393,678222
69,2005-06-06,16.36,16.52,16.25,16.34,673359
70,2005-06-07,16.34,16.48,16.167,16.22,834408
71,2005-06-08,16.287,16.293,15.507,15.733,1045362
72,2005-06-09,15.813,16.167,15.597,16.157,878538
73,2005-06-10,16.14,16.14,15.917,16.057,614700
74,2005-06-13,16.0,16.227,15.953,16.213,401436
75,2005-06-14,16.173,16.227,16.02,16.163,494529
76,2005-06-15,16.203,16.223,15.723,16.047,985305
77,2005-06-16,16.073,16.637,15.97,16.607,932178
78,2005-06-17,16.667,16.983,16.533,16.8,1453155
79,2005-06-20,16.797,16.953,16.5,16.73,694098
80,2005-06-21,16.717,16.847,16.267,16.373,822459
81,2005-06-22,16.333,16.497,15.843,16.117,1115610
82,2005-06-23,16.04,16.167,15.74,15.833,651966
83,2005-06-24,15.84,16.197,15.753,15.79,820815
84,2005-06-27,15.92,15.92,15.28,15.337,1659417
85,2005-06-28,15.333,15.927,15.293,15.783,935043
86,2005-06-29,15.91,15.91,15.547,15.677,1181721
87,2005-06-30,15.72,16.047,15.49,15.547,828795
88,2005-07-01,15.58,15.653,15.467,15.577,639351
89,2005-07-05,15.5,16.19,15.5,16.19,810066
90,2005-07-06,16.2,16.45,16.027,16.3,872634
91,2005-07-07,16.057,16.627,16.0,16.577,1046991
92,2005-07-08,16.667,17.593,16.65,17.257,2732406
93,2005-07-11,17.423,17.9,17.39,17.633,1861047
94,2005-07-12,17.803,18.067,17.507,17.813,1552509
95,2005-07-13,17.93,17.93,16.683,16.977,2126235
96,2005-07-14,17.27,17.277,16.667,16.813,1321236
97,2005-07-15,16.737,16.95,16.633,16.827,869589
98,2005-07-18,16.783,17.363,16.783,17.15,1652451
99,2005-07-19,17.26,17.33,16.803,16.967,1178490
100,2005-07-20,17.0,17.017,16.763,16.833,987960
101,2005-07-21,16.833,16.98,16.083,16.477,1634136
102,2005-07-22,16.56,16.753,16.48,16.723,766500
103,2005-07-25,16.827,17.0,16.567,16.57,1152198
104,2005-07-26,17.23,17.567,16.907,17.1,4919415
105,2005-07-27,21.053,21.747,20.5,21.607,15362916
106,2005-07-28,21.667,24.213,21.607,24.147,11252742
107,2005-07-29,23.07,23.17,21.833,23.133,22016976
108,2005-08-01,22.867,23.263,22.237,22.443,4889367
109,2005-08-02,22.407,23.07,22.163,22.94,3220665
110,2005-08-03,22.677,24.117,22.437,23.73,4562529
111,2005-08-04,23.55,23.86,22.947,23.357,1876602
112,2005-08-05,23.33,23.65,22.92,23.12,1711485
113,2005-08-08,23.223,23.653,23.037,23.25,1750512
114,2005-08-09,23.383,25.07,23.25,24.947,6462363
