,Date,Open,High,Low,Close,Volume
0,2016-09-21,24.93,24.938,24.93,24.938,409
1,2016-09-22,25.146,25.146,25.146,25.146,107
2,2016-09-23,25.077,25.077,25.077,25.077,754
3,2016-09-26,25.01,25.027,24.988,24.988,4437
4,2016-09-27,24.79,25.077,24.79,24.981,1039
5,2016-09-28,25.123,25.146,25.123,25.146,908
6,2016-09-29,25.186,25.186,25.087,25.087,3339
7,2016-10-03,25.127,25.275,24.988,25.123,22598
8,2016-10-04,25.236,25.236,25.186,25.186,1824
9,2016-10-05,25.219,25.219,25.197,25.197,444
10,2016-10-07,25.163,25.163,25.163,25.163,269
11,2016-10-10,25.077,25.444,25.077,25.362,30911
12,2016-10-11,30.432,30.432,25.285,25.295,10221
13,2016-10-12,25.222,25.305,25.222,25.258,1966
14,2016-10-13,25.256,25.315,25.256,25.315,959
15,2016-10-14,25.307,25.307,25.305,25.305,706
16,2016-10-17,25.424,25.424,25.218,25.285,2666
17,2016-10-18,25.315,25.325,25.315,25.325,425
18,2016-10-19,25.335,25.404,25.335,25.384,1977692
19,2016-10-20,25.285,25.309,25.285,25.293,8191
20,2016-10-21,25.345,25.345,25.232,25.315,2960
21,2016-10-24,25.414,25.414,25.285,25.285,2020
22,2016-10-25,25.315,25.325,25.285,25.325,1530
23,2016-10-27,25.295,25.295,25.295,25.295,202
24,2016-10-28,25.34,25.345,25.107,25.251,37612
25,2016-10-31,25.087,25.246,25.087,25.087,1427
26,2016-11-01,25.174,25.174,25.168,25.168,210
27,2016-11-02,25.087,25.196,24.988,24.988,9407
28,2016-11-03,25.21,25.21,25.21,25.21,136
29,2016-11-04,25.275,25.275,25.275,25.275,413
30,2016-11-07,25.195,25.275,25.195,25.265,20669
31,2016-11-08,25.275,25.275,25.275,25.275,158
32,2016-11-09,25.361,25.361,25.176,25.242,2813
33,2016-11-10,25.523,25.523,25.523,25.523,130
34,2016-11-11,25.211,25.211,25.211,25.211,101
35,2016-11-14,25.082,25.27,25.082,25.159,3048
36,2016-11-15,25.183,25.183,25.183,25.183,111
37,2016-11-17,25.278,25.278,25.278,25.278,202
38,2016-11-18,25.424,25.424,25.285,25.285,747
39,2016-11-21,25.295,25.295,25.251,25.266,1593
40,2016-11-22,25.375,25.375,25.305,25.305,657
41,2016-11-23,25.434,25.434,25.434,25.434,118
42,2016-11-25,25.503,25.503,25.503,25.503,122
43,2016-11-28,25.513,25.513,25.433,25.454,3465
44,2016-11-29,25.455,25.494,25.455,25.494,383
45,2016-11-30,25.603,25.603,25.543,25.563,1639
46,2016-12-01,25.513,25.513,25.444,25.454,1136
47,2016-12-02,25.404,25.404,25.404,25.404,563
48,2016-12-05,25.533,25.533,25.503,25.503,395
49,2016-12-06,25.523,25.543,25.454,25.503,580
50,2016-12-07,25.593,25.593,25.442,25.511,3201
51,2016-12-08,25.632,25.731,25.556,25.655,2376
52,2016-12-09,25.742,25.781,25.742,25.781,467
53,2016-12-12,25.86,25.86,25.86,25.86,340
54,2016-12-13,25.88,25.88,25.699,25.699,2143
55,2016-12-14,25.738,25.741,25.64,25.692,1080
56,2016-12-15,25.692,25.712,25.642,25.672,9061
57,2016-12-16,25.637,25.646,25.637,25.646,676
58,2016-12-19,25.603,25.603,25.575,25.593,427
59,2016-12-20,25.58,25.613,25.574,25.613,646
60,2016-12-21,25.613,25.613,25.588,25.588,933
61,2016-12-22,25.662,25.662,25.636,25.662,1253
62,2016-12-23,25.75,25.75,25.75,25.75,3256
63,2016-12-27,25.75,25.75,25.7,25.7,934
64,2016-12-28,25.66,25.665,25.57,25.57,638
65,2016-12-30,25.65,25.7,25.65,25.67,4083
66,2017-01-03,25.79,25.79,25.6833,25.79,4091
67,2017-01-04,25.85,25.8599,25.83,25.83,669
68,2017-01-05,25.77,25.78,25.77,25.775,1822
69,2017-01-06,25.77,25.77,25.74,25.74,360
70,2017-01-09,25.7,25.7,25.689,25.6937,1490
71,2017-01-10,25.73,25.73,25.73,25.73,100
72,2017-01-11,25.61,25.77,25.61,25.77,1203
73,2017-01-12,25.7203,26.0,25.7203,25.87,12030
74,2017-01-13,25.89,25.95,25.8176,25.95,8937
75,2017-01-17,25.73,25.9,25.73,25.9,2539
76,2017-01-18,25.86,25.86,25.86,25.86,255
77,2017-01-19,25.8,25.8,25.7742,25.7742,698
78,2017-01-20,25.88,25.9,25.8,25.8,2514
79,2017-01-23,25.83,25.83,25.7453,25.8,2235
80,2017-01-24,25.81,25.85,25.7877,25.7877,1890
81,2017-01-25,25.99,26.0,25.96,26.0,4404
82,2017-01-26,25.91,25.91,25.8318,25.8318,2461
83,2017-01-27,25.87,25.87,25.81,25.83,4775
84,2017-01-30,25.68,25.7821,25.6793,25.7821,25073
85,2017-01-31,25.7,25.75,25.64,25.67,150487
86,2017-02-01,25.75,25.75,25.59,25.64,47808
87,2017-02-02,25.7,25.72,25.685,25.685,22365
88,2017-02-03,25.79,25.8,25.7473,25.8,2394
89,2017-02-06,25.75,25.75,25.69,25.71,12185
90,2017-02-07,25.6784,25.73,25.6784,25.7015,4241
91,2017-02-08,25.74,25.74,25.6,25.64,7022
92,2017-02-09,25.74,25.8,25.7085,25.8,2238
93,2017-02-10,25.81,25.84,25.77,25.84,18756
94,2017-02-13,25.96,25.96,25.75,25.75,6338
95,2017-02-14,25.898,25.898,25.8616,25.8616,388
96,2017-02-15,25.95,25.9794,25.84,25.9794,16188
97,2017-02-16,25.86,25.9295,25.86,25.9,2703
98,2017-02-17,25.9,25.97,25.85,25.97,9830
99,2017-02-21,25.8,25.95,25.8,25.89,3527
100,2017-02-22,25.96,25.98,25.94,25.97,7790
101,2017-02-23,25.93,25.9634,25.93,25.9634,3050
102,2017-02-24,25.93,25.9518,25.93,25.95,5279
103,2017-02-27,25.99,25.99,25.99,25.99,300
104,2017-02-28,25.93,25.9503,25.93,25.93,1830
105,2017-03-01,25.91,26.05,25.91,26.05,2482
106,2017-03-02,25.98,25.9989,25.9001,25.92,5883
107,2017-03-03,25.95,25.95,25.9111,25.95,3913
108,2017-03-06,25.89,25.9,25.88,25.9,2535
109,2017-03-07,25.8673,25.91,25.8401,25.91,2425
110,2017-03-08,25.86,25.86,25.825,25.83,2267
111,2017-03-09,25.82,25.85,25.79,25.83,24370
112,2017-03-10,25.83,25.84,25.826,25.84,8986
113,2017-03-13,25.88,25.88,25.8368,25.86,4504
114,2017-03-14,25.84,25.85,25.8,25.84,22871
115,2017-03-15,25.89,25.924,25.87,25.924,1266
116,2017-03-16,25.93,25.93,25.91,25.92,3163
117,2017-03-17,25.97,26.02,25.94,26.02,36402
118,2017-03-20,25.87,25.9799,25.87,25.97,5910
119,2017-03-21,25.99,25.99,25.77,25.77,2273
120,2017-03-22,25.755,25.85,25.755,25.77,61672
121,2017-03-23,25.94,25.94,25.88,25.88,8719
122,2017-03-24,25.96,25.96,25.88,25.92,3150
123,2017-03-27,25.805,25.91,25.8,25.91,11379
124,2017-03-28,25.83,25.96,25.83,25.94,78106
