,Date,Open,High,Low,Close,Volume
0,2015-08-11,24.99,25.0,24.91,24.96,556287
1,2015-08-12,24.95,24.98,24.91,24.97,387195
2,2015-08-13,24.98,25.0,24.94,24.99,341881
3,2015-08-14,24.96,25.0,24.95,25.0,273027
4,2015-08-17,25.0,25.0,24.92,24.92,567587
5,2015-08-18,24.93,24.952,24.91,24.92,207002
6,2015-08-19,24.92,24.95,24.9,24.94,221477
7,2015-08-20,24.93,24.95,24.89,24.93,308275
8,2015-08-21,24.9,24.94,24.84,24.89,497420
9,2015-08-24,24.7,24.8,23.53,24.69,406621
10,2015-08-25,24.75,24.83,24.7,24.74,771088
11,2015-08-26,24.79,24.83,24.72,24.77,336660
12,2015-08-27,24.82,24.96,24.799,24.88,271298
13,2015-08-28,24.89,24.99,24.85,24.98,165252
14,2015-08-31,24.95,25.0,24.94,25.0,325776
15,2015-09-01,24.98,24.99,24.91,24.96,395872
16,2015-09-02,24.99,25.0,24.96,24.99,213273
17,2015-09-03,25.0,25.0,24.97,24.98,234886
18,2015-09-04,24.96,24.99,24.94,24.98,152760
19,2015-09-08,25.0,25.0,24.91,24.95,246145
20,2015-09-09,24.92,24.96,24.9,24.92,195032
21,2015-09-10,24.98,24.98,24.86,24.9,233206
22,2015-09-11,24.9,24.94,24.89,24.9,349681
23,2015-09-14,24.91,24.99,24.89,24.95,183920
24,2015-09-15,24.95,24.98,24.92,24.93,136447
25,2015-09-16,24.95,24.95,24.9,24.92,195375
26,2015-09-17,24.96,25.0,24.87,24.97,140290
27,2015-09-18,24.97,24.99,24.94,24.97,165264
28,2015-09-21,25.0,25.05,24.99,25.01,320736
29,2015-09-22,24.99,25.05,24.99,25.026,208592
30,2015-09-23,25.03,25.07,25.02,25.06,245625
31,2015-09-24,25.05,25.06,25.01,25.03,242379
32,2015-09-25,25.08,25.11,25.05,25.11,134168
33,2015-09-28,25.08,25.1,24.98,24.98,244746
34,2015-09-29,25.0,25.05,24.98,25.04,372607
35,2015-09-30,25.09,25.09,25.01,25.03,175050
36,2015-10-01,25.04,25.09,24.99,25.0,336955
37,2015-10-02,24.95,25.02,24.95,25.01,256576
38,2015-10-05,25.04,25.24,25.02,25.14,423572
39,2015-10-06,25.16,25.19,25.1,25.14,255211
40,2015-10-07,25.13,25.265,25.13,25.24,364878
41,2015-10-08,25.2,25.24,25.16,25.23,197986
42,2015-10-09,25.21,25.365,25.19,25.27,330514
43,2015-10-12,25.31,25.42,25.284,25.39,172314
44,2015-10-13,25.4,25.48,25.31,25.39,225400
45,2015-10-14,25.38,25.44,25.34,25.4,231274
46,2015-10-15,25.43,25.5,24.44,25.42,289470
47,2015-10-16,25.43,25.53,25.01,25.01,1543891
48,2015-10-19,25.25,25.34,25.23,25.26,553492
49,2015-10-20,25.29,25.35,25.27,25.34,354866
50,2015-10-21,25.39,25.47,25.375,25.43,196270
51,2015-10-22,25.47,25.58,25.44,25.53,560871
52,2015-10-23,25.56,25.65,25.51,25.58,381408
53,2015-10-26,25.57,25.69,25.539,25.6,339623
54,2015-10-27,25.62,25.65,25.6,25.62,180370
55,2015-10-28,25.65,25.74,25.63,25.71,241811
56,2015-10-29,25.25,25.29,25.19,25.21,389581
57,2015-10-30,25.24,25.25,25.171,25.21,537971
58,2015-11-02,25.22,25.31,25.2,25.3,517599
59,2015-11-03,25.33,25.4,25.32,25.33,409515
60,2015-11-04,25.38,25.46,25.34,25.38,650237
61,2015-11-05,25.42,25.46,25.396,25.42,276960
62,2015-11-06,25.4,25.4,25.14,25.28,481450
63,2015-11-09,25.18,25.2,25.06,25.18,371484
64,2015-11-10,25.19,25.23,25.15,25.18,299444
65,2015-11-11,25.22,25.27,25.2,25.26,358848
66,2015-11-12,25.25,25.32,25.2,25.27,209002
67,2015-11-13,25.33,25.35,25.0,25.33,195372
68,2015-11-16,25.28,25.32,25.24,25.28,122756
69,2015-11-17,25.29,25.34,25.22,25.26,282734
70,2015-11-18,25.3,25.32,25.25,25.292,276244
71,2015-11-19,25.3,25.32,25.27,25.28,183514
72,2015-11-20,25.3,25.32,25.28,25.31,179139
73,2015-11-23,25.32,25.35,25.31,25.32,144044
74,2015-11-24,25.34,25.37,25.3,25.33,160391
75,2015-11-25,25.37,25.43,25.37,25.42,215788
76,2015-11-27,25.43,25.55,25.42,25.54,77389
77,2015-11-30,25.56,25.576,25.48,25.52,194454
78,2015-12-01,25.61,25.61,25.53,25.56,194072
79,2015-12-02,25.59,25.59,25.48,25.52,476896
80,2015-12-03,25.53,25.53,25.35,25.44,272191
81,2015-12-04,25.45,25.525,25.4,25.52,182208
82,2015-12-07,25.53,25.53,25.4,25.45,165642
83,2015-12-08,25.47,25.47,25.41,25.45,121724
84,2015-12-09,25.46,25.48,25.41,25.47,185425
85,2015-12-10,25.462,25.48,25.44,25.46,174797
86,2015-12-11,25.47,25.47,25.37,25.39,122083
87,2015-12-14,25.4,25.4,25.01,25.11,562667
88,2015-12-15,25.18,25.32,25.14,25.25,263799
89,2015-12-16,25.26,25.43,25.23,25.43,128813
90,2015-12-17,25.51,25.6,25.42,25.5,198347
91,2015-12-18,25.57,25.57,25.52,25.57,99626
92,2015-12-21,25.59,25.66,25.57,25.65,116764
93,2015-12-22,25.68,25.73,25.62,25.65,101150
94,2015-12-23,25.7,25.74,25.66,25.74,106844
95,2015-12-24,25.74,25.78,25.67,25.7,58802
96,2015-12-28,25.73,25.8,25.64,25.78,190342
97,2015-12-29,25.8,25.8,25.72,25.785,230006
98,2015-12-30,25.8,25.88,25.75,25.87,109528
99,2015-12-31,25.92,25.93,25.86,25.92,78073
100,2016-01-04,25.8,26.1199,25.721,26.1,202425
101,2016-01-05,26.07,26.23,26.07,26.1,788838
102,2016-01-06,26.06,26.15,25.97,26.11,172751
103,2016-01-07,25.97,26.14,25.97,25.99,240312
104,2016-01-08,26.03,26.12,26.03,26.11,192971
105,2016-01-11,26.07,26.1137,25.98,26.03,177340
106,2016-01-12,26.04,26.08,25.83,25.88,576838
107,2016-01-13,25.91,25.939,25.71,25.75,409546
108,2016-01-14,25.75,25.97,25.65,25.93,225538
109,2016-01-15,25.83,25.86,25.75,25.83,154427
110,2016-01-19,25.88,25.88,25.88,25.88,0
111,2016-01-20,25.85,25.85,25.5,25.64,282785
112,2016-01-21,25.61,25.68,25.46,25.48,202109
113,2016-01-22,25.63,25.67,25.46,25.67,179608
114,2016-01-25,25.71,25.71,25.46,25.51,222964
115,2016-01-26,25.57,25.62,25.46,25.52,247192
116,2016-01-27,25.51,25.69,25.5,25.68,220333
117,2016-01-28,25.39,25.43,25.2983,25.408,328607
118,2016-01-29,25.41,25.64,25.4085,25.64,452586
119,2016-02-01,25.64,25.65,25.58,25.65,339931
120,2016-02-02,25.64,25.7,25.58,25.65,226403
121,2016-02-03,25.71,25.71,25.5,25.6,199884
122,2016-02-04,25.64,25.67,25.585,25.61,161669
123,2016-02-05,25.66,25.66,25.52,25.6,238162
124,2016-02-08,25.5,25.56,25.21,25.29,273906
125,2016-02-09,25.2,25.289,24.95,25.24,350036
126,2016-02-10,25.39,25.41,25.2,25.3194,255464
127,2016-02-11,25.04,25.099,24.7401,25.0,470702
128,2016-02-12,25.18,25.33,25.09,25.21,240363
129,2016-02-16,25.24,25.39,25.09,25.19,346264
130,2016-02-17,25.32,25.45,25.24,25.39,253388
131,2016-02-18,25.7,25.7,25.41,25.53,176378
132,2016-02-19,25.52,25.68,25.429,25.64,188598
133,2016-02-22,25.73,25.79,25.65,25.65,223872
134,2016-02-23,25.69,25.69,25.55,25.64,262847
135,2016-02-24,25.5,25.65,25.47,25.63,244992
136,2016-02-25,25.65,25.7,25.63,25.7,187850
137,2016-02-26,25.71,25.74,25.66,25.7,150448
138,2016-02-29,25.72,25.72,25.62,25.62,186447
139,2016-03-01,25.73,25.73,25.62,25.66,229341
140,2016-03-02,25.72,25.74,25.6499,25.74,249881
