,Date,Open,High,Low,Close,Volume
0,1984-12-17,2.5723,2.6212,2.5314,2.5641,1413716
1,1984-12-18,2.5886,2.6537,2.5804,2.646,1688034
2,1984-12-19,2.6292,2.7028,2.6292,2.646,1180545
3,1984-12-20,2.6049,2.6212,2.5314,2.5723,865079
4,1984-12-21,2.5886,2.5967,2.4906,2.4906,1116869
5,1984-12-24,2.4986,2.5723,2.4986,2.5475,244929
6,1984-12-26,2.5558,2.5558,2.5152,2.5231,139117
7,1984-12-27,2.5231,2.5558,2.5231,2.5475,983622
8,1984-12-28,2.5641,2.5641,2.5231,2.5475,550594
9,1984-12-31,2.5395,2.5395,2.5068,2.5314,240028
10,1985-01-02,2.5231,2.5231,2.4495,2.4495,328203
11,1985-01-03,2.4415,2.5152,2.4333,2.4823,559414
12,1985-01-04,2.4662,2.4986,2.4662,2.4743,228272
13,1985-01-07,2.4906,2.5152,2.4743,2.4823,410495
14,1985-01-08,2.4823,2.5314,2.4823,2.4906,565293
15,1985-01-09,2.4823,2.5475,2.4823,2.5314,571169
16,1985-01-10,2.5475,2.6131,2.5395,2.6131,529042
17,1985-01-11,2.6701,2.6701,2.6049,2.6537,1046328
18,1985-01-14,2.6537,2.711,2.5886,2.7028,1254024
19,1985-01-15,2.7028,2.7028,2.6375,2.6783,1198178
20,1985-01-16,2.6537,2.6947,2.6212,2.6292,1133520
21,1985-01-17,2.6292,2.646,2.5804,2.5886,1015954
22,1985-01-18,2.5967,2.6292,2.5723,2.6049,611336
23,1985-01-21,2.6292,2.6783,2.6212,2.6783,1517563
24,1985-01-22,2.711,2.711,2.6292,2.6537,1236388
25,1985-01-23,2.6375,2.6537,2.5723,2.6049,1302030
26,1985-01-24,2.6292,2.646,2.6049,2.6292,2195519
27,1985-01-25,2.5886,2.6701,2.5558,2.646,1194260
28,1985-01-28,2.6701,2.7356,2.6537,2.7192,1832051
29,1985-01-29,2.711,2.7764,2.6947,2.7764,593700
30,1985-01-30,2.7845,2.8089,2.7682,2.7845,969909
31,1985-01-31,2.7845,2.8006,2.7845,2.7845,582926
