,Date,Open,High,Low,Close,Volume
0,2013-01-29,11.777,12.032,11.58,11.649,1146011
1,2013-01-30,11.649,11.791,11.46,11.574,448054
2,2013-01-31,11.574,11.64,11.255,11.364,64691
3,2013-02-01,11.64,11.83,10.873,11.649,137500
4,2013-02-04,11.665,11.732,11.64,11.649,43407
5,2013-02-05,12.041,12.041,11.611,11.649,7477
6,2013-02-06,11.039,11.649,11.039,11.625,17963
7,2013-02-07,11.691,11.691,11.302,11.46,29289
8,2013-02-08,11.263,11.732,11.263,11.691,36001
9,2013-02-11,11.64,11.732,11.589,11.7,56970
10,2013-02-12,12.024,12.024,11.64,11.709,26645
11,2013-02-13,11.743,11.743,11.686,11.735,24895
12,2013-02-14,11.709,11.743,11.709,11.743,13439
13,2013-02-15,11.735,11.743,11.525,11.525,24235
14,2013-02-19,11.718,11.834,11.613,11.764,41066
15,2013-02-20,11.982,11.982,11.613,11.613,16436
16,2013-02-21,11.626,11.669,11.462,11.605,12516
17,2013-02-22,11.605,11.764,11.492,11.764,21872
18,2013-02-25,11.492,11.764,11.492,11.605,7265
19,2013-02-26,11.678,11.973,11.531,11.575,84926
20,2013-02-27,11.508,11.686,11.492,11.552,22714
21,2013-02-28,11.686,11.743,11.492,11.743,17539
22,2013-03-01,11.605,11.894,11.605,11.879,12939
23,2013-03-04,11.75,11.915,11.605,11.613,12451
24,2013-03-05,11.824,11.973,11.727,11.915,103544
25,2013-03-06,11.879,11.915,11.772,11.842,156754
26,2013-03-07,11.957,11.982,11.842,11.973,68959
27,2013-03-08,11.973,11.999,11.957,11.999,27181
28,2013-03-11,11.933,12.021,11.879,11.973,11488
29,2013-03-12,12.029,12.029,11.933,11.957,7250
30,2013-03-13,11.982,12.068,11.908,11.925,26246
31,2013-03-14,11.842,12.06,11.842,12.06,19510
32,2013-03-15,11.991,12.029,11.908,11.908,21250
33,2013-03-18,11.908,11.928,11.833,11.908,11865
34,2013-03-19,11.942,12.029,11.908,11.957,7826
35,2013-03-20,12.029,12.029,11.848,11.982,18328
36,2013-03-21,12.007,12.136,11.824,11.908,33808
37,2013-03-22,11.999,12.045,11.908,11.933,6206
38,2013-03-25,12.021,12.036,11.871,12.036,3586
39,2013-03-26,12.007,12.007,11.786,11.908,5503
40,2013-03-27,12.013,12.013,11.66,11.717,10609
41,2013-03-28,11.743,12.365,11.702,12.12,47592
42,2013-04-01,12.191,12.365,11.887,12.331,40524
43,2013-04-02,12.262,12.459,12.183,12.38,33133
44,2013-04-03,12.484,12.652,12.3,12.3,201156
45,2013-04-04,12.492,12.492,12.183,12.38,4337
46,2013-04-05,12.207,13.099,12.183,12.638,27904
47,2013-04-08,12.536,12.613,12.309,12.564,4961
48,2013-04-09,12.535,12.939,12.419,12.498,20111
49,2013-04-10,12.693,13.036,12.693,12.989,73214
50,2013-04-11,12.966,13.325,12.966,13.068,43993
51,2013-04-12,13.229,13.677,13.12,13.275,27002
52,2013-04-15,13.351,14.64,13.351,13.644,102538
53,2013-04-16,13.956,14.247,13.684,13.768,68168
54,2013-04-17,13.722,14.068,13.684,13.809,64149
55,2013-04-18,13.85,13.85,13.446,13.746,25299
56,2013-04-19,13.524,13.903,13.211,13.28,32759
57,2013-04-22,13.297,13.69,13.047,13.524,31568
58,2013-04-23,13.55,13.566,13.094,13.468,18647
59,2013-04-24,13.365,13.541,13.195,13.28,24754
60,2013-04-25,13.402,13.918,13.086,13.365,61163
61,2013-04-26,13.372,13.541,13.039,13.34,18742
62,2013-04-29,13.372,13.381,12.458,12.744,58893
63,2013-04-30,12.666,13.053,12.475,12.975,31063
64,2013-05-01,12.992,13.123,12.379,12.467,148417
65,2013-05-02,12.535,12.92,12.467,12.581,25298
66,2013-05-03,12.808,12.808,11.969,12.572,106672
67,2013-05-06,12.581,12.72,12.148,12.387,9895
68,2013-05-07,12.581,12.66,12.441,12.541,15385
69,2013-05-08,12.581,12.701,12.518,12.572,37334
70,2013-05-09,12.581,12.765,12.509,12.581,106657
71,2013-05-10,12.729,12.975,12.701,12.778,29945
72,2013-05-13,12.786,13.131,12.778,12.848,13723
73,2013-05-14,13.016,13.203,12.502,12.903,32757
74,2013-05-15,13.062,13.131,12.509,13.131,33064
75,2013-05-16,13.263,13.263,12.83,13.123,23697
76,2013-05-17,13.263,13.306,13.147,13.298,21391
77,2013-05-20,13.263,13.578,12.885,13.306,16839
78,2013-05-21,13.263,13.56,13.263,13.439,10881
79,2013-05-22,13.482,13.664,13.462,13.611,19428
80,2013-05-23,13.462,13.623,13.426,13.449,12003
81,2013-05-24,13.389,13.536,13.263,13.449,6602
82,2013-05-28,13.545,13.545,12.91,12.96,33590
83,2013-05-29,12.967,12.967,12.461,12.577,31919
84,2013-05-30,12.616,12.867,12.616,12.671,36551
85,2013-05-31,12.671,12.671,11.88,12.112,25911
86,2013-06-03,12.214,12.664,12.214,12.479,43049
87,2013-06-04,12.513,12.671,12.452,12.461,30947
88,2013-06-05,12.551,12.91,12.551,12.593,93890
89,2013-06-06,12.664,12.866,12.634,12.642,28864
90,2013-06-07,12.671,13.639,12.479,13.069,75404
91,2013-06-10,13.211,13.211,12.593,12.894,49742
92,2013-06-11,12.96,13.032,12.513,12.671,27787
93,2013-06-12,13.069,13.11,12.671,12.936,34365
94,2013-06-13,13.015,13.189,12.741,13.015,17682
95,2013-06-14,13.211,13.426,13.031,13.226,54452
96,2013-06-17,13.375,13.667,13.367,13.375,42097
97,2013-06-18,13.249,13.768,13.196,13.633,28913
98,2013-06-19,13.728,13.728,13.242,13.45,9503
99,2013-06-20,13.249,13.346,13.013,13.013,12345
100,2013-06-21,13.013,14.484,13.007,13.156,38165
101,2013-06-24,13.173,13.563,13.059,13.196,28493
102,2013-06-25,13.282,13.563,13.045,13.53,29154
103,2013-06-26,13.683,13.891,13.367,13.375,24836
104,2013-06-27,13.52,13.563,13.203,13.211,14628
105,2013-06-28,13.289,13.602,13.289,13.505,34877
106,2013-07-01,13.53,13.921,13.245,13.396,37979
107,2013-07-02,13.404,13.404,12.965,13.203,19882
108,2013-07-03,13.203,13.203,13.014,13.093,2866
109,2013-07-05,13.045,13.045,12.766,12.843,29916
110,2013-07-08,12.949,13.09,12.766,13.036,27362
111,2013-07-09,13.181,13.181,12.702,13.045,34591
112,2013-07-10,13.109,13.164,12.766,12.843,29028
113,2013-07-11,12.989,13.302,12.803,12.803,28564
114,2013-07-12,12.818,13.494,12.761,13.147,19218
115,2013-07-15,13.189,13.307,12.907,13.109,66594
116,2013-07-16,13.084,13.093,12.883,13.068,31390
117,2013-07-17,13.182,13.212,12.941,13.06,33191
118,2013-07-18,13.212,13.259,13.021,13.021,21076
119,2013-07-19,13.189,13.25,12.857,12.857,18545
120,2013-07-22,12.864,13.189,12.834,12.834,36775
121,2013-07-23,12.857,13.007,12.681,13.007,34909
122,2013-07-24,12.988,13.182,12.816,13.165,24888
123,2013-07-25,13.036,13.036,12.718,12.759,30076
124,2013-07-26,12.772,12.941,12.664,12.941,24507
125,2013-07-29,12.864,13.174,12.718,12.778,30265
126,2013-07-30,12.864,12.915,12.759,12.825,14722
127,2013-07-31,12.881,12.923,12.743,12.743,22738
128,2013-08-01,12.834,13.006,12.626,12.626,30554
129,2013-08-02,12.681,12.743,12.626,12.626,35984
130,2013-08-05,12.709,12.889,12.558,12.558,30287
131,2013-08-06,12.593,12.743,12.484,12.626,48813
132,2013-08-07,12.602,12.968,12.602,12.941,20248
133,2013-08-08,12.979,13.344,12.973,13.344,28734
134,2013-08-09,13.344,13.617,13.007,13.007,19974
135,2013-08-12,13.101,13.491,13.082,13.301,24379
136,2013-08-13,13.491,13.577,13.11,13.459,67028
137,2013-08-14,13.534,13.679,13.113,13.679,72441
138,2013-08-15,13.418,13.617,13.228,13.499,54034
139,2013-08-16,13.392,13.459,13.174,13.259,23912
140,2013-08-19,13.265,13.845,13.265,13.552,34062
141,2013-08-20,13.762,13.762,13.37,13.393,35186
142,2013-08-21,13.552,13.762,13.393,13.393,34502
143,2013-08-22,13.468,13.714,13.4,13.552,15521
144,2013-08-23,13.437,13.675,13.437,13.453,4736
145,2013-08-26,13.501,13.518,13.407,13.446,11458
146,2013-08-27,13.453,13.518,13.265,13.511,19940
147,2013-08-28,13.407,13.437,13.164,13.164,10545
148,2013-08-29,13.204,13.746,13.156,13.385,4727
149,2013-08-30,13.477,13.518,13.37,13.37,6980
150,2013-09-03,13.362,13.518,13.164,13.501,10705
151,2013-09-04,13.403,13.513,13.156,13.276,10390
152,2013-09-05,13.311,13.521,13.196,13.513,24019
153,2013-09-06,13.328,13.518,13.319,13.353,17709
154,2013-09-09,13.362,13.362,13.034,13.115,24042
155,2013-09-10,13.156,13.362,13.115,13.362,35272
156,2013-09-11,13.362,13.453,13.196,13.453,18403
157,2013-09-12,13.37,13.511,13.196,13.309,6192
158,2013-09-13,13.762,13.762,13.115,13.122,20777
159,2013-09-16,13.228,13.372,13.13,13.182,13591
160,2013-09-17,13.212,13.364,13.033,13.05,34252
161,2013-09-18,13.13,13.16,13.043,13.05,27983
162,2013-09-19,13.05,13.122,13.01,13.01,41422
163,2013-09-20,12.952,13.091,12.952,12.952,8070
164,2013-09-23,13.05,13.05,12.867,13.043,26552
165,2013-09-24,13.05,13.204,12.984,12.984,39016
166,2013-09-25,13.05,13.244,13.01,13.01,24151
167,2013-09-26,13.05,13.165,12.984,12.984,34080
168,2013-09-27,12.969,12.969,12.465,12.509,153139
169,2013-09-30,12.509,12.81,12.227,12.447,78833
170,2013-10-01,13.01,13.1,12.626,13.043,30530
