,Date,Open,High,Low,Close,Volume
0,2015-10-19,11.682,11.711,11.675,11.675,1252
1,2015-10-27,11.38,11.38,11.38,11.38,836
2,2015-10-29,11.618,11.618,11.597,11.597,1531
3,2015-11-02,11.641,11.717,11.641,11.717,1394
4,2015-11-03,11.753,11.753,11.753,11.753,277
5,2015-11-05,11.883,11.883,11.883,11.883,836
6,2015-11-25,12.78,12.78,12.78,12.78,836
7,2015-12-02,13.155,13.155,13.089,13.089,277
8,2015-12-04,12.852,12.852,12.852,12.852,695
9,2015-12-15,10.547,10.547,10.547,10.547,695
10,2015-12-17,11.423,11.487,11.416,11.467,5013
11,2015-12-21,11.353,11.353,11.314,11.314,277
12,2015-12-28,11.747,11.768,11.747,11.768,2785
13,2016-01-06,11.667,11.753,11.667,11.753,1115
14,2016-01-08,11.301,11.301,11.237,11.237,277
15,2016-01-12,10.502,10.502,10.502,10.502,397
16,2016-01-13,10.313,10.313,10.313,10.313,514
17,2016-01-14,9.564,9.564,9.511,9.511,266
18,2016-01-21,9.1798,9.2615,9.1798,9.2615,530
19,2016-01-22,9.777,9.859,9.708,9.859,530
20,2016-01-27,9.845,9.867,9.845,9.867,266
21,2016-02-01,9.92,9.92,9.859,9.859,4632
22,2016-02-11,8.4984,8.4984,8.4921,8.4921,2648
23,2016-02-19,9.3826,9.3826,9.3826,9.3826,661
24,2016-02-22,9.4969,9.4969,9.4892,9.4892,30443
25,2016-02-23,9.542,9.542,9.4662,9.4662,266
26,2016-02-24,9.2615,9.2615,9.2096,9.2096,266
27,2016-02-25,9.549,9.828,9.549,9.828,4103
28,2016-02-26,9.881,10.002,9.881,9.965,1191
29,2016-02-29,10.447,10.447,10.447,10.447,1324
30,2016-03-04,11.113,11.499,11.113,11.499,927
31,2016-03-07,11.332,11.332,11.234,11.234,266
32,2016-03-09,11.077,11.077,10.925,10.925,1588
33,2016-03-10,10.961,10.984,10.81,10.933,13635
34,2016-03-11,11.249,11.294,11.249,11.294,510
35,2016-03-14,11.249,11.316,11.249,11.316,1324
36,2016-03-15,11.249,11.249,11.166,11.166,530
37,2016-03-16,11.316,11.316,11.256,11.316,2232
38,2016-03-17,11.777,11.832,11.732,11.832,661
39,2016-03-21,11.96,11.96,11.876,11.876,84795
40,2016-03-30,12.109,12.109,12.049,12.049,266
41,2016-04-04,12.102,12.109,12.102,12.109,530
42,2016-04-05,12.095,12.095,12.083,12.083,429
43,2016-04-07,12.12,12.131,12.109,12.109,530
44,2016-04-13,12.679,12.732,12.679,12.732,794
45,2016-04-14,12.648,12.648,12.648,12.648,126
46,2016-04-20,12.765,12.765,12.765,12.765,177
47,2016-04-21,12.82,12.82,12.698,12.698,274
48,2016-04-25,12.813,12.813,12.813,12.813,3171
49,2016-05-02,12.537,12.537,12.537,12.537,633
50,2016-05-05,12.277,12.277,12.166,12.166,254
51,2016-05-10,12.195,12.195,12.182,12.182,633
52,2016-05-11,12.561,12.561,12.49,12.49,514
53,2016-05-23,12.197,12.23,12.11,12.11,2918
54,2016-06-02,12.575,12.638,12.561,12.623,24732
55,2016-06-03,12.608,12.671,12.561,12.623,4947
56,2016-06-06,12.785,12.82,12.725,12.725,3804
57,2016-06-08,12.647,12.772,12.591,12.647,64441
58,2016-06-09,12.671,12.695,12.647,12.647,1903
59,2016-06-14,12.575,12.575,12.521,12.521,508
60,2016-06-15,12.655,12.655,12.458,12.548,889
61,2016-06-24,12.813,12.82,12.813,12.82,633
62,2016-06-27,12.331,12.348,12.331,12.331,760
63,2016-07-01,13.372,13.372,13.372,13.372,444
64,2016-07-05,13.411,13.467,13.411,13.467,381
65,2016-07-06,13.294,13.433,13.294,13.433,444
66,2016-07-11,13.697,13.697,13.655,13.697,13420
67,2016-07-13,13.894,13.894,13.894,13.894,1222
68,2016-07-14,13.769,13.769,13.769,13.769,608
69,2016-07-15,13.971,13.971,13.971,13.971,608
70,2016-07-18,14.024,14.024,14.024,14.024,2309
71,2016-07-19,14.071,14.071,14.071,14.071,608
72,2016-07-20,14.126,14.126,14.126,14.126,608
73,2016-07-21,14.217,14.217,14.181,14.181,280
74,2016-07-22,14.246,14.349,14.246,14.349,245
75,2016-07-25,14.337,14.467,14.334,14.467,1977
76,2016-07-26,14.369,14.386,14.354,14.354,16727
77,2016-07-29,14.616,14.625,14.566,14.625,12164
78,2016-08-02,14.384,14.384,11.484,14.319,2020
79,2016-08-03,14.443,14.497,14.443,14.497,790
80,2016-08-05,14.633,14.633,14.411,14.584,12895
81,2016-08-15,14.88,14.88,14.88,14.88,244
82,2016-08-17,14.88,14.912,14.88,14.912,2601
83,2016-09-01,15.512,15.599,15.512,15.599,594
84,2016-09-02,15.949,15.949,15.949,15.949,129
85,2016-09-06,15.949,15.949,15.949,15.949,184
86,2016-09-07,15.825,15.825,15.825,15.825,311
87,2016-09-12,15.151,15.151,15.151,15.151,128
88,2016-09-13,14.723,14.723,14.723,14.723,122
89,2016-09-14,14.869,14.869,14.869,14.869,122
90,2016-09-20,15.151,15.183,15.142,15.183,4257
91,2016-10-06,15.319,15.373,15.319,15.373,505
92,2016-10-07,15.373,15.373,15.302,15.302,1581
93,2016-10-10,15.394,15.397,15.394,15.397,1459
