,Date,Open,High,Low,Close,Volume
0,2014-12-11,25.28,25.44,22.31,23.43,46515156
1,2014-12-12,24.1,25.55,23.34,24.69,12902568
2,2014-12-15,26.18,27.79,24.77,24.97,9918357
3,2014-12-16,25.69,26.45,24.4,26.0,5304897
4,2014-12-17,26.4,27.98,26.16,27.9,9228776
5,2014-12-18,29.0,29.29,26.57,26.94,7797825
6,2014-12-19,27.18,27.45,24.09,25.21,8437881
7,2014-12-22,25.9,26.0,24.0,24.06,3382517
8,2014-12-23,23.77,24.41,22.32,23.08,3886557
9,2014-12-24,23.5,25.5,22.67,25.32,2662789
10,2014-12-26,25.45,26.15,25.4,25.74,2599699
11,2014-12-29,25.85,25.88,24.53,24.98,2011293
12,2014-12-30,25.23,26.5,24.3,25.83,2437678
13,2014-12-31,26.0,26.2,25.11,25.3,1443153
14,2015-01-02,25.42,25.78,24.4,24.93,881830
15,2015-01-05,24.63,24.77,23.28,24.0,2838527
16,2015-01-06,24.15,24.17,22.4,22.89,3227774
17,2015-01-07,23.27,24.0,22.55,22.88,4169753
18,2015-01-08,23.11,23.78,22.95,23.16,3580806
19,2015-01-09,23.35,23.76,22.7,23.01,2108206
20,2015-01-12,22.56,22.67,20.68,21.01,4213163
21,2015-01-13,21.03,21.8,19.15,21.13,4730926
22,2015-01-14,20.99,21.56,19.5,21.06,3839339
23,2015-01-15,22.41,22.99,21.58,22.09,3429491
24,2015-01-16,22.09,22.27,21.63,22.09,1201293
25,2015-01-20,22.1,22.23,21.51,22.07,1783074
26,2015-01-21,22.03,22.05,20.15,20.17,3355193
27,2015-01-22,20.22,20.76,19.33,19.49,3427703
28,2015-01-23,19.26,19.44,18.63,19.08,3467491
29,2015-01-26,19.08,20.08,19.0,19.99,1998854
30,2015-01-27,19.73,20.68,19.63,20.59,1661058
31,2015-01-28,20.8,20.84,19.93,20.08,1986321
32,2015-01-29,19.94,19.98,18.89,19.44,2391391
33,2015-01-30,19.24,19.38,18.7,18.77,2589469
34,2015-02-02,18.77,19.75,18.3,19.26,1492465
35,2015-02-03,20.74,20.81,19.64,20.29,2978352
36,2015-02-04,20.13,20.55,19.86,20.06,1483712
37,2015-02-05,20.34,20.72,19.9,20.28,1068751
38,2015-02-06,20.61,20.88,20.18,20.43,1071557
39,2015-02-09,20.39,21.85,20.39,21.6,2008897
40,2015-02-10,21.6,21.78,20.85,21.26,1170680
41,2015-02-11,21.23,22.8,21.2,22.15,1994123
42,2015-02-12,22.3,22.3,21.05,21.47,1548965
43,2015-02-13,21.5,22.06,21.12,21.95,1279542
44,2015-02-17,22.08,22.68,22.0,22.5,954036
45,2015-02-18,22.62,23.44,22.54,22.68,1870612
