,Date,Open,High,Low,Close,Volume
0,2017-10-05,25.14,25.19,25.14,25.19,4500
1,2017-10-06,25.18,25.18,25.1319,25.1319,497
2,2017-10-09,25.18,25.18,25.18,25.18,400
3,2017-10-10,25.1941,25.24,25.18,25.18,3910
4,2017-10-11,25.19,25.23,25.19,25.23,1880
5,2017-10-12,25.1965,25.1965,25.1965,25.1965,120
6,2017-10-13,25.23,25.26,25.23,25.24,1702
7,2017-10-16,25.31,25.31,25.22,25.26,9878
8,2017-10-17,25.2498,26.229,25.2498,25.26,8444
9,2017-10-18,25.3199,25.32,25.3066,25.3066,4832
10,2017-10-19,25.3,25.31,25.24,25.24,1796
11,2017-10-23,25.45,25.45,25.33,25.33,23802
12,2017-10-24,25.37,25.7,25.37,25.39,12161
13,2017-10-25,25.3515,25.3515,25.155,25.2573,1419
14,2017-10-26,25.35,25.35,25.3086,25.31,2071
15,2017-10-27,25.31,25.31,25.31,25.31,2122
16,2017-10-30,25.43,25.43,25.41,25.4197,1250
17,2017-10-31,25.46,25.46,25.42,25.42,1209
18,2017-11-03,25.48,25.57,25.48,25.56,1246
19,2017-11-08,25.59,25.63,25.59,25.63,1964
20,2017-11-09,25.45,25.45,25.45,25.45,200
21,2017-11-10,25.53,25.53,25.53,25.53,400
