,Date,Open,High,Low,Close,Volume
0,2010-04-26,0.6,0.6,0.6,0.6,59
1,2010-04-27,0.6,0.6,0.6,0.6,500
2,2010-04-29,0.6,0.6,0.6,0.6,450
3,2010-05-06,0.6,0.6,0.6,0.6,5250
4,2010-05-07,0.6,0.6,0.6,0.6,7500
5,2010-05-11,0.6,0.6,0.6,0.6,650
6,2010-05-12,0.56,0.6,0.56,0.6,1250
7,2010-05-13,0.56,0.56,0.56,0.56,2000
8,2010-05-18,0.56,0.56,0.56,0.56,405
9,2010-05-24,0.5,0.5008,0.5,0.5008,532534
10,2010-05-25,0.5,0.52,0.5,0.52,8000
11,2010-06-08,0.5,0.5,0.5,0.5,3000
12,2010-06-14,0.5,0.5,0.5,0.5,16421
13,2010-06-15,0.5,0.5,0.5,0.5,9571
14,2010-06-22,0.5,0.5,0.5,0.5,175
15,2010-06-24,0.5,0.5,0.5,0.5,550
16,2010-06-25,0.5,0.5,0.5,0.5,750
17,2010-06-29,0.5,0.5,0.5,0.5,1500
18,2010-06-30,0.5,0.5,0.5,0.5,750
19,2010-07-06,0.5,0.5,0.5,0.5,50
20,2010-07-08,0.5,0.5,0.5,0.5,100
21,2010-07-13,0.6,0.6,0.54,0.54,3500
22,2010-07-15,0.5,0.5,0.5,0.5,375
23,2010-07-19,0.5,0.5,0.5,0.5,50
24,2010-07-21,0.56,0.56,0.56,0.56,1750
25,2010-07-22,0.56,0.56,0.56,0.56,375
26,2010-07-27,0.5,0.56,0.5,0.56,14175
27,2010-07-28,0.5,0.5,0.5,0.5,2098
28,2010-07-30,0.6,0.6,0.6,0.6,1950
29,2010-08-02,0.6,0.7,0.6,0.68,9648
30,2010-08-03,0.68,0.68,0.68,0.68,1500
31,2010-08-06,0.76,0.8,0.76,0.8,687
32,2010-08-10,0.72,0.72,0.72,0.72,1100
33,2010-08-12,0.62,0.62,0.62,0.62,950
34,2010-08-13,0.6,0.6,0.6,0.6,750
35,2010-08-17,0.7,0.7,0.64,0.64,8750
