,Date,Open,High,Low,Close,Volume
0,2005-02-25,3.6572,3.677,3.6473,3.6473,23512
1,2005-02-28,3.6275,3.6869,3.6275,3.6572,28016
2,2005-03-01,3.6078,3.6869,3.6078,3.6671,23381
3,2005-03-02,3.6572,3.6869,3.6078,3.6572,39962
4,2005-03-03,3.5782,3.6671,3.5782,3.6572,26578
5,2005-03-04,3.5782,3.6869,3.5782,3.6869,19971
6,2005-03-07,3.5782,3.8055,3.5782,3.6671,37306
7,2005-03-08,3.6572,3.6671,3.6275,3.6275,12363
8,2005-03-09,3.677,3.7067,3.6374,3.6374,8227
9,2005-03-10,3.6572,3.7462,3.6473,3.6671,40854
10,2005-03-11,3.6572,3.677,3.6572,3.6671,8094
11,2005-03-14,3.6671,3.8055,3.6572,3.8055,81077
12,2005-03-15,3.8055,3.8747,3.7067,3.8747,43206
13,2005-03-16,3.8549,3.8747,3.7362,3.8352,19526
14,2005-03-17,3.8549,3.9241,3.8252,3.9142,44996
15,2005-03-18,3.8747,3.9439,3.7857,3.8549,24665
16,2005-03-21,3.8747,3.8845,3.7758,3.7758,9349
17,2005-03-22,3.8647,4.0032,3.8055,3.8252,17239
18,2005-03-23,3.9043,3.9043,3.7857,3.8055,22870
19,2005-03-24,3.9439,4.0724,3.9142,4.0427,41907
20,2005-03-28,4.0427,4.1514,3.9637,4.0724,35976
21,2005-03-29,4.2009,4.2009,4.0328,4.0822,39962
22,2005-03-30,4.0921,4.1712,4.0724,4.1514,46467
23,2005-03-31,4.0822,4.2502,4.0822,4.2009,53188
24,2005-04-01,4.1613,4.2502,4.0724,4.1712,19678
25,2005-04-04,4.3294,4.3887,4.1613,4.1712,36683
26,2005-04-05,4.1712,4.2997,4.1119,4.2502,33406
27,2005-04-06,4.2502,4.5468,4.2502,4.2502,151664
28,2005-04-07,4.5665,4.5665,4.3294,4.438,59312
29,2005-04-08,4.3985,4.4875,4.3985,4.4677,25798
30,2005-04-11,4.4776,4.527,4.4084,4.4084,16728
31,2005-04-12,4.4084,4.4084,4.0921,4.2009,79955
32,2005-04-13,4.1119,4.3392,4.1119,4.3195,8337
33,2005-04-14,4.5369,4.5369,4.2404,4.2404,32447
34,2005-04-15,4.2305,4.2305,3.9537,3.9637,33181
35,2005-04-18,3.9537,3.9932,3.934,3.934,8296
36,2005-04-19,3.8845,4.1712,3.8747,4.013,31920
37,2005-04-20,4.0427,4.2009,3.8055,3.8055,11358
38,2005-04-21,3.9637,4.0427,3.8747,3.8944,61036
39,2005-04-22,3.8352,3.9932,3.8352,3.9834,28482
40,2005-04-25,3.9537,4.2305,3.934,4.2206,20861
