,Date,Open,High,Low,Close,Volume
0,2017-10-19,33.0,34.0,29.1,32.07,11489024
1,2017-10-20,33.37,33.37,30.1,30.68,2357463
2,2017-10-23,30.51,31.33,30.19,30.5,737689
3,2017-10-24,30.46,30.92,30.4391,30.57,420625
4,2017-10-25,30.5,31.1,29.88,31.0,1212021
5,2017-10-26,31.68,31.73,30.7293,31.1,605260
6,2017-10-27,31.01,31.29,30.0,30.89,549507
7,2017-10-30,30.5618,30.69,29.5901,29.85,727811
8,2017-10-31,29.8,30.68,29.8,30.48,318134
9,2017-11-01,30.37,30.57,29.7018,29.8,432016
10,2017-11-02,29.72,30.46,29.661,29.95,313443
11,2017-11-03,29.89,30.17,29.35,29.63,229235
12,2017-11-06,29.63,30.72,29.36,30.6,304774
13,2017-11-07,30.61,30.89,29.71,29.81,279003
14,2017-11-08,29.69,29.99,29.41,29.88,241265
15,2017-11-09,29.7,29.9,29.01,29.21,203720
16,2017-11-10,29.16,30.26,29.16,30.2,135518
