,Date,Open,High,Low,Close,Volume
0,2014-03-20,16.0,17.6,16.0,17.27,5402504
1,2014-03-21,17.61,19.31,17.0,18.16,1061768
2,2014-03-24,19.29,19.29,16.9,17.14,575872
3,2014-03-25,17.21,18.14,17.21,17.3,332473
4,2014-03-26,17.3,17.5,15.52,15.55,525700
5,2014-03-27,15.5,15.5,14.138,14.48,485182
6,2014-03-28,14.44,15.28,14.25,15.1,149317
7,2014-03-31,15.49,15.5,14.0,14.41,280154
8,2014-04-01,14.41,14.7,13.75,14.13,265599
9,2014-04-02,14.06,14.43,14.0,14.08,114822
10,2014-04-03,13.89,14.35,13.77,14.09,130333
11,2014-04-04,13.78,14.0,12.73,12.8,294405
12,2014-04-07,12.51,12.69,11.1,11.52,291572
13,2014-04-08,11.79,12.3,10.82,11.3,202140
14,2014-04-09,11.55,12.49,11.47,12.16,193950
15,2014-04-10,12.3,12.63,11.58,11.92,68520
16,2014-04-11,12.0,12.38,11.51,11.71,80485
17,2014-04-14,12.25,12.5,10.08,12.19,296613
18,2014-04-15,12.3,12.62,11.35,11.76,101845
19,2014-04-16,12.2,12.7,12.13,12.59,232567
20,2014-04-17,12.54,13.19,12.0,12.84,157786
21,2014-04-21,12.85,12.949,12.5,12.73,84950
22,2014-04-22,13.14,13.14,12.1,12.24,221558
23,2014-04-23,12.05,12.32,11.05,11.52,225302
24,2014-04-24,11.64,11.65,10.65,10.72,189357
25,2014-04-25,10.55,10.75,9.85,10.1,282523
26,2014-04-28,10.28,10.629,9.45,10.14,162029
27,2014-04-29,10.4,10.62,10.1,10.26,85125
28,2014-04-30,10.45,10.45,10.01,10.25,34355
29,2014-05-01,10.01,10.23,10.0,10.12,66750
30,2014-05-02,10.1,10.69,10.04,10.53,91245
31,2014-05-05,10.69,11.5,10.36,11.01,109791
32,2014-05-06,11.0,11.309,10.85,11.09,56010
33,2014-05-07,11.35,11.5,10.91,11.35,95845
34,2014-05-08,11.45,11.59,10.94,10.94,73188
35,2014-05-09,11.11,11.16,10.705,10.8,25777
36,2014-05-12,11.06,11.29,10.68,10.85,45195
37,2014-05-13,11.54,11.54,10.75,10.93,20149
38,2014-05-14,11.0,11.35,10.9,11.03,48173
39,2014-05-15,11.32,11.4,10.61,10.75,81330
40,2014-05-16,10.93,11.079,10.7,10.94,34160
41,2014-05-19,11.1,11.59,10.76,11.41,84699
42,2014-05-20,11.55,11.9,11.125,11.73,88157
43,2014-05-21,12.1,12.45,11.88,12.29,112860
44,2014-05-22,12.36,12.4,11.92,11.99,82969
45,2014-05-23,12.1,12.58,12.0,12.5,61745
46,2014-05-27,12.69,12.69,12.13,12.35,49227
47,2014-05-28,12.02,12.515,12.02,12.26,28830
48,2014-05-29,12.37,12.4,12.16,12.24,14947
49,2014-05-30,12.18,12.5,11.61,11.88,56454
50,2014-06-02,12.09,12.19,11.61,12.0,16226
51,2014-06-03,11.99,12.21,11.9,12.21,29432
52,2014-06-04,12.17,12.24,12.0,12.08,18933
53,2014-06-05,12.28,12.28,12.03,12.07,28820
54,2014-06-06,12.04,12.2,12.0,12.15,10438
55,2014-06-09,12.15,12.75,11.75,12.37,280821
56,2014-06-10,12.44,12.75,12.26,12.27,59200
57,2014-06-11,12.3,12.74,12.2,12.39,81833
58,2014-06-12,12.5,12.5,11.8,12.11,40443
59,2014-06-13,12.0,12.27,11.51,11.76,47159
60,2014-06-16,11.775,11.87,11.51,11.52,20737
61,2014-06-17,11.37,11.68,10.88,11.22,71936
62,2014-06-18,11.21,11.82,11.12,11.37,25427
63,2014-06-19,11.26,11.38,10.81,11.04,42505
64,2014-06-20,11.05,11.13,10.85,10.99,36969
65,2014-06-23,10.94,10.949,10.82,10.86,16303
66,2014-06-24,10.85,11.5,10.823,10.905,53949
67,2014-06-25,10.83,11.51,10.51,10.52,118342
68,2014-06-26,10.52,10.94,10.52,10.77,42061
69,2014-06-27,10.64,11.02,10.622,11.01,20237
70,2014-06-30,11.03,11.45,10.86,11.38,68754
71,2014-07-01,11.25,11.75,11.23,11.64,35082
72,2014-07-02,11.45,11.59,11.45,11.46,15000
73,2014-07-03,11.46,11.53,11.22,11.32,10113
74,2014-07-07,11.31,11.4,11.06,11.16,32765
75,2014-07-08,11.2,11.43,11.07,11.36,35632
76,2014-07-09,11.19,11.43,11.16,11.3,29029
77,2014-07-10,11.06,11.34,10.92,10.97,27672
78,2014-07-11,10.96,11.16,10.13,10.3,170991
79,2014-07-14,10.3,10.79,9.75,9.77,143721
80,2014-07-15,9.75,10.18,9.59,10.06,64198
81,2014-07-16,10.19,10.34,9.81,9.88,46447
82,2014-07-17,9.17,9.87,9.17,9.32,124960
83,2014-07-18,9.33,9.64,9.33,9.5,15856
84,2014-07-21,9.48,9.6,9.28,9.42,29214
85,2014-07-22,9.49,9.69,9.45,9.58,29758
86,2014-07-23,9.56,9.63,9.35,9.41,15801
87,2014-07-24,9.42,9.51,9.41,9.47,7033
88,2014-07-25,9.49,9.49,9.2,9.43,21543
89,2014-07-28,9.46,9.46,9.0,9.04,61285
90,2014-07-29,9.04,9.35,9.01,9.11,10011
91,2014-07-30,9.22,9.34,9.03,9.15,68779
92,2014-07-31,9.0,9.075,8.6624,8.7,70465
93,2014-08-01,8.68,8.8392,8.0101,8.1,69577
94,2014-08-04,8.31,8.472,8.0,8.26,62588
95,2014-08-05,8.17,8.7,8.144,8.54,52829
96,2014-08-06,8.54,8.69,8.3,8.49,34236
97,2014-08-07,8.49,8.4901,8.07,8.3,40328
98,2014-08-08,8.39,8.4199,8.18,8.2,9764
99,2014-08-11,8.3,8.4,8.2,8.24,28405
100,2014-08-12,8.2899,8.3564,8.12,8.19,17843
101,2014-08-13,8.25,8.2899,7.81,7.81,50879
102,2014-08-14,7.79,7.949,7.38,7.42,73474
103,2014-08-15,7.42,7.5499,7.2,7.3,76897
104,2014-08-18,7.32,7.46,7.26,7.33,22093
105,2014-08-19,7.41,7.56,7.31,7.32,44280
106,2014-08-20,7.35,7.54,7.06,7.06,47135
107,2014-08-21,7.07,7.22,7.02,7.1,50066
108,2014-08-22,7.15,7.3,7.0,7.0,66379
109,2014-08-25,7.04,7.09,6.81,6.81,57482
110,2014-08-26,6.8,7.92,6.8,7.64,149804
111,2014-08-27,7.74,7.998,7.28,7.61,70348
112,2014-08-28,7.54,7.6099,7.28,7.3,27601
113,2014-08-29,7.31,7.43,7.2,7.3,23578
114,2014-09-02,7.31,7.31,7.08,7.15,33819
115,2014-09-03,7.15,7.1899,7.0,7.0,14870
116,2014-09-04,7.03,7.17,7.0,7.06,30661
117,2014-09-05,7.0,7.25,7.0,7.1,11956
118,2014-09-08,7.03,7.08,6.71,6.75,88582
119,2014-09-09,6.76,7.07,6.7,6.78,41023
120,2014-09-10,6.76,6.92,6.68,6.85,17735
121,2014-09-11,6.89,7.55,6.8,7.33,69301
122,2014-09-12,7.42,7.88,7.12,7.18,40567
123,2014-09-15,7.09,7.55,6.93,6.96,26538
124,2014-09-16,6.94,7.13,6.94,7.06,15123
125,2014-09-17,7.06,7.22,6.99,7.06,19996
126,2014-09-18,7.04,7.1,6.9101,6.95,27577
127,2014-09-19,6.95,6.96,6.9003,6.92,17943
128,2014-09-22,7.3,7.3,6.86,6.91,14156
129,2014-09-23,6.96,6.96,6.6,6.64,55529
130,2014-09-24,6.89,6.91,6.5,6.53,52620
