,Date,Open,High,Low,Close,Volume
0,2005-02-25,13.543,13.816,13.543,13.711,368062
1,2005-02-28,13.629,13.668,13.469,13.599,609973
2,2005-03-01,13.607,13.716,13.499,13.629,411124
3,2005-03-02,13.566,13.65,13.413,13.562,365523
4,2005-03-03,13.566,13.624,13.413,13.611,308340
5,2005-03-04,13.616,13.771,13.616,13.755,437050
6,2005-03-07,13.755,13.876,13.659,13.737,467608
7,2005-03-08,13.737,13.737,13.499,13.54,295149
8,2005-03-09,13.521,13.595,13.354,13.396,403944
9,2005-03-10,13.37,13.37,13.124,13.166,632192
10,2005-03-11,13.11,13.284,13.038,13.118,508350
11,2005-03-14,13.127,13.215,13.046,13.124,479875
12,2005-03-15,13.132,13.327,12.851,12.877,553485
13,2005-03-16,12.895,12.921,12.619,12.807,505568
14,2005-03-17,12.799,13.171,12.785,13.005,604187
15,2005-03-18,13.046,13.046,12.76,12.829,720622
16,2005-03-21,12.829,12.916,12.645,12.851,234262
17,2005-03-22,12.875,12.947,12.529,12.554,376171
18,2005-03-23,12.596,12.596,12.122,12.265,1086370
19,2005-03-24,12.312,12.502,12.201,12.3,507883
20,2005-03-28,12.308,12.349,12.088,12.109,529183
21,2005-03-29,12.1,12.23,11.719,11.789,849562
22,2005-03-30,11.728,12.065,11.728,12.065,371071
23,2005-03-31,12.03,12.208,11.982,12.162,576868
24,2005-04-01,12.162,12.247,12.048,12.082,362513
25,2005-04-04,12.088,12.103,11.952,12.078,465059
26,2005-04-05,12.122,12.188,11.974,11.974,357180
27,2005-04-06,11.999,12.139,11.93,11.987,602102
28,2005-04-07,12.008,12.243,11.974,12.196,208108
29,2005-04-08,12.204,12.204,11.923,11.944,282419
30,2005-04-11,11.944,12.008,11.749,11.793,300704
31,2005-04-12,11.749,12.055,11.517,11.957,321307
32,2005-04-13,11.96,11.96,11.666,11.771,486818
33,2005-04-14,11.763,11.781,11.462,11.521,771779
34,2005-04-15,11.521,11.679,11.029,11.065,457190
35,2005-04-18,11.103,11.321,11.019,11.231,445149
36,2005-04-19,11.728,11.906,11.671,11.89,698859
37,2005-04-20,11.89,11.89,11.427,11.556,586126
38,2005-04-21,11.62,11.719,11.445,11.577,407882
39,2005-04-22,11.599,11.659,11.3,11.492,409270
40,2005-04-25,11.534,11.685,11.427,11.56,398157
41,2005-04-26,11.556,11.573,11.213,11.284,426631
42,2005-04-27,11.24,11.287,11.015,11.222,522005
43,2005-04-28,11.199,11.287,11.037,11.037,493757
44,2005-04-29,11.081,11.199,11.015,11.187,343529
45,2005-05-02,11.209,11.356,11.128,11.356,239126
46,2005-05-03,11.356,11.431,11.209,11.307,459040
47,2005-05-04,11.334,11.581,11.326,11.581,284034
48,2005-05-05,11.599,11.655,11.405,11.573,478255
49,2005-05-06,11.642,11.693,11.56,11.634,147917
50,2005-05-09,11.662,11.685,11.492,11.662,196764
51,2005-05-10,11.534,11.577,11.462,11.505,341440
52,2005-05-11,11.935,11.939,11.488,11.685,902575
53,2005-05-12,11.679,11.679,11.125,11.185,935440
54,2005-05-13,11.199,11.276,10.692,10.83,410427
55,2005-05-16,10.834,10.95,10.827,10.841,361122
56,2005-05-17,10.845,10.928,10.732,10.83,634973
57,2005-05-18,10.863,11.467,10.863,11.377,481029
58,2005-05-19,11.364,11.53,11.3,11.44,441682
59,2005-05-20,11.44,11.44,11.231,11.356,187048
60,2005-05-23,11.356,11.688,11.317,11.612,338200
61,2005-05-24,11.62,11.671,11.534,11.662,353945
62,2005-05-25,11.662,11.662,11.368,11.568,467608
63,2005-05-26,11.599,11.771,11.595,11.723,238899
64,2005-05-27,11.679,11.777,11.602,11.741,135420
65,2005-05-31,11.741,11.763,11.577,11.662,348393
66,2005-06-01,11.707,11.873,11.675,11.793,233340
67,2005-06-02,11.798,11.881,11.758,11.816,195606
68,2005-06-03,11.82,11.923,11.642,11.758,152782
69,2005-06-06,11.749,11.802,11.602,11.745,275932
70,2005-06-07,11.733,11.957,11.733,11.833,403017
71,2005-06-08,11.842,11.923,11.634,11.642,236112
72,2005-06-09,11.646,11.646,11.377,11.547,172224
73,2005-06-10,11.56,11.861,11.56,11.811,226395
74,2005-06-13,11.793,11.811,11.534,11.793,171531
75,2005-06-14,11.771,11.793,11.649,11.763,360199
76,2005-06-15,11.807,11.965,11.697,11.952,237735
77,2005-06-16,11.911,12.109,11.852,12.109,319689
78,2005-06-17,12.204,12.265,12.139,12.208,859050
79,2005-06-20,12.212,12.22,12.012,12.051,242141
80,2005-06-21,12.051,12.078,11.807,11.829,218055
81,2005-06-22,11.881,11.96,11.807,11.939,225933
82,2005-06-23,11.899,11.899,11.71,11.71,346769
83,2005-06-24,11.685,11.737,11.577,11.612,397230
84,2005-06-27,11.556,11.634,11.492,11.602,148388
85,2005-06-28,11.655,11.816,11.642,11.768,326396
86,2005-06-29,11.771,11.96,11.741,11.952,152551
87,2005-06-30,11.974,11.999,11.662,11.707,177552
88,2005-07-01,11.816,11.869,11.675,11.768,129633
89,2005-07-05,11.768,12.096,11.715,12.096,295149
90,2005-07-06,12.1,12.243,12.051,12.139,256029
91,2005-07-07,12.096,12.188,11.798,12.162,243295
92,2005-07-08,12.192,12.565,12.157,12.55,348158
93,2005-07-11,12.562,12.791,12.476,12.614,312968
94,2005-07-12,12.649,12.938,12.605,12.803,277327
95,2005-07-13,12.851,12.851,12.529,12.619,172925
96,2005-07-14,12.529,12.7,12.304,12.412,337741
97,2005-07-15,12.407,12.589,12.274,12.584,234730
98,2005-07-18,12.571,12.571,12.292,12.349,168057
99,2005-07-19,12.459,12.614,12.436,12.592,228242
100,2005-07-20,12.592,12.794,12.55,12.781,321773
101,2005-07-21,12.781,12.847,12.529,12.713,431265
102,2005-07-22,12.713,12.847,12.524,12.847,321773
103,2005-07-25,12.875,12.957,12.645,12.696,268289
104,2005-07-26,12.7,12.746,12.55,12.686,237974
105,2005-07-27,12.666,12.722,12.42,12.686,165282
106,2005-07-28,12.717,12.815,12.662,12.717,347693
107,2005-07-29,12.68,12.773,12.579,12.649,151629
108,2005-08-01,12.68,12.744,12.533,12.624,355103
109,2005-08-02,12.68,12.734,12.637,12.722,228242
110,2005-08-03,12.717,12.717,12.529,12.605,277093
111,2005-08-04,12.61,12.619,12.358,12.398,334271
112,2005-08-05,12.398,12.45,11.881,12.091,321077
113,2005-08-08,12.162,12.398,12.113,12.184,594457
