,Date,Open,High,Low,Close,Volume
0,2005-02-25,8.5405,8.6125,8.5336,8.5703,41343
1,2005-02-28,8.5703,8.5836,8.5269,8.5629,35483
2,2005-03-01,8.5552,8.5769,8.5336,8.5769,43452
3,2005-03-02,8.5769,8.5836,8.5478,8.5836,36385
4,2005-03-03,8.5629,8.6384,8.5629,8.6318,54277
5,2005-03-04,8.6655,8.6937,8.6576,8.6729,33526
6,2005-03-07,8.6801,8.6801,8.6318,8.6318,38043
7,2005-03-08,8.65,8.6576,8.6318,8.6384,37885
8,2005-03-09,8.606,8.619,8.5478,8.5478,47957
9,2005-03-10,8.5269,8.5552,8.5129,8.5478,26762
10,2005-03-11,8.5129,8.5129,8.4227,8.4534,64940
11,2005-03-14,8.4534,8.4659,8.4157,8.43,43751
12,2005-03-15,8.4484,8.4484,8.3611,8.3611,27211
13,2005-03-16,8.367,8.3805,8.3465,8.3527,47207
14,2005-03-17,8.3527,8.43,8.3197,8.367,58337
15,2005-03-18,8.3125,8.3611,8.3007,8.3611,34729
16,2005-03-21,8.3265,8.3527,8.2882,8.2939,44951
17,2005-03-22,8.2612,8.3007,8.1944,8.1944,38338
18,2005-03-23,8.1674,8.1817,8.0474,8.1297,97719
19,2005-03-24,8.1747,8.1747,8.0349,8.0957,58480
20,2005-03-28,8.0599,8.1011,8.021,8.0291,50967
21,2005-03-29,8.021,8.0957,8.021,8.0544,45248
22,2005-03-30,8.0882,8.1219,8.0474,8.1219,67652
23,2005-03-31,8.1356,8.1817,8.1162,8.1817,49765
24,2005-04-01,8.1944,8.3465,8.1944,8.3465,99529
25,2005-04-04,8.2813,8.3197,8.2555,8.2882,21351
26,2005-04-05,8.2612,8.3073,8.2421,8.3007,40442
27,2005-04-06,8.2421,8.367,8.2421,8.3527,42997
28,2005-04-07,8.3197,8.3527,8.3197,8.3265,22105
29,2005-04-08,8.2939,8.3406,8.2882,8.2939,25862
30,2005-04-11,8.3007,8.3265,8.2813,8.3073,39234
31,2005-04-12,8.3611,8.367,8.3406,8.3611,24512
32,2005-04-13,8.3197,8.3527,8.3197,8.3465,10670
33,2005-04-14,8.3465,8.3465,8.3007,8.3265,49009
34,2005-04-15,8.3125,8.3336,8.2683,8.3125,91559
35,2005-04-18,8.3007,8.3527,8.3007,8.3125,32920
36,2005-04-19,8.3197,8.3874,8.3197,8.3406,50811
37,2005-04-20,8.2939,8.3406,8.2813,8.3197,30369
38,2005-04-21,8.2939,8.3197,8.2612,8.2882,42393
39,2005-04-22,8.3073,8.3336,8.2882,8.2939,35633
40,2005-04-25,8.3197,8.3406,8.3007,8.3197,32178
41,2005-04-26,8.3007,8.3125,8.2939,8.3125,19540
42,2005-04-27,8.3406,8.3611,8.3125,8.3611,32782
43,2005-04-28,8.367,8.3805,8.3465,8.367,52771
44,2005-04-29,8.3527,8.3941,8.3007,8.367,62239
45,2005-05-02,8.3611,8.3805,8.3336,8.3805,73666
46,2005-05-03,8.3611,8.4086,8.3611,8.4023,80586
47,2005-05-04,8.4086,8.4534,8.3805,8.4534,40293
48,2005-05-05,8.4484,8.5054,8.4484,8.4976,58480
49,2005-05-06,8.4349,8.4729,8.4086,8.4605,84192
50,2005-05-09,8.4086,8.4854,8.4086,8.4854,52317
51,2005-05-10,8.4976,8.5478,8.4935,8.5405,136961
52,2005-05-11,8.5129,8.5552,8.4729,8.5269,61794
53,2005-05-12,8.5405,8.5769,8.5269,8.5269,103585
54,2005-05-13,8.52,8.5965,8.4976,8.5836,48557
55,2005-05-16,8.5965,8.6125,8.5836,8.5907,54729
56,2005-05-17,8.5703,8.5907,8.5405,8.5907,69155
57,2005-05-18,8.5965,8.6447,8.5965,8.606,63747
58,2005-05-19,8.5965,8.6729,8.5965,8.6252,53971
59,2005-05-20,8.6009,8.6384,8.6009,8.6318,23305
60,2005-05-23,8.6125,8.6801,8.6125,8.6655,62395
