,Date,Open,High,Low,Close,Volume
0,2005-02-25,12.595,12.685,12.209,12.644,851448
1,2005-02-28,12.629,13.014,12.629,13.014,82818
2,2005-03-01,13.052,13.368,13.022,13.368,46464
3,2005-03-02,13.128,13.136,13.014,13.014,29290
4,2005-03-03,13.361,13.494,13.03,13.361,52297
5,2005-03-04,13.637,13.637,13.116,13.157,33681
6,2005-03-07,13.157,13.193,13.014,13.193,45975
7,2005-03-08,13.185,13.254,13.157,13.157,51243
8,2005-03-09,13.172,13.249,13.157,13.172,20734
9,2005-03-10,13.157,13.236,13.116,13.23,43572
10,2005-03-11,13.095,13.208,13.074,13.136,28510
11,2005-03-14,13.11,13.388,13.11,13.335,13118
12,2005-03-15,13.222,13.41,13.222,13.41,27705
13,2005-03-16,13.27,13.482,13.27,13.463,24280
14,2005-03-17,13.572,13.572,13.402,13.482,12760
15,2005-03-18,13.58,13.58,13.368,13.531,62462
16,2005-03-21,13.41,13.448,13.368,13.388,27599
17,2005-03-22,13.564,15.247,13.564,13.932,129800
18,2005-03-23,13.678,13.734,13.368,13.368,44684
19,2005-03-24,13.425,13.72,13.425,13.614,15412
20,2005-03-28,13.381,13.741,13.375,13.614,45261
21,2005-03-29,13.827,13.89,13.734,13.806,33368
22,2005-03-30,14.066,14.312,13.89,14.276,40660
23,2005-03-31,14.312,14.756,14.185,14.34,59692
24,2005-04-01,14.417,14.424,13.748,13.827,15630
25,2005-04-04,13.762,14.51,13.748,14.318,60043
26,2005-04-05,14.318,14.367,14.074,14.206,18328
27,2005-04-06,14.409,14.635,13.72,13.868,66275
28,2005-04-07,13.86,14.135,13.792,14.058,67234
29,2005-04-08,13.981,14.015,13.792,13.792,29990
30,2005-04-11,13.792,13.853,13.678,13.72,20329
31,2005-04-12,13.727,13.89,13.72,13.799,19663
32,2005-04-13,13.86,13.86,13.72,13.72,15700
33,2005-04-14,13.72,13.72,13.178,13.487,35610
34,2005-04-15,13.685,13.685,12.974,12.982,55794
35,2005-04-18,12.777,13.482,12.616,13.477,136076
36,2005-04-19,13.58,13.58,12.877,13.007,60663
37,2005-04-20,12.948,12.948,12.137,12.525,86668
38,2005-04-21,12.532,12.87,12.483,12.637,25717
39,2005-04-22,12.418,12.664,12.35,12.46,20030
40,2005-04-25,12.587,13.116,12.312,13.116,58037
41,2005-04-26,13.236,13.77,13.185,13.693,37598
42,2005-04-27,13.524,13.806,13.368,13.748,81646
43,2005-04-28,13.614,13.755,13.614,13.713,32392
44,2005-04-29,13.741,13.853,13.402,13.853,19636
45,2005-05-02,13.644,13.827,13.388,13.595,36056
46,2005-05-03,13.975,13.975,12.629,12.629,72271
47,2005-05-04,13.164,13.172,12.769,12.974,17020
48,2005-05-05,13.074,13.088,12.714,12.948,45103
49,2005-05-06,13.038,13.487,12.995,13.395,36215
50,2005-05-09,13.395,13.395,13.123,13.327,30898
51,2005-05-10,13.116,13.123,12.158,12.262,50630
52,2005-05-11,12.418,12.657,12.35,12.657,64198
53,2005-05-12,12.525,12.7,12.525,12.664,121016
54,2005-05-13,13.254,13.254,12.525,12.539,30670
55,2005-05-16,12.49,12.603,12.277,12.312,15369
56,2005-05-17,12.284,12.35,12.269,12.298,16859
57,2005-05-18,12.595,12.595,12.49,12.559,48358
58,2005-05-19,12.547,12.547,12.202,12.312,82756
59,2005-05-20,12.327,12.968,12.269,12.918,122159
60,2005-05-23,12.805,13.395,12.798,13.074,36837
61,2005-05-24,12.849,13.249,12.644,13.249,19634
62,2005-05-25,13.262,13.544,13.262,13.395,43147
