,Date,Open,High,Low,Close,Volume
0,2005-02-25,8.5423,8.6464,8.5328,8.6085,1497797
1,2005-02-28,8.6652,8.7882,8.6559,8.6747,953394
2,2005-03-01,8.6841,8.6935,8.6085,8.6369,529709
3,2005-03-02,8.599,8.6464,8.5612,8.6369,657408
4,2005-03-03,8.599,8.6275,8.5518,8.5801,742503
5,2005-03-04,8.618,8.6747,8.599,8.6559,891447
6,2005-03-07,8.6464,8.6559,8.6085,8.6275,446305
7,2005-03-08,8.618,8.618,8.5328,8.5612,595460
8,2005-03-09,8.703,8.7692,8.6559,8.7409,556983
9,2005-03-10,8.6747,8.7692,8.6652,8.7504,574213
10,2005-03-11,8.9207,8.9586,8.8071,8.8071,1064706
11,2005-03-14,8.8355,8.8734,8.7787,8.826,1439550
12,2005-03-15,8.8071,8.8071,8.722,8.7409,558569
13,2005-03-16,8.7409,8.7409,8.599,8.6275,567025
14,2005-03-17,8.618,8.7125,8.5896,8.7125,1321156
15,2005-03-18,8.703,8.7314,8.6652,8.703,458461
16,2005-03-21,8.6747,8.6935,8.618,8.6841,1315659
17,2005-03-22,8.6559,8.722,8.6085,8.6369,1950762
18,2005-03-23,8.5896,8.5896,8.5044,8.5328,1278555
19,2005-03-24,8.2964,8.4571,8.2869,8.4382,1177709
20,2005-03-28,8.4288,8.4288,8.3436,8.3436,695462
21,2005-03-29,8.2869,8.2869,8.1544,8.2302,1090815
22,2005-03-30,8.1828,8.2775,8.1828,8.2491,583200
23,2005-03-31,8.2302,8.2396,8.1355,8.1828,922843
24,2005-04-01,8.1734,8.3531,8.1734,8.3248,650641
25,2005-04-04,8.2586,8.2586,8.0882,8.1639,877389
26,2005-04-05,8.1923,8.2018,8.1449,8.1734,413429
27,2005-04-06,8.1923,8.3058,8.1923,8.2586,406559
28,2005-04-07,8.3436,8.3436,8.2302,8.2491,452013
29,2005-04-08,8.2586,8.3058,8.2112,8.2586,429180
30,2005-04-11,8.2964,8.3436,8.2869,8.3153,438483
31,2005-04-12,8.2491,8.3436,8.1923,8.3343,440174
32,2005-04-13,8.3248,8.3343,8.1923,8.2396,401906
33,2005-04-14,8.1639,8.2302,8.1355,8.1734,378441
34,2005-04-15,8.0787,8.1449,8.0125,8.0125,502860
35,2005-04-18,7.7287,7.9273,7.7193,7.7856,1221790
36,2005-04-19,7.9557,8.0977,7.9557,8.0882,683835
37,2005-04-20,8.1639,8.2018,8.0125,8.0409,414803
38,2005-04-21,8.0787,8.2396,8.0787,8.2018,398630
39,2005-04-22,8.2302,8.2396,8.1166,8.1355,339961
40,2005-04-25,8.1734,8.3343,8.1734,8.3343,329813
41,2005-04-26,8.2302,8.2491,8.0977,8.1449,726859
42,2005-04-27,8.1261,8.1734,8.0503,8.1355,213215
43,2005-04-28,8.0125,8.1544,8.0125,8.0409,401273
44,2005-04-29,8.0882,8.2018,8.0503,8.1828,412372
45,2005-05-02,8.2681,8.2775,8.1828,8.2681,527913
46,2005-05-03,8.2869,8.2869,8.0882,8.1734,716921
47,2005-05-04,8.1923,8.3153,8.1923,8.2681,499265
48,2005-05-05,8.3436,8.3814,8.2775,8.3343,384783
49,2005-05-06,8.3058,8.4004,8.3058,8.3719,223047
50,2005-05-09,8.2586,8.2586,8.2018,8.2302,270828
51,2005-05-10,8.1355,8.1544,8.0409,8.0787,291018
52,2005-05-11,8.0598,8.1355,8.0314,8.0977,268292
53,2005-05-12,8.0125,8.0409,7.8517,7.9178,645462
54,2005-05-13,7.9085,7.9273,7.7856,7.8707,1749597
55,2005-05-16,7.8328,7.9085,7.8233,7.8896,625060
