,Date,Open,High,Low,Close,Volume
0,2005-02-25,15.221,15.859,15.221,15.831,6833006
1,2005-02-28,15.849,16.198,15.221,15.642,5666712
2,2005-03-01,15.61,15.637,14.985,15.328,4269060
3,2005-03-02,15.319,15.581,15.216,15.548,4204194
4,2005-03-03,15.715,15.885,15.687,15.78,4157062
5,2005-03-04,15.789,15.9,15.671,15.881,5095020
6,2005-03-07,15.881,15.932,15.605,15.864,2697571
7,2005-03-08,15.885,16.01,15.78,15.836,3064281
8,2005-03-09,15.913,16.325,15.646,15.666,6169209
9,2005-03-10,15.568,15.568,14.952,15.291,4333492
10,2005-03-11,15.291,15.743,15.243,15.548,4090894
11,2005-03-14,15.548,15.72,15.38,15.679,3011957
12,2005-03-15,15.72,15.816,15.489,15.53,2397888
13,2005-03-16,15.53,15.794,15.401,15.51,3937812
14,2005-03-17,15.646,15.885,15.581,15.666,3559856
15,2005-03-18,15.773,15.923,15.679,15.881,3523534
16,2005-03-21,15.877,16.002,15.651,15.831,2557028
17,2005-03-22,15.831,16.115,15.71,15.715,3147743
18,2005-03-23,15.553,15.553,15.169,15.276,3777375
19,2005-03-24,15.352,15.633,15.202,15.342,3732835
20,2005-03-28,15.342,15.445,15.193,15.332,3395532
21,2005-03-29,15.271,15.465,14.994,15.008,3307744
22,2005-03-30,15.068,15.281,14.897,15.271,4974374
23,2005-03-31,15.436,15.812,15.431,15.73,3303851
24,2005-04-01,15.955,16.301,15.932,16.277,3474665
25,2005-04-04,16.396,16.555,15.997,16.213,3723752
26,2005-04-05,16.193,16.311,15.964,16.03,2154421
27,2005-04-06,15.982,16.34,15.918,16.232,2883089
28,2005-04-07,16.354,16.392,15.923,16.198,3687859
29,2005-04-08,16.174,16.24,15.836,15.849,2669030
30,2005-04-11,15.849,16.002,15.666,15.946,2708814
31,2005-04-12,15.946,16.025,15.45,15.548,3824945
32,2005-04-13,15.489,15.539,15.183,15.229,3927003
33,2005-04-14,15.37,15.494,15.216,15.238,5562495
34,2005-04-15,15.238,15.238,14.485,14.643,7164690
35,2005-04-18,14.592,14.8,14.476,14.762,3956405
36,2005-04-19,14.902,15.054,14.902,15.036,3887648
37,2005-04-20,15.169,15.183,14.702,14.72,2934982
38,2005-04-21,14.777,15.086,14.633,15.068,2512049
39,2005-04-22,15.146,15.424,15.018,15.253,3502338
40,2005-04-25,15.494,15.61,15.431,15.586,2908169
41,2005-04-26,15.568,15.591,15.401,15.474,3595749
42,2005-04-27,15.46,15.484,15.1,15.151,4667769
43,2005-04-28,15.155,15.155,14.72,14.873,2770222
44,2005-04-29,14.939,15.008,14.661,14.828,3858669
45,2005-05-02,14.828,15.136,14.643,15.124,2042856
46,2005-05-03,15.008,15.022,14.61,14.643,1864256
47,2005-05-04,14.744,15.124,14.574,15.124,4008734
48,2005-05-05,15.169,15.352,15.031,15.105,3879862
49,2005-05-06,15.169,15.188,14.859,14.925,3745808
