,Date,Open,High,Low,Close,Volume
0,2015-09-21,51.75,51.75,51.25,51.5,58611
1,2015-09-22,51.07,51.37,50.61,51.15,249291
2,2015-09-23,51.069,52.0,51.006,51.39,261646
3,2015-09-24,51.06,51.37,50.76,51.37,115524
4,2015-09-25,51.24,52.78,51.24,51.87,35573
5,2015-09-28,51.7,53.26,50.9,51.31,10266
6,2015-09-29,51.29,52.35,50.96,52.35,95905
7,2015-09-30,51.0,51.63,51.0,51.45,44331
8,2015-10-01,51.454,51.454,50.85,51.25,57750
9,2015-10-02,51.25,51.9,51.16,51.9,18550
10,2015-10-05,52.14,52.4,51.65,52.29,12215
11,2015-10-06,52.01,52.48,51.95,52.06,4675
12,2015-10-07,52.4,52.4,51.99,52.05,20400
13,2015-10-08,52.17,52.32,52.153,52.29,2200
14,2015-10-09,52.29,52.63,52.2,52.63,8492
15,2015-10-12,52.54,52.54,52.54,52.54,400
16,2015-10-13,52.62,52.64,52.37,52.4,1971
17,2015-10-14,52.75,52.75,52.4,52.47,3430
18,2015-10-15,52.645,53.07,52.42,53.07,5280
19,2015-10-16,53.25,53.56,53.25,53.32,1340
20,2015-10-19,53.13,53.49,53.13,53.49,961
21,2015-10-20,53.291,53.51,53.22,53.51,716
22,2015-10-22,53.62,53.92,53.62,53.92,6800
23,2015-10-23,53.8,53.8,53.52,53.52,29800
24,2015-10-26,53.61,53.61,53.246,53.26,3905
25,2015-10-27,53.549,53.549,53.19,53.23,3115
26,2015-10-28,53.42,53.42,52.73,53.15,41962
27,2015-10-29,52.65,52.68,52.51,52.589,154899
28,2015-10-30,52.929,53.03,52.88,52.88,2780
29,2015-11-02,52.826,53.17,52.6,52.6,1476
30,2015-11-03,52.7,53.54,52.652,53.54,37118
31,2015-11-04,53.32,53.32,53.095,53.21,12700
32,2015-11-05,53.2,54.8,52.823,52.84,41342
33,2015-11-06,52.42,52.42,51.25,51.52,65729
34,2015-11-09,51.712,51.75,51.581,51.75,145649
35,2015-11-10,51.686,51.88,51.48,51.74,6532
36,2015-11-11,51.8,51.914,51.75,51.78,5329
37,2015-11-12,52.1,52.518,52.1,52.38,9095
38,2015-11-13,52.16,53.21,52.16,52.25,7709
39,2015-11-16,52.62,53.43,52.57,53.43,130145
40,2015-11-17,53.01,53.01,52.22,52.48,67416
