,Date,Open,High,Low,Close,Volume
0,2015-07-23,18.22,19.98,17.1,19.54,3201400
1,2015-07-24,19.35,21.86,19.05,20.51,217300
2,2015-07-27,20.44,20.98,19.17,19.95,134300
3,2015-07-28,19.95,21.0,18.75,19.34,334100
4,2015-07-29,19.63,20.51,19.63,20.12,163900
5,2015-07-30,20.12,20.17,19.21,19.56,49700
6,2015-07-31,19.51,20.8,19.4,20.01,33700
7,2015-08-03,20.02,21.68,19.66,21.17,35621
8,2015-08-04,21.24,21.98,19.51,20.03,151300
9,2015-08-05,20.2,23.99,20.13,22.24,160300
10,2015-08-06,22.46,23.44,22.14,22.19,56038
11,2015-08-07,22.19,22.98,21.61,22.57,64800
12,2015-08-10,23.16,23.65,21.7,22.11,34700
13,2015-08-11,22.01,22.22,19.52,20.01,148097
14,2015-08-12,20.02,22.8,19.25,21.79,116600
15,2015-08-13,21.51,22.25,20.25,20.66,161300
16,2015-08-14,20.0,21.45,19.6,20.63,68500
17,2015-08-17,20.6,22.95,20.39,22.21,264800
18,2015-08-18,21.73,23.05,21.3,22.39,140900
19,2015-08-19,22.5,22.94,22.01,22.63,94500
20,2015-08-20,22.74,25.04,22.02,23.31,308400
21,2015-08-21,23.17,25.0,20.95,24.9,130600
22,2015-08-24,24.8,24.85,21.198,22.95,126976
23,2015-08-25,22.93,24.5,22.52,23.86,113200
24,2015-08-26,23.82,26.0,23.52,25.72,109000
25,2015-08-27,26.46,28.99,25.91,26.59,139900
26,2015-08-28,26.4,28.18,26.4,27.09,73000
27,2015-08-31,26.6,27.39,26.6,26.78,58500
28,2015-09-01,26.8,26.87,24.61,25.5,103300
29,2015-09-02,25.96,27.39,24.93,26.52,135900
30,2015-09-03,26.95,27.0,24.3,24.42,145100
31,2015-09-04,23.72,24.0,22.12,23.46,119100
32,2015-09-08,24.07,24.93,22.98,23.0,242500
33,2015-09-09,23.49,23.7,20.46,21.06,210500
34,2015-09-10,20.79,22.38,20.79,21.96,148620
35,2015-09-11,22.22,23.38,21.63,23.3,50900
36,2015-09-14,23.24,23.68,21.65,22.87,73500
37,2015-09-15,22.76,24.47,22.34,23.1,50500
38,2015-09-16,23.0,23.0,21.17,22.9,83900
39,2015-09-17,22.71,22.97,21.08,22.57,160900
40,2015-09-18,22.52,23.0,21.05,21.38,314400
41,2015-09-21,21.4,22.37,20.01,20.5,160400
42,2015-09-22,20.31,20.52,19.25,19.81,100900
43,2015-09-23,19.97,20.45,18.03,19.35,126400
44,2015-09-24,19.15,19.5,17.75,19.34,105624
45,2015-09-25,19.53,19.6,18.76,19.21,103700
46,2015-09-28,19.0,19.0,16.12,18.02,360930
47,2015-09-29,18.3,20.57,17.32,19.58,135700
48,2015-09-30,19.75,22.02,18.82,21.01,865300
49,2015-10-01,21.04,21.04,19.34,19.82,120000
50,2015-10-02,19.5,21.19,19.16,20.89,113600
51,2015-10-05,21.57,21.7,19.8,21.17,260596
52,2015-10-06,21.17,21.22,19.2,19.55,81600
53,2015-10-07,19.64,19.73,18.85,19.62,168700
54,2015-10-08,19.41,19.66,18.6,19.26,75100
55,2015-10-09,19.42,19.42,18.44,18.69,100500
56,2015-10-12,18.72,19.68,18.34,18.91,123324
