,Date,Open,High,Low,Close,Volume
0,2016-10-18,10.1277,10.1277,10.08,10.08,1317
1,2016-10-27,10.1167,10.1167,10.1167,10.1167,2200
2,2016-10-31,10.12,10.12,10.12,10.12,197
3,2016-11-02,10.12,10.12,10.12,10.12,50001
4,2016-11-03,10.1099,10.1099,10.1099,10.1099,1500
5,2016-11-04,10.1033,10.11,10.1033,10.11,725
6,2016-11-07,10.12,10.3015,10.08,10.1201,284500
7,2016-11-08,9.979,10.15,9.977,10.13,11100
8,2016-11-09,10.0,10.15,9.9997,10.15,2400
9,2016-11-15,10.15,10.15,10.15,10.15,2670
10,2016-11-17,10.0699,10.15,10.06,10.15,6262
11,2016-11-18,10.15,10.15,10.15,10.15,200
12,2016-11-25,10.25,10.25,10.25,10.25,700
13,2016-12-05,10.1,10.1001,10.1,10.1001,7650
14,2016-12-07,10.1,10.1,10.1,10.1,5350
15,2016-12-20,10.1,10.11,10.1,10.11,1550
16,2016-12-22,10.12,10.13,10.12,10.12,900
17,2017-01-05,10.1933,10.22,10.17,10.17,15383
18,2017-01-09,10.2,10.24,10.18,10.19,177856
19,2017-01-10,10.2,10.2,10.19,10.2,42014
20,2017-01-11,10.2,10.21,10.18,10.18,61350
21,2017-01-12,10.2,10.2,10.1999,10.1999,200
22,2017-01-13,10.2093,10.24,10.1985,10.1985,7124
23,2017-01-17,10.2,10.2,10.2,10.2,100
24,2017-01-18,10.1867,10.1867,10.1867,10.1867,200
25,2017-01-19,10.1705,10.1992,10.15,10.16,14620
26,2017-01-23,10.22,10.22,10.22,10.22,1000
27,2017-01-25,10.15,10.1941,10.15,10.17,2100
28,2017-01-26,10.2,10.2,10.2,10.2,1100
29,2017-01-31,10.2,10.2,10.2,10.2,100
30,2017-02-01,10.1952,10.1952,10.1952,10.1952,800
31,2017-02-02,10.1974,10.1974,10.1974,10.1974,300
32,2017-02-03,10.18,10.19,10.17,10.185,800
33,2017-02-07,10.1895,10.1895,10.1895,10.1895,1000
34,2017-02-09,10.1901,10.1901,10.19,10.19,1188
35,2017-02-22,10.2399,10.2399,10.2399,10.2399,110
36,2017-02-23,10.16,10.16,10.15,10.15,1010
37,2017-02-24,10.1853,10.1853,10.17,10.17,1912
38,2017-03-02,10.16,10.16,10.15,10.15,10218
39,2017-03-03,10.15,10.19,10.14,10.18,104482
40,2017-03-06,10.195,10.195,10.195,10.195,500
41,2017-03-08,10.17,10.21,10.17,10.1702,3200
42,2017-03-10,10.16,10.16,10.16,10.16,100
43,2017-03-13,10.2011,10.25,10.17,10.1998,60113
44,2017-03-14,10.15,10.199,10.15,10.18,7088
45,2017-03-15,10.18,10.21,10.18,10.1942,59182
46,2017-03-16,10.17,10.21,10.17,10.2,16375
47,2017-03-17,10.2,10.22,10.1874,10.22,3679
48,2017-03-20,10.22,10.22,10.1847,10.2,3559
49,2017-03-21,10.1692,10.24,10.1692,10.2,127915
50,2017-03-22,10.18,10.21,10.18,10.2,1621181
51,2017-03-23,10.2,10.26,10.2,10.2,201804
52,2017-03-24,10.1901,10.1901,10.1901,10.1901,401
53,2017-03-27,10.24,10.24,10.2,10.2,1100
54,2017-03-28,10.2,10.21,10.2,10.2,5018
55,2017-03-30,10.203,10.21,10.2001,10.21,930
56,2017-04-05,10.2799,10.2799,10.2,10.2,3394
57,2017-04-07,10.21,10.21,10.21,10.21,231
58,2017-04-11,10.21,10.2374,10.21,10.2374,5400
59,2017-04-18,10.19,10.2,10.18,10.2,1439
60,2017-04-21,10.2,10.2,10.2,10.2,359
