,Date,Open,High,Low,Close,Volume
0,2005-02-25,5.77,5.91,5.73,5.91,600
1,2005-03-02,5.8,5.9,5.8,5.9,9100
2,2005-03-03,5.99,5.99,5.84,5.99,1200
3,2005-03-04,5.58,5.6,5.58,5.6,201
4,2005-03-07,5.99,5.99,5.73,5.76,2800
5,2005-03-08,5.74,5.91,5.68,5.68,3669
6,2005-03-09,5.75,5.87,5.66,5.76,1400
7,2005-03-10,5.73,5.85,5.71,5.84,1700
8,2005-03-11,5.72,5.96,5.72,5.88,1600
9,2005-03-14,5.89,5.89,5.8,5.85,1100
10,2005-03-15,5.85,5.85,5.75,5.75,1000
11,2005-03-16,6.0,7.25,6.0,6.92,102659
12,2005-03-17,6.87,6.87,6.02,6.12,16295
13,2005-03-18,6.02,6.58,6.02,6.04,9471
14,2005-03-21,6.01,6.16,5.95,6.03,7300
15,2005-03-22,5.75,6.1,5.7,5.77,11200
16,2005-03-23,5.62,6.17,5.62,5.95,11474
17,2005-03-24,5.77,5.77,5.77,5.77,150
18,2005-03-28,5.62,5.76,5.62,5.7,4500
19,2005-03-29,5.7,5.76,5.62,5.76,3200
20,2005-03-30,5.75,5.75,5.75,5.75,550
21,2005-03-31,5.61,5.75,5.61,5.75,800
22,2005-04-01,5.6,5.6,5.6,5.6,1100
23,2005-04-04,5.6,5.73,5.51,5.73,2900
24,2005-04-05,5.7,5.7,5.7,5.7,3200
25,2005-04-06,5.38,5.44,5.36,5.44,1700
26,2005-04-07,5.49,5.49,5.49,5.49,100
27,2005-04-12,5.33,5.4,5.33,5.4,1600
28,2005-04-18,5.16,5.16,5.16,5.16,250
29,2005-04-19,5.78,5.78,5.26,5.26,400
30,2005-04-20,5.27,5.77,5.27,5.77,1735
31,2005-04-26,5.48,5.48,5.48,5.48,2150
32,2005-04-28,5.29,5.29,5.29,5.29,100
33,2005-05-03,5.7,6.48,5.5,5.7,35132
34,2005-05-04,5.5,5.5,5.28,5.5,4101
35,2005-05-05,5.55,5.55,5.32,5.32,600
36,2005-05-06,5.61,5.63,5.61,5.61,1001
37,2005-05-09,5.32,5.7,5.32,5.7,5050
38,2005-05-10,6.0,6.0,6.0,6.0,200
39,2005-05-11,5.48,5.48,5.46,5.46,1989
40,2005-05-13,5.02,5.56,5.0,5.38,12425
41,2005-05-16,5.15,5.4,5.15,5.21,3000
42,2005-05-17,5.25,5.25,5.25,5.25,200
43,2005-05-18,5.25,5.3,5.25,5.25,1900
44,2005-05-19,5.04,5.4,5.04,5.4,2800
45,2005-05-20,5.28,5.88,5.28,5.58,2200
46,2005-05-23,5.42,5.42,5.27,5.27,900
47,2005-05-25,5.83,5.83,5.78,5.78,1000
48,2005-05-26,5.3,5.69,5.28,5.69,4201
49,2005-06-01,5.4,5.4,4.57,5.0,41888
50,2005-06-02,5.17,5.36,5.11,5.11,3501
51,2005-06-03,5.05,5.05,5.05,5.05,2800
52,2005-06-07,5.13,5.39,5.13,5.38,2650
53,2005-06-08,5.23,5.42,5.21,5.42,3600
54,2005-06-09,5.5,5.57,5.34,5.57,5154
55,2005-06-10,5.18,5.6,5.17,5.55,3900
56,2005-06-13,5.12,5.17,5.12,5.17,1300
57,2005-06-14,5.17,5.3,5.17,5.3,700
58,2005-06-15,5.72,5.72,5.72,5.72,100
59,2005-06-17,5.7,5.7,5.7,5.7,180
60,2005-06-20,5.83,5.83,5.31,5.81,6900
61,2005-06-21,5.42,5.75,5.35,5.45,3600
62,2005-06-22,5.35,6.82,5.35,6.06,16800
63,2005-06-23,6.35,6.47,5.83,5.89,11802
64,2005-06-24,6.5,6.5,5.88,6.46,12402
65,2005-06-27,6.0,6.74,6.0,6.72,56407
66,2005-06-28,6.75,7.0,6.16,6.72,18313
67,2005-06-29,6.99,7.0,6.99,7.0,1000
68,2005-06-30,7.0,7.0,6.31,6.31,8707
69,2005-07-01,6.42,6.43,6.25,6.25,1958
70,2005-07-05,6.24,6.5,6.12,6.15,7400
71,2005-07-06,6.15,6.72,6.15,6.6,6240
72,2005-07-07,6.6,6.6,6.6,6.6,600
73,2005-07-08,6.62,6.82,6.16,6.32,5200
74,2005-07-11,6.32,6.54,6.29,6.36,1355
75,2005-07-12,6.2,6.52,6.18,6.19,3450
76,2005-07-13,6.71,6.71,6.18,6.18,1450
77,2005-07-14,6.16,6.4,6.16,6.19,1298
78,2005-07-18,6.0,6.53,6.0,6.2,4935
79,2005-07-20,6.2,6.45,6.1,6.1,3700
80,2005-07-21,6.08,6.51,6.06,6.51,4474
81,2005-07-25,6.24,6.52,6.05,6.33,6400
82,2005-07-26,6.1,6.1,5.82,5.85,7389
83,2005-07-27,6.03,6.03,5.85,5.87,12500
84,2005-07-28,5.83,5.85,5.83,5.85,3700
85,2005-07-29,6.03,6.49,6.03,6.49,6320
86,2005-08-01,5.95,6.5,5.95,6.46,5274
87,2005-08-02,6.4,6.4,5.8,6.35,2900
88,2005-08-03,5.78,6.4,5.78,6.3,750
89,2005-08-05,6.15,6.15,6.06,6.06,300
90,2005-08-08,6.41,6.41,6.35,6.39,3099
91,2005-08-09,6.35,6.35,5.95,6.2,400
92,2005-08-10,6.02,6.35,5.96,6.35,1200
93,2005-08-11,6.01,6.15,6.01,6.15,1185
94,2005-08-12,5.95,5.95,5.95,5.95,500
95,2005-08-15,5.94,5.94,5.8,5.8,862
96,2005-08-16,5.8,6.09,5.8,6.09,4615
97,2005-08-18,5.83,5.83,5.83,5.83,1000
98,2005-08-19,5.8,6.09,5.8,6.09,1100
99,2005-08-22,6.09,6.13,6.06,6.13,2365
100,2005-08-24,6.01,6.01,6.0,6.0,2150
