,Date,Open,High,Low,Close,Volume
0,2015-08-04,6.0,6.02,5.58,6.0,345600
1,2015-08-05,5.9,6.03,5.9,6.03,111900
2,2015-08-06,6.19,6.19,5.98,6.1,76147
3,2015-08-07,6.15,6.15,5.94,5.99,38500
4,2015-08-10,6.15,6.15,5.99,6.08,103000
5,2015-08-11,6.17,6.17,5.95,6.04,88059
6,2015-08-12,6.01,6.03,5.95,6.03,8800
7,2015-08-13,6.15,6.15,6.01,6.08,49700
8,2015-08-14,6.1,6.1,6.04,6.1,29600
9,2015-08-17,6.12,6.12,5.98,6.1,15400
10,2015-08-18,6.05,6.09,6.0,6.09,8800
11,2015-08-19,5.95,6.05,5.79,6.05,19600
12,2015-08-20,5.97,6.05,5.84,6.03,22600
13,2015-08-21,5.71,6.12,5.57,5.94,48200
14,2015-08-24,5.38,5.79,5.26,5.63,29275
15,2015-08-25,5.75,5.9,5.62,5.79,21800
16,2015-08-26,5.64,5.75,5.43,5.75,54400
17,2015-08-27,5.64,5.68,5.53,5.68,3800
18,2015-08-28,5.54,5.75,5.52,5.75,17500
19,2015-08-31,5.45,5.55,5.4,5.55,53900
20,2015-09-01,5.49,5.54,5.38,5.52,4900
21,2015-09-02,5.74,5.74,5.62,5.69,10000
22,2015-09-03,5.59,5.7,5.51,5.7,5700
23,2015-09-04,5.55,5.67,5.5,5.67,5700
24,2015-09-08,5.65,5.67,5.62,5.65,8800
25,2015-09-09,5.51,5.6,5.51,5.6,17600
26,2015-09-10,5.59,5.65,5.5001,5.65,6336
27,2015-09-11,5.65,5.66,5.58,5.64,6300
28,2015-09-14,5.66,5.83,5.62,5.83,2700
29,2015-09-15,5.76,5.89,5.72,5.84,3100
30,2015-09-16,5.96,5.99,5.9,5.99,10200
31,2015-09-17,5.83,5.97,5.76,5.97,10700
32,2015-09-18,5.99,6.19,5.82,6.19,50500
33,2015-09-21,6.04,6.1,5.94,5.97,52800
34,2015-09-22,5.94,5.94,5.84,5.93,3200
35,2015-09-23,5.9,5.92,5.84,5.91,1800
36,2015-09-24,5.92,5.93,5.8,5.93,6813
37,2015-09-25,5.88,5.92,5.88,5.88,5700
38,2015-09-28,5.83,5.83,5.59,5.67,37115
39,2015-09-29,5.65,5.84,5.65,5.77,2800
40,2015-09-30,5.61,5.66,5.5,5.6,12600
41,2015-10-01,5.55,5.55,5.41,5.51,8800
42,2015-10-02,5.36,5.65,5.36,5.61,17400
43,2015-10-05,5.7,5.71,5.61,5.69,7700
44,2015-10-06,5.47,5.65,5.4,5.54,18500
45,2015-10-07,5.49,5.51,5.45,5.51,4800
46,2015-10-08,5.46,5.54,5.42,5.54,600
47,2015-10-09,5.52,5.55,5.52,5.55,1600
48,2015-10-12,5.45,6.09,5.44,6.09,6787
49,2015-10-13,5.51,5.6,5.51,5.59,38600
50,2015-10-14,5.56,5.58,5.5,5.58,7600
51,2015-10-15,5.57,5.68,5.56,5.68,6000
52,2015-10-16,5.66,5.66,5.61,5.66,700
53,2015-10-19,5.6,5.7,5.59,5.63,5600
54,2015-10-20,5.57,5.64,5.57,5.64,9709
55,2015-10-21,5.58,5.64,5.56,5.64,11900
56,2015-10-22,5.65,5.89,5.6,5.86,11700
57,2015-10-23,5.99,5.99,5.74,5.87,21700
58,2015-10-26,5.81,5.91,5.77,5.77,7500
59,2015-10-27,5.78,5.93,5.78,5.93,5600
60,2015-10-28,5.84,5.93,5.75,5.93,14000
61,2015-10-29,5.76,5.89,5.76,5.89,7000
62,2015-10-30,5.8,5.89,5.76,5.87,11500
63,2015-11-02,5.84,5.92,5.84,5.92,2111
64,2015-11-03,5.88,5.91,5.71,5.89,6400
65,2015-11-04,5.8,5.84,5.74,5.84,8452
66,2015-11-05,5.76,5.82,5.73,5.78,5600
67,2015-11-06,5.69,5.82,5.67,5.78,15400
68,2015-11-09,5.63,5.785,5.63,5.76,20363
69,2015-11-10,5.8,5.94,5.76,5.85,7100
70,2015-11-11,5.88,5.95,5.86,5.93,5300
71,2015-11-12,5.93,6.0,5.87,5.94,40000
72,2015-11-13,5.81,6.15,5.81,6.0,5800
73,2015-11-16,5.81,5.81,5.81,5.81,100
74,2015-11-17,5.89,6.0,5.89,5.92,34900
75,2015-11-18,6.11,6.12,5.62,5.9,126800
76,2015-11-19,5.79,5.89,5.63,5.82,24000
77,2015-11-20,5.72,5.89,5.72,5.88,1800
78,2015-11-23,5.89,5.89,5.75,5.89,4800
79,2015-11-24,5.78,5.86,5.3,5.71,9700
80,2015-11-25,5.69,5.75,5.65,5.67,5700
81,2015-11-27,5.68,5.85,5.65,5.85,1300
82,2015-11-30,5.78,6.0,5.71,5.93,19300
83,2015-12-01,5.9,5.92,5.83,5.92,925
84,2015-12-02,5.85,5.92,5.59,5.89,11519
85,2015-12-03,5.82,5.97,5.78,5.82,3667
86,2015-12-04,5.85,5.97,5.8,5.96,33900
87,2015-12-07,5.89,5.99,5.84,5.99,21300
88,2015-12-08,5.84,5.93,5.77,5.84,6674
89,2015-12-09,5.82,5.89,5.75,5.8,20100
90,2015-12-10,5.75,5.8,5.75,5.75,7100
91,2015-12-11,5.72,5.72,5.35,5.55,21100
92,2015-12-14,5.65,5.7,5.36,5.59,18716
93,2015-12-15,5.65,5.68,5.42,5.68,9100
94,2015-12-16,5.7,5.8,5.39,5.46,34700
95,2015-12-17,5.64,5.8,5.45,5.47,35900
96,2015-12-18,5.6,5.7,5.44,5.5,9700
97,2015-12-21,5.69,5.69,5.51,5.6,26100
98,2015-12-22,5.58,5.63,5.51,5.58,13550
99,2015-12-23,5.57,5.63,5.51,5.53,17000
100,2015-12-24,5.57,5.62,5.54,5.6,3602
101,2015-12-28,5.67,5.67,5.53,5.54,5912
102,2015-12-29,5.55,5.55,5.4,5.48,8470
103,2015-12-30,5.4,5.51,5.323,5.4175,14598
104,2015-12-31,5.32,5.39,5.25,5.36,11857
105,2016-01-04,5.21,5.21,4.15,5.0,76422
106,2016-01-05,4.98,5.04,4.92,4.97,6428
107,2016-01-06,4.97,4.97,4.88,4.89,7458
108,2016-01-07,4.89,4.99,4.79,4.82,9232
109,2016-01-08,5.01,5.11,4.67,4.83,5466
110,2016-01-11,4.8,4.83,4.8,4.83,1625
111,2016-01-12,4.79,4.79,4.47,4.62,20585
112,2016-01-13,4.77,4.78,4.48,4.53,20025
113,2016-01-14,4.6,4.7131,4.52,4.55,26110
114,2016-01-15,4.49,4.49,4.33,4.45,20125
115,2016-01-19,4.55,4.55,4.32,4.4,18300
116,2016-01-20,4.27,4.3,4.19,4.24,10046
117,2016-01-21,4.35,4.35,4.1301,4.2,5296
118,2016-01-22,4.3,4.45,4.21,4.23,9624
119,2016-01-25,4.27,4.28,4.23,4.24,11217
120,2016-01-26,4.275,4.31,4.15,4.16,4200
121,2016-01-27,4.2,4.28,4.13,4.28,2720
122,2016-01-28,4.21,4.21,3.97,4.05,8940
123,2016-01-29,4.08,4.35,4.06,4.35,22562
124,2016-02-01,4.28,4.29,4.27,4.27,910
125,2016-02-02,4.2885,4.2885,4.26,4.26,400
126,2016-02-03,4.14,4.25,4.03,4.15,9818
127,2016-02-04,4.22,4.22,4.15,4.15,900
128,2016-02-05,4.15,4.15,4.04,4.06,7722
129,2016-02-08,4.04,4.05,3.78,3.83,8375
130,2016-02-09,3.74,3.77,3.52,3.63,7510
131,2016-02-10,3.66,3.66,3.495,3.495,10676
132,2016-02-11,3.4,3.429,3.05,3.23,13303
133,2016-02-12,3.33,3.34,3.33,3.34,1103
134,2016-02-16,3.52,3.71,3.52,3.71,3244
135,2016-02-17,3.79,3.8,3.73,3.8,8900
136,2016-02-18,3.75,3.75,3.22,3.65,27828
137,2016-02-19,3.5,3.65,3.5,3.65,1413
138,2016-02-22,3.86,3.99,3.45,3.52,4300
139,2016-02-23,3.68,3.84,3.6,3.64,7201
140,2016-02-24,3.65,3.785,3.6,3.785,2900
141,2016-02-25,3.71,3.78,3.71,3.759,3604
142,2016-02-26,3.75,3.82,3.63,3.71,15392
143,2016-02-29,3.78,3.92,3.78,3.845,3146
144,2016-03-01,3.83,3.9,3.66,3.9,15734
145,2016-03-02,3.83,3.86,3.55,3.84,16010
146,2016-03-03,3.82,3.82,3.71,3.78,3000
147,2016-03-04,3.81,3.9,3.73,3.82,7800
148,2016-03-07,3.92,3.97,3.78,3.9515,27123
149,2016-03-08,3.96,3.96,3.86,3.93,1200
150,2016-03-09,4.16,4.4995,4.16,4.31,13365
151,2016-03-10,4.69,4.69,4.6,4.6599,7215
152,2016-03-11,4.59,4.6599,4.59,4.65,5422
153,2016-03-14,4.64,4.64,4.13,4.57,3018
154,2016-03-15,4.31,4.58,3.9,4.17,5957
155,2016-03-16,4.19,4.23,3.99,4.08,15520
156,2016-03-17,4.1,4.1,3.93,3.93,923
157,2016-03-18,4.05,4.14,3.91,4.02,2380
158,2016-03-21,4.1,4.44,3.86,4.44,6553
159,2016-03-22,4.25,4.49,4.2,4.48,5656
160,2016-03-23,4.38,4.38,4.34,4.34,444
161,2016-03-24,4.31,4.39,4.31,4.39,700
162,2016-03-28,4.3,4.3,3.77,4.29,7950
163,2016-03-29,4.06,4.23,4.06,4.23,1400
164,2016-03-30,4.27,4.37,4.02,4.36,5900
165,2016-03-31,4.19,4.34,4.12,4.12,1699
166,2016-04-04,4.28,4.28,4.18,4.18,6950
167,2016-04-05,4.2577,4.35,4.0,4.065,10380
168,2016-04-06,4.0801,4.0801,3.9501,4.05,17948
169,2016-04-08,4.16,4.2,3.99,4.16,1900
170,2016-04-11,3.9503,3.97,3.9,3.94,4410
171,2016-04-12,3.91,4.24,3.91,4.23,300
172,2016-04-13,3.97,4.27,3.95,4.0,17510
173,2016-04-14,4.02,4.04,3.71,3.96,15178
174,2016-04-15,3.9,3.91,3.87,3.9,8900
175,2016-04-18,3.8401,3.9,3.73,3.81,11204
176,2016-04-19,3.81,3.81,3.72,3.73,15028
177,2016-04-20,3.81,3.85,3.71,3.76,16278
178,2016-04-21,3.8,3.91,3.71,3.78,13901
179,2016-04-22,3.79,3.79,3.71,3.74,13175
180,2016-04-25,3.77,3.77,3.514,3.69,18171
181,2016-04-26,3.67,3.77,3.58,3.77,15708
182,2016-04-27,3.58,3.69,3.39,3.51,21920
183,2016-04-28,3.51,3.515,3.3,3.32,18404
184,2016-04-29,3.35,3.43,3.35,3.39,1700
185,2016-05-02,3.48,3.49,3.32,3.4,22411
186,2016-05-03,3.41,3.67,3.31,3.33,23241
187,2016-05-04,3.34,3.355,3.3,3.3,16800
