,Date,Open,High,Low,Close,Volume
0,2005-02-25,32.95,33.25,32.5,32.6,825
1,2005-02-28,32.0,33.15,32.0,32.5,1668
2,2005-03-01,32.4,32.5,32.1,32.15,4326
3,2005-03-02,32.1,32.1,31.6,31.95,1189
4,2005-03-03,31.65,31.7,31.05,31.25,1709
5,2005-03-04,31.2,31.4,29.3,30.4,5460
6,2005-03-07,30.05,31.25,29.75,31.0,2470
7,2005-03-08,30.6,31.25,30.15,31.0,980
8,2005-03-09,29.6,31.15,29.6,30.75,5326
9,2005-03-10,30.0,30.75,30.0,30.55,1685
10,2005-03-11,30.3,30.9,30.25,30.85,1380
11,2005-03-14,30.5,30.55,30.0,30.0,1482
12,2005-03-15,30.05,30.85,29.7,30.5,5893
13,2005-03-16,29.9,30.7,29.7,29.85,3990
14,2005-03-17,30.0,30.0,28.25,28.25,4800
15,2005-03-18,28.95,29.4,27.8,29.25,7530
16,2005-03-21,28.6,28.9,28.45,28.45,780
17,2005-03-22,28.25,28.5,26.45,26.7,7770
18,2005-03-23,26.3,28.0,26.3,27.9,12422
19,2005-03-24,26.95,27.75,26.4,27.25,3830
20,2005-03-28,26.95,27.7,26.95,27.5,6507
21,2005-03-29,27.5,27.5,25.6,25.8,4918
22,2005-03-30,25.05,26.55,25.05,26.35,2218
23,2005-03-31,27.0,27.1,26.65,26.95,1204
24,2005-04-01,26.8,27.35,26.3,26.3,21430
25,2005-04-04,26.6,26.95,25.95,26.05,3410
26,2005-04-05,26.35,26.65,25.5,26.45,3840
27,2005-04-06,26.75,27.15,26.45,27.1,1661
28,2005-04-07,26.65,28.1,26.45,27.65,2924
29,2005-04-08,27.45,27.55,27.0,27.3,20801
30,2005-04-11,27.3,27.7,25.25,27.15,5154
31,2005-04-12,26.8,27.05,26.65,27.05,600
32,2005-04-13,25.75,26.8,25.75,26.8,2319
33,2005-04-14,26.5,26.55,25.65,25.65,960
34,2005-04-15,25.5,25.5,24.05,24.75,5074
35,2005-04-18,24.75,25.0,23.5,23.5,5261
36,2005-04-19,23.55,24.45,23.2,24.25,9519
37,2005-04-20,25.0,25.4,24.15,25.4,3454
38,2005-04-21,24.75,26.15,24.75,26.0,1951
39,2005-04-22,25.3,25.35,24.55,25.05,1075
40,2005-04-25,24.85,25.9,23.95,24.0,4714
41,2005-04-26,24.25,25.85,24.25,25.05,19468
42,2005-04-27,24.95,25.1,24.65,24.85,1570
43,2005-04-28,24.3,25.0,24.3,25.0,200
44,2005-04-29,24.25,25.2,24.25,25.2,3315
45,2005-05-02,24.35,25.6,23.4,25.2,8867
46,2005-05-03,24.75,27.0,24.75,26.95,7537
47,2005-05-04,26.1,26.7,25.55,26.35,2710
48,2005-05-05,26.9,27.4,26.9,27.35,4540
49,2005-05-06,27.45,27.65,26.75,27.15,1231
50,2005-05-09,26.75,27.5,26.3,27.5,967
51,2005-05-10,27.5,27.5,25.95,26.65,3740
52,2005-05-11,26.2,26.65,26.2,26.2,120
53,2005-05-12,26.0,26.05,25.7,25.95,840
54,2005-05-13,25.05,26.1,25.05,25.9,6232
55,2005-05-16,25.35,26.25,25.25,25.8,2452
