,Date,Open,High,Low,Close,Volume
0,2006-09-20,25.733,26.555,24.556,24.556,230317
1,2006-09-21,24.438,24.438,22.665,22.994,2492721
2,2006-09-22,22.901,23.609,22.665,22.665,139460
3,2006-09-25,22.193,22.994,22.193,22.712,56599
4,2006-09-26,22.901,22.901,22.193,22.193,130885
5,2006-09-27,21.721,22.665,21.721,22.428,55065
6,2006-09-28,22.901,24.08,22.901,24.08,66627
7,2006-09-29,24.08,24.789,24.08,24.789,66606
8,2006-10-02,24.556,25.024,24.556,24.556,28444
9,2006-10-03,25.024,25.497,25.024,25.497,18741
10,2006-10-04,25.497,25.497,25.024,25.024,81960
11,2006-10-05,25.12,25.12,24.789,25.024,132311
12,2006-10-06,25.024,25.261,25.024,25.074,108588
13,2006-10-09,25.261,25.261,25.261,25.261,235
14,2006-10-10,25.733,26.44,25.733,26.44,133743
15,2006-10-11,26.44,27.859,25.733,27.385,47493
16,2006-10-12,27.385,27.385,27.385,27.385,10219
17,2006-10-13,27.385,27.385,27.385,27.385,3495
18,2006-10-16,27.385,27.385,27.385,27.385,215
19,2006-10-17,27.152,27.152,26.896,26.896,81581
20,2006-10-18,27.152,27.385,27.152,27.385,175782
21,2006-10-19,27.385,27.385,27.385,27.385,846
22,2006-10-20,26.962,26.988,26.916,26.916,100595
23,2006-10-23,27.385,27.385,26.916,27.152,21285
24,2006-10-24,26.916,26.916,25.733,26.584,18532
25,2006-10-25,26.584,26.584,26.066,26.066,35475
26,2006-10-26,26.302,26.67,26.205,26.44,36851
27,2006-10-27,26.584,26.631,26.44,26.44,15781
28,2006-10-30,26.536,26.838,26.393,26.584,70737
29,2006-10-31,26.536,26.678,26.393,26.489,166569
30,2006-11-01,26.725,27.054,26.066,26.066,188597
31,2006-11-02,26.017,26.017,24.911,24.911,306454
32,2006-11-03,24.742,24.93,24.527,24.536,206810
33,2006-11-06,24.646,24.838,24.174,24.646,245567
34,2006-11-07,24.507,25.97,24.467,25.684,190289
35,2006-11-08,25.921,26.339,25.593,26.339,457138
36,2006-11-09,27.152,27.385,26.678,26.916,673056
37,2006-11-10,27.385,27.669,26.82,26.906,577540
38,2006-11-13,26.916,27.122,26.686,26.696,514956
39,2006-11-14,26.678,26.686,26.412,26.536,199081
40,2006-11-15,26.536,26.678,26.45,26.678,336632
41,2006-11-16,26.866,27.925,26.866,27.61,1154975
42,2006-11-17,27.61,27.804,27.152,27.565,951662
43,2006-11-20,27.54,28.095,27.54,27.859,397840
44,2006-11-21,27.812,28.095,27.764,28.048,338961
45,2006-11-22,28.283,28.615,28.283,28.444,325409
46,2006-11-24,28.471,28.887,28.379,28.783,101977
47,2006-11-27,28.783,28.783,27.764,28.095,600201
48,2006-11-28,28.283,28.379,28.048,28.331,218564
49,2006-11-29,28.471,28.661,28.331,28.566,388415
50,2006-11-30,28.519,29.367,28.369,29.275,773655
51,2006-12-01,29.652,29.72,29.161,29.513,473873
52,2006-12-04,29.748,29.842,29.523,29.832,472279
53,2006-12-05,30.066,30.076,29.652,29.891,538042
54,2006-12-06,30.076,30.076,29.513,29.72,283158
55,2006-12-07,29.367,29.623,28.68,28.935,316513
56,2006-12-08,29.171,29.171,28.661,28.754,221317
57,2006-12-11,29.275,29.275,28.878,28.878,176842
58,2006-12-12,29.085,29.085,28.416,28.774,145603
59,2006-12-13,29.275,29.275,28.68,28.7,189973
60,2006-12-14,28.85,28.887,28.379,28.71,94457
61,2006-12-15,28.8,28.8,28.188,28.321,159156
62,2006-12-18,28.556,28.615,28.113,28.161,175147
63,2006-12-19,28.105,28.273,27.435,27.953,122622
64,2006-12-20,27.906,27.999,27.726,27.859,259014
65,2006-12-21,27.764,27.925,27.669,27.812,111189
66,2006-12-22,27.906,27.915,27.583,27.734,27424
67,2006-12-26,27.689,27.896,27.669,27.877,36956
68,2006-12-27,27.859,28.048,27.63,28.038,79843
69,2006-12-28,27.999,28.331,27.764,28.302,119977
70,2006-12-29,28.302,28.471,28.105,28.236,200456
71,2007-01-03,28.331,28.746,27.471,27.471,245671
72,2007-01-04,26.962,27.026,26.536,26.555,289195
73,2007-01-05,26.555,26.584,25.497,25.8,536876
74,2007-01-08,25.8,25.997,25.516,25.64,80796
75,2007-01-09,25.593,25.875,25.309,25.497,273734
76,2007-01-10,25.468,25.783,25.413,25.449,320959
77,2007-01-11,25.459,25.848,25.459,25.603,220787
78,2007-01-12,25.703,26.027,25.63,25.867,342987
79,2007-01-16,25.921,26.254,25.867,25.97,346692
80,2007-01-17,26.007,26.79,25.894,26.696,689470
81,2007-01-18,26.696,26.866,26.489,26.752,129401
82,2007-01-19,26.661,27.026,26.661,26.953,131944
83,2007-01-22,27.093,27.152,26.838,26.98,316196
84,2007-01-23,27.073,27.63,26.906,27.142,186901
85,2007-01-24,27.376,27.435,27.199,27.376,216868
86,2007-01-25,27.491,27.822,27.309,27.385,463598
87,2007-01-26,27.574,27.822,27.026,27.53,335785
88,2007-01-29,27.395,27.559,26.896,27.102,379309
89,2007-01-30,27.291,27.291,26.79,26.916,103878
90,2007-01-31,27.102,27.189,26.876,27.045,372953
91,2007-02-01,27.338,27.395,27.054,27.102,416370
92,2007-02-02,27.054,27.347,27.026,27.245,577221
93,2007-02-05,27.291,27.453,27.189,27.376,526921
94,2007-02-06,27.481,27.868,27.338,27.64,1689733
95,2007-02-07,27.794,28.471,27.574,28.35,2256155
96,2007-02-08,28.426,28.436,28.048,28.113,546938
97,2007-02-09,28.048,28.331,28.048,28.113,407475
98,2007-02-12,28.143,28.471,28.143,28.369,666224
99,2007-02-13,28.331,28.783,28.113,28.359,574099
100,2007-02-14,28.359,28.547,28.143,28.426,392545
101,2007-02-15,30.266,30.266,28.897,30.029,3000687
102,2007-02-16,29.891,29.926,29.133,29.748,997617
103,2007-02-20,29.652,29.936,29.557,29.851,486259
104,2007-02-21,29.984,31.873,29.567,31.266,1876847
105,2007-02-22,30.879,31.266,30.219,30.644,778946
106,2007-02-23,30.614,30.614,29.632,30.02,470059
107,2007-02-26,30.002,31.589,29.69,31.061,1338719
108,2007-02-27,30.994,31.052,30.155,30.247,980782
109,2007-02-28,30.219,30.541,29.69,30.228,488906
110,2007-03-01,29.367,30.202,28.945,29.945,836447
