,Date,Open,High,Low,Close,Volume
0,2015-01-30,45.1,51.9,40.16,50.0,7120453
1,2015-02-02,47.58,48.75,44.61,46.0,733269
2,2015-02-03,46.11,46.99,44.66,45.98,248248
3,2015-02-04,45.5,45.5,40.5,43.21,275445
4,2015-02-05,42.72,45.99,42.08,42.55,202234
5,2015-02-06,43.06,46.0,42.8,44.84,108989
6,2015-02-09,44.9,47.61,44.8,45.77,183330
7,2015-02-10,46.06,47.49,43.95,46.29,57869
8,2015-02-11,45.15,48.46,45.15,47.86,200243
9,2015-02-12,47.43,48.44,45.13,46.18,79260
10,2015-02-13,45.88,48.39,45.11,46.25,56794
11,2015-02-17,47.01,47.18,45.08,45.91,93718
12,2015-02-18,46.0,46.86,44.31,46.0,123181
13,2015-02-19,47.75,48.63,46.65,47.8,154336
14,2015-02-20,47.32,53.63,47.25,51.44,157264
15,2015-02-23,52.87,57.24,52.01,56.68,207615
16,2015-02-24,59.35,59.73,54.7,57.89,289734
17,2015-02-25,57.27,58.61,55.07,55.34,125352
18,2015-02-26,57.79,61.5,57.0,60.25,558320
19,2015-02-27,61.0,63.63,57.0,57.59,312886
20,2015-03-02,58.0,60.95,58.0,58.99,164800
21,2015-03-03,59.1,59.62,54.11,55.0,237500
22,2015-03-04,54.81,55.98,52.65,54.53,202500
23,2015-03-05,54.93,59.09,54.9,57.53,217400
24,2015-03-06,58.1,59.33,55.71,58.01,205900
25,2015-03-09,57.58,61.39,57.58,60.28,179900
26,2015-03-10,59.2,60.82,58.26,60.34,205100
27,2015-03-11,59.95,62.76,58.63,59.1,288200
28,2015-03-12,59.2,61.48,58.7,61.14,125000
29,2015-03-13,61.35,67.0,61.02,65.78,230500
30,2015-03-16,66.56,71.0,64.22,68.45,414900
31,2015-03-17,69.44,72.3,67.71,71.97,177700
32,2015-03-18,72.45,77.33,70.18,76.3,372200
33,2015-03-19,77.65,77.65,73.45,74.17,446800
34,2015-03-20,73.13,74.73,67.25,69.95,845500
35,2015-03-23,69.95,70.0,63.86,65.78,284500
36,2015-03-24,65.62,68.23,64.63,65.43,247900
37,2015-03-25,66.9,67.0,63.5,65.96,387600
38,2015-03-26,66.29,67.99,63.93,65.77,179400
39,2015-03-27,65.52,69.79,65.52,68.88,313400
40,2015-03-30,69.5,74.97,68.67,74.13,483000
