,Date,Open,High,Low,Close,Volume
0,2007-04-25,120.0,120.0,120.0,120.0,0
1,2007-04-26,125.0,133.3,125.0,130.0,308411
2,2007-04-27,130.0,135.0,129.5,134.9,36196
3,2007-04-30,136.0,143.5,131.7,140.5,23877
4,2007-05-01,141.9,141.9,137.7,138.7,16369
5,2007-05-02,142.2,142.5,137.5,142.5,15853
6,2007-05-03,142.5,156.7,138.7,155.0,11361
7,2007-05-04,155.8,157.1,153.0,153.1,4684
8,2007-05-07,152.6,154.8,150.0,150.0,4774
9,2007-05-08,150.7,152.8,147.6,148.1,11469
10,2007-05-09,149.0,149.5,143.2,147.1,19295
11,2007-05-10,143.0,146.9,139.4,140.2,3678
12,2007-05-11,139.1,142.2,125.5,137.5,4265
13,2007-05-14,129.3,144.0,128.0,142.6,6957
14,2007-05-15,143.6,147.5,135.2,138.0,6731
15,2007-05-16,137.0,142.0,136.2,139.0,10337
16,2007-05-17,142.0,142.8,139.0,141.5,5657
17,2007-05-18,146.6,158.8,146.6,157.8,8213
18,2007-05-21,159.3,163.5,156.1,159.7,4659
19,2007-05-22,162.6,183.9,162.6,181.0,10978
20,2007-05-23,183.6,191.5,180.0,182.0,5320
21,2007-05-24,180.9,188.5,166.9,179.5,4343
22,2007-05-25,177.5,177.5,167.7,175.3,3354
23,2007-05-29,167.3,170.0,166.7,168.3,1326
24,2007-05-30,166.6,168.4,165.4,168.4,798
25,2007-05-31,179.5,180.0,167.7,179.2,18681
26,2007-06-01,175.2,180.0,166.1,179.4,2136
27,2007-06-04,179.9,184.6,179.3,181.5,9578
28,2007-06-05,183.8,184.0,179.8,181.6,4593
29,2007-06-06,183.5,183.5,178.5,178.5,4307
30,2007-06-07,177.6,180.0,175.7,176.9,6108
31,2007-06-08,178.5,178.5,174.0,177.0,3684
32,2007-06-11,177.5,177.5,175.5,177.4,6159
33,2007-06-12,175.0,177.0,174.0,174.5,4901
34,2007-06-13,179.1,179.1,168.7,170.0,19240
35,2007-06-14,169.9,171.3,169.9,170.0,2848
36,2007-06-15,168.8,171.0,168.8,170.8,2694
37,2007-06-18,172.5,173.7,165.1,165.5,2114
38,2007-06-19,165.5,166.5,160.3,162.8,6315
39,2007-06-20,165.8,171.6,153.0,162.8,8291
40,2007-06-21,166.2,166.2,156.7,157.5,4850
41,2007-06-22,157.5,157.9,142.5,142.8,77614
42,2007-06-25,160.4,176.6,153.0,154.5,70797
43,2007-06-26,161.4,161.4,145.2,145.3,14698
44,2007-06-27,143.4,149.9,138.7,147.0,12933
45,2007-06-28,147.5,158.0,147.5,150.2,6945
46,2007-06-29,151.0,155.4,148.0,150.2,7019
47,2007-07-02,151.7,153.6,146.8,150.4,8986
48,2007-07-03,153.2,153.2,146.8,147.2,2330
49,2007-07-05,146.8,151.8,145.0,150.6,4349
50,2007-07-06,152.1,152.1,145.8,146.9,2222
51,2007-07-09,148.0,150.0,144.3,149.0,2828
52,2007-07-10,147.6,149.6,145.5,146.0,4306
53,2007-07-11,146.0,147.6,143.5,143.5,3900
54,2007-07-12,143.7,145.1,142.5,144.5,6444
55,2007-07-13,145.0,157.5,141.3,151.4,4504
56,2007-07-16,150.3,157.2,150.3,152.4,4118
57,2007-07-17,152.0,157.7,152.0,157.1,4915
58,2007-07-18,156.3,159.9,153.2,159.3,3709
59,2007-07-19,160.0,160.0,150.6,151.3,1786
60,2007-07-20,151.0,154.4,144.9,145.9,3607
61,2007-07-23,147.1,147.9,141.4,142.2,9829
62,2007-07-24,142.8,152.5,141.2,142.4,22439
63,2007-07-25,143.7,153.6,143.7,151.6,10730
64,2007-07-26,154.0,154.0,146.8,149.6,4034
65,2007-07-27,149.4,149.4,143.5,144.6,3523
66,2007-07-30,144.0,147.4,142.5,147.1,3135
67,2007-07-31,149.1,149.8,142.7,148.3,7415
68,2007-08-01,147.2,150.5,144.6,147.0,6403
69,2007-08-02,147.6,150.9,145.5,147.4,2818
70,2007-08-03,146.5,152.5,142.5,143.5,3015
71,2007-08-06,143.7,159.9,142.6,159.7,18191
72,2007-08-07,156.6,167.4,156.6,164.8,6252
73,2007-08-08,165.2,177.8,165.2,177.5,11899
74,2007-08-09,169.1,178.6,169.1,173.8,4565
75,2007-08-10,166.9,172.5,145.2,146.3,17087
76,2007-08-13,146.3,146.6,136.4,140.3,5998
77,2007-08-14,139.8,142.7,136.3,137.6,4224
78,2007-08-15,137.0,145.0,135.4,139.0,3015
79,2007-08-16,141.5,159.5,136.5,159.5,13781
80,2007-08-17,167.5,167.5,146.5,158.8,7083
81,2007-08-20,159.0,159.0,150.6,151.5,1665
82,2007-08-21,152.6,152.6,143.4,144.5,3531
83,2007-08-22,146.2,147.3,136.9,140.2,6696
84,2007-08-23,141.7,142.5,137.1,139.0,3206
85,2007-08-24,139.0,145.0,135.3,141.1,2654
86,2007-08-27,140.2,143.0,138.8,139.6,2250
87,2007-08-28,136.8,165.0,135.1,136.1,1633
88,2007-08-29,137.9,140.3,136.0,140.0,2953
89,2007-08-30,138.4,149.5,138.4,145.0,4454
90,2007-08-31,149.8,149.8,143.4,147.2,5399
91,2007-09-04,145.9,150.5,142.6,146.7,8386
92,2007-09-05,145.3,145.6,140.3,143.2,3352
93,2007-09-06,143.4,149.5,142.3,148.1,2914
94,2007-09-07,149.0,152.2,141.7,150.2,14800
95,2007-09-10,150.4,151.9,141.4,148.6,11849
96,2007-09-11,150.6,150.6,147.5,149.9,1256
97,2007-09-12,149.6,150.0,142.5,143.4,9167
98,2007-09-13,143.4,149.8,141.0,145.6,2885
99,2007-09-14,144.1,144.7,139.3,139.4,12024
100,2007-09-17,139.8,140.3,135.0,135.0,1931
101,2007-09-18,135.0,143.0,134.0,142.6,3710
102,2007-09-19,144.6,150.5,142.5,144.2,15039
103,2007-09-20,143.9,146.2,142.2,145.1,14006
104,2007-09-21,146.7,151.8,141.1,144.0,10399
105,2007-09-24,143.7,147.4,142.7,143.7,690
106,2007-09-25,142.5,149.6,135.5,135.7,2746
107,2007-09-26,142.6,142.6,128.6,131.0,6296
108,2007-09-27,132.4,135.2,128.3,135.2,22562
109,2007-09-28,135.4,138.8,130.1,132.1,16606
110,2007-10-01,130.7,139.6,130.7,132.6,5467
111,2007-10-02,131.4,138.4,131.4,134.3,2901
112,2007-10-03,142.9,145.5,138.5,142.9,15124
113,2007-10-04,143.5,161.4,143.4,160.0,20133
114,2007-10-05,160.9,178.8,160.9,175.7,15410
115,2007-10-08,176.1,177.3,168.5,176.0,7618
116,2007-10-09,175.9,182.7,171.6,182.7,4988
117,2007-10-10,181.6,182.7,175.6,179.4,7200
118,2007-10-11,179.7,184.5,173.6,176.5,3781
119,2007-10-12,177.6,177.6,171.7,175.8,2348
120,2007-10-15,175.2,177.0,164.8,166.7,3343
121,2007-10-16,165.3,166.9,158.4,163.8,3133
122,2007-10-17,168.2,177.5,163.4,163.4,4205
123,2007-10-18,163.4,175.5,157.5,172.0,5744
124,2007-10-19,172.0,176.1,167.1,168.7,6523
125,2007-10-22,168.9,169.4,151.2,155.6,18655
126,2007-10-23,150.4,163.8,150.4,157.2,13538
127,2007-10-24,155.7,159.7,149.1,149.7,10929
128,2007-10-25,150.8,152.7,146.3,149.5,41441
129,2007-10-26,152.3,152.3,145.0,148.6,10611
130,2007-10-29,148.5,150.3,145.7,146.2,7862
131,2007-10-30,148.9,148.9,143.3,145.0,6917
132,2007-10-31,148.3,148.3,143.7,146.4,5164
133,2007-11-01,143.8,146.5,142.8,144.6,8263
134,2007-11-02,147.0,154.4,143.8,154.3,4289
135,2007-11-05,151.6,155.5,147.1,155.2,3756
136,2007-11-06,154.8,154.8,144.3,151.5,5621
137,2007-11-07,149.4,156.7,145.0,151.3,5311
138,2007-11-08,149.3,151.8,143.9,149.7,3671
139,2007-11-09,146.2,153.2,144.1,151.6,4768
140,2007-11-12,151.1,151.9,144.7,148.2,4363
141,2007-11-13,151.1,159.9,146.4,158.6,3946
142,2007-11-14,159.4,161.0,156.9,160.8,7318
143,2007-11-15,158.2,160.0,151.6,156.5,29799
144,2007-11-16,156.6,158.7,153.8,155.7,76729
145,2007-11-19,154.0,154.0,147.0,149.7,17066
146,2007-11-20,149.2,150.0,144.0,149.9,8977
147,2007-11-21,147.7,150.0,144.1,145.3,5721
148,2007-11-23,146.0,146.3,138.9,145.1,2641
149,2007-11-26,144.3,145.9,142.6,144.5,25151
150,2007-11-27,144.6,146.0,142.0,143.6,38200
151,2007-11-28,145.7,145.7,142.0,145.6,9126
152,2007-11-29,145.5,146.2,140.0,146.0,12428
153,2007-11-30,147.4,148.5,130.2,131.7,23853
154,2007-12-03,133.1,140.2,128.3,139.5,7787
155,2007-12-04,134.4,142.1,134.4,141.8,5469
156,2007-12-05,144.5,144.5,139.3,141.0,3473
157,2007-12-06,141.2,144.0,139.3,143.9,3230
158,2007-12-07,143.0,143.0,139.5,141.2,4024
159,2007-12-10,141.0,145.0,141.0,143.0,7897
160,2007-12-11,143.4,143.9,136.3,136.9,5847
161,2007-12-12,140.8,143.4,134.4,141.7,28395
162,2007-12-13,140.2,143.7,139.3,139.9,5151
163,2007-12-14,138.7,143.9,138.7,141.5,4602
164,2007-12-17,141.5,149.0,141.5,143.9,21107
165,2007-12-18,145.0,145.0,134.7,143.0,11494
166,2007-12-19,142.3,145.0,139.7,143.8,13312
167,2007-12-20,145.0,145.0,140.4,142.6,8202
168,2007-12-21,145.5,149.5,143.1,145.0,15711
169,2007-12-24,145.0,149.8,133.6,149.8,6755
170,2007-12-26,149.0,151.6,147.1,150.0,10343
171,2007-12-27,150.0,154.4,148.1,149.7,9008
172,2007-12-28,151.4,156.3,146.3,149.5,8720
173,2007-12-31,148.5,149.2,141.1,142.5,4931
174,2008-01-02,142.0,142.8,136.7,139.4,26936
175,2008-01-03,139.4,141.8,138.4,140.7,16254
176,2008-01-04,139.3,141.9,138.3,139.5,13972
177,2008-01-07,136.1,137.6,127.3,132.8,40028
178,2008-01-08,132.8,140.7,132.8,134.6,20009
179,2008-01-09,134.9,143.6,126.2,131.3,33476
180,2008-01-10,129.4,137.4,128.8,133.0,20278
181,2008-01-11,132.5,135.6,131.8,132.7,6443
182,2008-01-14,134.3,136.4,128.4,129.1,16642
183,2008-01-15,128.3,134.6,121.6,121.6,11521
184,2008-01-16,121.0,124.8,119.6,119.6,8280
185,2008-01-17,119.7,126.7,119.7,125.3,11383
186,2008-01-18,125.2,129.3,122.8,125.0,15136
187,2008-01-22,120.5,128.9,117.1,121.3,12845
188,2008-01-23,116.3,121.0,113.2,114.1,25766
189,2008-01-24,109.9,110.0,105.0,108.7,276974
190,2008-01-25,108.2,118.8,106.6,112.1,78505
191,2008-01-28,111.7,115.4,108.8,111.0,54610
192,2008-01-29,111.1,111.1,108.0,108.5,10473
193,2008-01-30,108.0,110.5,102.0,109.4,81101
194,2008-01-31,107.6,110.0,105.0,105.5,38920
195,2008-02-01,107.4,110.7,105.8,109.9,33591
196,2008-02-04,109.5,117.3,109.5,115.9,37752
197,2008-02-05,114.5,116.3,111.1,113.4,20394
198,2008-02-06,114.4,120.9,113.4,117.0,27735
199,2008-02-07,118.0,127.0,115.7,123.0,31621
200,2008-02-08,122.0,124.0,114.6,115.4,15200
201,2008-02-11,116.0,119.5,112.7,117.1,13667
202,2008-02-12,117.9,121.9,112.5,120.0,4887
203,2008-02-13,121.5,121.5,115.8,120.3,14510
204,2008-02-14,120.9,121.7,116.8,121.1,8251
205,2008-02-15,120.2,121.1,116.7,119.7,18404
206,2008-02-19,120.3,120.3,117.1,118.2,9043
207,2008-02-20,117.8,121.9,116.0,117.9,11686
208,2008-02-21,119.0,121.4,116.3,117.5,10264
209,2008-02-22,116.6,118.2,113.1,113.3,7898
210,2008-02-25,114.5,120.1,114.5,119.9,10626
211,2008-02-26,119.8,126.2,119.2,123.0,13069
212,2008-02-27,121.7,127.6,121.7,125.4,14346
213,2008-02-28,126.6,129.1,112.6,127.3,11971
214,2008-02-29,126.0,129.9,120.0,129.5,13905
215,2008-03-03,129.3,129.3,118.9,122.3,44576
216,2008-03-04,122.0,123.2,112.0,115.9,20848
217,2008-03-05,116.2,120.2,114.5,117.5,11303
218,2008-03-06,116.8,130.0,116.8,124.3,13550
219,2008-03-07,123.0,127.6,116.6,119.4,12664
220,2008-03-10,118.4,125.0,108.9,110.0,19803
221,2008-03-11,110.3,115.0,103.6,108.6,13046
222,2008-03-12,108.0,114.6,105.2,110.0,18488
223,2008-03-13,109.0,111.0,107.4,108.8,16018
224,2008-03-14,111.4,114.9,102.5,108.1,24963
225,2008-03-17,105.1,108.6,102.6,105.7,34987
226,2008-03-18,107.3,109.2,102.4,108.2,21832
227,2008-03-19,109.3,110.0,102.8,109.1,43602
228,2008-03-20,110.2,110.2,98.0,102.5,27491
229,2008-03-24,103.0,106.5,100.6,106.1,19099
230,2008-03-25,106.5,111.2,102.0,105.1,13543
231,2008-03-26,104.6,105.5,100.0,102.9,13909
232,2008-03-27,102.8,106.8,102.8,103.8,11794
233,2008-03-28,103.4,105.6,98.8,101.9,13051
234,2008-03-31,102.3,104.4,100.0,103.0,13414
235,2008-04-01,101.1,106.7,100.1,102.9,21645
236,2008-04-02,103.3,106.3,100.5,104.0,7794
237,2008-04-03,105.6,106.7,100.1,106.2,10590
238,2008-04-04,106.6,109.5,104.9,109.2,8913
239,2008-04-07,109.6,110.0,106.6,107.9,8524
240,2008-04-08,107.5,109.7,106.7,107.9,7226
241,2008-04-09,108.3,108.4,100.7,101.3,7080
242,2008-04-10,100.9,106.6,100.9,105.7,8357
243,2008-04-11,105.2,105.8,103.4,104.6,6524
244,2008-04-14,104.2,112.0,101.7,109.7,8437
245,2008-04-15,110.1,110.1,101.1,101.3,8567
246,2008-04-16,101.8,101.8,98.4,99.7,21610
247,2008-04-17,99.3,99.7,96.4,98.7,5287
248,2008-04-18,99.6,115.0,99.6,115.0,13139
249,2008-04-21,114.6,114.6,108.3,109.2,7641
250,2008-04-22,110.0,110.0,101.5,101.7,7681
251,2008-04-23,102.0,103.2,100.0,101.3,5988
252,2008-04-24,100.9,110.6,99.4,110.6,7850
253,2008-04-25,110.6,115.4,110.4,114.1,8419
254,2008-04-28,113.7,118.4,113.2,115.2,9612
255,2008-04-29,114.7,116.8,111.1,114.1,8329
256,2008-04-30,114.0,115.2,104.9,106.2,6140
257,2008-05-01,106.3,106.7,100.7,103.6,11358
258,2008-05-02,106.5,106.6,101.0,102.3,6796
259,2008-05-05,101.7,104.3,100.5,101.4,7898
260,2008-05-06,101.5,105.0,100.5,104.0,17958
261,2008-05-07,102.5,103.8,99.4,101.0,12497
262,2008-05-08,100.1,101.8,98.0,99.8,10176
263,2008-05-09,98.3,98.8,91.4,91.4,18477
264,2008-05-12,91.4,92.6,88.6,89.6,12805
265,2008-05-13,89.9,89.9,82.4,83.1,15290
266,2008-05-14,82.8,85.2,82.8,84.2,6559
267,2008-05-15,83.8,83.8,80.8,81.2,8871
268,2008-05-16,81.5,81.5,79.1,81.2,10697
269,2008-05-19,81.3,85.3,80.9,83.9,13792
270,2008-05-20,84.1,84.1,77.3,79.7,11564
271,2008-05-21,80.0,80.2,76.1,77.0,34835
272,2008-05-22,77.4,77.7,68.9,75.0,29634
273,2008-05-23,75.0,80.2,75.0,79.8,7064
274,2008-05-27,80.5,84.9,77.8,83.1,19326
275,2008-05-28,83.6,84.5,78.5,81.4,10113
276,2008-05-29,81.1,92.9,81.1,89.0,17764
277,2008-05-30,88.9,92.9,85.0,87.1,9521
278,2008-06-02,87.0,90.2,80.3,81.7,14976
279,2008-06-03,82.0,83.8,76.9,80.9,14225
