,Date,Open,High,Low,Close,Volume
0,2006-09-21,103.35,103.35,103.35,103.35,0
1,2006-09-22,104.45,105.49,97.97,99.065,220657
2,2006-09-25,99.115,100.11,97.47,100.11,21190
3,2006-09-26,100.76,100.96,98.865,99.415,10279
4,2006-09-27,99.82,99.82,98.415,99.72,5331
5,2006-09-28,99.51,99.56,98.615,98.815,1358
6,2006-09-29,98.865,98.865,96.025,97.67,18821
7,2006-10-02,96.72,97.12,96.72,96.92,5659
8,2006-10-03,99.465,99.465,96.275,97.47,8143
9,2006-10-04,96.92,96.97,96.67,96.87,1184
10,2006-10-05,96.77,98.965,96.47,96.62,2886
11,2006-10-06,96.47,98.615,96.275,96.67,2135
12,2006-10-09,96.52,97.12,96.47,97.12,2090
13,2006-10-10,97.57,97.57,95.625,96.175,3070
14,2006-10-11,95.875,95.875,95.825,95.825,488
15,2006-10-12,96.87,96.87,95.625,95.675,2188
16,2006-10-13,95.675,96.175,94.975,95.725,5243
17,2006-10-16,95.025,96.67,95.025,95.975,270
18,2006-10-17,96.62,96.62,94.975,95.375,996
19,2006-10-18,95.375,95.525,95.375,95.375,485
20,2006-10-19,97.92,97.92,95.075,95.325,630
21,2006-10-20,97.82,97.82,95.375,96.82,531
22,2006-10-23,95.675,96.025,95.625,95.825,302
23,2006-10-24,95.825,95.825,95.625,95.825,1144
24,2006-10-25,95.825,95.825,95.825,95.825,23
25,2006-10-26,95.825,96.025,95.825,95.825,209
26,2006-10-27,95.375,97.97,95.375,97.97,16888
27,2006-10-30,97.97,97.97,97.12,97.12,70
28,2006-10-31,97.12,97.12,97.12,97.12,23
29,2006-11-01,96.92,97.37,95.825,96.57,8471
30,2006-11-02,96.92,97.32,96.92,97.32,93
31,2006-11-03,97.97,97.97,96.67,96.67,2679
32,2006-11-06,97.97,97.97,97.52,97.72,162
33,2006-11-07,97.97,97.97,97.57,97.57,371
34,2006-11-08,97.57,97.57,97.32,97.57,255
35,2006-11-09,97.97,97.97,96.67,96.67,499
36,2006-11-10,97.97,98.02,97.97,97.97,511
37,2006-11-14,98.565,98.565,94.23,95.625,3088
