,Date,Open,High,Low,Close,Volume
0,1986-07-09,0.6072,0.6072,0.5995,0.6072,7953072
1,1986-07-10,0.6072,0.6072,0.5995,0.6072,1405138
2,1986-07-11,0.5995,0.6072,0.5995,0.6072,3489421
3,1986-07-14,0.6072,0.6072,0.5918,0.5918,566738
4,1986-07-15,0.5842,0.5918,0.5764,0.5842,3522208
5,1986-07-16,0.5842,0.5842,0.5764,0.5764,974227
6,1986-07-17,0.5764,0.5764,0.5764,0.5764,5868786
7,1986-07-18,0.5764,0.5764,0.5688,0.5764,3128771
8,1986-07-21,0.5764,0.5918,0.5688,0.5842,5672066
9,1986-07-22,0.5918,0.6072,0.5918,0.5995,978910
10,1986-07-23,0.6149,0.6226,0.6149,0.6226,1639325
11,1986-07-24,0.6149,0.6149,0.6072,0.6072,11657947
12,1986-07-25,0.6149,0.6611,0.6072,0.6532,18093470
13,1986-07-28,0.6532,0.6611,0.638,0.638,2665074
14,1986-07-29,0.638,0.6456,0.638,0.6456,3423848
15,1986-07-30,0.638,0.6532,0.638,0.6456,3517525
16,1986-07-31,0.6456,0.6611,0.6456,0.6532,6421473
17,1986-08-01,0.6532,0.6532,0.638,0.638,14421380
18,1986-08-04,0.638,0.638,0.6226,0.638,5592443
19,1986-08-05,0.6302,0.638,0.6302,0.638,1508180
20,1986-08-06,0.6456,0.6456,0.638,0.6456,693200
21,1986-08-07,0.6456,0.6456,0.638,0.638,669782
22,1986-08-08,0.6456,0.6532,0.6456,0.6532,3625252
23,1986-08-11,0.6532,0.6532,0.6456,0.6532,3676774
24,1986-08-12,0.6611,0.684,0.6611,0.6764,1325511
25,1986-08-13,0.684,0.7148,0.684,0.7148,3072565
26,1986-08-14,0.7148,0.7225,0.7071,0.7225,1634642
27,1986-08-15,0.7071,0.7225,0.7071,0.7148,613576
28,1986-08-18,0.7148,0.7301,0.7071,0.7225,1152213
29,1986-08-19,0.7301,0.7457,0.7301,0.7301,3906279
30,1986-08-20,0.7301,0.7378,0.7225,0.7301,2510508
31,1986-08-21,0.7378,0.7378,0.7301,0.7378,9498721
32,1986-08-22,0.7301,0.7378,0.7301,0.7378,6018667
33,1986-08-25,0.7301,0.7301,0.7148,0.7225,1573753
34,1986-08-26,0.7225,0.7301,0.7148,0.7301,604209
35,1986-08-27,0.7301,0.7301,0.7225,0.7301,416857
36,1986-08-28,0.7225,0.7301,0.7225,0.7225,449644
37,1986-08-29,0.7301,0.7301,0.7225,0.7301,5044439
38,1986-09-02,0.7301,0.7301,0.7225,0.7301,744721
39,1986-09-03,0.7225,0.7225,0.7148,0.7225,3540944
40,1986-09-04,0.7225,0.7225,0.7148,0.7148,1662745
41,1986-09-05,0.7225,0.7225,0.7071,0.7071,2201381
42,1986-09-08,0.6994,0.7148,0.6918,0.6994,5821947
43,1986-09-09,0.6994,0.6994,0.6918,0.6994,2740016
44,1986-09-10,0.6918,0.6994,0.6918,0.6918,1536282
45,1986-09-11,0.6918,0.6994,0.6764,0.6764,4501120
46,1986-09-12,0.6688,0.684,0.638,0.638,3353590
