,Date,Open,High,Low,Close,Volume
0,2010-06-16,36.449,36.449,34.085,34.093,63851
1,2010-06-17,33.74,34.036,33.296,33.492,22028
2,2010-06-18,33.74,33.986,33.74,33.986,300
3,2010-06-21,33.799,34.232,33.002,33.246,12183
4,2010-06-22,33.346,33.346,31.818,31.818,83110
5,2010-06-23,31.689,31.789,31.268,31.789,7369
6,2010-06-24,31.987,33.73,31.503,31.521,426596
7,2010-06-25,31.769,32.459,31.6,32.026,570839
8,2010-06-28,32.222,32.222,31.62,31.769,367170
9,2010-06-29,31.521,31.521,29.623,29.859,831194
10,2010-06-30,29.801,30.687,29.702,30.371,7279568
11,2010-07-01,29.948,30.568,28.785,28.874,2854006
12,2010-07-02,29.061,29.514,28.449,28.586,3127663
13,2010-07-06,29.169,29.169,27.594,27.761,2305794
14,2010-07-07,28.085,29.188,27.485,29.1,2255971
15,2010-07-08,29.504,30.626,29.464,29.849,2305768
16,2010-07-09,29.869,30.744,29.643,29.986,1758931
17,2010-07-12,29.986,29.986,29.553,29.741,1376823
18,2010-07-13,29.938,30.213,29.879,30.016,1400775
19,2010-07-14,29.8,30.114,29.573,30.016,910041
20,2010-07-15,29.967,30.154,29.248,30.074,1685090
21,2010-07-16,29.771,30.084,28.815,29.277,1362851
22,2010-07-19,29.415,29.869,29.11,29.355,1062234
23,2010-07-20,29.071,30.054,28.676,29.976,1219782
24,2010-07-21,30.104,30.104,28.952,29.277,874545
25,2010-07-22,29.563,29.918,29.365,29.573,865733
26,2010-07-23,29.544,29.544,28.616,28.834,672513
27,2010-07-26,28.745,29.159,28.518,29.139,902271
28,2010-07-27,29.751,30.538,29.071,29.711,1731529
29,2010-07-28,29.967,30.548,29.899,30.449,1732447
30,2010-07-29,31.022,32.667,30.873,32.017,3251626
31,2010-07-30,31.928,34.626,31.21,33.908,2787299
32,2010-08-02,33.799,33.809,33.119,33.395,1570775
33,2010-08-03,33.463,34.271,32.902,34.046,818071
34,2010-08-04,34.093,34.469,33.73,34.38,846087
35,2010-08-05,34.193,34.539,33.789,34.37,614646
36,2010-08-06,34.311,34.311,32.519,33.463,1431020
37,2010-08-09,33.571,33.948,32.648,33.789,562605
38,2010-08-10,33.7,33.769,32.892,33.109,865893
39,2010-08-11,32.429,32.429,31.101,31.308,873227
40,2010-08-12,31.032,31.032,29.613,30.429,1111403
41,2010-08-13,30.29,30.784,29.474,29.691,1869193
42,2010-08-16,29.623,30.173,29.188,29.869,949781
43,2010-08-17,30.183,31.454,29.84,31.131,1134257
44,2010-08-18,30.953,31.424,30.33,31.032,995244
45,2010-08-19,30.824,30.992,30.3,30.873,448691
46,2010-08-20,30.469,30.903,30.31,30.548,735214
47,2010-08-23,30.626,31.012,30.124,30.705,505415
48,2010-08-24,30.203,30.469,29.879,30.193,907037
49,2010-08-25,30.094,30.439,29.711,30.084,770188
50,2010-08-26,30.252,30.578,29.711,29.957,1224444
51,2010-08-27,30.164,30.223,29.315,29.928,708216
52,2010-08-30,29.889,30.154,29.002,29.012,747738
53,2010-08-31,28.774,29.277,28.143,28.596,1423476
54,2010-09-01,29.061,30.34,28.864,30.3,943254
55,2010-09-02,30.379,31.082,29.879,30.844,554437
56,2010-09-03,31.278,31.374,30.645,31.278,603493
57,2010-09-07,31.002,31.268,30.784,30.844,384484
58,2010-09-08,30.389,30.834,29.81,30.094,887570
59,2010-09-09,30.3,30.568,29.553,29.633,389553
60,2010-09-10,29.633,29.771,29.385,29.623,986139
61,2010-09-13,30.035,30.035,28.577,29.325,1593350
62,2010-09-14,29.335,29.405,28.834,29.315,952058
63,2010-09-15,29.179,29.444,28.962,29.425,470372
64,2010-09-16,29.169,29.623,29.071,29.258,885960
65,2010-09-17,29.553,29.711,28.626,28.755,4011037
66,2010-09-20,28.874,29.553,28.42,29.325,847134
67,2010-09-21,29.258,29.267,28.223,28.805,1712505
68,2010-09-22,28.923,29.139,28.558,28.864,1465277
69,2010-09-23,28.735,29.041,28.636,28.864,1365846
70,2010-09-24,29.11,29.287,28.805,28.904,1119452
71,2010-09-27,28.864,29.061,28.696,28.735,626094
72,2010-09-28,28.716,29.434,28.313,29.395,578504
73,2010-09-29,29.365,29.603,29.169,29.434,900450
74,2010-09-30,29.49,30.287,29.361,29.687,965612
75,2010-10-01,30.035,30.429,29.761,29.899,1063932
76,2010-10-04,29.869,30.026,29.494,29.593,568542
77,2010-10-05,29.78,30.114,29.741,29.938,911638
78,2010-10-06,29.938,30.37,29.701,30.33,1260923
79,2010-10-07,30.36,30.518,29.78,29.996,790484
80,2010-10-08,30.006,30.262,29.84,29.899,952253
81,2010-10-11,29.83,29.976,29.653,29.751,515905
82,2010-10-12,29.633,29.731,29.1,29.238,1153699
83,2010-10-13,29.415,30.144,29.248,30.035,1653644
84,2010-10-14,29.928,30.34,29.701,30.074,1114544
85,2010-10-15,30.193,30.725,29.996,30.685,1238891
86,2010-10-18,30.626,31.521,30.508,31.394,1092767
87,2010-10-19,30.784,31.2,30.252,31.012,1219775
88,2010-10-20,31.131,31.521,30.873,31.151,810414
89,2010-10-21,31.151,31.759,30.587,31.308,593510
90,2010-10-22,31.238,31.384,30.953,31.327,452915
91,2010-10-25,31.503,31.561,30.913,30.983,445827
92,2010-10-26,31.61,32.212,31.258,31.908,1645249
93,2010-10-27,29.662,31.719,29.662,31.278,1168770
94,2010-10-28,31.414,32.017,31.219,31.928,924283
95,2010-10-29,31.858,32.994,31.799,32.54,919199
96,2010-11-01,32.892,33.316,31.868,32.4,806356
97,2010-11-02,32.677,33.109,32.182,32.912,752828
98,2010-11-03,33.256,33.502,32.578,33.502,693420
99,2010-11-04,33.938,34.212,33.266,33.67,873377
100,2010-11-05,33.769,33.779,32.539,32.962,1028827
101,2010-11-08,32.853,33.031,32.074,32.813,1040565
102,2010-11-09,33.138,34.281,32.539,33.012,1860777
103,2010-11-10,32.892,33.316,32.439,33.157,522519
104,2010-11-11,32.873,33.492,32.843,33.346,520652
105,2010-11-12,33.012,33.256,32.064,32.499,488628
106,2010-11-15,32.707,33.73,32.707,32.765,1225806
107,2010-11-16,32.628,32.785,31.769,32.39,593281
108,2010-11-17,32.499,33.502,32.42,33.119,1090056
109,2010-11-18,33.502,34.183,33.316,33.75,1039214
110,2010-11-19,33.829,34.291,33.276,34.252,820914
111,2010-11-22,34.173,35.395,33.829,35.01,1379316
112,2010-11-23,34.686,34.754,33.434,33.809,811405
113,2010-11-24,34.006,35.168,33.571,35.02,1099183
114,2010-11-26,34.676,34.961,34.103,34.39,280406
115,2010-11-29,34.252,34.882,33.611,34.705,363296
116,2010-11-30,34.316,35.036,33.913,34.602,1110761
117,2010-12-01,35.148,36.261,35.148,35.907,1560730
118,2010-12-02,35.888,36.449,35.808,36.361,1199204
119,2010-12-03,36.361,36.566,36.162,36.458,1267825
120,2010-12-06,36.371,36.881,36.371,36.804,1056120
121,2010-12-07,37.178,37.739,37.168,37.553,1546170
122,2010-12-08,37.533,37.759,36.506,36.655,751201
123,2010-12-09,36.911,37.039,36.458,36.734,712183
124,2010-12-10,36.695,36.989,36.301,36.516,859277
125,2010-12-13,36.921,37.494,36.635,37.345,1280474
126,2010-12-14,37.246,37.543,36.685,36.931,592653
127,2010-12-15,36.616,37.207,35.868,35.967,1185020
128,2010-12-16,35.946,36.38,35.69,36.221,737901
129,2010-12-17,36.123,36.251,35.493,36.162,1282157
130,2010-12-20,36.172,36.449,35.533,36.085,1215599
131,2010-12-21,36.291,36.961,35.652,36.871,751336
132,2010-12-22,36.881,37.138,36.496,36.616,568054
133,2010-12-23,36.321,36.536,36.105,36.4,587734
134,2010-12-27,36.222,36.222,35.434,35.73,552890
135,2010-12-28,35.868,35.917,35.434,35.652,511197
136,2010-12-29,35.765,36.112,35.608,35.688,447806
137,2010-12-30,35.717,35.954,35.114,35.469,600398
138,2010-12-31,35.401,36.409,35.352,35.766,809052
139,2011-01-03,36.065,36.162,35.788,35.977,1282053
140,2011-01-04,36.281,36.281,35.246,35.967,1198192
141,2011-01-05,35.759,36.331,35.325,36.035,845649
142,2011-01-06,35.977,36.4,35.513,36.045,988341
143,2011-01-07,35.798,36.39,35.681,36.371,986510
144,2011-01-10,36.172,36.901,35.592,36.635,806972
145,2011-01-11,36.754,37.425,36.536,37.266,1121712
146,2011-01-12,37.622,38.804,37.622,38.666,1928467
147,2011-01-13,38.547,38.597,37.71,37.975,1176002
148,2011-01-14,37.965,37.965,37.089,37.671,1023839
149,2011-01-18,37.749,38.123,37.405,38.074,651362
150,2011-01-19,38.34,38.35,37.039,37.325,1098582
151,2011-01-20,37.335,37.533,36.705,37.335,1114934
152,2011-01-21,37.729,38.329,36.695,36.951,1697892
153,2011-01-24,37.188,38.073,37.019,38.034,1031982
154,2011-01-25,37.868,38.24,37.455,38.211,899319
155,2011-01-26,38.329,38.902,37.749,38.705,1093822
156,2011-01-27,38.774,39.069,38.389,38.99,1321510
157,2011-01-28,38.892,39.049,38.24,38.379,863855
158,2011-01-31,38.511,40.425,38.501,40.032,1740339
159,2011-02-01,40.27,41.346,40.035,40.882,1769235
160,2011-02-02,40.784,41.118,39.819,40.211,1583624
161,2011-02-03,40.076,40.419,39.671,39.898,1546844
162,2011-02-04,39.916,39.966,39.295,39.68,720144
163,2011-02-07,39.819,40.005,39.463,39.69,876877
164,2011-02-08,39.68,39.68,38.834,39.167,903245
165,2011-02-09,39.01,39.01,37.965,38.339,1226683
166,2011-02-10,37.946,38.103,37.168,37.286,2251350
167,2011-02-11,37.207,38.064,36.824,37.936,1315434
168,2011-02-14,38.024,39.059,37.994,38.637,1137177
169,2011-02-15,38.587,38.715,38.004,38.201,751921
170,2011-02-16,38.389,39.0,37.652,38.765,1286477
171,2011-02-18,38.637,38.637,37.898,38.508,1000667
172,2011-02-22,38.824,39.404,37.956,38.309,2100189
173,2011-02-23,38.339,38.617,37.099,38.24,1604398
174,2011-02-24,37.108,38.309,36.361,37.375,2282836
175,2011-02-25,37.494,38.558,37.198,38.488,1297197
176,2011-02-28,38.695,39.266,38.577,38.96,1664547
177,2011-03-01,39.207,39.207,37.799,37.937,896285
178,2011-03-02,37.769,38.369,37.335,37.848,1280142
179,2011-03-03,38.192,38.469,37.642,38.014,804184
180,2011-03-04,37.994,38.074,37.375,37.829,941485
181,2011-03-07,38.172,38.35,37.049,37.504,503250
182,2011-03-08,37.514,38.074,37.266,37.445,846540
183,2011-03-09,37.128,38.074,36.823,37.236,1111180
184,2011-03-10,36.615,37.296,35.591,36.764,1210280
185,2011-03-11,36.34,37.533,36.084,37.256,689985
186,2011-03-14,36.921,38.172,36.595,38.014,1343902
187,2011-03-15,37.118,37.158,36.172,36.861,1832442
188,2011-03-16,36.94,37.375,36.261,36.911,1713933
189,2011-03-17,37.847,38.487,37.502,38.348,944663
190,2011-03-18,38.736,38.825,37.898,38.588,2616302
191,2011-03-21,39.06,40.687,38.981,40.096,1529203
192,2011-03-22,40.076,40.41,39.701,39.81,1082788
193,2011-03-23,39.78,40.173,39.434,39.771,687396
194,2011-03-24,40.116,40.981,39.849,40.677,1047233
195,2011-03-25,40.814,41.396,40.588,40.667,1632789
196,2011-03-28,40.805,41.13,39.425,39.454,1206161
197,2011-03-29,39.543,39.681,38.865,39.602,1493303
198,2011-03-30,39.907,40.608,39.425,39.533,1575309
199,2011-03-31,39.458,40.141,39.429,39.952,1976764
200,2011-04-01,40.558,41.04,40.096,40.449,1671953
201,2011-04-04,40.736,41.72,40.618,41.249,1329667
202,2011-04-05,41.289,41.613,40.489,40.538,945736
203,2011-04-06,40.736,40.971,39.405,39.464,1212886
204,2011-04-07,39.366,39.691,38.884,39.553,2589304
205,2011-04-08,39.761,40.036,39.09,39.356,1390631
206,2011-04-11,39.356,39.464,38.558,38.617,1047760
207,2011-04-12,38.467,39.059,36.752,37.483,2050435
208,2011-04-13,37.769,38.162,37.217,37.504,1316118
209,2011-04-14,37.148,37.494,36.575,37.306,1350441
210,2011-04-15,37.455,38.074,37.168,37.769,1004389
211,2011-04-18,37.286,37.652,36.813,37.464,1263858
212,2011-04-19,37.494,38.014,37.345,37.385,1065930
213,2011-04-20,38.142,38.961,37.829,38.951,1373291
214,2011-04-21,39.01,39.957,38.971,39.898,1211977
215,2011-04-25,39.937,40.538,39.444,39.592,1406241
216,2011-04-26,40.056,40.233,38.429,39.0,1972489
217,2011-04-27,39.05,40.786,38.961,40.38,1887689
218,2011-04-28,40.164,40.942,39.721,40.884,1010984
219,2011-04-29,40.861,42.244,40.386,42.115,1699846
220,2011-05-02,42.274,42.569,41.425,41.71,1691487
221,2011-05-03,41.534,41.534,39.976,40.409,1557255
222,2011-05-04,40.4,40.578,39.563,40.262,1377185
223,2011-05-05,39.671,40.568,39.345,39.809,1501441
224,2011-05-06,40.32,41.505,40.155,40.598,1575542
225,2011-05-09,40.687,41.563,40.687,41.318,776186
226,2011-05-10,41.1,41.73,40.971,41.308,649449
227,2011-05-11,41.14,41.14,39.345,39.74,1155639
228,2011-05-12,39.632,39.681,38.379,39.395,1965694
229,2011-05-13,39.671,40.3,39.285,39.819,851611
230,2011-05-16,39.721,40.776,39.641,40.223,1564460
231,2011-05-17,39.937,40.776,39.897,40.399,1154990
232,2011-05-18,40.459,41.031,40.262,40.449,801572
233,2011-05-19,40.637,40.814,39.927,40.707,698172
234,2011-05-20,40.508,41.642,40.026,41.299,777889
235,2011-05-23,40.369,41.199,40.155,40.904,1118219
236,2011-05-24,41.07,42.324,40.874,40.904,830689
237,2011-05-25,40.746,41.908,40.281,41.564,899683
238,2011-05-26,41.515,41.988,41.12,41.938,907564
239,2011-05-27,42.236,42.569,41.338,41.928,950648
240,2011-05-31,42.308,42.939,42.051,42.899,1583410
241,2011-06-01,42.885,43.093,41.368,41.515,1112450
242,2011-06-02,41.476,41.839,40.904,41.436,1002895
243,2011-06-03,40.913,41.928,40.429,41.476,1013312
