,Date,Open,High,Low,Close,Volume
0,2017-01-31,24.65,24.655,24.64,24.655,2239
1,2017-02-01,24.63,24.64,24.6154,24.6154,2219
2,2017-02-02,24.6154,24.6154,24.6154,24.6154,0
3,2017-02-03,24.82,24.8304,24.8047,24.8304,3244
4,2017-02-06,24.7309,24.748,24.67,24.6897,886
5,2017-02-07,24.63,24.63,24.5101,24.5101,2153
6,2017-02-08,24.65,24.65,24.64,24.64,550
7,2017-02-09,24.73,24.73,24.6706,24.6706,834
8,2017-02-10,24.88,24.88,24.8699,24.87,492
9,2017-02-13,24.86,24.86,24.8252,24.85,427
10,2017-02-14,25.05,25.05,24.88,24.89,4176
11,2017-02-15,24.85,24.85,24.85,24.85,200
12,2017-02-16,24.8,24.8,24.8,24.8,200
13,2017-02-17,24.62,24.62,24.62,24.62,100
14,2017-02-21,24.74,24.74,24.74,24.74,100
15,2017-02-22,24.63,24.63,24.63,24.63,105
16,2017-02-23,24.62,24.62,24.62,24.62,144
17,2017-02-24,24.54,24.54,24.498,24.498,481
18,2017-02-27,24.498,24.498,24.498,24.498,0
19,2017-02-28,24.5,24.548,24.5,24.5234,2150
20,2017-03-01,24.8094,24.81,24.8094,24.81,4063
21,2017-03-02,24.58,24.58,24.58,24.58,100
22,2017-03-03,24.58,24.58,24.58,24.58,0
23,2017-03-06,24.5098,24.5098,24.5098,24.5098,165
24,2017-03-07,24.4662,24.4662,24.402,24.402,1176
25,2017-03-08,24.1299,24.13,24.0856,24.0856,1047
26,2017-03-09,24.0856,24.0856,24.0856,24.0856,0
27,2017-03-10,23.9401,23.9401,23.9401,23.9401,302
28,2017-03-13,24.04,24.04,24.04,24.04,165
29,2017-03-14,24.04,24.04,24.04,24.04,0
30,2017-03-15,24.2391,24.2391,24.2391,24.2391,100
31,2017-03-16,24.2391,24.2391,24.2391,24.2391,0
32,2017-03-17,24.23,24.23,24.23,24.23,100
33,2017-03-20,24.14,24.14,24.14,24.14,165
34,2017-03-21,24.122,24.122,24.122,24.122,816
35,2017-03-22,24.122,24.122,24.122,24.122,0
36,2017-03-23,24.0508,24.0508,24.0508,24.0508,1032
37,2017-03-24,24.05,24.05,24.05,24.05,100
38,2017-03-27,23.9701,23.9701,23.9701,23.9701,112
39,2017-03-28,23.9701,23.9701,23.9701,23.9701,0
40,2017-03-29,24.3115,24.3115,24.3006,24.3006,414
41,2017-03-30,24.3006,24.3006,24.3006,24.3006,0
42,2017-03-31,24.37,24.37,24.37,24.37,4025
