,Date,Open,High,Low,Close,Volume
0,2017-07-28,19.56,22.11,19.29,21.7,9483517
1,2017-07-31,22.43,25.11,22.29,24.13,4388048
2,2017-08-01,26.25,28.7,25.3,26.48,3755688
3,2017-08-02,28.45,31.19,27.7,31.06,3654453
4,2017-08-03,33.39,33.49,26.51,27.2,5768342
5,2017-08-04,27.76,27.76,25.51,25.84,1669412
6,2017-08-07,25.72,28.22,24.7,25.27,2617712
7,2017-08-08,25.62,25.9,24.44,25.52,1310704
8,2017-08-09,25.0,26.58,24.72,26.33,982428
9,2017-08-10,26.0,26.4,25.11,25.44,597470
10,2017-08-11,25.03,25.9244,24.21,24.85,636049
11,2017-08-14,25.11,25.31,24.5,24.96,554891
12,2017-08-15,24.84,28.85,24.55,28.59,2012282
13,2017-08-16,28.85,30.21,26.6429,27.2382,2239824
14,2017-08-17,26.91,28.469,26.0,26.55,1333043
15,2017-08-18,26.59,27.245,25.31,26.7,1143145
16,2017-08-21,26.62,28.54,26.45,27.56,1355721
17,2017-08-22,25.64,27.3,25.2,25.27,2020098
18,2017-08-23,25.05,26.18,25.0,25.75,917993
19,2017-08-24,25.74,26.073,25.101,25.79,1579597
20,2017-08-25,25.47,25.8,24.87,24.89,973079
21,2017-08-28,24.8,25.126,24.5101,24.83,673461
22,2017-08-29,24.55,24.79,23.6,23.87,923592
23,2017-08-30,23.65,23.87,22.66,23.04,1453430
24,2017-08-31,22.09,23.37,22.07,22.29,954978
25,2017-09-01,22.15,23.68,22.15,23.6,998942
26,2017-09-05,23.59,25.19,23.255,24.99,1501425
27,2017-09-06,24.62,25.93,24.5513,25.86,1367939
28,2017-09-07,26.05,26.05,25.21,25.365,1543061
29,2017-09-08,26.4,26.4,24.01,24.09,1668487
30,2017-09-11,24.3,26.04,24.16,25.82,1254534
31,2017-09-12,25.85,26.2466,25.01,25.41,647987
32,2017-09-13,25.25,26.95,25.25,26.89,929265
33,2017-09-14,26.69,27.96,26.425,26.72,790758
34,2017-09-15,26.5,27.35,26.05,26.53,2091311
35,2017-09-18,26.69,27.1251,25.6,26.92,702481
36,2017-09-19,26.92,27.3,26.36,26.58,464782
37,2017-09-20,26.58,27.29,26.38,27.28,564930
38,2017-09-21,27.04,27.35,26.13,26.25,380733
39,2017-09-22,26.39,28.0,26.2,27.97,989059
40,2017-09-25,27.87,28.695,25.64,26.02,1518005
41,2017-09-26,26.0,26.5167,25.04,25.21,1061291
42,2017-09-27,25.32,25.78,25.03,25.24,754989
43,2017-09-28,25.35,25.73,24.89,25.42,414475
44,2017-09-29,25.21,25.5396,24.65,25.09,825660
45,2017-10-02,24.97,25.47,24.8101,25.05,416957
46,2017-10-03,24.9,25.19,24.8075,24.92,543082
47,2017-10-04,24.83,25.27,24.81,24.92,417484
48,2017-10-05,24.81,25.32,24.55,25.0,840750
49,2017-10-06,24.9,25.01,24.05,25.0,771314
50,2017-10-09,25.0,26.59,25.0,26.33,1251649
51,2017-10-10,26.49,26.49,25.01,25.33,644022
52,2017-10-11,25.28,25.92,25.2,25.33,374983
53,2017-10-12,25.28,25.7,25.07,25.65,339120
54,2017-10-13,25.267,26.15,25.2356,26.03,434998
55,2017-10-16,25.61,25.9872,25.33,25.76,275973
56,2017-10-17,25.56,27.2,25.55,26.99,1249552
57,2017-10-18,26.76,27.67,25.825,26.08,842745
58,2017-10-19,26.15,26.31,25.03,25.68,684665
59,2017-10-20,25.76,26.0,25.18,25.25,572620
60,2017-10-23,25.25,25.7083,24.25,24.34,644273
61,2017-10-24,24.25,24.7171,23.85,24.09,636746
62,2017-10-25,23.97,24.4861,23.12,23.4,617253
63,2017-10-26,23.38,23.5,22.8,23.11,430144
64,2017-10-27,23.075,23.26,22.7,23.01,716384
65,2017-10-30,22.86,23.65,22.72,23.28,725890
66,2017-10-31,23.2,23.81,23.12,23.54,375377
67,2017-11-01,23.74,23.74,23.1,23.28,259067
68,2017-11-02,23.1,24.25,23.0501,23.74,373040
69,2017-11-03,23.51,23.6,22.72,22.9,509959
70,2017-11-06,22.8,23.0067,22.23,22.54,471896
71,2017-11-07,22.36,23.205,22.25,22.93,515589
72,2017-11-08,22.93,22.95,21.51,21.6894,658684
73,2017-11-09,21.76,23.3,21.76,23.2,1133311
74,2017-11-10,21.0,21.7,19.8101,20.93,2237578
