,Date,Open,High,Low,Close,Volume
0,2012-10-11,32.328,34.346,31.983,33.655,29624835
1,2012-10-12,33.46,34.767,32.475,33.066,4818794
2,2012-10-15,32.966,33.508,32.544,32.966,2971194
3,2012-10-16,33.41,35.792,33.37,35.171,2788539
4,2012-10-17,36.402,37.642,35.86,36.893,5648014
5,2012-10-18,36.903,38.586,35.23,35.624,3538667
6,2012-10-19,35.447,36.903,35.28,36.312,3336405
7,2012-10-22,36.292,36.796,36.224,36.539,965315
8,2012-10-23,36.53,36.805,34.787,35.083,1562446
9,2012-10-24,34.699,36.027,34.699,35.427,853410
10,2012-10-25,35.918,36.037,34.296,34.492,1215615
11,2012-10-26,34.452,34.631,33.241,34.109,1305025
12,2012-10-31,35.908,36.017,32.661,34.975,1220704
13,2012-11-01,35.427,35.535,33.971,35.388,1314254
14,2012-11-02,35.329,37.473,35.21,37.14,1965255
15,2012-11-05,38.547,38.783,36.962,38.281,1288182
16,2012-11-06,38.507,39.138,37.956,38.733,895104
17,2012-11-07,37.936,38.733,37.444,38.654,659357
18,2012-11-08,38.261,38.419,38.015,38.104,415598
19,2012-11-09,36.854,37.868,34.679,37.217,832917
20,2012-11-12,36.471,37.217,36.107,36.461,305280
21,2012-11-13,35.034,37.1,34.757,35.918,347149
22,2012-11-14,35.672,36.037,34.757,34.895,968663
23,2012-11-15,34.64,35.329,32.877,34.186,1402650
24,2012-11-16,34.787,35.88,33.814,34.935,991073
25,2012-11-19,36.607,36.657,35.28,36.471,1039777
26,2012-11-20,36.786,36.893,35.812,36.117,1327286
27,2012-11-21,35.722,36.117,35.23,35.604,589184
28,2012-11-23,35.594,35.967,35.496,35.918,238861
29,2012-11-26,35.299,36.805,35.28,35.712,433123
30,2012-11-27,36.067,36.412,35.662,35.832,321396
31,2012-11-28,35.525,36.412,34.738,36.137,720330
32,2012-11-29,36.676,37.366,36.047,36.716,639935
33,2012-11-30,36.854,37.396,36.815,37.11,340721
34,2012-12-03,37.051,37.198,36.647,37.12,611636
35,2012-12-04,37.188,37.198,36.607,37.149,573797
36,2012-12-05,37.396,37.396,36.214,36.362,768756
37,2012-12-06,36.53,36.647,35.772,36.352,678512
38,2012-12-07,35.987,37.217,35.918,37.12,1322280
39,2012-12-10,37.12,37.149,36.481,37.001,597289
40,2012-12-11,36.786,37.188,36.186,36.637,1598695
41,2012-12-12,37.159,37.317,36.558,37.11,462895
42,2012-12-13,36.491,37.956,36.491,37.396,805675
43,2012-12-14,37.247,38.448,37.247,37.996,511840
44,2012-12-17,37.986,38.674,37.788,38.567,383608
45,2012-12-18,38.949,39.638,38.763,39.522,1408213
46,2012-12-19,39.609,40.829,38.507,39.492,1916392
47,2012-12-20,39.226,40.436,39.018,39.767,881568
48,2012-12-21,39.058,40.759,38.586,40.663,3519899
49,2012-12-24,40.465,40.919,39.856,40.703,304638
50,2012-12-26,40.723,41.44,40.338,40.544,1471214
51,2012-12-27,40.594,41.488,40.397,41.36,1188516
52,2012-12-28,41.007,41.351,40.879,41.075,528454
53,2012-12-31,41.194,41.312,40.623,41.293,623892
54,2013-01-02,41.744,41.794,39.717,40.723,1922228
55,2013-01-03,40.74,41.618,40.673,41.273,664715
56,2013-01-04,41.4,41.498,40.779,41.164,613095
57,2013-01-07,40.997,41.027,40.318,40.74,719631
58,2013-01-08,40.879,41.105,40.032,40.779,881023
59,2013-01-09,40.693,42.248,40.574,42.019,746915
60,2013-01-10,42.248,42.699,41.027,41.302,943140
61,2013-01-11,41.302,41.39,40.75,40.968,484269
62,2013-01-14,40.899,41.41,40.594,41.174,500470
63,2013-01-15,41.114,41.962,41.075,41.48,366306
64,2013-01-16,41.332,41.952,40.859,41.498,602015
65,2013-01-17,41.715,42.256,41.38,41.754,513616
66,2013-01-18,41.685,43.221,41.685,42.896,662320
67,2013-01-22,42.828,43.743,42.758,43.575,815251
68,2013-01-23,43.585,45.385,43.525,44.125,1111287
69,2013-01-24,44.165,44.441,43.398,43.595,905360
70,2013-01-25,43.506,43.84,42.876,43.83,607941
71,2013-01-28,43.91,44.01,42.523,43.97,851593
72,2013-01-29,44.0,44.914,43.625,44.785,1137973
73,2013-01-30,44.865,44.874,44.284,44.481,947456
74,2013-01-31,44.195,44.363,43.82,44.058,363332
75,2013-02-01,44.195,45.839,44.028,45.259,1062806
76,2013-02-04,45.21,45.277,44.549,45.022,688925
77,2013-02-05,44.795,44.924,43.476,44.145,1190230
78,2013-02-06,44.086,45.11,43.97,45.022,533004
79,2013-02-07,45.032,45.455,44.371,44.746,696512
80,2013-02-08,44.589,44.835,43.81,44.284,374260
81,2013-02-11,44.245,44.401,43.458,43.506,424273
82,2013-02-12,43.466,44.982,43.143,44.589,972775
83,2013-02-13,44.776,46.202,44.549,45.74,1072017
84,2013-02-14,46.399,48.566,44.629,44.696,2288333
85,2013-02-15,44.855,45.06,42.808,43.516,1599690
86,2013-02-19,43.665,45.22,43.665,44.845,947557
87,2013-02-20,44.964,45.12,43.378,43.398,642055
88,2013-02-21,43.525,44.076,42.009,42.364,1175662
89,2013-02-22,42.709,43.674,42.689,43.535,643377
90,2013-02-25,43.665,43.734,42.169,42.179,589122
91,2013-02-26,42.344,43.251,42.079,42.129,590507
92,2013-02-27,42.169,43.251,42.069,43.211,1056930
93,2013-02-28,43.103,44.549,42.936,44.135,1184278
94,2013-03-01,43.96,45.75,43.31,45.415,1490306
95,2013-03-04,45.11,45.296,44.401,45.24,967737
96,2013-03-05,45.269,46.861,44.973,46.646,1431308
97,2013-03-06,45.296,47.216,45.05,46.497,1209197
98,2013-03-07,46.38,46.881,45.592,46.006,674097
99,2013-03-08,46.192,46.802,45.602,46.754,652821
100,2013-03-11,46.656,46.764,46.046,46.676,967473
101,2013-03-12,46.537,46.802,45.395,45.957,982863
102,2013-03-13,45.77,46.252,45.395,46.144,516114
103,2013-03-14,46.154,46.154,45.681,45.967,511205
104,2013-03-15,45.809,46.971,45.612,46.941,1358247
105,2013-03-18,46.449,47.728,46.084,47.206,802914
106,2013-03-19,47.236,49.293,47.236,48.546,2496436
107,2013-03-20,49.037,49.401,47.827,48.594,1023321
108,2013-03-21,48.682,48.909,47.296,47.432,740941
109,2013-03-22,47.787,48.221,47.6,48.003,506616
110,2013-03-25,48.377,49.528,48.161,49.007,1219966
111,2013-03-26,49.087,49.293,47.984,48.171,590538
112,2013-03-27,47.895,48.546,47.452,48.221,438474
113,2013-03-28,48.299,48.516,47.325,48.063,677070
114,2013-04-01,48.111,48.367,45.996,46.497,852778
115,2013-04-02,46.656,46.735,45.375,45.592,1044229
116,2013-04-03,45.525,45.525,43.32,43.743,2025341
117,2013-04-04,43.84,44.215,43.063,44.067,587511
118,2013-04-05,43.33,44.048,43.201,43.97,711977
119,2013-04-08,43.82,45.18,43.625,45.11,1004155
120,2013-04-09,45.09,45.277,44.0,44.086,1891383
121,2013-04-10,41.794,43.694,41.558,43.565,8855701
122,2013-04-11,43.665,45.76,43.665,45.515,16779989
123,2013-04-12,45.21,45.996,44.579,45.475,1639553
124,2013-04-15,45.22,45.435,43.724,43.87,3091404
125,2013-04-16,44.49,45.76,44.431,45.346,1938469
126,2013-04-17,44.894,45.554,44.49,45.375,2126862
127,2013-04-18,45.269,45.887,44.776,45.485,2306688
128,2013-04-19,45.573,47.728,45.435,47.728,5954144
129,2013-04-22,47.59,47.817,46.566,46.991,2337326
130,2013-04-23,47.126,47.767,46.409,46.686,1776862
131,2013-04-24,46.646,47.051,46.616,46.991,1156326
132,2013-04-25,47.136,47.67,46.841,47.541,1304572
133,2013-04-26,47.561,47.63,46.881,47.246,1487038
134,2013-04-29,47.482,47.482,46.921,47.335,982014
135,2013-04-30,47.206,47.787,46.871,47.236,2014911
136,2013-05-01,47.984,47.984,46.951,47.61,2990708
137,2013-05-02,46.961,48.407,46.666,48.221,2235162
138,2013-05-03,48.692,49.027,47.827,48.958,2256633
139,2013-05-06,48.762,49.922,48.762,49.862,2477384
140,2013-05-07,50.091,50.297,49.421,49.912,1848577
141,2013-05-08,50.137,50.582,49.794,50.532,2121789
142,2013-05-09,50.612,50.729,49.421,49.627,1565202
143,2013-05-10,49.677,50.572,49.441,50.367,1555114
144,2013-05-13,50.367,50.936,50.062,50.926,1746499
145,2013-05-14,51.064,52.678,50.858,52.364,2517335
146,2013-05-15,52.304,52.334,51.172,51.693,2498659
147,2013-05-16,51.673,53.218,51.663,52.491,2252921
148,2013-05-17,52.963,52.993,51.989,52.678,2297928
149,2013-05-20,53.189,53.721,53.003,53.485,1532615
150,2013-05-21,53.663,54.075,53.533,53.977,1929063
151,2013-05-22,54.233,54.4,51.232,51.773,3176975
152,2013-05-23,51.152,52.264,50.582,51.606,1849147
153,2013-05-24,51.606,51.663,50.522,51.635,1290781
154,2013-05-28,52.364,52.973,51.783,52.215,2336225
155,2013-05-29,51.872,52.128,50.552,51.783,1979930
156,2013-05-30,51.92,52.274,51.094,51.428,1456363
157,2013-05-31,51.507,51.547,50.395,50.818,6462725
158,2013-06-03,50.986,51.074,49.371,49.401,2445838
159,2013-06-04,49.617,49.776,47.384,47.689,1806468
160,2013-06-05,47.63,48.201,46.636,46.991,2778844
161,2013-06-06,46.961,47.895,46.478,47.836,2054353
162,2013-06-07,48.27,49.135,47.196,48.622,1422951
163,2013-06-10,48.613,48.821,47.708,47.827,911008
164,2013-06-11,47.64,47.827,46.961,47.266,869349
165,2013-06-12,47.63,47.708,45.73,46.114,2446255
166,2013-06-13,46.192,49.323,45.977,49.243,2239460
167,2013-06-14,49.087,50.147,48.86,49.518,1274106
168,2013-06-17,50.052,51.074,49.598,51.054,1059497
169,2013-06-18,50.976,51.034,49.952,50.337,949913
170,2013-06-19,50.237,50.72,49.027,49.077,801051
171,2013-06-20,48.328,48.722,46.094,46.971,2698220
172,2013-06-21,47.355,47.59,44.431,44.894,5162832
173,2013-06-24,44.421,46.064,42.199,45.07,4635482
174,2013-06-25,45.346,47.66,45.306,47.078,1997822
175,2013-06-26,47.67,48.662,46.901,47.777,1126922
176,2013-06-27,47.955,49.027,47.817,48.25,2217388
177,2013-06-28,48.083,48.377,47.276,47.276,4784335
178,2013-07-01,47.541,49.293,47.541,49.125,2140067
179,2013-07-02,49.125,50.976,49.057,49.707,1844045
180,2013-07-03,49.717,50.493,49.431,49.746,776142
181,2013-07-05,49.794,49.932,47.777,48.417,1175506
182,2013-07-08,48.978,49.353,47.807,47.975,1203959
183,2013-07-09,48.161,49.353,46.626,47.001,2298930
184,2013-07-10,46.971,48.083,46.124,47.955,2065310
185,2013-07-11,48.702,49.47,48.604,49.077,2021519
186,2013-07-12,49.273,49.283,48.652,48.831,886200
187,2013-07-15,49.087,49.204,47.925,48.221,1342084
188,2013-07-16,48.27,48.622,47.492,48.506,2023433
189,2013-07-17,50.091,50.502,48.642,49.194,19967102
190,2013-07-18,49.823,50.385,49.794,49.992,3808899
191,2013-07-19,50.128,50.297,48.909,49.333,1965191
192,2013-07-22,49.431,49.548,47.984,48.968,2831567
193,2013-07-23,49.077,49.145,48.092,48.289,3822698
194,2013-07-24,48.241,48.662,45.17,45.907,6807422
195,2013-07-25,46.242,46.696,44.934,46.114,3359617
196,2013-07-26,46.124,46.341,45.681,45.907,2944499
197,2013-07-29,45.907,46.026,44.51,45.287,2780159
198,2013-07-30,45.277,45.76,44.589,44.825,2468716
199,2013-07-31,44.776,45.661,43.231,44.245,6853821
200,2013-08-01,44.696,45.641,43.545,43.81,4548860
201,2013-08-02,43.516,44.115,43.103,43.89,3618131
202,2013-08-05,43.635,44.973,43.486,43.734,2363352
203,2013-08-06,43.89,44.639,43.555,43.78,3416631
204,2013-08-07,43.605,44.205,43.368,44.115,2251733
205,2013-08-08,44.609,45.455,44.275,45.22,2469348
206,2013-08-09,45.2,45.651,44.559,44.992,1331997
207,2013-08-12,44.992,45.09,43.98,44.135,1480206
208,2013-08-13,44.334,44.334,42.601,42.749,3645173
209,2013-08-14,42.758,42.966,41.883,42.454,3122772
210,2013-08-15,41.715,41.725,39.964,41.263,4496783
211,2013-08-16,41.46,42.848,41.4,41.943,3148152
212,2013-08-19,41.844,42.838,41.124,41.164,1659532
213,2013-08-20,40.987,43.153,40.929,42.946,2270777
214,2013-08-21,42.601,43.79,42.079,42.533,3402635
215,2013-08-22,42.523,42.808,42.265,42.523,2374684
216,2013-08-23,42.778,42.778,41.056,41.48,2684903
217,2013-08-26,41.628,41.656,40.949,40.997,2115517
218,2013-08-27,40.387,41.243,40.002,41.233,1889221
219,2013-08-28,41.224,41.962,40.829,41.854,2464863
220,2013-08-29,41.725,42.209,41.518,41.893,1886844
221,2013-08-30,41.999,42.256,41.332,41.656,1866654
222,2013-09-03,42.059,42.314,40.584,41.283,2500628
223,2013-09-04,41.293,41.588,40.732,41.105,2462434
224,2013-09-05,41.214,42.275,41.184,42.119,2215104
225,2013-09-06,42.552,42.818,41.518,41.618,1967284
226,2013-09-09,41.844,42.562,41.675,42.503,1878328
227,2013-09-10,42.808,43.388,42.513,43.339,1322406
228,2013-09-11,43.211,44.0,42.966,43.545,2261749
