,Date,Open,High,Low,Close,Volume
0,2005-02-25,17.82,17.99,17.53,17.7,1277236
1,2005-02-28,17.5,18.01,17.44,17.57,1344918
2,2005-03-01,17.64,17.77,17.01,17.16,2499706
3,2005-03-02,15.07,15.61,14.75,15.45,7434368
4,2005-03-03,15.68,15.75,15.12,15.19,2240255
5,2005-03-04,15.34,15.39,15.04,15.16,1368575
6,2005-03-07,15.09,15.36,15.05,15.18,1874219
7,2005-03-08,15.12,15.26,14.64,14.72,1908562
8,2005-03-09,14.68,14.87,14.47,14.55,1803125
9,2005-03-10,14.54,14.56,14.03,14.3,1742543
10,2005-03-11,14.33,14.38,13.95,14.0,1572760
11,2005-03-14,14.11,14.16,13.94,14.01,1132690
12,2005-03-15,14.17,14.19,13.56,13.75,1617065
13,2005-03-16,13.57,13.92,13.51,13.51,1385553
14,2005-03-17,13.4,13.73,13.36,13.57,954610
15,2005-03-18,13.63,13.63,12.95,13.12,1551155
16,2005-03-21,15.0,18.98,14.76,17.03,18064171
17,2005-03-22,16.95,17.05,15.51,15.65,6110093
18,2005-03-23,15.53,16.24,15.3,15.85,2631082
19,2005-03-24,16.0,16.18,15.52,15.61,1502114
20,2005-03-28,15.74,15.8,15.17,15.2,1523885
21,2005-03-29,15.23,15.45,14.86,14.98,1408921
22,2005-03-30,15.46,15.77,14.98,15.35,1430465
23,2005-03-31,15.4,15.44,15.04,15.07,1005436
24,2005-04-01,15.11,15.24,14.7,14.86,859301
25,2005-04-04,14.77,14.9,14.39,14.51,1008714
26,2005-04-05,14.59,14.74,14.12,14.26,1101499
27,2005-04-06,14.25,14.37,14.12,14.17,799352
28,2005-04-07,14.12,14.3,14.06,14.19,687877
29,2005-04-08,14.13,14.33,14.08,14.2,985764
30,2005-04-11,14.22,14.32,14.0,14.0,950631
31,2005-04-12,13.95,14.04,13.7,13.97,998222
32,2005-04-13,13.91,13.97,13.75,13.75,800241
33,2005-04-14,14.27,14.31,13.75,14.05,2555294
34,2005-04-15,13.8,14.16,13.55,13.78,2117565
35,2005-04-18,13.7,13.82,13.26,13.42,1481111
36,2005-04-19,13.42,13.7,13.35,13.65,1089321
37,2005-04-20,13.9,13.94,13.35,13.46,996868
