,Date,Open,High,Low,Close,Volume
0,2015-08-28,9.75,9.75,9.75,9.75,100
1,2015-09-03,9.75,9.75,9.75,9.75,10900
2,2015-09-08,9.7,9.7,9.7,9.7,4000
3,2015-09-10,9.7,9.7,9.7,9.7,6000
4,2015-09-18,9.61,9.61,9.61,9.61,5000
5,2015-09-21,9.65,9.65,9.61,9.61,200
6,2015-09-22,9.6,9.6,9.6,9.6,100
7,2015-09-24,9.64,9.7,9.64,9.7,28701
8,2015-09-25,9.64,9.64,9.64,9.64,100
9,2015-09-28,9.65,9.65,9.65,9.65,150005
10,2015-10-06,9.65,9.65,9.61,9.61,19100
11,2015-10-07,9.62,9.65,9.61,9.61,34400
12,2015-10-12,9.61,9.61,9.61,9.61,34324
13,2015-10-13,9.61,9.63,9.61,9.63,160900
14,2015-10-15,9.63,9.63,9.63,9.63,200
15,2015-10-26,9.7,9.7,9.7,9.7,200
16,2015-10-28,9.6,9.77,9.6,9.6,56000
17,2015-10-29,9.61,9.61,9.56,9.56,5100
18,2015-11-09,9.75,9.75,9.75,9.75,1014
19,2015-11-17,9.6,9.75,9.58,9.63,200400
20,2015-11-18,9.63,9.63,9.6,9.6,45000
21,2015-11-19,9.61,9.61,9.61,9.61,100
22,2015-11-24,9.6,9.63,9.6,9.6,226400
23,2015-11-30,9.55,9.77,9.55,9.77,1400
24,2015-12-14,9.61,9.61,9.61,9.61,278
25,2015-12-15,9.58,9.58,9.58,9.58,200000
26,2015-12-18,9.57,9.57,9.57,9.57,200
27,2015-12-22,9.63,9.63,9.59,9.61,135800
28,2015-12-23,9.61,9.61,9.61,9.61,5000
29,2015-12-28,9.5,9.52,9.5,9.51,1664
30,2015-12-29,9.61,9.61,9.5,9.59,7900
31,2015-12-30,9.61,9.61,9.61,9.61,172
32,2016-01-07,9.62,9.62,9.61,9.61,5100
33,2016-01-08,9.65,9.67,9.65,9.65,3190
34,2016-01-11,10.0,10.4,9.61,9.61,2772
35,2016-01-12,9.61,9.61,9.61,9.61,5000
36,2016-01-13,9.61,9.61,9.6,9.6,129100
37,2016-01-14,9.79,9.79,9.79,9.79,200
38,2016-01-15,9.61,9.61,9.59,9.59,5101
39,2016-01-19,9.61,9.61,9.56,9.57,362300
40,2016-01-20,9.59,9.7,9.59,9.7,11362
41,2016-01-26,9.65,9.65,9.65,9.65,100
42,2016-02-02,9.59,9.68,9.59,9.68,2180
