,Date,Open,High,Low,Close,Volume
0,2010-12-17,12.85,12.85,12.5,12.62,21687
1,2010-12-20,13.48,13.48,12.56,13.05,105133
2,2010-12-21,14.67,14.67,13.01,13.7,85473
3,2010-12-22,13.89,14.07,13.06,13.32,39520
4,2010-12-23,13.08,13.7,13.08,13.41,14437
5,2010-12-27,13.65,13.9,13.22,13.44,39485
6,2010-12-28,13.45,13.7,13.02,13.25,107463
7,2010-12-29,13.08,13.74,13.08,13.6,18850
8,2010-12-30,13.77,13.77,13.33,13.49,7247
9,2010-12-31,13.5,13.74,13.31,13.63,49296
10,2011-01-03,13.6,14.8,13.26,14.5,68467
11,2011-01-04,14.04,14.72,13.99,14.25,13612
12,2011-01-05,14.36,14.48,14.0,14.2,9584
13,2011-01-06,14.34,14.34,14.0,14.1,13537
14,2011-01-07,14.01,14.5,14.01,14.21,5148
15,2011-01-10,14.35,14.65,14.02,14.48,74380
16,2011-01-11,14.06,14.64,14.06,14.58,24900
17,2011-01-12,14.6,14.62,14.23,14.35,37879
18,2011-01-13,14.38,14.58,14.29,14.5,44202
19,2011-01-14,14.5,14.6,14.14,14.46,78356
20,2011-01-18,14.4,14.58,14.23,14.36,77592
21,2011-01-19,14.5,14.64,14.31,14.47,20630
22,2011-01-20,14.3,14.44,13.78,14.14,61671
23,2011-01-21,14.47,14.58,14.13,14.17,163272
24,2011-01-24,14.38,14.48,13.15,13.71,151270
25,2011-01-25,14.0,14.22,13.16,13.22,234030
26,2011-01-26,13.61,13.61,12.86,13.53,69872
27,2011-01-27,13.46,13.73,13.04,13.34,13971
28,2011-01-28,13.45,13.62,13.1,13.44,94917
29,2011-01-31,13.3,13.94,13.1,13.75,74280
30,2011-02-01,14.0,14.54,13.4,14.3,53864
31,2011-02-02,14.0,14.48,13.02,14.3,36959
32,2011-02-03,14.68,14.68,14.02,14.44,60713
33,2011-02-04,13.92,14.25,13.5,13.97,41275
34,2011-02-07,14.2,14.99,14.2,14.72,141782
35,2011-02-08,14.91,15.35,14.78,15.0,28160
36,2011-02-09,15.05,15.11,14.68,14.86,33011
37,2011-02-10,14.81,15.0,14.6,14.72,28484
38,2011-02-11,14.55,16.11,14.5,15.65,97873
39,2011-02-14,15.85,16.01,15.13,15.45,69308
40,2011-02-15,15.41,15.43,14.81,15.07,62591
41,2011-02-16,15.1,15.27,14.74,14.99,115967
42,2011-02-18,14.72,15.07,14.72,14.93,37182
43,2011-02-22,14.77,14.97,14.52,14.62,12102
44,2011-02-23,14.71,14.77,14.56,14.7,33019
45,2011-02-24,14.62,14.84,14.62,14.79,9740
46,2011-02-25,14.98,14.98,14.55,14.74,9820
47,2011-02-28,14.8,14.89,14.5,14.7,83646
48,2011-03-01,14.8,14.91,14.57,14.6,34750
49,2011-03-02,14.55,14.72,14.5,14.51,9747
50,2011-03-03,14.86,14.86,14.47,14.59,18795
51,2011-03-04,14.75,14.9,14.57,14.77,108749
52,2011-03-07,14.82,15.97,14.75,15.67,38851
53,2011-03-08,16.01,18.92,15.67,17.8,98346
54,2011-03-09,18.07,18.17,17.33,18.01,80500
55,2011-03-10,17.82,18.24,17.13,17.34,152763
56,2011-03-11,17.29,17.29,16.28,17.0,88405
57,2011-03-14,16.99,17.15,16.95,17.07,58313
58,2011-03-15,16.0,17.57,16.0,17.4,67966
59,2011-03-16,16.55,19.29,16.55,17.33,40527
60,2011-03-17,17.55,19.58,17.45,17.91,33814
